Hash,Date,Author,Message,IsMerge
29e410181813667e6b5d804790b2d4f35a43b886,2025-02-11 15:16:06,Asabeneh,link modified,False
1905da4593317e21f5e106daa81e1a54dfdd4c73,2024-10-09 14:16:14,Asabeneh,links added,False
55d8e3dbc0410d64c1dc3ea5915e015a7950cf2a,2023-06-09 03:10:52,Asabeneh,"Merge pull request #775 from Os-humble-man/french-translation

French translation",True
b817f9810c9ebada14e94990e93626a07a2816a7,2023-06-07 03:20:52,Os-humble-man,"""Update readme""",False
2ed27d8e10e0ea45a54c1b2d92b829554eb5e7b8,2023-06-07 03:20:25,Os-humble-man,"""Update readMe""",False
dba581af51f8496d488ddb3b7619e614d740d2a0,2023-06-06 04:24:36,Os-humble-man,"""update french readme """,False
65e85f642b1b8e4bd2c2c59cc02ed4c5148ba5fa,2023-04-02 19:27:26,Asabeneh,links has been added,False
96397eba660e8e72ae99b860fee67caccc50ec5b,2023-04-02 19:08:27,Asabeneh,"Merge pull request #730 from alicangunduz/master

Added 23-30 day",True
b2e022e477081248843e75698615bda443ed28ed,2023-03-29 21:42:14,Ali Can Gündüz,Update 30_day_mini_project_final.md,False
0d1cc30419f3ac9efaad4cac513b715b9584f567,2023-03-29 18:49:35,Ali Can Gündüz,"Merge pull request #1 from ubsoydan/main

Change branch name to 'main' and some other improvements on day 23",True
8f4024e6b7eb0a8b00bd282aaaaaf09d5d4feeb5,2023-03-29 16:48:22,Umut Berkay Soydan,make some improvements,False
e3ade562bccfb67692ac2cbf16a884906ce3dd6a,2023-03-29 16:29:32,Umut Berkay Soydan,make some improvements,False
3856d15cfc5682c5aac179384a586eacaf6f252e,2023-03-26 03:06:09,Ali Can Gündüz,"Added 23-30 day

Added 23-30 day range for the Turkish translation of the tutorial.

With this change, I added the 23-30 day range to the Turkish translation of the tutorial.",False
7fc6e874ee9611f0fd51cd7660dd88820f451903,2023-02-23 03:54:15,Asabeneh,"Merge pull request #698 from Zearf/master

Add Vietnamese Day 3 translation",True
2938cc3839bda1fb3a7e61770dc9a114fdd5512c,2023-02-23 03:52:15,Asabeneh,"Merge pull request #664 from Dikendev/master

Portuguese Day 2 Translation",True
7644463c283ea11d1f8406b5f23fc44f2615f0e5,2023-02-19 21:54:01,Zearf,Vietnamese day 3 translation,False
106f90f080467effe78799bd42b4de76cbdeb82d,2023-02-07 00:37:21,Zearf,Update 03_booleans_operators_date.md,False
8b9f895d40ce3cce7137a315a20615ac8cd4379f,2023-02-04 18:15:40,diken.dev,better variable names in portuguese variables,False
4f06258a4ba52712c46f74b91babc8c21e906f05,2023-02-04 17:34:11,diken.dev,fixed link pages,False
e68b8261987e4fcb52417cd45dcd0dfbe7cdfe07,2023-02-04 17:01:23,diken.dev,added day 3 translation and fixed folder names in portuguese,False
54d1b87e66367aeae81c56bfe21a01fa906294db,2023-02-01 10:01:47,diken.dev,Portuguese translation Day 2,False
bffe3993391bedab224c081d3b485a79a083db82,2023-02-01 07:54:53,diken.dev,Portuguese Day 2 translation,False
ffd79e248d6dcb0c3f63fcc5c96fb0cd43694de4,2023-01-22 17:57:17,Asabeneh,"Merge pull request #651 from iampopovich/patch-1

update RU 1 day readme.md",True
30eb64ca1259a13c03cb90e4b80136272903454d,2023-01-21 21:31:51,Alex,"update RU 1 day readme.md

appended other available language links",False
8430e9ff3c0300dd582e079e17c8b4c3c8002655,2023-01-16 03:32:53,Asabeneh,"Merge pull request #643 from alicangunduz/master

addition of day 22",True
55e8e61ee61075a971f995eb15d37a06047a2644,2023-01-14 11:47:06,Ali Can Gündüz,"addition of day 22

day 22 translated. there have been some minor arrangements for day 21.",False
41cc8366769cf669e416ff83acde65e8d613e353,2023-01-14 06:16:23,Asabeneh,"Merge pull request #640 from alicangunduz/master

added turkish language translation for day 21",True
5aed1a7f48204215c4c38f22ab82cda4f19aa667,2023-01-11 08:13:01,Ali Can Gündüz,added turkish language translation for day 21,False
33cf6c074d263cb60a9103c9ee24a7045b06e02c,2022-12-11 05:40:09,Asabeneh,"Merge pull request #604 from fraltnn/patch-2

fix mistakes and typos in day 3 russian localization",True
f03fdcddbdcf9bda244b3bdacdff0863fbdb0535,2022-12-11 05:39:47,Asabeneh,"Merge pull request #605 from fraltnn/patch-3

typos day 2 russian localization",True
5a06eee432a3a194e618b46f1c52b5573eb1b64d,2022-12-11 05:39:24,Asabeneh,"Merge pull request #611 from guvenkarabulut/day-11-translated-to-turkish

Day 11 translated to turkish",True
5a6fc05e51ac014dfbe6ea9da51aacd51c824746,2022-12-09 10:40:05,Güven Karabulut,Merge branch 'Asabeneh:master' into day-11-translated-to-turkish,True
a4a9f7f550c49c216456063f4432014e2549a9ba,2022-12-09 10:34:57,Güven Karabulut,Day 11 sucsefully translated to Turkish,False
c2b33248cb28505ac8ae714ffbfde2573d0486e7,2022-12-09 02:05:58,Asabeneh,"Merge pull request #606 from fraltnn/patch-4

fix mistakes in day 4 russian localization",True
437ff2937bf8ab406364fed7f0dbd5e74b3bed2a,2022-12-04 23:35:42,fraltnn,Update 04_day_conditionals.md,False
ee1414c30900cb087a344ccb0061100138253f43,2022-12-04 22:57:02,fraltnn,Update 04_day_conditionals.md,False
112ab39ac550ce1b7aedfa31710c2e06380af9bc,2022-12-04 22:47:16,fraltnn,Update 04_day_conditionals.md,False
9535eb94d5356f177a6895416512c3307d8920cb,2022-12-04 22:05:05,fraltnn,fix mistakes in day 4 russian localization,False
267a9314d3d1353fc8f62e123a47bbaf354876d7,2022-12-04 01:42:09,fraltnn,typos day 2 russian localization,False
3f31ef29b545e93e29a22bc19d5ea59faf2247ad,2022-12-04 01:38:03,fraltnn,fix mistakes and typos in day 3 russian localization,False
eb66f6b1f535c15359e3846d2062feea9cce6bb3,2022-12-03 19:40:28,Asabeneh,"Merge pull request #598 from lucas-mch/master

Created and translated 01_Day_introduction for Portuguese",True
912bcfc11701470bbca5505e98e63bed35fbd862,2022-12-03 19:38:35,Asabeneh,"Merge pull request #602 from fraltnn/patch-1

fix mistakes in day 2 russian localization",True
ecf561820fb71c8a576d0ee5610d3e3ba68f79c6,2022-12-03 04:10:00,fraltnn,"Update 02_day_data_types.md

Строка 696 ""начинается ли строка с указанной подстроки"", предположу что тут опечатка , основываясь на оригинале и смысле метода.

endsWith: it takes a substring as an argument and it checks if the string ends with that specified substring. It returns a boolean(true or false)",False
f3699f64dba60b88c8ac71c114acd7f496df99f4,2022-12-02 00:44:42,Lucas Machado de Souza,Portuguese translation 01_Day_introduction,False
c09bdd921738ccf9b58d07c0b54273271b48739c,2022-12-02 00:43:58,Lucas Machado de Souza,Portuguese translantion for 01_Day_introduction,False
4ab196807f44a772efe4ff3b69a86aba9b1a0ce5,2022-12-01 14:58:37,Lucas Machado de Souza,Copy from 01_Day_introduction to Portuguese folder,False
