Hash,Date,Author,Message,IsMerge
8e89373c204e8dc05ca42d064d028831bf82e120,2024-10-07 21:01:44,Leonardo Maldonado,"Merge pull request #490 from amirhoseinsalimi/patch-1

Remove duplicate links in ""Expression vs Statement""",True
f34dd0f1c202c523cf2acc26b0a35cf671f8d2b9,2024-10-07 21:00:17,Leonardo Maldonado,"Merge pull request #497 from suraj-sella/master

Cleaning up on README",True
d635d2b0d07fdc9bce4ceccccabb8c7f048719d7,2024-10-07 20:59:26,Leonardo Maldonado,"Merge pull request #504 from Manvendra2000/master

Good article on Writing Clean Code in JavaScript",True
c494b220dc99281294d72eab026c6bef1cfc2002,2024-10-07 20:54:44,Leonardo Maldonado,"Merge pull request #505 from sudhanshutiwary69868/patch-1

Update README.md",True
f03cf53cc86e768b7f2ace68b41eead2913ed021,2024-10-07 20:53:29,Leonardo Maldonado,"Merge pull request #506 from ayobaj/patch-1

""Add *yoruba* Yorùbá. """,True
ddbdf78a16f90a91d579af5ddc8092a2d3cac6a5,2024-10-07 20:53:13,Leonardo Maldonado,"Merge pull request #507 from devansharyan123/master

Enhance Documentation: Articles on Event Loop Optimization and Timer Functions under Message Queue and Event Loop  section",True
a4981390f9f4076baf88f099b8614b6ef3f6cded,2024-10-07 20:52:50,Leonardo Maldonado,"Merge pull request #511 from imperialc0der/master

changing Urdu Translation repo URL",True
5fbc227b3e6c9c634daca86c7ba4e16d8134cdd5,2024-10-07 20:50:34,Leonardo Maldonado,"Merge pull request #514 from AngadVM/patch-1

Update README.md",True
13a8f15b22df75992e73517aaa7120f209f476e9,2024-10-07 20:49:55,Leonardo Maldonado,"Merge pull request #517 from avin-madhu/master

Update README.md",True
89e389f883b0a5a2c09f081bcf7381ef695169c4,2024-10-07 20:49:32,Leonardo Maldonado,"Merge pull request #518 from RachitSahu26/master

Added video link for Modern Scope Handling in JavaScript",True
5803993525edd3c853668483483640557e929bf1,2024-10-07 20:49:12,Leonardo Maldonado,"Merge pull request #519 from hn-agnihotri29/hacktober-dom

Added DOM from MDN for Hacktoberfest",True
1af91e409720947b4ba8c7f2f6fa3b156e26ef71,2024-10-06 20:04:56,hn-agnihotri29,add the mdn,False
529f35046117f81cea13393d288b8a08862bc014,2024-10-06 20:03:20,hn-agnihotri29,Added the introduction to DOM from MDN,False
0ba71a62f0a6c1cafa17939c26acfce748fd4e4a,2024-10-06 17:15:12,Rachit Sahu,Added video link for Modern Scope Handling in JavaScript,False
5527fae7c80eac544a33cf8bd4bca46eb7af742a,2024-10-06 09:53:08,Avin Madhu,Update README.md,False
0c43403519bab7e3b65e68cd2567baaf6eb2f160,2024-10-03 22:09:07,Angad,"Update README.md

Added a link to a youtube on the topic *Duck Typing in Javascript* by Programming with Karthik",False
61c61a6cd02594d26795670aafff30d6c3b69ca5,2024-10-02 12:33:10,Tahmid Akbar Omim,"Update README.md

changed the urdu translation repo URL because the author has changed his username",False
ff436b2eddb99d87678944b0c47001376406cb1d,2024-10-02 01:49:26,DEVANSH ARYAN,added two articles in Message Queue and Event Loop  section,False
6763bf46077849b3e863d94ee6c5e453cd161d54,2024-10-01 19:35:36,ayomide bajulaye,"Update README.md

Added my name, link to my translated repository, and the name of the language",False
6147130059ac9a23ea6d93cb55d8c9a0d6284efc,2024-10-01 12:31:35,Sudhanshu Tiwary,"Update README.md

I have tried to make somechanges in README.md as asked in issue#503",False
2aacff3062c002f40f760f2e58adfa7dbd9f42ca,2024-10-01 02:35:04,Manvendra2000,Good article on Writing Clean Code in JavaScript,False
70496da31716b9a3e90989bc4ec068c145b5d231,2024-09-15 17:52:59,Leonardo Maldonado,"Merge pull request #500 from vnavaneeth10/Contribute

Added a video link",True
75c6afb3666578be46b465df01eea0dba3f1a2c7,2024-09-08 22:17:25,Navaneeth V,"Added a link to the video which explains JS VM Internals, how event loop, callback works",False
9d4068aea3b393f2d94f3ff48415cf0469fcc5ec,2024-08-07 00:48:34,Suraj Selladurai,spanish link in english language?,False
dbbd5893c7b1273cde25e63a016d23844ae368f2,2024-08-06 21:02:10,Suraj Selladurai,dead link,False
853e5ec43e6ba5f8d0f0d629f10d3d79da42dec4,2024-06-30 20:13:42,Leonardo Maldonado,"Merge pull request #489 from rafyzg/patch

Adding hebrew translation",True
80aa9176ca2ae9ea10c2e1fefb376b825130b03c,2024-06-08 16:11:53,Amir Hosein Salimi,"Remove duplicate links

The links were duplicated. This PR removes them, keeping only one link to each reference.",False
e2905794342c2f0203be2d5345329653ac61abfc,2024-06-02 00:12:35,Refael Yzg,adding hebrew to translation list,False
1fa4d86e1c979acc19081b9cadb645123eb03f5c,2024-06-01 23:58:04,Refael Yzg,adding translation to hebrew,False
fc0260f510a76a6f6c026977f94043b028839ca4,2024-04-08 19:27:43,Leonardo Maldonado,Removed some dead links.,False
5ead57227c30034db73284503e90770aa07eef7d,2024-04-07 20:21:47,Leonardo Maldonado,Merge pull request #486 from Stark-Akshay/patch-1,True
1505bdc3600be1a87764be77fc0444845ee81547,2024-03-25 12:11:20,Akshay Manoj,Add Malayalam translation,False
aa7f38be1ed5f714466561bc02bad69dab044941,2024-02-19 15:35:22,Leonardo Maldonado,"Merge pull request #484 from De-Hype/patch-1

Added a video resource for the Call, bind, and apply concepts",True
05c4c41478ccfbbfa5d861406b11d2755f5ccfb4,2024-02-19 15:35:00,Leonardo Maldonado,"Merge pull request #483 from Akshay-Gengaje/master

#482 Fixed Broken Video Icons in Old Links",True
37c4a9abe8affe9c44af18e72f990d9dc20bef0a,2024-02-19 15:34:12,Leonardo Maldonado,"Merge pull request #480 from MkMan/patch-1

docs: remove duplicate Arabic listing",True
e1e57693c66380f016cf44ed1c537d66213eafa1,2024-02-16 15:36:10,David Hype,"Update README.md by adding Roadside Coder YouTube link for call, binds",False
948757cde1f392edc8daadd4385abb949cd66699,2024-02-15 17:49:04,Akshay-Gengaje,New videos icons are added,False
0b1b1ab7a4d247475fcb5aeae1483cf7ba36e29a,2024-01-17 04:01:26,Mustafa,docs: remove duplicate Arabic listing,False
5c6380924dfbd5735206bbca7467a091e35270bc,2023-12-26 02:47:43,Leonardo Maldonado,Removed twitter link.,False
129a08c68ced7e6aa7d5b178a3c2d3fc292b6c2c,2023-12-26 02:43:19,Leonardo Maldonado,Removed one more dead link.,False
507242c7b2cd35c4e7e8e84b7ddf916f0793bafc,2023-12-26 02:38:46,Leonardo Maldonado,Removed dead links.,False
77dd40564694851d257a19f661f04444a664a9ef,2023-12-26 02:33:29,Leonardo Maldonado,"Merge pull request #477 from Harshdev098/patch-1

Added Latin language",True
b7b9d87f70dee209997aff11d4740aaeaa7d6a81,2023-12-10 14:42:27,Harsh Dev Pathak,Update README.md,False
8363223d7f4acb8ad96a1f8182969a671dd64e80,2023-11-09 16:53:44,Leonardo Maldonado,"Merge pull request #447 from hn-agnihotri29/master

added promise chaining",True
c84d4c166e66ada1181ab4f995869e173b2104b3,2023-11-09 16:53:12,Leonardo Maldonado,"Merge pull request #454 from AvinavCHATTERJEE2103028/new-user

Added Async/Await Lecture",True
05b2bd0f7e5fb50677582b737602d1069bad6a7b,2023-11-04 23:05:31,Leonardo Maldonado,"Merge pull request #475 from robiulhr/master

added new blog resource for object and value types sections",True
