Hash,Date,Author,Message,IsMerge
fba689d101eb5600f5c8f4d7fd79912498e950e2,2017-02-11 18:51:44,Greg Wilson,"Merge pull request #234 from r-marques/fix-fix_html_title.sh

Removed the '' at the beginning of the sed command",True
c01e529e1bcdebb77490f0a929be42722b355574,2016-07-22 02:42:41,Rodolphe Marques,Removed the '' at the beginning of the sed command,False
4b55a2eff5ee04993ac334e2e2d9b7d03a40927e,2016-07-05 18:29:59,Michael DiBernardo,Update BUILD.md,False
3eff532ead3239581a112b4304453d9a68a23b52,2016-07-05 18:28:26,Michael DiBernardo,Update BUILD.md,False
987fcb9bcbe1f8a9c6fc1d457eec0ae7375f2a2d,2016-07-05 18:25:25,Michael DiBernardo,Update BUILD.md,False
f0e5a10e6605ed5c0fbeab8a2b40b8805b501960,2016-07-05 18:22:28,Michael Dibernardo,Make epub a bit easier to build; add build instructions.,False
ae782882282d2964a407297e9520c32343e3efd2,2016-07-02 21:19:35,Michael DiBernardo,Fixups.,False
290a88a4b1dffefc08f699ce4f8dcf5e677b679e,2016-07-02 21:01:17,Michael DiBernardo,Create markdown intro for web publishing.,False
f707ea9cacccb772aac84cb8199b8374dc976611,2016-06-28 16:54:01,Michael DiBernardo,"Merge branch 'bigger-eds' of https://github.com/amyrbrown/500lines into amyrbrown-bigger-eds

Conflicts:
	minutiae/frontmatter-images/eds.pdf",True
72c45784495a535f582d31a7de83c49d922cc974,2016-06-28 07:57:47,Amy Brown,Biggerer and betterer eds.pdf with (hopefully) no truncation,False
16930482add5493890edd33a6e49c928f66b87f4,2016-06-27 18:09:05,Michael DiBernardo,"Fix issues from @amyrbrown's amazing proofread.

- https://github.com/aosabook/500lines/issues/228",False
f10008f2da9754a66900f141004a0fccb6ff32e7,2016-06-27 16:53:24,Michael DiBernardo,"Merge pull request #231 from amyrbrown/frontmatter_images

New, bigger versions of editor and title images for frontmatter.",True
99ef40330ec8180ff65069cc8ac462dfb3955506,2016-06-27 16:51:35,Michael DiBernardo,"Merge pull request #230 from dxnn/master

footnote change rewording",True
e7e0efa7a796d1f43d548300d1456f20b91fefca,2016-06-24 02:12:39,Amy Brown,"New, bigger versions of editor and title images for frontmatter.",False
8f8f70bece679ae25f59fa1559759dceceb81176,2016-06-20 02:12:44,dann toliver,wordo fix,False
fe823bdbe0a104d5036612873e10ee4e19a21679,2016-06-19 22:38:25,dann toliver,footnote change rewording,False
086708455a3ae77faf3505c848aeec0641bfb431,2016-06-19 21:18:30,Michael DiBernardo,"Merge pull request #229 from aosabook/testprint-fixes

Fix test print issues from",True
