Hash,Date,Author,Message,IsMerge
2cc62bd82b5ba9d01c02636ac483d6443672f90c,2022-02-10 18:06:44,Jürgen Stumpp,"Updated dependencies
Bump year to 2022",False
e6cf9f1d323a5b4199dc77c62f284f954411a04d,2022-02-10 18:02:20,Jürgen Stumpp,Fix Deployment,False
943f25a256c89ca018fdebbd430385f6f405b898,2022-02-10 17:42:22,Jürgen Stumpp,"Merge pull request #42 from joaojgabriel/main

Changing the link in Overfitting / Underfitting",True
768efb01610ddc4676055c8598fffbcab2aa64df,2022-02-10 17:23:20,Jürgen Stumpp,"Merge pull request #44 from Aakash-2904/patch-1

Update readme.md",True
6d9cbd2cd20dd9644c8d50c83d71f661af24dda7,2022-02-10 16:35:16,Aakash Kumar,"Update readme.md

Made a few changes to the readme file",False
6050a922b34d7e9c237faf17306825a6ee2be702,2021-12-23 23:41:06,joaojgabriel,"Changing the link in Overfitting / Underfitting

The current article linked is so poorly written that it often feels cryptic.",False
c5c5735bee9708c60ef61a2f06e5a38abf8c27a4,2021-04-16 15:29:10,Jürgen Stumpp,"Merge pull request #34 from rlirli/main

Aesthetic Edits to Data Science and Fundamentals Roadmap",True
81bb7132c8d865ac66505a41dd4f58dc93529519,2021-04-16 15:24:10,rlirli,Updated Readme,False
1f9e7781d64b4a4dbe818f7b624c82cbe02e6754,2021-04-16 15:16:16,rlirli,"Merge pull request #4 from AMAI-GmbH/main

Merge pull request #26 from rlirli/main",True
42df8305b6d4d577b5f530191177aa93059091d7,2021-03-05 21:36:18,Remi Igbekele,Mini Edits,False
f40afb42c280b496872b1db2aa99cc5e883e9963,2021-01-20 04:27:33,Jürgen Stumpp,"Merge pull request #26 from rlirli/main

Fixed dead link to Denoising article",True
570451cf7e647320a9be319daa91cc5a75ebbeca,2021-01-19 21:43:45,Remi Igbekele,Fixed dead link to Denoising article,False
8fb9fb8c0f9d3aa431fd95d2626df234ce709444,2021-01-19 21:35:26,rlirli,"Merge pull request #3 from AMAI-GmbH/main

Merge pull request #24 from rlirli/main",True
d0b1ea10dc2ffd34d36f12c29098f411ebdfb992,2021-01-12 22:50:03,Jürgen Stumpp,"Merge pull request #24 from rlirli/main

Bumped year to 2021",True
bce379a1a61445cfd89fdd84f3ec625340d87ebc,2021-01-02 03:47:18,Remi Igbekele,Bumped year to 2021,False
b3154c369cf7e07d95f54d4d0d7d1bb39adaddee,2021-01-02 03:34:22,rlirli,"Merge pull request #2 from AMAI-GmbH/main

Merge AMAI-GmbH",True
2e20e67c95ab4b3d11fd0831719f3a4522c11852,2020-12-29 05:28:47,Jürgen Stumpp,Added link to navbar,False
4e550d213171512cb4e82326b6511d4f06fc0167,2020-12-22 20:51:22,Jürgen Stumpp,Removed google analytics + cookie-banner,False
6f6835e672e0de9671afbb2a349da88e091c1316,2020-12-12 02:28:54,Jürgen Stumpp,"Merge pull request #19 from jamesmilliman/main

Fixing typo in the word 'resources'",True
9dd4972d678ceb6c74360562c99430ceaf84d397,2020-12-04 03:20:46,James Milliman,Fixing typo in the word 'resources',False
432aa09b7608d1fd28869ba7b530d8fb9795e6c2,2020-12-01 04:05:55,Jürgen Stumpp,Remove contribution from pdf,False
37b5d4b60b070e7dbaf3e4218e295964f2741c34,2020-12-01 03:58:11,Jürgen Stumpp,Fix build,False
af29c076e998a6f19855b797297009fc2ca3e2fa,2020-12-01 03:47:09,Jürgen Stumpp,Fixing build errors,False
0b1ce662726cb822e35ebad31ae8cb32efb1166d,2020-12-01 03:41:09,Jürgen Stumpp,Fixing heading during pdf export,False
42718f255825735d374c093a534868046a50a525,2020-12-01 03:20:37,Jürgen Stumpp,Setting pdf export environment variable,False
fe8fca1496844ec7c33f80cf088674c6994e6faa,2020-12-01 03:15:59,Jürgen Stumpp,Try to fix pdf export,False
84a97ca4092d1b0b81c934dbeff7bac189c32e41,2020-12-01 03:09:13,Jürgen Stumpp,Try to generate pdf from roadmap,False
3c2a8e03145c04c747ac86a57ea1630eafeff5c7,2020-12-01 02:32:41,Jürgen Stumpp,"Merge pull request #18 from rlirli/main

Fixed Issues from ErdosEuge and Hellisotherpeople",True
bb55e565894a76a463d8f3e3b6244b7ec5271dc9,2020-11-30 18:57:07,Remi Igbekele,Included new Fundamentals Roadmap in Readme,False
15501ba2c0f1aba1e894ba2ca580bb6e3d4216f9,2020-11-30 00:15:42,Remi Igbekele,Fixed Pandas Link,False
1d49e7b7b0c03711640a269b611ab0efe97e4fab,2020-11-30 00:10:42,Remi Igbekele,Added multiple subsections,False
ba2389f931381ed9a8a14b697aabecdb38368366,2020-11-30 00:10:22,Remi Igbekele,Added Evolving Architectures/Neat and Huggingface Transformers,False
08e9c8355886008625725a8978d3bddd62662cde,2020-11-30 00:09:52,Remi Igbekele,"Added Dask, Numba, Onnx, and OpenVino",False
95bd10d531999a994ae9a31874d02d8a8e355557,2020-11-30 00:08:39,Remi Igbekele,"Moved fundamentals to extra roadmap before ""choose your path""",False
fb02c68e8e389dccfb00da4035ef06f5d0fd9fb6,2020-11-28 06:10:36,Remi Igbekele,Incorporated first changes from Hellisotherpeople,False
a0480918d1295b016cc8276475956ce1feed0423,2020-11-28 06:10:21,Remi Igbekele,Created Fundamentals.svg,False
e0f3c15e57262181c8c269575a1977f9aaa61750,2020-11-28 05:34:56,Remi Igbekele,Added Fundamentals to Introduction,False
393de0f2de6714c588ea20c988c53767d9feb75e,2020-11-28 05:21:21,rlirli,"Merge pull request #1 from AMAI-GmbH/main

Merge AMAI-GmbH",True
c3fc763913551733640e5b2191e82a3c293de6f5,2020-11-15 01:41:40,Jürgen Stumpp,"Merge pull request #15 from AMAI-GmbH/disable_actions_on_PRs

Disable ""Blob storage website CI"" action on pull requests",True
acbcb5a0eaf49c93ef22e249be4add262bb5a467,2020-11-15 01:41:10,Jürgen Stumpp,"Merge pull request #14 from Leonard-Plotkin/DL_additions

Revise ""Deep Learning"" Section",True
91d8f58397cbf15de4c96fcbe3e0cea4caf82ff2,2020-11-15 01:20:33,Leonard Plotkin,"Disable ""Blob storage website CI"" action on pull requests

- action requires credentials which are not passed to PRs",False
79390919d67fa276b1a70eed26a998d89ca08841,2020-11-15 00:49:39,Leonard Plotkin,"Revise ""Deep Learning"" section",False
0febd6e67523c9ae4674e27cfb31434b789d0f14,2020-11-14 04:32:35,Leonard Plotkin,"Rephrase contribution guidelines, fix typos",False
e63bfdb8f4d20be2a967539ae807074e4e8c9c09,2020-11-10 20:00:57,Jürgen Stumpp,"Merge pull request #13 from etbox/main

fix: misplaced wiki link of MLE & KDE",True
8fffc961a54962e375ec68bd0a05a9be8bcb7a31,2020-11-10 19:30:14,ETBox,fix: misplaced wiki link of MLE & KDE,False
38ff460e7ce55cb6dbfc3c95a8b30cbf6db9e218,2020-11-02 20:02:27,Jürgen Stumpp,"Merge pull request #8 from SpekBin/main

Typo",True
0071419330eb7d985cb22f78a98fd53d84963b3c,2020-11-02 19:56:57,Peter Thaleikis,Typo,False
739402c06015d247b2260f3582e4552dc16940f4,2020-11-02 15:09:14,Jürgen Stumpp,"Merge pull request #6 from IndrajeetDevale/main

Added link to Khan Academy for Linear Algebra",True
2acae74468b2029124556f5c89eafd7998a1543b,2020-11-02 14:34:28,IndrajeetDevale,Added link to Khan Academy for Linear Algebra,False
72cff0b951599dcb7d821ae008038654813d3d45,2020-11-01 01:57:18,Jürgen Stumpp,"Merge pull request #4 from rlirli/main

Added note to interactive version",True
34b3124f0db7cb1c4277e555f96baab2389994d3,2020-10-31 22:16:02,Remi Igbekele,Added Shadows to url boxes,False
233f53ad7d95ea561130036bb47b3884cd6c44f2,2020-10-31 22:14:26,Remi Igbekele,Fixed Typo,False
ceaa9f111680b3829dae254b32ba8151312f7234,2020-10-31 22:02:53,Remi Igbekele,Added note to interactive version,False
c406bf6b19c476cfadabe6a5a6d20aaff7b0c1ee,2020-10-31 22:02:01,Remi Igbekele,Re-aligned headers. Added shadows to url boxes,False
ad45a076cd5b32143941a1b8a92063462a1b53f5,2020-10-30 19:55:23,Jürgen Stumpp,Reordered disclamer and note,False
bea2301f81c76ed5577d5c6692a4a1d98d9566f6,2020-10-30 03:53:18,Jürgen Stumpp,Improved Note about receiving updates,False
929aa99391acf98ab218c900caf37a727aeb776e,2020-10-30 01:29:11,Jürgen Stumpp,Improved note about interactive version,False
ff22649a803d54a261b9fe0e0d0fa97e486ae709,2020-10-29 20:22:19,Jürgen Stumpp,Removed obsolete code,False
5f23c268b00bb8f3aa889241aae54f6b326d1902,2020-10-29 20:18:27,Jürgen Stumpp,"- Fixed image alignment
- Fixed logo alignment
- Fixed links to i.am.ai on i.am.ai itself",False
8605b3bbd6586b73815e916edf76a9572b4ffaa9,2020-10-26 13:55:07,Jürgen Stumpp,Added de-hub Logo,False
de6720a33fecfd1873e5212a6e5868c804b50ebc,2020-10-26 13:27:42,Jürgen Stumpp,Improved newsletter link,False
ec45641306c39eeaaee85f8fffe7855cfc56c8a4,2020-10-25 04:42:29,Jürgen Stumpp,Fixed images,False
ff2d8cae98e43632f3a90f19338eaa9a6a8df607,2020-10-25 04:39:32,Jürgen Stumpp,Try to fix CDN purge,False
8a97f6b0954da22a4ba2e757394de75dfd8b2726,2020-10-25 04:26:11,Jürgen Stumpp,Merge branch 'main' of https://github.com/AMAI-GmbH/AI-Expert-Roadmap into main,True
6e8fb071889b83edbc6238ae0a85ce1086325154,2020-10-25 04:25:57,Jürgen Stumpp,Initial AI Expert Roadmap,False
28cfef51c9a10bb009e139c37f2775001324c345,2020-10-25 04:07:33,Jürgen Stumpp,Added Azure Deploy Script,False
06603d42ac17eb0762e12639577fead6d62f456f,2020-10-25 03:19:48,Jürgen Stumpp,Initial commit,False
