Hash,Date,Author,Message,IsMerge
a647e0d007ff43e9ddc397603cc9ba1547ca0791,2025-02-25 21:45:56,Josh Kelley,"Add docs on using from Node.js (#12039)

This has come up a couple of times in Discord, so I thought it would be helpful to have official docs.",False
44908f546f25458ca12c9245f6e260b06d57f0f8,2025-02-25 21:45:48,Josh Kelley,"Update docs (#12037)

* Update docs

Grammar and style: ""TypeScript"", add articles, etc.

Add docs covering the `Array[]` version of data. Please review and let me know if I've made any mistakes.

Fix an apparent mistake in the `parsing: false` description of category axes: I believe it's trying to say that _strings_ would be a mistake.

* Reword based on feedback and further testing",False
32c8032e3f8e0c91edfb50cadbd612da88fc26cd,2025-02-19 21:07:15,Evert Timberg,chore: bump to v4.4.8 (#12036),False
ebe20add5373985d0463c928c51d7fc7fe5b7846,2025-02-19 00:06:35,Josh Kelley,"Export ...ParsedData interfaces (#12035)

Otherwise, trying to inherit from DatasetController in a TypeScript project may result in TypeScript errors similar to the following:

> error TS9006: Declaration emit for this file requires using private name 'RadialParsedData' from module '""/Users/joshkel/src/app/node_modules/chart.js/dist/types/index""'. An explicit type annotation may unblock declaration emit.",False
2f425290ee077d9d013af77fa978d6b6d6885634,2025-02-16 22:54:26,Josh Kelley,"[fix] Handle non-primitives in isNumber (#12034)

While investigating https://github.com/chartjs/chartjs-plugin-zoom/issues/928, I found that `isNonPrimitive` will throw TypeError on a Moment.js object after it's passed through Chart.js's options proxy, because the object has its `Symbol.toPrimitive`, `toString`, and `valueOf` all set to null.

(See https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String#string_coercion for background reading.)

Since isNumber appears to be a low-level function that can take any arbitrary input, it seems worth letting it handle this case.",False
370f6c385d648ab52f576824b9a22453fa4648f1,2025-01-30 14:59:19,Josh Kelley,"Fix helpers `Chart` type (#12012)

helpers.dom.ts functions referenced the internal `Chart` JavaScript class rather than the published `Chart<TType, TData, TLabel>` TypeScript definition. This causes errors when outside code tries to call helper functions.

The two `Chart` interfaces are incompatible - the `width`, `height`, and `currentDevicePixelRatio` properties are declared as readonly in the TS declaration but are manipulated by helpers.dom.ts functions, and helpers.dom.ts functions need to be invoked both by internal Chart.js code (which uses the JS class) and by outside code (which uses the TS types). To address this, I'm importing the JS version as `PrivateChart`. There may be a better solution.

It's my understanding that the comment about ""typedefs are auto-exported"" is obsolete now that helpers.dom is a native TS file.

Fixes #11153",False
f744621c9c6ed331d6fe81ac9744fa72bdb0700d,2025-01-29 16:02:29,Josh Kelley,"Type fixes for time adapters (#12010)

Specific changes:

* `formats` is defined as an arbitrary record.  In practice, it maps from `TimeUnit` and `'datetime'` to the specific date library's format strings.
* `parse` and `format` were defined as requiring `TimeUnit`, but they actually take date library format strings.  (E.g., it's up to the caller to look up format strings via `formats()` or user parameters.)
* `endOf` is never passed `isoWeek` (`isoWeek` isn't a normal `TimeUnit`, it's only used as a special case to `startOf`), and [chartjs-adapter-date-fns](https://github.com/chartjs/chartjs-adapter-date-fns/blob/v3.0.0/src/index.js#L101) doesn't support it.
* The constructor's options parameter is optional.
* `weekday` is documented as allowing a boolean (true means to start on Monday).
* `export default { _date: DateAdapterBase }` meant that `new _date()` returns a `DateAdapterBase` instance, whose methods take no parameters.  Since it can be overridden at runtime, I replaced it with a more generic constructor + static methods.",False
246c5c78edd3a72de1ab3a4a0c4fc8b639d48c2e,2025-01-21 18:28:31,Ethan Shea,Correct broken link in animations.md (#12005),False
b24cb2fd30596f28d801d1ac2e1ef598895bb6cc,2025-01-14 16:57:41,Prem,"Update linear-step-size.md (#11997)

hover: {
      mode: 'index',
      intersec: false
    },

corrected the spelling of intersect.",False
97b564b718f06dfc6f01d573b7780fd0f93c8d40,2025-01-05 20:12:33,Mariss Tubelis,Bugfix: Binary search wrapper returns non-existing index (#11991),False
