Hash,Date,Author,Message,IsMerge
823d3e84362a0aad66146ce93a62faf142fb9f16,2024-12-10 09:55:37,Siqi Zhao,"Update README.md

Added ads",False
f887093cbedaac4f86399c85880bb1a7181a6f6e,2024-12-10 09:52:31,Siqi Zhao,"Update README.md

ads",False
3e955b001b0e50c957b48bbe19be941217884282,2024-11-30 11:34:20,Siqi Zhao,Update CloseStaleIssues.yml,False
5e5762ced9b7801c1a98d1108e04a3f8746be9fb,2024-11-26 12:17:27,Siqi Zhao,Update README.md,False
dbb836050d1429366933139c34406caecd10be14,2024-10-16 12:30:50,Siqi Zhao,Added some missed translate,False
ebb8dd2a9031f25da975db2ff0c9e8a848a20bb7,2024-10-07 11:56:32,Siqi Zhao,Update CloseStaleIssues.yml action,False
6ac5d8da1894ae7ebe37a815f18a30e8d8481c83,2024-10-01 06:49:41,Siqi Zhao,"Merge pull request #192 from RedContritio/main

Fix text format: remove space in ""GUI 数据文件夹""",True
bfca644b1b0d74a5eaea546bc66b419fdab31f3f,2024-09-26 22:51:11,RedContritio,remove space after 'GUI',False
47a24066ae56fe1239c9e5f776e1e1f37cc6c759,2024-09-04 12:58:46,Siqi Zhao,Delete .github/ISSUE_TEMPLATE/feature_request.yaml cause no need this anymore,False
f11a86500934e4420670204320b82f5c94547d3f,2024-08-31 00:03:04,Siqi Zhao,Update README.md,False
77814f0ce491590c999c50d67b6bee1e032e4327,2024-07-19 11:34:27,Siqi Zhao,Update README.md,False
fc8b042a93c9be4ec527292644188446ebdcd6cc,2024-07-12 14:11:29,Siqi Zhao,"Release 0.20.39 Opt-1

And some change",False
2efb8bbe326e864632b42e98f3d1205e3dbee55a,2024-07-08 15:07:15,Siqi Zhao,"Some Update & Changes to CFW

[Update Electron to 29.4.3]
[Fixed the silent start not work when CFW is maximize]
[Fixed dialog close (×) button link to Yes action]
[Folding ads to optimize the user experience]",False
7bfae098eeac585f3186ee4805d09b6dd4ba42e3,2024-07-04 15:49:50,Siqi Zhao,Merge branch 'main' of https://github.com/Z-Siqi/Clash-for-Windows_Chinese,True
43f319057b5c500efff556467b9523a29779708c,2024-07-04 15:48:58,Siqi Zhao,Upload code,False
f5ef21608fe186479324b31998ed5ec142c77a3b,2024-07-02 11:40:45,Siqi Zhao,Update README.md,False
