Hash,Date,Author,Message,IsMerge
d3357d2acd1b2d0ead56130c7182c26b8a0053f2,2025-02-22 03:42:47,a3957273,Merge pull request #1981 from bartblaze/master,True
7babef6f93be06440bbf88a2375b4e7c34348698,2025-02-17 22:05:22,bartblaze,"Preserve uppercase

This will preserve uppercase.",False
1b8c229df2db133e30f2f2ca22c851994bf27d15,2025-02-17 00:18:31,a3957273,"Merge pull request #1976 from evenstensberg/feat/cspell

chore(root): add cspell",True
aa7bbc1a627e33b43b7d44df2c16a4e20f3c574e,2025-02-17 00:07:00,a3957273,"Merge pull request #1977 from depperm/CC-1889

CC-1889 add _ option",True
6ccbc892c77bed565a82ff990b800664357a389c,2025-02-16 19:33:46,David Marshall,CC-1889,False
7b3980a5e203112237dd0814cd0041b3c878921a,2025-02-16 18:23:36,Even Stensberg,chore(root): add cspell,False
7906f9d560a5dd8c3200bee2dd36d90fa6d11f42,2025-02-16 17:41:02,a3957273,"Merge pull request #630 from MShwed/feature/mime-rfc2047

Feature: MIME RFC2047 Decoding",True
2ae923b73e27aff537b070516e4e433967a81ba8,2025-02-16 09:33:05,mshwed,Updated category and fixed imports,False
15bbed093c570d41ecb149b2220a600bfe4650eb,2025-02-16 08:53:49,mshwed,fixed formatting,False
23faeadea25491c201f359bb01d652bc957f7f06,2025-02-16 08:50:42,mshwed,Fixed linting issues,False
50c0d4bcd6ea604943c144c61e57759ac0a3a784,2025-02-16 08:50:42,mshwed,Added test case for ISO and ASCII,False
7f97afd3e0a26058ac52a9d24bc448759174835a,2025-02-16 08:50:41,mshwed,Added parsing of headers.,False
c3994aa8e3e8a6dc44ac5a736f18f58b50014acd,2025-02-16 08:46:58,mshwed,Added support for converting hex characters,False
8166f981ae7b6ef6644b8c9fe7ed652d1ea75c59,2025-02-16 08:46:58,mshwed,in progress,False
1cfbc2babb8e9b9a967161daf68253da6cd67c0b,2025-02-16 07:48:30,a3957273,"Merge pull request #1105 from linuxgemini/linuxgemini-patch-modhex

Introduce Yubico's Modhex for Conversion",True
eb912547acfba763d7c8da65ec41f073a125bf16,2025-02-16 07:25:11,a3957273,Merge branch 'master' into linuxgemini-patch-modhex,True
bcf62ec73d27716f89f6e15eaede66958a56eaf1,2025-02-16 07:17:09,a3957273,"Merge pull request #1903 from FranciscoPombal/rot13_numbers_negative_shift_amount

fix: ROT13 - shifting numbers by negative amounts",True
004ef7f5dc5879934f80e3faea14813186e68cea,2025-02-16 07:13:36,a3957273,"Merge pull request #1904 from FranciscoPombal/des_triple_des_error_message

fix: DES/Triple DES - misleading error messages",True
9ab990ff59eabc46791e33bbab76192ddf0ac47b,2025-02-16 07:06:28,a3957273,"Merge pull request #1921 from vs4vijay/theme-auto-detection

automatically theme mode based on user preference",True
fb8e1be9f0648a265d6f6d046836352a89871838,2025-02-16 07:00:37,a3957273,"Merge pull request #1933 from k3ach/master

Updated luhn checksum operation to work with different bases",True
95c6406d050e7e61781f9a053002596806d9432d,2025-02-16 04:36:55,a3957273,"Merge pull request #1966 from exactlyaron/fix/generate-totp-issue-1964

Fix Generate TOTP & HOPT",True
51b9fe644b3212f42df63b049c19fd68e682fd6f,2025-02-16 04:25:52,a3957273,"Merge pull request #1971 from bartblaze/master

Add Leet Speak",True
fed10f3ee6db0e5ae4cfe21792860196c35c85bf,2025-02-14 21:15:27,a3957273,"Merge pull request #1915 from Oshawk/take-nth-bytes

Add 'Take nth bytes' operation",True
7cc3e5804b7445526bc6420709c0ec004d6971f9,2025-02-14 21:14:12,a3957273,Merge branch 'master' into take-nth-bytes,True
dcf0bbb02bfd40c2a52f97146bd2a7b1dba1bb42,2025-02-14 21:13:41,a3957273,"Merge pull request #1914 from Oshawk/drop-nth-bytes

Add 'Drop nth bytes' operation",True
e48fc4c8d8f0b1cb11dd6dd67dc498a713c83e8a,2025-02-13 04:07:31,a3957273,"Merge pull request #1902 from FranciscoPombal/blowfish_ecr_iv

fix: Blowfish - ignore IV length in ECB mode",True
1b53b8d23f471a955451d28eaf9356efaa0fdeb3,2025-02-13 04:05:29,a3957273,"Merge pull request #1780 from jb30795/master

IPv6 Transition Operation",True
355566736aecc97f21474271e19d78a03c8bd6ef,2025-02-13 01:38:47,a3957273,Merge branch 'master' into blowfish_ecr_iv,True
b99a76f9a6071cfcacb51538240bc546f258774c,2025-02-13 01:38:43,a3957273,Merge branch 'master' into master,True
912bbe54aa7fb8fbb4fcf082f3c715605c953261,2025-02-13 01:38:30,a3957273,Merge branch 'master' into drop-nth-bytes,True
26a16b69458a2c1956d5544d12edaf32eb93cb9f,2025-02-13 01:38:24,a3957273,Merge branch 'master' into take-nth-bytes,True
feaf3dd119304b4b1315b2052f76b66d9478d878,2025-02-13 01:29:44,a3957273,Merge branch 'master' into theme-auto-detection,True
3187ff63223611ad934b0aa9796ec3d4d5cfb5c0,2025-02-13 01:23:55,a3957273,Merge branch 'master' into master,True
13f94a23f83b9eb245107b7d939a4c1792075bcf,2025-02-13 01:23:34,a3957273,"Merge pull request #1899 from c65722/strip_ipv4_header

Add Strip IPv4 header operation",True
592e660deb7480e3fb332d16e07d5cad55378a95,2025-02-13 01:23:24,a3957273,"Merge pull request #1973 from gchq/bug/disable-loading-from-url

Disable flakey URL test",True
3cdbdf4223e5f35793b8634de16b592d4f60ccbf,2025-02-13 01:21:20,a3957273,Merge branch 'master' into master,True
8cd875d06abf67bf2aa93e0630442cac9750d9f9,2025-02-11 15:41:18,c65722,Merge branch 'master' into strip_ipv4_header,True
bf36fe8143860584b5e910fbc3a0e9b8d367bd21,2025-02-11 06:20:03,a3957273,"Merge pull request #1866 from Adamkadaban/master

add offset field to 'Add Line Numbers' operation",True
d3ee16f38b156ce9279b259dd6d88f3e3d03fb95,2025-02-11 06:19:14,a3957273,Disable flakey URL test,False
41c540370081b29045120b79b79907327cccad67,2025-02-11 06:16:18,a3957273,Merge branch 'master' into master,True
e1d3af26da47a71c52e20e68f7c5f20d71f35fea,2025-02-11 06:13:36,a3957273,"Merge pull request #1955 from max0x53/compress

Webpack compress with gzip and brotli",True
5a7cb9e047ed2df1488e910bda2282ec297031bd,2025-02-11 06:12:41,a3957273,Merge branch 'master' into fix/generate-totp-issue-1964,True
a41068e63372128a685d92a83cd075d34968111a,2025-02-11 06:10:26,a3957273,Merge branch 'master' into master,True
bce04609a557a9c7e79ac5c2f14bc9514787fe05,2025-02-11 06:10:11,a3957273,Merge branch 'master' into theme-auto-detection,True
d4da81fa9147524d89e99ffe5a6e451a3b4cce92,2025-02-11 06:09:40,a3957273,Merge branch 'master' into master,True
d3e31890ae0134960800c3bee8362c6a2e89ece7,2025-02-11 06:08:21,a3957273,Merge branch 'master' into strip_ipv4_header,True
9d014aeaa526aaa3ca50069b3842fcf59a927ef0,2025-02-11 06:08:01,a3957273,"Merge pull request #1898 from c65722/strip_tcp_header

Add Strip TCP header operation",True
156de53dc1c0b0276603ea60985f03c7ec46c1b7,2025-02-11 05:57:38,a3957273,Merge branch 'master' into strip_tcp_header,True
9f2527d73681e14676315271a05bbfb203efd953,2025-02-11 05:57:19,a3957273,Merge branch 'master' into strip_ipv4_header,True
7ecc235b312261a3fcbf7bb8a4ccf6fceb1d93c1,2025-02-11 05:56:59,a3957273,"Merge pull request #1900 from c65722/strip_udp_header

Add Strip UDP header operation",True
51ed3b2fc126c77535591b304d288ed277af93bb,2025-02-11 05:56:52,a3957273,Merge branch 'master' into strip_tcp_header,True
306e29da762e3e948ff79de5ea8db0d20563b056,2025-02-11 05:53:11,a3957273,"Merge pull request #1972 from gchq/feature/detect-chromedriver

Automatically detect chrome driver version",True
9cc84b1c6282900417def1b3714f6532a3b7597c,2025-02-11 05:53:00,a3957273,Merge branch 'master' into feature/detect-chromedriver,True
f02b3f22ad72a9a47de0c5b4610e47465b21a891,2025-02-11 05:52:12,a3957273,"Merge pull request #1936 from c65722/parse_tls_record

Add Parse TLS record operation",True
e9b816362642a32a44077ada39c6262080ced8c2,2025-02-11 05:43:56,a3957273,"Merge pull request #1957 from RandomByte/jwt-sign/add-header-option

Add 'header' ingredient to JWT Sign operation",True
20390ae08e76020453076bbd74c751db29889dcc,2025-02-11 05:38:24,a3957273,"Merge pull request #1959 from simonarnell/patch-1

Corrected path to generateNodeIndex.mjs",True
