Hash,Date,Author,Message,IsMerge
6087a06b112c3c28b885ab2f794535c19a9e4326,2021-10-14 11:19:28,scutan90,"Merge pull request #510 from w8501/patch-1

Update 第一章_数学基础.md",True
4fb5632e5cfdb76082303aef2672a3c4aead78f2,2021-10-14 11:18:59,scutan90,"Merge pull request #515 from alihan-ozturk/patch-2

typo",True
7f9ec0a996bf1a47254a408c2555c3574401f248,2021-05-30 18:02:26,Alihan,"typo

foward -> forward",False
fddc2a6ba25c390c17081288deb57ebc308a750c,2021-03-22 16:33:44,nanjoin,Update 第一章_数学基础.md,False
c2960620e24f5f42108f6f474aac41c95ceb96cf,2021-03-17 06:28:30,scutan90,"Merge pull request #507 from l0rraine/l0rraine-patch-1

L0rraine patch 1",True
196ebda3e0ca7328f2ca48ac00ada5777bbe744d,2021-03-17 06:28:06,scutan90,Update README.md,False
590cfa1ecef65138749f025facf93498c23baaf2,2021-01-29 08:42:41,l0rraine,"Update 第九章_图像分割.md

修整图片",False
df306793fd88d54818d9c57f3c3bc871720127dc,2021-01-29 08:21:26,l0rraine,"Update 第九章_图像分割.md

img/ch9/Semantic-01.png isn't existed，it's img/ch9/semantic-01.png",False
dacea406273160928ec9bdcb7ef8ab13a3fb1129,2021-01-04 12:24:12,scutan90,"Merge pull request #500 from arjun-krishna1/master

Update English version/README",True
5e2ab180580660d9f717ceb7baf97f5eb82f7a3d,2021-01-04 12:23:55,scutan90,"Merge pull request #503 from LucaJiang/patch-1

Update 第三章_深度学习基础.md",True
591b87d6da7c5f4de75900630850225264f24e0d,2021-01-04 12:23:17,scutan90,"Update README.md

新书终于出版啦，添加京东预售链接，1月中正式发货。",False
92579ea74c29e2fea71a4a5e8df8b003cd4b8fae,2021-01-04 12:20:29,scutan90,Update README.md,False
0333a8f8245078c353968d16f41066e097a9a9ff,2020-12-29 13:20:09,Jiang Wenxin,Update 第三章_深度学习基础.md,False
258fa70534a3f9cec4e182241721c50cf6fac90b,2020-11-28 20:29:38,arjun_krishna,"Update README.md

Set Table of Contents Heading as a level 1 heading in markdown
Fixed link to table of contents in sections of README",False
4cd34e6ec87951a8fbc0c2ef4eac7a56517dba28,2020-11-28 20:27:19,arjun_krishna,"Update README.md

Change layout of README to make it easier to use for English-speakers and beginners.
Fixed some grammar and spelling mistakes.",False
0585d5d01bc059d55dd6a288ab12b23c47849b9a,2020-08-30 10:39:46,scutan90,"Merge pull request #486 from songyi1999/patch-2

Update ch7.md",True
a574e2ed65bc9ed73b95083bed997015b7c9d6fa,2020-08-07 07:34:07,songyi,Update ch7.md,False
4e9cd5e6e2a86e092b58aeda1ec05255044122fe,2020-07-30 06:45:39,scutan90,"Merge pull request #473 from naah69/patch-1

fix style error",True
bedcfd9af3203148c25f37d5c9a242781068ea75,2020-07-30 06:45:19,scutan90,"Merge pull request #475 from yang-chenyu104/patch-1

Create 深度学习2020",True
c8c06ed411829a422f7930edb4573b98c0f12747,2020-07-30 06:45:06,scutan90,"Merge pull request #477 from naah69/master

github page",True
7c8871ae319a9bd3bb1ce0c66349386a53aace7f,2020-07-30 06:44:41,scutan90,"Merge pull request #478 from YifeiCN/patch-1

Update 第一章_数学基础.md",True
36c8b4106e437a506d8eb8b6f352f4f030b13c80,2020-07-30 06:44:26,scutan90,"Merge pull request #482 from Zerg-Overmind/patch-1

Update 第三章_深度学习基础.md",True
2021aa1820c6e4e548fe4db11cbbfd2cfa7868bc,2020-07-30 06:44:06,scutan90,"Merge pull request #483 from Zerg-Overmind/patch-2

Update 第二章_机器学习基础.md",True
38e56855d2a8af021a85dcb1bd372a35f36e7177,2020-07-20 17:36:21,Quankai Gao,Update 第二章_机器学习基础.md,False
3845dae3b8ed1be2adec95a913604973178aa74e,2020-07-20 15:30:47,Quankai Gao,Update 第三章_深度学习基础.md,False
db419550115b6046e446c1f8ad640e88b0e43bcf,2020-06-26 18:40:28,Yifei,"Update 第一章_数学基础.md

修改了1.5.2：sigma 应为标准差",False
cf879e271800655db850a1ca947aba9d7110150f,2020-05-22 09:56:56,Naah,github page,False
659fbdf2641f39810adb282504913d4e48de1c98,2020-05-22 09:45:55,Naah,github page,False
98d78723426a23bc1d99d156d248016d953942c0,2020-05-21 22:32:32,yang-chenyu104,Create 深度学习2020,False
029193a5dbc869d1c8e73a347031f9298c921feb,2020-05-21 16:14:35,Naah,version of web page adapt,False
1ddddb1e5be08334274fe30a59ed26279cbe67e4,2020-05-21 15:59:42,Naah,"fix style error

fix style error",False
d6af513c9e5f20b8cd3ff293349b5644944e7249,2020-05-03 09:53:28,scutan90,"Merge pull request #472 from Sander-houqi/master

更新第一章",True
c7ee64bd1f0eef6c498d27098f19be1c262973d9,2020-05-03 09:53:06,scutan90,"Merge pull request #453 from yangll0620/master

 1. 非线性： 当激活函数是线性的 -> 非线性",True
b1652c761a21a62d3f01ed9c44809a17f5826e9d,2020-05-02 15:51:58,houqi,更新第二章,False
f9511176401d351e12c5108d0fc5a3d01a3a47ac,2020-05-02 14:32:09,houqi,更新第一章,False
704cdc93ec7ce2df34fa353661d1b297e157240a,2020-04-11 13:30:12,scutan90,Update README.md,False
aa5c90bcbc58221cf3b35e43055089d8558bd0e6,2020-02-26 10:07:14,scutan90,"Merge pull request #455 from WeiYangBin/master

Update 第六章_循环神经网络(RNN).md",True
871085073d3f3a97b360269429a5fa177b317429,2020-02-26 10:06:42,scutan90,"Merge pull request #459 from likunyao/master

2.14.3最小化类内方差公式错误",True
a572693de16b62bb3c23f68351870b42a6d439aa,2020-01-07 15:04:49,leeyao,"Merge pull request #1 from likunyao/likunyao-patch-1

Update 第二章_机器学习基础.md",True
b083107ae7199018d05deadb172606642a4a4af9,2020-01-07 15:03:43,leeyao,"Update 第二章_机器学习基础.md

最小化类内方差，修正公式错误",False
467a967e6a58f24287c6412d7173bef40a8dcf22,2019-12-13 08:40:57,Yangbin Wei,"Update 第六章_循环神经网络(RNN).md

函数名错误",False
