Hash,Date,Author,Message,IsMerge
d39218f5fd24e3006ab3a338062fa3213dd981a4,2025-03-18 15:03:24,Naibo_Mac_M2,Add IPWO,False
a94c45b36d4d1a27678edd1ed9b9db90530318c9,2025-03-18 15:02:08,Naibo_Mac_M2,Add IPWO,False
0e8aba6b51d464a14aeadfe199c31107b08a62a2,2025-03-18 14:33:32,Naibo_Mac_M2,Add IPWO,False
e42ad07d8007afd4523e1f67885a7a8f86cd41ba,2025-03-05 08:56:10,Naibo Wang,Update Readme,False
2f6344d00b85a14461712fea0d361803899d6ba9,2025-03-05 08:40:57,Naibo Wang,Update Readme,False
bfa6c0de76cf52a238d64bd0e0ab4e01f8e67dd5,2025-03-05 08:40:15,Naibo Wang,Update Readme,False
b590cc22c583644757ede867ddb9a203d86361f5,2025-02-17 18:42:19,Naibo Wang,Change License,False
d69adacbd13110bb7be8a73e855ba22d0e8a74cb,2025-02-17 18:41:59,Naibo Wang,Change License,False
15654da7ebf8b558f863cc10040204649832ef18,2025-02-17 18:41:08,Naibo Wang,Change License,False
967f5b8033ef2baf6f828452a69755821ae64f69,2025-02-17 18:40:38,Naibo Wang,Change License,False
aa419ee845c7dfb19f08c88842bc8010a30d5332,2025-02-11 14:34:18,Naibo Wang,Update Readme,False
f005e48700190865ba1eb1d37fc5874803b99d25,2025-02-11 14:32:58,Naibo Wang,Update Readme,False
4e96ed7d50ad93b166a32f3e094b584b9bf3ea2a,2025-02-02 09:04:54,Naibo Wang,Merge branch 'master' of https://github.com/NaiboWang/EasySpider,True
e3fecc8926230fd6d9a73e08b7d4b1d68374621e,2025-02-02 09:03:28,Naibo Wang,Update Readme,False
119cb997112b456e492b62b993f4cac9206a60e1,2025-01-08 09:32:36,naibo,Screenshots zoom to the maximum size under headless mode,False
f43bdd236d999c28fedf7bf8f319729d393b07cc,2025-01-08 09:14:02,naibo,Screenshot folder,False
56f0847500f6665cd718feb71b996b49b7e1bc45,2025-01-07 20:42:26,naibo,Parameter name change for loopExecute,False
0df6cebd1838e7075722fa3ececd5ead6d97b6bf,2025-01-06 14:27:49,naibo,Update ISSUE_TEMPLATE.md,False
4b42f6300c859f851a7737257e016deb48689959,2025-01-06 12:45:28,naibo,Update ISSUE_TEMPLATE.md,False
2cf33794f1c7fcba777ff9a6d9f38b8f6ac38485,2025-01-06 10:56:59,naibo,"Fix bug: when cannot find elements, switch back to the original handle instead of one of the first two handles",False
9efd3b6efe1e72f6c0b6dee146d42d3295988b16,2025-01-05 23:01:01,naibo,Merge branch 'master' of https://github.com/NaiboWang/EasySpider,True
