Hash,Date,Author,Message,IsMerge
cea522bc41bfadc364837293d0c4dc585a65ac46,2022-09-22 21:53:15,lopezvit,"Update package-lock.json

trying to fix https://github.com/eligrey/FileSaver.js/issues/696",False
9806041b0e800979dddabbaa1b5f6ce6952d7cd7,2022-07-11 17:43:59,Eli Grey,"Merge pull request #568 from micahjon/master

Add namespace to prevent conflict with Chrome Poper Blocker extension",True
b5e61ec88969461ce0504658af07c2b56650ee8c,2020-11-19 19:04:15,Jimmy Wärting,Update package.json,False
b590aeeb3958a1baebfaa86000938c64a026e721,2020-11-19 19:02:58,Jimmy Wärting,Update FileSaver.js,False
5bb701bd6ea05a02836daf8ef88ec350a1dd4d83,2020-05-28 07:35:15,Eli Grey,Merge pull request #652 from rajivshah3/fix/only-macos-webview,True
43bbd2f0ae6794f8d452cd360e9d33aef6071234,2020-05-22 08:19:09,Rajiv Shah,chore: Rebuild dist,False
a60d75f18b5769774838d8643a9b225b80a1467d,2020-05-22 08:18:52,Rajiv Shah,chore: Bump version to 2.0.4,False
e5e74d69f4e0eb05d4b69f71fcd87a028ccac949,2020-05-22 08:18:19,Rajiv Shah,fix: Refine macOS WebView check so that it is false for browsers,False
648ff96f8b2b69024c719e018ec20712771b8470,2020-01-31 06:14:01,Eli Grey,"Use FileReader in macOS native apps using WebKit (#613)

Use FileReader in macOS native apps using WebKit",True
7a8ff3cc6ae717b6c7628b3c280a5c593c2206ee,2020-01-31 06:10:57,Rajiv Shah,"Switch isWebKit and isSafari conditions to maintain behavior

Using isWebKit before isSafari could cause Safari to use FileReader even if force === false, since the user agent for Safari also includes AppleWebKit",False
0a2e868b48b6d745a0f2b9bf448f9226925efcd0,2020-01-31 05:50:04,Rajiv Shah,Rebuild dist,False
16a8bb9e8fb419d97d810c68e00ce3f4f888eb07,2020-01-31 05:48:02,Rajiv Shah,Bump version to 2.0.3,False
572f2548349da990a4e03e9b89a385fc9fe1051a,2020-01-31 05:30:37,Rajiv Shah,Ensure Chrome iOS still works,False
d3d2bd20d636b6b786bec05374d8807d06efe344,2020-01-31 05:20:01,Rajiv Shah,Merge branch 'master' into feature/webkit-macos,True
480d547986765f6cd402702c5606f27be6fd810b,2020-01-26 03:36:39,Susanne Gerber,fix small spelling error,False
db7880179f1ad1b78197744b3adb7e9e3291d1c7,2019-12-22 04:11:53,Rajiv Shah,Use FileReader in macOS native apps using WebKit,False
9a0a1e4ae2732c2d8eedc0214ef1c0fa32d15150,2019-10-22 23:12:27,Eli Grey,Add GitHub Sponsors funding method,False
1ea2325a7521a97ad7c09ba7f11c2d06942675e1,2019-10-15 01:43:09,Eli Grey,"Bump mixin-deep from 1.3.1 to 1.3.2 (#601)

Bump mixin-deep from 1.3.1 to 1.3.2",True
35e9d8127d25883fb6a5bd803334e29869b31d79,2019-10-14 23:52:49,dependabot[bot],"Bump mixin-deep from 1.3.1 to 1.3.2

Bumps [mixin-deep](https://github.com/jonschlinkert/mixin-deep) from 1.3.1 to 1.3.2.
- [Release notes](https://github.com/jonschlinkert/mixin-deep/releases)
- [Commits](https://github.com/jonschlinkert/mixin-deep/compare/1.3.1...1.3.2)

Signed-off-by: dependabot[bot] <support@github.com>",False
538c4b57519a35d6245fb2390b6efc4233012dd4,2019-10-14 23:51:37,Eli Grey,"Bump lodash from 4.17.11 to 4.17.14 (#575)

Bump lodash from 4.17.11 to 4.17.14",True
556db1f6df33da0fe8954dcea3fb49b11830e9c5,2019-07-16 12:04:35,Eli Grey,"Merge pull request #577 from chrisdoble/master

Fix downloads in Chrome iOS",True
b95a82a3ecb208fef5931e8931b2a8e67a834c02,2019-07-16 11:44:44,Chris Doble,"Check that FileReader exists, not that it's an object

Fixes #576",False
35f0e568d99d250d2f091d3ebfeac765dd7d8764,2019-07-11 09:11:59,dependabot[bot],"Bump lodash from 4.17.11 to 4.17.14

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.11 to 4.17.14.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.11...4.17.14)

Signed-off-by: dependabot[bot] <support@github.com>",False
a7e1ccfc44decde2679b078cf6f31b450db9523f,2019-06-12 11:09:07,Eli Grey,Create FUNDING.yml,False
0403f771ac53500266a19805bc2e9a0329a24c1e,2019-06-07 23:52:21,Micah Miller Eshleman,"Add namespace to <a> tag to prevent conflict with Chrome Poper
Blocker extension

Fixes issue #561",False
1bc9ed39c4844108f37f801b9b092038a5f5f8b4,2019-05-14 13:30:17,Jimmy Wärting,bump minor version,False
71f266f93ec005001755b6c6d75c67e723de1b74,2019-05-14 13:16:41,Marcin Rybacki,Missing dist build,False
9bd5261f602cef5ba5a6dcf7a4e44f2ea26c40a0,2019-05-14 13:16:41,Marcin Rybacki,"Catching an exception on Send. This happens when request for HEAD returns 405 Method Not Allowed. Instead of error http status, this may throw an exception. Return false and fallback to link download.",False
3caf053bbd62b83bd3be4f0f641afa135a34ae63,2019-05-14 13:15:57,Oskar Köök,fix autoBom documentation,False
04ca36440df3819a1a9f4b4e5d67cb782e53cfa1,2019-03-01 14:17:36,josephrocca,Updated Chrome data,False
d87b4196169cb35b3bb0e02421c9e75fa8673e49,2019-02-17 22:15:48,zachary parrish,"Update README.md

Just made some minor grammar changes",False
3e46b730528fa34a82fcd97ba98d6e08c6f8eddf,2019-02-17 19:54:08,Jimmy Wärting,Update package.json,False
b1ab5889468b580f2754cde18edaea5a6b5d8ccb,2019-02-01 15:59:14,TypeError64,Update README.md,False
4a73fd7a2dcdc6ce2947433af3d3fbad56a019fa,2019-01-07 17:32:54,Nathan Phillip Brink,Fix a few spelling errors.,False
0e905a3e06ac52cc22368aa6269ba0a2bb675b54,2018-12-29 15:32:50,Alexander Светлый,"Update README.md

Fix import",False
283f438c31776b622670be002caf1986c40ce90c,2018-12-29 15:31:25,segovia,"Fix accidental rewrite of global saveAs function

The change is just to put parentheses around the code after `var saveAs = _global.saveAs ||`
and then indent it properly.

closes #498",False
be09a02e8cd3fe7046a692b19f6aa9631d0146c7,2018-11-14 17:04:32,Jimmy Wärting,"Removed eval

closes #491",False
72effade4db27b0647bd0e39404cfaa120baaf54,2018-11-03 00:15:09,NeeEoo,Fixed grammar and punctuation,False
3ecf5a9f55bdf33971738bab83215afdfcaac9d9,2018-11-02 18:32:44,Vasyl Zuzyak,fix: make typo go away,False
6d09d0980b8eb5f1e098409e6a7c80ceb319c361,2018-10-25 16:41:46,asaarnak,Add sourcemap to /dist folder. #481,False
00183093bf92592fe231e56b0e681fe150123ccb,2018-10-18 15:10:36,Jimmy Wärting,don’t throw on module.exports,False
cf70d125b048349fb084d8c8395ee790b83c685c,2018-10-17 03:28:13,Ben Ni,"replaced the non-breaking space at with space

This is causing IE to unable to recognize the { on line 49",False
bbecae4d41bef588e2806b8c310637ee37135fe3,2018-10-11 00:51:16,Eli Grey,"Merge pull request #477 from jeffbdye/patch-1

Minor misspellings in comments",True
b08a6d256c0c151873cc0d33f56e03c320677eea,2018-10-11 00:42:43,Jeff Dye,"Minor misspellings in comments

Just some quick fixes for comments in the file.",False
767f830766dcad6afc68b6f0d9aa6dc64f956cb0,2018-09-28 18:31:52,Patrick Löcker,Fix spelling of click-function,False
74846b33fe477286fccc47f549367d17c27040c4,2018-09-28 00:30:17,Jimmy Wärting,switched export method,False
556af82e6ae8e2d5cd5023ffcfc77a88094daf07,2018-09-26 23:03:47,Jimmy Wärting,changed the way how you import,False
15d96ca835a556c7f4161873f0884096637ad483,2018-09-26 22:57:47,Jimmy Wärting,Update CHANGELOG.md,False
