Hash,Date,Author,Message,IsMerge
af620534bfc3c2d4cbefcfeec29603bbe7809e64,2024-12-17 03:01:56,fontawesome-github-bot,"Release 6.7.2 (#20503)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
d19ab26a33b4d80f9af604e85d4194757276f01d,2024-11-22 23:34:16,Aryan Dev Shourie,Removed unnecessary 'and' from README.md for better clarity text (#20432),False
3447c58c6b3ff327b35171d866ec70c25c72f4ef,2024-11-20 22:18:04,fontawesome-github-bot,"Release 6.7.1 (#20426)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
a03a91d68184b973599224e9b53c2ccf439c58b0,2024-11-19 03:08:46,Rob Madole,"Release 6.7.0 (#20418)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
37eff7fa00de26db41183a3ad8ed0e9119fbc44b,2024-07-16 22:43:31,Jason Otero,"Release 6.6.0 (#20295)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
138f8c3971a7b6059ed12ebcc436602ee72327d5,2024-07-10 20:33:55,Jory Raphael,Update 000_icon_request.yml,False
05235ab745cce541c4b24993e4a2ffd94f347838,2024-07-02 22:31:50,Jory Raphael,"Updating Icon Request Template (#20275)

* Updating the base icon request template

* Adding missing ""attributes""

* Indenting",False
c0f460dca7f7688761120415ff3c9cf7f73119be,2024-04-03 00:24:47,Jason Otero,"Release 6.5.2 (#20179)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
a1232e34553634c5363aa62c8d1b02161a4438e1,2024-01-09 02:26:27,Rob Madole,Delete case-sensitive faTshirt duplicate (#20073),False
dcdc48a561e3db6e6caa2002f14d77f68aa01ed6,2023-12-16 02:03:39,Geremia Taglialatela,Update contributing guidelines (#20028),False
deeea78c52bfe00b6e251ffddccf5570d5fdb05e,2023-12-01 04:08:48,Jason Otero,"Release 6.5.1 (#20031)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
2885a3cfb8ec82defe53d9d8d8261cb9ea8b9719,2023-11-30 20:41:59,robmadole,Move files out of the free directory,False
8302f1cca7e6c674fdb636bcc80b728548077c17,2023-11-29 00:15:05,Jason Otero,"Release 6.5.0 (#20016)

Co-authored-by: robmadole <robmadole@users.noreply.github.com>",False
f0c25837a3fe0e03783b939559e088abcbfb3c4b,2023-08-03 01:57:06,Rob Madole,Release 6.4.2 (#19842),False
0698449d50f2b95517562295a59d414afc68b369,2023-03-27 22:28:41,Rob Madole,Release 6.4.0 (#19631),False
d02961b018153506364077343b0edcde0a39d27e,2023-02-08 00:53:03,Rob Madole,Release 6.3.0 (#19539),False
adb2273bdbff7abeff8f16dbde9e88722827f356,2022-12-14 18:43:43,Jari Koivisto,"Typo fixed (#19467)

suport --> support typo fixed.",False
96cafbd73ec4339b8c73c36673ce1518db82cc5c,2022-11-16 00:04:54,Rob Madole,Release 6.2.1 (#19431),False
d3a7818c253fcbafff9ebd1d4abb2866c192e1d7,2022-09-01 02:32:43,Rob Madole,Release 6.2.0 (#19296),False
701d64a8943214b9767733e7ac0b201f1a08a8b3,2022-07-25 23:18:16,Rob Madole,Release 6.1.2 (#19210),False
b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c,2022-05-20 19:52:27,Geremia Taglialatela,"Add Issue Forms (#19011)

Issue Forms are now supported on the desktop and mobile versions of
GitHub, and the mobile application links to the website to allow users
fill the form

Files have a numeric prefix to sort templates by priority, with icon
requests at the top

A special configuration is used to redirect users to the website when
the issue is related to the Pro License. License related issues should
not be addressed on a publicly accessible repository, because sensitive
information (like email address) are necessary

Ref: https://docs.github.com/en/communities/using-templates-to-encourage-useful-issues-and-pull-requests/syntax-for-issue-forms",False
2360bd54ca4abe8e013d424e6679a397e9b717c8,2022-04-14 03:22:48,Geremia Taglialatela,"Update README.md (#18907)

Use https where possible",False
28e297f07af26f148c15e6cbbd12cea3027371d3,2022-03-22 20:54:29,Rob Madole,Release 6.1.1 (#18843),False
307f2c15e2d3bdf465b43df0d1486dcd249df2a1,2022-03-16 00:38:55,Rob Madole,Release 6.1.0 (#18820),False
0078392516a3c27e5549c5643fd8237a9063b344,2022-02-18 20:23:43,Geremia Taglialatela,Fix links pointing to the staging environment (#18704),False
65f4bdb5025759ba25cd3432568de288b6a67527,2022-02-08 01:46:51,Rob Madole,Add 6.0.0 files (#18652),False
7b81d074f37135512e81bed9823ed2a4aea322ea,2022-02-07 22:54:24,robmadole,Initial v6 files,False
