Hash,Date,Author,Message,IsMerge
1d252d7acae4ac46a3fc5d972c068cb95688c2f7,2025-01-15 16:41:02,Ridge Kimani,feat: add tests for binary search trees (#1769),False
a62a46e732798622b520769c9c1131a052721ca2,2025-01-12 15:57:54,Shankha Suvra Dam,"Resolve duplicate entries for sieve of eratosthenes  (#1770)

* remove intarr test

* Remove main file oops

* FIXES: #1666 , remove references to SieveOfEratosthenesIntArray

* Finally fix the requirements, passes vitest

* Updated Documentation in README.md

* FIXES: #1666 and conform to alg comment standards

---------

Co-authored-by: SpiderMath <SpiderMath@users.noreply.github.com>",False
85a55daf49533b9fd558e52f13603a904613e4f2,2024-12-20 21:35:50,Hridyanshu,"test: added for Linear Search Algorithm (#1753)

* test: added for Linear Search Algorithm

* Update Search/LinearSearch.js

Co-authored-by: Lars Müller <34514239+appgurueu@users.noreply.github.com>

---------

Co-authored-by: Hridyanshu7 <himank7794@gmail.com>
Co-authored-by: Lars Müller <34514239+appgurueu@users.noreply.github.com>",False
d8588f9de18db16c29cd6c8332cd0de2c2bb2f3b,2024-11-16 21:38:17,Omkarnath Parida,"Add tests for Project euler problem 14 solution (#1713)

* 📦 NEW: Added solution for ProjectEuler-007

* 🐛 FIX: Spelling mistake fixes

* 👌 IMPROVE: changed variable name from `inc` to `candidateValue` and thrown error in case of invalid input

* 👌 IMPROVE: Modified the code

* 👌 IMPROVE: Added test case for ProjectEuler Problem001

* 👌 IMPROVE: Added test cases for Project Euler Problem 4

* 👌 IMPROVE: auto prettier fixes

* 📦 NEW: Testcases for Project Euler Problem 14

* Updated Documentation in README.md

* 👌 IMPROVE: code improvements

---------

Co-authored-by: Omkarnath Parida <omkarnath.parida@yocket.in>
Co-authored-by: pomkarnath98 <pomkarnath98@users.noreply.github.com>",False
55ff0ade85c3b4857f0a6531a5dfda9f21007aff,2024-10-16 23:52:31,Hridyanshu,"docs: fixed misleading comment about the array method (forEach instead of reduce) used in AverageMean.js (#1727)

* docs: fixed misleading comment about the array method (forEach instead of reduce) used in AverageMean.js

* fix: optimized AverageMean.js by removing redundant comments and unnecessary operations.

* Update Maths/AverageMean.js

Co-authored-by: Lars Müller <34514239+appgurueu@users.noreply.github.com>

---------

Co-authored-by: Hridyanshu7 <himank7794@gmail.com>
Co-authored-by: Lars Müller <34514239+appgurueu@users.noreply.github.com>",False
ff314a2bed38525af0445fde53e37338b4db3406,2024-10-09 05:24:11,Omkarnath Parida,Add tests for Project Euler Problem 5 + minor refactor (#1691),False
18da83a5b7acd3a841819ebd24346bba5ada1923,2024-10-05 23:40:52,dependabot[bot],"chore(deps): bump vite from 5.0.12 to 5.4.8 (#1711)

Bumps [vite](https://github.com/vitejs/vite/tree/HEAD/packages/vite) from 5.0.12 to 5.4.8.
- [Release notes](https://github.com/vitejs/vite/releases)
- [Changelog](https://github.com/vitejs/vite/blob/v5.4.8/packages/vite/CHANGELOG.md)
- [Commits](https://github.com/vitejs/vite/commits/v5.4.8/packages/vite)

---
updated-dependencies:
- dependency-name: vite
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
5b17ea1a93042dc02a597d6fe4a20c0948b0496c,2024-10-04 22:34:29,dependabot[bot],"chore(deps): bump rollup from 4.9.6 to 4.22.4 (#1690)

Bumps [rollup](https://github.com/rollup/rollup) from 4.9.6 to 4.22.4.
- [Release notes](https://github.com/rollup/rollup/releases)
- [Changelog](https://github.com/rollup/rollup/blob/master/CHANGELOG.md)
- [Commits](https://github.com/rollup/rollup/compare/v4.9.6...v4.22.4)

---
updated-dependencies:
- dependency-name: rollup
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
9010481c2930d65621f18f41c216f29fceaa8807,2024-06-23 17:10:42,Piotr Idzik,"chore: update `codecov-action` to `v4` (#1605)

The token has been added to the repository secrets.",False
8ceaa252b9b7aa37f217e1cb0cb65351698b8777,2024-06-23 10:51:19,dependabot[bot],"chore(deps-dev): bump braces from 3.0.2 to 3.0.3 (#1670)

Bumps [braces](https://github.com/micromatch/braces) from 3.0.2 to 3.0.3.
- [Changelog](https://github.com/micromatch/braces/blob/master/CHANGELOG.md)
- [Commits](https://github.com/micromatch/braces/compare/3.0.2...3.0.3)

---
updated-dependencies:
- dependency-name: braces
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
