Hash,Date,Author,Message,IsMerge
b1609a6907950017d9450b2a08c93dd19a66fcfa,2024-10-27 19:59:26,Tushar Kumar,"Update flexgap.js (#2749)

* Update flexgap.js

Added a check for the type of result: In the previous code, there was no check for the type of result. In the updated code, I added a check to ensure that result is a string, and if not, an error message is logged. 4

* Update flexgap.js

Added a check for Safari bug:

var isSupported = flexHeight === 1 || flexHeight === 2;
Reason: Safari, at zoom levels of 50% and 150%, returns scrollHeight as 2 instead of 1 for flex containers. This line ensures the test works across different browsers, including buggy Safari versions.

---------

Co-authored-by: veeck <gitkraken@veeck.de>",False
796e72c408202fbe81b6d5ca6f3a14eb5cd3f694,2024-10-16 20:00:52,veeck,update minor deps,False
b200dc0e0aa8b475e0215c44453c8e6dc8a03da4,2024-10-16 19:50:37,dependabot[bot],"Bump serve-static from 1.15.0 to 1.16.2 (#2752)

Bumps [serve-static](https://github.com/expressjs/serve-static) from 1.15.0 to 1.16.2.
- [Release notes](https://github.com/expressjs/serve-static/releases)
- [Changelog](https://github.com/expressjs/serve-static/blob/v1.16.2/HISTORY.md)
- [Commits](https://github.com/expressjs/serve-static/compare/v1.15.0...v1.16.2)

---
updated-dependencies:
- dependency-name: serve-static
  dependency-type: direct:development
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
148424612a85bcd5b870b9f3f51e080fb1c1c34f,2024-10-16 19:46:44,Ansh Tiwari,"enhance the documentation for the Modernizr (#2750)

* commit

* commit",False
865081102b51d0b1b695f4584d03f3f8d6f316a7,2024-10-16 19:46:22,dependabot[bot],"Bump pug from 3.0.2 to 3.0.3 (#2740)

Bumps [pug](https://github.com/pugjs/pug) from 3.0.2 to 3.0.3.
- [Release notes](https://github.com/pugjs/pug/releases)
- [Commits](https://github.com/pugjs/pug/compare/pug@3.0.2...pug@3.0.3)

---
updated-dependencies:
- dependency-name: pug
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
275aa27c646c1d6fd1a33f35eb002a85f19e2365,2024-10-16 19:45:21,Veeck,"Update code coverage tooling (#2751)

* try to update code coverage tooling

* split testing and coverage

* cleanups

* bump patched dependencies

* fix jsdoc errors

* undo node version bump

* cleanup gitignore

* fix script name",False
44fa7b07c367a1814e8699e3a2f15c53fbe32df7,2023-12-20 12:52:21,Alex Neises,Added BroadcastChannel (#2734),False
bd024b52005f5d5b11735ea2c432d760ca1edf03,2023-10-21 23:03:42,Aman Rawat,"Add Hindi Translation in README.md (#2731)

* Add Hindi language

* add hindi repo link to all README.md",False
e17e7c33f58aa3d1fdc172577a866524c35ca25b,2023-10-20 03:08:56,dependabot[bot],"Bump @babel/traverse from 7.22.8 to 7.23.2 (#2730)

Bumps [@babel/traverse](https://github.com/babel/babel/tree/HEAD/packages/babel-traverse) from 7.22.8 to 7.23.2.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.23.2/packages/babel-traverse)

---
updated-dependencies:
- dependency-name: ""@babel/traverse""
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
94dbf4d50b9be839ea4fb0ad46f18e02fa46349b,2023-10-12 15:13:35,Kader Sarıkaya,[TRANSLATION] Turkish translation for README.md (#2729),False
