Hash,Date,Author,Message,IsMerge
d80c32a62b169e776ad1c983d1fcdc6eea8b48e0,2024-07-18 20:06:32,Dmytro Semenov,docs upd (broken unsplash images),False
fd85184b450f451bc4aa2697f6d0a79304d13473,2024-05-24 20:44:33,Dmytro Semenov,5.4.4 build,False
6079bd0d667a8c4c1f76352a15d4bbe47d3ce133,2024-05-24 20:43:47,Dmytro Semenov,5.4.4,False
44b065a83e2d5e530a9cfe0f1aadc7d43cc0b16e,2024-05-24 20:43:04,Dmytro Semenov,docs upd,False
a0298e3b2b58cd01e678f8627142b15a7750f69d,2024-05-24 20:41:57,Dmytro Semenov,Bugfix: empty slide if there are 3 slides in total and user swiped through 4 slides fast,False
1938a36f5f41821698186e648de3ad24c45a6fd0,2023-12-04 20:20:40,Dmytro Semenov,"Revert ""docs upd: Correct 404 markdown links (#2079)"" (#2081)

This reverts commit ac7eaf64df9c60be30fd0acd563c6255c519770e.",False
ac7eaf64df9c60be30fd0acd563c6255c519770e,2023-12-04 20:09:17,Matthew Petrie,docs upd: Correct 404 markdown links (#2079),False
13f1ddcec8e6e923dc250eb658a6d77e7518a98f,2023-11-28 23:45:54,Dmytro Semenov,5.4.3 build,False
38977a9b5d07eea1f7963ad1f7bf506f28479aad,2023-11-28 23:43:44,Dmytro Semenov,5.4.3,False
79f8159ca0884f71bb2de9b6c2c4bbabd111eb39,2023-11-28 23:41:58,Torjus Bjåen,"Remove restriction of typesVersion to 4.7 (#2078)

Newer versions of TypeScript would not pick up the types when importing from `photoswipe/lightbox` as the types were restricted to version 4.7 or lower.

The types works perfectly fine with newer versions of TS, so by simply removing the restriction everything works as expected.

fixes dimsemenov/PhotoSwipe#2029",False
2d23b36c99411d2dc45bf6610498754bf301b41c,2023-09-29 13:59:41,Dmytro Semenov,5.4.2 build,False
d09385ec197feecad72f72745c8c7be8b01b60e8,2023-09-29 13:58:35,Dmytro Semenov,5.4.2,False
f946f71ca0868722da49414a21bab10c3d5ed3bd,2023-09-29 13:45:35,Dmytro Semenov,docs upd,False
cac4d41283e5842e5461cfa6185b5bf868f40633,2023-09-29 11:34:28,Dmytro Semenov,Make dataSource optional when used with gallery/children options,False
f7485654b3db7cb02a664f47e521c722af720108,2023-09-29 10:55:19,Ana Margarida Silva,fix: make dataSource param optional in loadAndOpen (#2069),False
03eab19b78f633d4dfc27ba669f93ba4cd1d2570,2023-09-17 10:05:18,Dmytro Semenov,5.4.1 build,False
6796af0ed54aa1236fd70715c84c2d437f3041ba,2023-09-17 10:04:01,Dmytro Semenov,5.4.1,False
9c237bc5b3ce3f27ec8e0c1845795581d0fb5fe5,2023-09-17 10:02:41,Dmytro Semenov,Docs upd: preventPointerEvent,False
1fbaeff7a55be03070877f4bb588036876758c32,2023-09-17 10:02:33,Dmytro Semenov,Added trapFocus option,False
66a6668f574fad7b774bb1c02103ff400cd61a3a,2023-09-13 17:55:23,Dmytro Semenov,build,False
33c074e0f6032f3d8d2e1554b7b1143bed53659d,2023-09-13 17:54:39,Dmytro Semenov,Added ability to disable preventDefault of the pointerdown and pointermove events,False
859679d08089e88f18a2b18682abb1178f4de549,2023-09-08 10:59:18,Dmytro Semenov,5.4.0 build,False
02877748a189d5755538b7b6fe8b80f535973434,2023-09-08 10:58:36,Dmytro Semenov,5.4.0,False
28baa3d0ee356ddf516d1b6c231bb9608ab9b171,2023-09-08 10:54:23,Dmytro Semenov,"fix: lower version browsers do not support nullish-coalescing syntax

via @zbJinu #2060",False
d58b06ea27099c55bbaa0e030e949c7354ed6891,2023-09-02 13:47:23,Dmytro Semenov,5.3.9 build,False
5def42c0c8ce97588fb64bee48636435cea8adbd,2023-09-02 13:46:36,Dmytro Semenov,5.3.9,False
a75745e5899c292329717138c30c462504e78352,2023-09-02 13:41:31,zt123123,"fix: lower version browsers do not support optional chain syntax (#2058)

Co-authored-by: zhangtian <zhangtian@weidian.com>",False
798388691d138ba4e5abdb0b23f8f2cf45911f33,2023-08-14 14:19:47,huangzhenpeng,"Docs upd: update vue-image-gallery.md (#2055)

Co-authored-by: 黄振鹏 <huangzhenpeng@xd.com>",False
75bbcf9eed601dea6607a66cf3a26c846557d173,2023-08-14 10:37:01,Dmytro Semenov,docs upd,False
d6b46627e16f5b656abeab48b1863248ceffb669,2023-08-05 19:48:24,Dmytro Semenov,Docs upd: update options.md,False
3849c6783bd5e84b7c0bf6ac94aff9074fc6936d,2023-08-05 19:46:27,Julian Pustkuchen,"Docs upd: update options.md (#2053)

Add initialZoomLevel, secondaryZoomLevel, maxZoomLevel documentation",False
31c8a855170fc747db08445cb00066b17267b15d,2023-07-03 14:44:22,Dmytro Semenov,5.3.8 build,False
658dace0e629cd0fa119a0202b921d55e2ac94b1,2023-07-03 14:43:39,Dmytro Semenov,5.3.8,False
22f7e5c3e87291b4d951d371d3c62ce5c6323c24,2023-07-03 14:43:02,Dmytro Semenov,"Removed `navigator.onLine` so the gallery can be used while offline

fixes #2046",False
ac0188be13d3a1b4f80796fe7fed59b89bd41da8,2023-04-05 17:01:20,Ivo Herrmann,Docs upd: added custom contentRemove handler to <picture> example,False
2d8a9114a0f0d0552b4cc7b22739b914296bd286,2023-03-29 11:11:37,Dmytro Semenov,5.3.7 build,False
e05d25ed7c5cf3666f84cf207e6d82efc627d9ed,2023-03-29 11:09:32,Dmytro Semenov,5.3.7,False
f481b646e565a3f4352e3069cde15162643e6ae5,2023-03-29 11:03:36,Thomas Navarro,"Docs upd: custom-content.md (#2024)

Fix event names to use the WebP format",False
d3482fe2e24f9b81a90552d95450ae0d0011fe57,2023-03-29 10:31:14,Patrik Oldsberg,fix: add missing type parameter constraints (#2028),False
1fcb2b30d2bdc6c78c2abcd036995054faef7a3f,2023-03-16 11:06:19,Dmitry Semenov,Docs upd,False
05e2193bf94b9bbabab36a288f8788e32c55adf9,2023-02-23 20:43:31,Dmitry Semenov,5.3.6 build,False
637f2e742065b45b875ca8f8815eaef152e0dcf9,2023-02-23 20:42:53,Dmitry Semenov,5.3.6,False
97c329fdf5388713e4e8ffa76ae8472ab008bf12,2023-02-23 20:42:08,Dmitry Semenov,"Fix: allow calculation of zoom level before core is initialized

(to define the correct sizes and let srcset load the appropriate image)",False
beb4810b17e90b8b01a8331974b4c66169cd23a5,2023-02-01 20:13:05,Rasso Hilber,Use `Element.classList.toggle` where appropriate (#2008),False
2ca18bca05f0611a348fdcba7864019ddd9196ba,2023-02-01 12:10:58,Dmitry Semenov,docs upd,False
a2e00a97dd432f7665d90672d9638b09dd7c7a90,2023-02-01 12:08:46,Dmitry Semenov,5.3.5 build,False
1f8d4a5ca1daa963827557a868519b20791cfe0a,2023-02-01 12:07:37,Dmitry Semenov,5.3.5,False
c33d150e2ed75c8b217967e40f7be64a72423c0e,2023-02-01 12:06:56,Dmytro Semenov,Fix types and strictNullChecks,True
696d042fd3b6e0100f0ac6a58e3e8df1e424051f,2023-01-30 10:30:25,mishchuk,fix code after review,False
07a3d3b45a6803927fa93fec8ed4f94291e9e6af,2023-01-12 09:10:05,mishchuk,"fix photoswipe, lightbox types",False
b1981d5f697da42856af13a16a17473c1e7634c4,2023-01-12 09:10:05,mishchuk,switch on strictNullChecks,False
dfaf0415c3d374cb6524586cc5c73ced9006085b,2023-01-12 09:10:05,mishchuk,fix opener types,False
0cb7e55400506dc62e85a5f334cc7252232feee0,2023-01-12 09:10:05,mishchuk,fix main-scroll types,False
28e675395e2db96c70c98501a24d2e345fce2490,2023-01-12 09:10:05,mishchuk,fix keyboard types,False
3f0b52340f0bd8f381981a86c18ef09960e7836a,2023-01-12 09:10:05,mishchuk,fix ui/ui types,False
2b8bbd12b6d0583d718af31e9ef960ff4a413196,2023-01-12 09:10:05,mishchuk,fix ui/loading-indicator types,False
17d1be07fc7713c2577e3dd073495c0f14b35382,2023-01-12 09:10:05,mishchuk,fix ui/button-arrow types,False
6ef5279d82334d5ce1c504195da468873bcbfd30,2023-01-12 09:10:05,mishchuk,fix ui/ui-element types,False
29b631bc0b82777634c10786a18d2ae0386dc2db,2023-01-12 09:10:05,mishchuk,fix gestures/zoom-handler types,False
ca41582fdce738e2b2911407f14a0217ad2454e3,2023-01-12 09:10:05,mishchuk,fix gestures/tap-handler types,False
ac6edbffb880b891282f2bec585503c844a06d56,2023-01-12 09:10:05,mishchuk,fix gestures/drag-handler types,False
941e957d8b982a53235766df9a978ee0a50264d3,2023-01-12 09:10:05,mishchuk,fix gestures/gestures types,False
586aa8e28b1e3370007efcbfafdecf71f0b9ef1c,2023-01-12 09:10:05,mishchuk,fix slide/slide types,False
8032640a1e44e54f80b273d1b13af0069a9d9f1a,2023-01-12 09:10:05,mishchuk,fix util/viewport-size types,False
6009aec7083389b9809f574fcb5664a1b8733e87,2023-01-12 09:10:05,mishchuk,fix util/dom-events types,False
ecda977d0f82f047855393c33573891477d62d4e,2023-01-12 09:10:05,mishchuk,fix util/animations types,False
db26460c646de506387475bb03775ba71c8d40b0,2023-01-12 09:10:05,mishchuk,fix util/util types,False
8af5c8437ae0549a6257ee93ab298ad060f30f54,2023-01-12 09:10:05,mishchuk,fix slide/zoom-level types,False
