Hash,Date,Author,Message,IsMerge
597843ab84d565cccfd8fd7719416350ae73e734,2024-11-28 02:31:47,Jack Lukic,"Merge pull request #7149 from BobConanDev/patch-1

Update RELEASE-NOTES.md, fix typos",True
c06e56ba998d4d376430641ba568d7fbcb6a44ab,2024-10-19 03:28:01,Bob Conan,"Update RELEASE-NOTES.md, fix typos",False
47acaa0ce4c8dcde6c76080483cf8a3566576770,2023-01-11 22:35:32,Jack Lukic,"Merge pull request #7103 from Irsha-Farwin25/patch-1

fixed typo",True
f84dc09c6a9dd3d63aa1e00953b5244cb784c7ed,2022-12-19 22:24:49,Irsha-Farwin25,fixed typo,False
daa2438f048e6d98a330171a83ec74c3a13e9bd1,2022-10-07 01:32:37,jlukic,Add npm publish to bot for main repo,False
074641f0d3a41f155101fc5674b79e8af6441972,2022-10-07 00:52:55,Jack Lukic,Update readme,False
decf1883804ef205db0ce0ea7d73b9cb6aaf31c1,2022-10-07 00:49:35,Jack Lukic,2.5.0 Notes,False
cc5e7f30a11022ae44ed372cb47674a80342f4e7,2022-10-07 00:47:14,jlukic,Tag more issues reporting build typo,False
1c8f74c77801e3846d04f0dc85754ca9d3711224,2022-10-07 00:40:05,jlukic,Remove lockfile,False
55e0ad0ca3ca79848faa1fd930a16fdcdaf6d334,2022-10-07 00:39:58,jlukic,Cleanup auto npm publish,False
abfbbb95c475143ebb2bdaf45e568efa9d865aea,2022-10-07 00:39:39,jlukic,Fix auto publishing npm,False
de2d7fceafc70708c301b584899a99a168a621d6,2022-10-06 23:34:12,jlukic,Finalize fixing admin scripts with kludge,False
5bd99a34a9af9da657a14a819ef4adb4ad19f913,2022-10-06 22:56:03,jlukic,Ye old annoying admin task rewrite,False
d89327ea2cc69611664feccd4f4b35fcb0bcea56,2022-10-06 21:49:46,jlukic,Merge branch 'next' of github.com:Semantic-Org/Semantic-UI,True
6f2a9127080b2f249bfddbdfb3ebce458ae72f3f,2022-10-06 21:49:38,jlukic,Work on admin scripts gulp4,False
b19d2d3111255eb544c1139690a5301e70179776,2022-10-06 21:26:58,jlukic,Merge branch 'master' of github.com:Semantic-Org/Semantic-UI into next,True
4b3fc0aed6a2a261546837f132ab51199d4bea07,2022-10-06 21:26:25,jlukic,Date,False
2ec0dd00fb715849433db855deba5d4f5ef0545d,2022-10-06 21:01:43,jlukic,Update rls notes,False
2a7a90bb2822c6eb7386376758b821c705b5578a,2022-10-06 21:00:55,jlukic,Notes,False
49b9cbf47c172c65dc265d213c609ad5e651a6a9,2022-10-06 20:55:02,jlukic,#7023 Fix loading icon in button,False
9e12d42d5fd8c468e33822574a26558aa8807af4,2022-10-06 20:04:07,jlukic,Update notes,False
69d2ddbafac9933bdfa2fd49024773b01ad9c2e1,2022-10-06 20:03:24,Jack Lukic,"Merge pull request #7023 from flppv/next

[Icon] Fixed background issue when Icon is used as Labeled Icon for Button as loading one",True
365b6ba9bb9be8f8506ee4fdf8c212958aad7bb1,2022-10-06 19:55:59,Jack Lukic,"Merge pull request #7047 from jsoref/gitter-link

[Docs] Fix first link to gitter.im",True
3aa6f7f4f6d2fad881368e5dd83fceee76e30df5,2022-10-06 19:55:29,Jack Lukic,"Merge pull request #7062 from eltociear/patch-1

Fix typo in dimmer.js",True
0300061b07b14f3c5bd6029796d9d0cbeffcfc73,2022-10-06 19:51:51,jlukic,Rebuild with gulp4,False
d948dfc852c277aef66a81020474937fcf9c050d,2022-10-06 19:43:57,jlukic,RM package-lock from tracking,False
9a3300f7581700c22b0306ce8aa3f202c96f3d98,2022-10-06 19:26:29,jlukic,Merge branch 'master' of github.com:Semantic-Org/Semantic-UI into next,True
9f59052e79c2f975d01a1f7393d66fc7c8494908,2022-10-05 22:33:07,Jack Lukic,"Merge pull request #7089 from LucienLeMagicien/master

remove extra semicolon",True
d965bead0224a08e524d9befb3ea094fbccee270,2022-09-22 20:39:29,L. V,"remove extra semicolon

Related issues:
https://github.com/Semantic-Org/Semantic-UI/issues/7073
https://github.com/fomantic/Fomantic-UI-CSS/pull/12
https://github.com/Semantic-Org/Semantic-UI-CSS/issues/75
https://github.com/Semantic-Org/Semantic-UI-CSS/pull/76
https://github.com/Semantic-Org/Semantic-UI-CSS/pull/77
https://github.com/Semantic-Org/Semantic-UI-CSS/pull/78
https://github.com/fomantic/Fomantic-UI-CSS/pull/12
https://github.com/Semantic-Org/Semantic-UI-LESS/pull/77
See also:
https://www.npmjs.com/package/@semantic-ui-react/css-patch",False
825c5b7e21b3bbe277a8a4034a931e79979f2476,2022-09-12 21:42:52,Jack Lukic,Readme updates,False
6879d3aa662dd39b96c8c9bb089b0d199de5e343,2021-09-05 18:44:29,Ikko Ashimine,"Fix typo in dimmer.js

occured -> occurred",False
38de2884d3424eb300d35972f33d33bbc6aa6d58,2021-03-07 05:51:20,Josh Soref,Fix first link to gitter.im,False
3c179e96b3621456174b466d2facdd270ccd7554,2020-10-14 01:38:25,Anton,Fix Button with Loading Labeled Icon bug,False
9fe42b1bff3ad5d5237b0151774c8cfab871cce1,2020-05-26 09:53:57,Jack Lukic,"Merge pull request #6815 from jnpwebdeveloper/master

[Build Tools] Fix invalid composer.json file.",True
724bb8bf851bf11d00cba271083c5cc5d71205f2,2020-05-26 09:52:39,Jack,Observer rlsnote,False
0c601876876295cbe7e51d3d7c8cf39d83ba14d2,2020-05-26 09:51:54,Jack,Update npm gulpfile to match gulp4,False
dc7a5d428b011216856d7cc50aa429d13ca3f5b0,2020-05-26 09:37:30,Jack Lukic,"Merge pull request #6833 from euangoddard/master

[Modal] Tears down mutation observer on modal destruction",True
b2e83777090c6b8737283ccb17544633964014a3,2020-05-26 09:32:57,Jack,Fix process exit without callback,False
9b634915ac9dbf42530b4a2fa1088dc74fc9b5e9,2020-05-26 08:15:08,Jack,Stick context,False
960618385857d1bc2c7e106f69f6c80d4328b138,2020-05-26 08:14:57,Jack,Remove peerdep on help,False
ec8c3ab520f933130d4fa7c2b978c9e5ee177154,2020-05-26 08:11:35,Jack,More fail conditions,False
9d4b275ec7bacf3de77f4b2c8a64a4b49935674c,2020-05-26 08:04:05,Jack,Fix install callbacks,False
857285709b5378e2fbf6ce26a8fa69acb9a0c90c,2020-05-26 07:15:25,Jack,Update notes,False
d403de8273df571413a0423584bac4550e41220d,2020-05-26 07:13:28,Jack Lukic,"Merge pull request #6790 from gimco/patch-1

[Build Tools] Meteor package: Use `api.addAssets` for static files",True
c17037825839c77ed220c4594dcd0f8a2f39c92f,2020-05-26 07:10:12,Jack Lukic,"Merge pull request #6876 from cruzdanilo/null-site

[Theme]: allow null @site",True
42565016b2c8e87d0e437293a388466b6d80a436,2020-05-26 07:05:26,Jack,Fix comment on gulpfile,False
f415251c9f8557f6c2aad597a461c81e7116e89a,2020-05-26 07:04:37,Jack,Fix issue with sticky when larger than container,False
76fefed92fa59b44fd3641c9b60e04d402cc5eec,2020-05-26 06:58:10,Jack,Merge branch 'gulp-4' of github.com:Semantic-Org/Semantic-UI into next,True
730532c2b64acd887e1d0ce39206b347b5495e3c,2020-05-26 06:23:33,Jack,Release notes,False
626fee571f53b9d990bc195965400dfebd9253c6,2020-05-26 06:22:49,Jack,Fix issue where absolutely positioned bound bottom/top didnt get width fixed,False
5d5d37dc3f39364dbfd1f4d82e94a494e60fa6fc,2020-05-26 06:20:29,Jack,Fix issue with sub menu in right dropdown menu in ui menu,False
47e4d954968c89cfb1f4aca51b0827b1a76bdd11,2020-05-26 06:19:54,Jack,Fix issue with bound bottom conditions being hit when element is larger than context,False
eafcc70e934e266882e9a008eaa53074e4e3855b,2020-05-26 05:53:26,Jack,Same docs/admin task refactoring,False
673f60c89017643a853e6829af19eac5f6a79d00,2020-05-26 03:30:16,Jack,Finish first draft of v4 tasks,False
ce7604c9dba1e03c4b9baa0722d0bb5ed1ca58d2,2020-05-26 02:22:50,Jack,Fully embrace gulp 4 style,False
6ad3892289404fe4970f4dbc57274db68e0cde8d,2020-05-26 02:20:35,Jack,Fully embrace gulp 4 style,False
191dcf4d63b3031968ad1384df7686435a9022f0,2019-09-23 23:23:54,danilo neves cruz,allow null @site,False
2daacfa212e1c412ace4ef478e7a8db415c99b49,2019-07-12 21:43:30,Jack,Work,False
d6c6dd9e39d23db7601ac9d95bd7d8aac45f5e42,2019-07-12 21:33:41,Jack,"Remove watch, installer cleanup",False
563ab8389523643f823a651917ff963a9f610ed3,2019-07-12 21:25:04,Jack,Simpler gulp4 port,False
9b49d4935230f731c78ecaac53bcd34f52a3588b,2019-06-24 13:16:14,Euan Goddard,"Used module level variable for observer
Post-review changes",False
0a42dcdcb400d6fc275b04d6cb052a48efd68536,2019-06-21 18:39:51,Euan Goddard,"Tear down mutation observer on modal destruction
Fixes #6832",False
f31b03bc6080b25f61301c6e91b5be7fae015d6b,2019-05-21 22:21:59,Jeremy Pitt,Fix invalid composer.json file.,False
c3b231ffc407570b5a13b8f98566f0618b822b73,2019-04-15 13:53:14,Bruno Orcha García,Fix parenthesis,False
973d92601b30b6131448a4f3bd2288c5291cde24,2019-04-15 13:31:12,Bruno Orcha García,"Use api.addAssets for static files

Since meteor 1.2 addAsset should be used to define static files.",False
deb275d2d5fe9a522a0b7bd8b6b6a1c939552718,2018-10-22 02:29:02,Jack,Build 2.4.2,False
d9cd115bed64e3426a1d5365570a0fd8104d33ca,2018-10-22 02:27:15,Jack,Add thanks #6631,False
8db5202b8682153f0c666a803c1087a2b9f9316d,2018-10-22 02:26:35,Jack,Rlsnotes and version bump to 2.4.2,False
22a0c7b413890d3daaa67e4f951aa5dce5c72de7,2018-10-22 02:18:39,Jack,Fix cloned gulp task stream is still using original stream. #6631 #6622,False
c98b431991172aa7a5ba8fcdc405e50258659a8d,2018-10-22 02:17:38,Jack,Merge branch 'master' of github.com:Semantic-Org/Semantic-UI into next,True
1724b3eff4d33ac90592ec85685ea6ef97022371,2018-10-14 04:27:33,Jack,Add missing placeholder to less import file,False
a753d5b7841ab6adbe6d8a3b40086b452f0ba715,2018-10-14 04:21:35,Jack,Final release notes 2.4.1,False
e7d04788fb5ba3314e289759f5b27b51fe6eed6d,2018-10-14 04:20:12,Jack,Build dist for 2.4.1,False
2effa4879182786ededfcbee573a2ed5b51c1733,2018-10-14 04:10:48,Jack,Update release,False
3100a7998822b1bf7f425085fdc33867ff2fa94f,2018-10-14 04:08:35,Jack,More gulp print to update #6512,False
7a12cfabfeb3a511ae504e69ee4b6e204d1d98f1,2018-10-14 04:04:39,Jack,Update rlsnotes,False
42b27955b88a7809bd69be0fb99449866c2ca76a,2018-10-14 04:03:43,Jack,Fix last task with missing syntax change #6512,False
c26bb1d59122bbd26084ccece234a63e52820202,2018-10-14 04:01:15,Jack,Fixes clearable dropdowns not working when not on:click #6594,False
36d5857eaba7e6a51ca522521f8505f5c343405c,2018-10-14 03:50:37,Jack,Fix full screen modals not working with flex #6587,False
94d93bd4d5d43c03ec5cca902945301b3b46a546,2018-10-14 03:49:59,Jack,Update rlsnotes,False
64970d0d557737cd42577e8ac83925842042e9df,2018-10-14 03:35:32,Jack,Merge branch 'gulp-util' of https://github.com/stevelacy/Semantic-UI into next,True
46cf1e4aef5d45e342c81a6e162085342c670e90,2018-10-14 03:28:15,Jack,Rls notes on LESS #6512,False
aae225a0236b6fbe64939a805d6b757b32cbead6,2018-10-14 03:22:44,Jack,"Update gulp less to support new syntax (and other deps, update tasks) #6512",False
4b4df6c792ad0c9fbf6de7d9635a50941da7da5a,2018-10-14 03:22:17,Jack,Remove all additional string literals with calc,False
1b922b648effe0e19e816de85675233364352ed4,2018-10-14 03:19:25,Jack,Fix very relaxed vertically divided grid divider spacing,False
5e8dcdedaccf70f1744a70ceb08c462282ccddbe,2018-10-14 02:55:05,Jack,Merge branch 'less-3.5' of https://github.com/sciyoshi/Semantic-UI into next,True
620cb3fda37e06439d526667b72ae85e162fa76f,2018-10-14 02:52:20,Jack,Fix embed not removing metadata on destroy,False
c4e307c6c1a0b8c10f71b3c1b923d5e05253030c,2018-09-17 10:32:08,Jack Lukic,Update README.md,False
0c96ad36aee30930fdffe4a6a4852a8d162e2e52,2018-09-17 10:32:01,Jack Lukic,Update README.md,False
df1681c688f515a743cddbc7065ee86472fa4d3d,2018-09-17 10:00:58,Jack,Final release notes,False
33ed598e75c7bcbb906d46b1b724c2c9ee184aad,2018-09-17 09:59:36,Jack,Finalize release notes for 2.4.0,False
bf7e06f2d838dd8c1b36bd53bf8053f3b21df491,2018-09-17 09:51:35,Jack,Rlsnote editing,False
4f6fe8ef44e088657ea6a5d1ed4bbea1100ca840,2018-09-17 09:47:40,Jack,Build 2.4.0,False
e0c03ddbf54d6e9c65e2319d1d96528910562e45,2018-09-17 09:46:12,Jack,Spacing on theme config,False
e95f0fb16641fad5b37dc832f3fc14506762ec9a,2018-09-17 09:45:35,Jack,Remove dupe in theme.config,False
e7e1c6815aa1a7acfae31c9c7306b0efd006e674,2018-09-17 09:45:23,Jack,Fix component order,False
564d28bb16e508b5bf3876fabf381964cfa1b7d4,2018-09-17 09:43:15,Jack,Tick version,False
0e80d097d78d1799bad42bb4914ce49c924faba6,2018-09-17 09:42:22,Jack,Fix for UI image in placeholder segment,False
b308c282b741cf4053519b10f70a67ffce79a874,2018-09-17 09:41:12,Jack,Fix interval on animation for placeholder,False
eedb1829132395a73b2a2c561cd03b121249ccad,2018-09-17 09:40:59,Jack,Rename components to placeholder,False
36f6e93d9ae7e7c0f769a9b57882ed4d0f1a9360,2018-09-17 08:22:57,Jack,Add placeholder to example config,False
e83855cdd351b752c988b5e608471ac6ae1882e7,2018-09-17 08:14:25,Jack,"Move content loader to new component, placeholder. Modify placeholder segment to be 'empty segment'",False
0c61a7e72c61751a97bc694f47e1f920e386329b,2018-09-17 06:57:25,Jack,Remove comment,False
56366b96d31af4253eb8c4bfc37b6f2b376cec65,2018-09-17 06:56:55,Jack,Fix dropdown opening leftward inside menu,False
14dc9179c15b390fcd3644d0a6d68341565c0191,2018-09-17 06:41:34,Jack,Thanks #6531,False
1626dc1a0808e72661ec863382ef9fffa8e8f645,2018-09-17 06:29:23,Jack,#6531 - Add UK alias for united kingdom,False
037b97a01fe37716291edb5688a108cfe8c77c9d,2018-09-17 06:26:52,Jack,Merge branch 'master' of github.com:Semantic-Org/Semantic-UI into next,True
4326ad8a060008207acfce1af0af4a507dd58157,2018-09-17 06:00:13,Jack,hex case for disk #6556,False
39a4348d541ec6060d07bc72ae58a03c7d5999db,2018-09-17 05:59:39,Jack,Fix alias for disk outline icon #6556,False
8a1ad49be101a99987f4818eb4d37f967ccfac11,2018-09-17 05:53:47,Jack,#6520 - remove blurring on dimmer hide. Remove console logs.,False
cd3850fcc3cd1ee5d43c5fbc798d4f02a65dedf7,2018-09-17 05:01:24,Jack,"Fix #6439, basic colored labels do not have correct background",False
3b452eebc111e71b014e507d0043e191c6ab128d,2018-09-17 04:56:05,Jack,Rlsnotes #6449 #6495,False
d6ebab1e6c171cd8870d903c7761ed4cc9b525f1,2018-09-17 04:54:56,Jack,#6449 #6495 - Adapt fix for dimmer scroll. Move to modal from dimmer. Blocking scroll requires determining content height which only modal can do,False
