Hash,Date,Author,Message,IsMerge
63ecb31937d19fcb30aa924e82ee8a769ef34492,2024-11-28 23:47:58,Owen Mills,1.15.6,False
22172395df8554f2ef4f43bc7b540b4d25ef7870,2024-11-28 23:39:56,Owen Mills,#2244: Allow supportPointer to be enabled by default for IOS,False
7d7d5d66c3220594379ec2027ab33c4053c8201a,2024-11-28 23:35:48,Owen Mills,restore old fallback selection clearing behaviour,False
104d731585f260315116eacb56542a32653ad3bb,2024-11-28 04:38:12,Owen Mills,1.15.5,False
a81251f406f3bfc629bdb91f596b15066b688773,2024-11-28 04:26:52,Owen Mills,#2410: Further improve selection handling on drag start,False
ca13d2c3dde73604f41dd04d9165864db6441220,2024-11-28 01:56:45,Owen Mills,#2410: clear selection after drag start only with fallback,False
62f0498ac3585982aa44f4492bbcfcb3e8776a80,2024-11-24 01:41:36,Owen Mills,1.15.4,False
7fd5baf55982617212ec242c7f325b77f414570a,2024-11-23 20:24:49,Owen Mills,#1897: Prevent multi-select of non-draggable and filtered items,False
afb71dcb96a321f1fbd8cb485773f76348a62109,2024-11-23 01:19:09,Owen Mills,npm audit fix,False
f7a645c6f2a50d3303074bd4170e7ff7da7cf6b3,2024-11-23 01:14:32,Owen Mills,fix text selection during fallback drag + improve pointer event support,False
dcb8f9e85b972292db1e0cab2ff9d7cd359ff352,2024-09-02 04:22:20,Owen Mills,1.15.3,False
e7b4859ae29e7cdcde9435ad64ffc5b87229fb9d,2024-03-23 02:43:06,Owen Mills,"Merge pull request #2347 from driskull/master

fix: set the target as the host element when target contains a shadowRoot",True
9fab4b9230d0456601078b271cd9a0b7f0de7fac,2024-03-18 23:48:04,Matt Driscoll,remove trailing comma for consistency,False
1e9ad0d56a9a88d75cad4872eb0b5e87ec56ec44,2024-03-18 23:46:30,Matt Driscoll,"review fixes

uses getParentOrHost utility and moves logic to appropriate place",False
41ff81f4aa3bc0d71c6f90a5b8972d016abbe1d7,2024-03-17 17:19:23,Owen Mills,export expando with utils + include src with npm package,False
7f0a4637eab4db9a1589e299212de9c037f0165b,2024-02-15 00:31:53,Matt Driscoll,fix: set the target as the host element when target contains a shadowRoot. #2346,False
07708fa1e7d9cf9d4563a7b1a09f7a47771522ed,2024-01-14 05:52:55,Owen Mills,1.15.2,False
38e4d8739285deabb71469730bdf35065c874e55,2024-01-13 23:06:57,Owen Mills,#2339: Use child containing rect for ghostIsLast & ghostIsFirst,False
1b7575f6f9d3f0a9e857786be5fdfe1e6ab73037,2023-12-01 03:33:15,Owen Mills,1.15.1,False
5604d6e23a7ce7de9b6230b4efa6024e74afcf4a,2023-12-01 03:27:56,Owen Mills,npm audit,False
d12f4b0455b9665441e129c4f446dd1c98617e15,2023-12-01 03:23:18,Owen Mills,Merge branch 'master' of https://github.com/SortableJS/Sortable,True
70bf73879b335ee85dfdae81dbfa3236f61779c9,2023-12-01 03:22:55,Owen Mills,#1686: Use parent rect in ghostIsLast & ghostIsFirst,False
ed0242632da53fa29db115e09869c8c7c1222b1d,2023-10-22 04:08:26,Owen Mills,"Merge pull request #2309 from Gudine/master

docs: properly capitalize forceAutoScrollFallback option",True
029d0d47b257019afc4dd1bf9f540178ea7e3f21,2023-08-26 22:29:15,Gudine,docs: properly capitalize forceAutoScrollFallback option,False
c5a882267542456d75b16d000dc1b603a907613a,2023-07-03 05:35:17,Owen Mills,#2203: Fix multi drag sort event not firing,False
a66e04d2086de6112e08e02da8d0c8083c88525e,2023-07-03 04:56:57,Owen Mills,"Merge pull request #2291 from anton-gustafsson/patch-1

docs: remove dollar sign from code blocks",True
d3a7f096ca77d61213d7648385f4798585edf2b5,2023-07-02 01:46:17,Anton Gustafsson,"docs: remove dollar sign from code blocks

For code blocks on github there is a button that lets you copy the input. Before it would include the dollar sign which would not work in the terminal

example before:
$ npm install sortablejs --save

after:
npm install sortablejs --save",False
7af63fdc5d7512e7f0b8abb10970d473521b31a5,2023-04-28 23:35:01,Owen Mills,"Merge pull request #2263 from lucaplays/master

Added conditional statement whether dragged element should be dropped",True
87fc7417983246aa27d6333b0fc3d60e655735b7,2023-04-06 14:01:41,Luca Dalpra,Added conditional statement whether dragged element should be dropped,False
babf6ab85fdfc5e13be1027827cecfbba2fb0d1e,2022-03-20 21:56:34,Owen Mills,1.15.0,False
632d70b8e5c5ce62be6e01fb382b1da586790d75,2022-03-20 21:25:18,Owen Mills,fix vulnerabilities,False
63762d48cc5714478cddc6896d5904e8624c70c7,2022-03-20 00:04:01,Owen Mills,"Merge pull request #2095 from itsjohncs/prevent-next-click-failure-android

Prevent ignored touches on Android Chrome.",True
8e8a107b8e36c15b4ed05f75d5e01c1c52fb323d,2021-12-02 08:06:05,Owen Mills,"Merge pull request #2094 from vanboom/master

Issue #2093 remove ID from the cloned element prior to adding to the …",True
c047ac2bdb63d6052a46587c6c0eb1b6106864a3,2021-12-02 07:53:34,Owen Mills,"Merge pull request #2104 from jombLiu/patch-1

Update package.json",True
bf6690240cf86d277014d6288c02809b3bb03ef4,2021-11-18 17:18:54,jombLiu,"Update package.json

Windows packaging cannot generate root directory sotrable.js problem fit",False
