Hash,Date,Author,Message,IsMerge
1c16b494bdffd4050953ffd4d09e6cf90d673759,2025-03-21 02:31:05,nightwing,release v1.39.1,False
6b4c7a09d844a2e16d664d3e9fbb384b543bcfcb,2025-03-21 02:20:14,Azat Alimov,fix: wrong java keywords (#5759),False
8b6ac67fff30b053f488bc174250c725ee75fa67,2025-03-20 20:41:15,Harutyun Amirjanyan,fix searchbar not working on mobile (#5773),False
4c3ee2a885c9112b770311a011de66d849ea1134,2025-03-20 19:46:54,Harutyun Amirjanyan,fix readonly warning tooltip being shown after non-readonly commands (#5772),False
1098e5306fdc02e873cdadc85d2e13228abfe80c,2025-03-19 17:38:49,Azat Alimov,"Feat: Editing is disabled tooltip in readonly mode (#5771)

* add tooltip for readonly editor mode",False
2516181c4edf3e638158e5fa4b7aa4c8826794e8,2025-03-19 14:17:10,Harutyun Amirjanyan,fix popups being covered by page scrollbar (#5763),False
b3de3c1d99540bd94df122cedb7c5e3a792986a7,2025-03-10 16:38:24,Zakhar Kozlov,"fix: replace NodeList.foreach with for loop (#5769)

* fix: replace NodeList.foreach with for loop

* remove extra semicolon",False
cd78a94a5fb08580d74f3e67ff88d37ce876d355,2025-03-04 12:40:51,Harutyun Amirjanyan,"workaround for broken ligatures in source code pro font on fedora (#5761)

* workaround for broken ligatures in source code pro font on fedora

* workaround for broken ts-ignore in typescript 5.8.2",False
adde072dd4810aa8f99bb1e16a6ab7dfc81a6e9d,2025-03-03 21:39:29,Azat Alimov,fix: updateDocTooltip with undefined this.completions (#5754),False
3d7eff8583f454920b9478328a9b59d3577343c2,2025-02-27 19:32:17,Luke Towers,"Add Winter CMS to list of projects on homepage (#5757)

Also fixes styling issue with another logo and a dangling closing <li> tag.",False
810c4650288d32b119239f7731a3b3be0c25376c,2025-02-24 18:31:06,Azat Alimov,fix: Fix is check in xml FoldMode (#5752),False
e237e54604d68d9c52c310c4e177bf49bfc45a06,2025-02-22 02:28:38,Alice Koreman,release v1.39.0,False
08ac1a4c08e36dfacbd1a29851170db0f9ab6655,2025-02-22 02:13:58,Alice Koreman,"add backwards multiline search test (#5751)

Co-authored-by: Alice Koreman <alicekor@amazon.nl>",False
06d51b9164dc9dc39fbd6df26b7132f4b9580a4c,2025-02-22 00:04:51,Sekedus,"feat: Multiline Search Support: line breaks `\n` (#5675)

* add: search/replace line break",False
f9c8ed279ccb8461be417d81f6f6a88c4aadedec,2025-02-21 18:52:12,Harutyun Amirjanyan,csv mode (#5748),False
18cc336187519107f47bb15e989008f48f0b1563,2025-02-21 18:37:03,Marin Sokol,"fix: narrowing platform to be either win or mac (#5707)

Co-authored-by: Marin Sokol <sokomari@amazon.com>",False
ff16482101965fc4fce488a61a3cd0f9454d8e87,2025-02-20 21:06:07,babalaui,fix: check if row is present when setting aria label of popup elements (#5750),False
a27e1e8a5d3d912b3b554cd2b5916b58750e8e71,2025-02-20 01:07:41,Alice Koreman,"fix: set score completion item when skipfilter true (#5749)

Co-authored-by: Alice Koreman <alicekor@amazon.nl>",False
fbe3ddccb1248c9f8f4a6524d2ded7235d225b41,2025-02-19 22:06:10,babalaui,"fix: gutter hover tooltip a11y improvements (#5747)

- made tooltip mouse hoverable
- tooltip will still close on any keypress, unless the CTRL/Command are also being pressed at the same time",False
9574e1e1a9a64ca1943eb9d3f03fa0b84f94adc7,2025-02-15 14:24:17,Azat Alimov,"Fix wrong event types and missing ace.require for ace-builds (#5744)

* fix: missing types for some events

* add ace require to ace-builds build; script to test ace-builds package",False
09bbe54424d79ba514555d4136a253edf1705c59,2025-02-12 14:34:45,nlujjawal,release v1.38.0,False
0db7585ae0ccbd353091426f60ac3d9e53e182c4,2025-02-11 02:28:10,nlujjawal,feat(popup): add supporting skipFilter flag for popup item (#5740),False
09fba2e7347cd499c979e53ec7a8d8ee1fd48918,2025-02-05 21:08:13,babalaui,"fix: improve aria attributes of popup elements (#5739)

- set aria attributes to all visible elements of the popup
- add the meta text to the aria-label if present
- add role=""mark"" to ace_completion-highlight spans",False
ef8b1f0200167cfaf9422752723f0b2f1b6c7024,2025-02-03 16:32:39,Harutyun Amirjanyan,"Cleanup (#5720)

* fix line endings

* fix export conflicting with vite

* fix linter

* test also against older version of typescript

---------",False
75fae83b53f1fe44458dd23fb34862e2e6bd2055,2025-02-03 15:26:15,Harutyun Amirjanyan,"Fix linter complaints (#5735)

* remove unnecessary backtracking from mode extension regexp

* remove unused code triggering csp warnings

* add empty group when testing mode regexps to match the actual usage",False
77b9fe1bc0b10b4c3fb2780d65f9d256d60634ce,2025-02-03 01:55:21,Azat Alimov,"Fix: highlight indent guides with wrapped lines (#5621)

* fix: highlight indent guides with wrapped lines

* fix: rare cases when indent guide final line was not included to bracketed block

* imrove test for highlight indent guide",False
6f05b9265c5edeb2d725a8ad437fdc7a51b7726c,2025-01-30 20:44:50,Harutyun Amirjanyan,fix test failing when TZ env variable is modified (#5734),False
a4b9d2d91a2be841320030d93afde46ae723c8c3,2025-01-28 16:59:31,Azat Alimov,"Fix: wrong type of paste event and missing types for themelist extension (#5725)

* fix: wrong type of paste event

* Apply suggestions from code review

* generate with typescript 5.7.3

* fix: small bug in `moveToMouse`; types

* add types for themelist",False
9a76656acc9528a4a2e92a3b72c4d6598d3a0a8c,2025-01-28 16:57:46,Azat Alimov,fix: types for setTimeout/setInterval calls (#5726),False
62b973ef2247debdd51cf6a41a3b24b97277efdb,2025-01-28 16:56:53,nlujjawal,fix: calling setMode just before destroy causes error reading getLength (#5727),False
73f9f1726f69b6e1fe26c41e1c1a7cab78129718,2025-01-27 15:40:23,phil-hands,use https for homepage (#5721),False
5acea6d9200f4ca0c8495350cda6e41e8351913f,2025-01-20 19:25:00,xyos,fix(VirtualRenderer): fix scrollbar overlap on autocompletion (#5713),False
09a0c5a11106754916a4fc324a35e8daf84055ba,2025-01-16 20:31:06,xyos,fix(AcePopup): fix aria-posinset issue on google chrome (#5719),False
2df045df1cf204172cfe347b5fcc1e2e4ae2fd3b,2025-01-16 15:23:45,Alice Koreman,release v1.37.5,False
7ae3a4c5f6f6e9bd31ae491f1fcef71fc5ae62fa,2025-01-16 15:21:42,Alice Koreman,"fix: update aria-roledescription gutter (#5718)

Co-authored-by: Alice Koreman <alicekor@amazon.nl>",False
85f01cae9699bd7d77e9c6db3a772155539029c7,2025-01-13 17:37:18,Frank Dana,"docs: Correct return type of Search.find() (#5711)

* Correct return type of Search.find()",False
ef08dfb6c5040f7493c2b30b7c19345e86c420c8,2025-01-09 18:34:42,Alice Koreman,release v1.37.4,False
