Hash,Date,Author,Message,IsMerge
18de2edf6b629e843ee4bcedfa2208d22b253f0f,2023-11-18 20:58:48,Thomas Yao,"Update README.md (#367)

imrpoved the readme file by clarifying and imrpoving the readbility of frameworks and languages necessary to do the project.",False
bf676c9faa5c8bf5650e0c33340b5224c4b9ae8b,2022-04-13 07:33:13,Wizard-F,Add Node version to package.json (#327) (#330),False
1ba46445eba0524bd26f202836bb704842af5f39,2022-04-03 03:57:40,Jinseo Park,Add README.md to scratch paper,False
9ba0abcdf4c31ae6dcc4894738be9da1cfa5da9b,2022-04-03 02:46:00,Jinseo Park,Fix sign in/out,False
616b3d44b20981ec2f677b3a28e18282536db403,2021-11-30 23:02:49,dependabot[bot],"Bump postcss from 7.0.17 to 7.0.36 (#309)

Bumps [postcss](https://github.com/postcss/postcss) from 7.0.17 to 7.0.36.
- [Release notes](https://github.com/postcss/postcss/releases)
- [Changelog](https://github.com/postcss/postcss/blob/main/CHANGELOG.md)
- [Commits](https://github.com/postcss/postcss/compare/7.0.17...7.0.36)

---
updated-dependencies:
- dependency-name: postcss
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
8e72d5e5b77ef4ffd3d3f36488131caf930cb70f,2021-05-01 11:20:34,dependabot[bot],"Bump y18n from 3.2.1 to 3.2.2 (#302)

Bumps [y18n](https://github.com/yargs/y18n) from 3.2.1 to 3.2.2.
- [Release notes](https://github.com/yargs/y18n/releases)
- [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md)
- [Commits](https://github.com/yargs/y18n/commits)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
59ea9349d66e7ca4deb3c6d49565d02ed4f34b11,2021-01-28 11:48:52,Jeff Tian,feat: add ScatterTracer and ScatterRenderer (#298),False
f84321cc0729578e5167e8f800fbebaa9f7285c1,2019-11-25 00:01:39,BryanChan777,Update README.md (#274),False
7845b9ec612441ec176856f70da7043d343f5c7c,2019-08-28 21:31:39,dependabot[bot],"Bump mixin-deep from 1.3.1 to 1.3.2 (#270)

Bumps [mixin-deep](https://github.com/jonschlinkert/mixin-deep) from 1.3.1 to 1.3.2.
- [Release notes](https://github.com/jonschlinkert/mixin-deep/releases)
- [Commits](https://github.com/jonschlinkert/mixin-deep/compare/1.3.1...1.3.2)

Signed-off-by: dependabot[bot] <support@github.com>",False
8d13b7bcf41fbb960e72b62c362ab6c5bd010569,2019-08-27 07:45:07,dependabot[bot],"Bump eslint-utils from 1.3.1 to 1.4.2 (#269)

Bumps [eslint-utils](https://github.com/mysticatea/eslint-utils) from 1.3.1 to 1.4.2.
- [Release notes](https://github.com/mysticatea/eslint-utils/releases)
- [Commits](https://github.com/mysticatea/eslint-utils/compare/v1.3.1...v1.4.2)

Signed-off-by: dependabot[bot] <support@github.com>",False
dbec6f495196e3421a02f279a70d2b6c4b107195,2019-07-11 11:11:57,dependabot[bot],"Bump lodash.template from 4.4.0 to 4.5.0 (#266)

Bumps [lodash.template](https://github.com/lodash/lodash) from 4.4.0 to 4.5.0.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.4.0...4.5.0)

Signed-off-by: dependabot[bot] <support@github.com>",False
dc21d272fb0340c9576d193397a271425f6911c2,2019-07-06 23:40:30,Jason Park,Merge branch 'anudeepreddy-master',True
d174ba0642c66ee8f26808cba017dbd358d35053,2019-07-06 23:39:51,Jason Park,Fix .gitpot.yml,False
c0c632e219c12ac9f9e3179a31a95a5250f6556f,2019-07-06 23:29:01,Jason Park,Merge branch 'master' of https://github.com/anudeepreddy/algorithm-visualizer into anudeepreddy-master,True
54e204d7ab835f17f55c4ad053a0fd7a325986cc,2019-07-06 16:44:12,Jason Park,Merge branch 'master' of github.com:algorithm-visualizer/algorithm-visualizer,True
cf44c90949236db97e64c3dc512b9cc9cd0c287f,2019-07-06 16:43:51,Jason Park,Add missing favicon (close #263),False
633e5dd30a825de00d710b893d1bd2b38978d51c,2019-07-06 16:35:27,Jeffrey Fisher,"Fix errors when resizing panels horizontally. (#265)

Closes #264

getWrappedInstance() is no longer necessary.

If {forwardRef : true} has been passed to connect, adding a ref to the connected wrapper component will actually return the instance of the wrapped component.",False
aca5633927da78eac6d9b66185a45bde7d608ad6,2019-07-04 21:29:37,Jinseo Park,Update FUNDING.yml,False
e13f28b90e67769ad688bb2cee1c0e5418823603,2019-07-04 07:46:22,Jinseo Park,Create FUNDING.yml,False
ed4daf286de8171d184eedea704c1fc53cb8df91,2019-06-19 19:18:55,Anudeep Reddy,Update .gitpod.yml,False
419a1a89a57bf4f2a8edfc8fd61406dd37d2bf85,2019-06-09 23:31:38,Jinseo Park,Update README.md,False
03c9cde11e84b89ad3f3538bb58aa50da1edbc75,2019-06-09 23:20:05,Jinseo Park,Update CONTRIBUTING.md,False
3cfb75decfb4a37d1d3dba6ba5d56406037730d9,2019-06-09 22:53:07,Jinseo Park,Update README.md,False
f43df560c13f8deb7025582884910af6620bf3b2,2019-06-09 22:44:48,Jason Park,Update documentation,False
eb1d19ee1407de9a6b5e8e698a58b450a5aae052,2019-06-09 21:27:39,Jinseo Park,Update README.md,False
30394163a3be11f777c456207dc6da84a846ec1d,2019-06-09 20:23:49,Jason Park,Fix warnings regarding manifest.json,False
97e355dedd894ac8df36e66d63ebebdaa22b6009,2019-06-09 20:12:06,Jason Park,Remove a temporary file used to mass rename,False
60fcab5b583d639fae91a70e9ba5a0aa5ef5828a,2019-06-09 20:09:25,Jason Park,Rename jsx and scss files,False
44384cfe338cfd6803d60be5c9314e8042bde096,2019-06-08 23:29:22,Jason Park,Remove webpack and use create-react-app,False
faae63b3be5628237bd145e50a91626999942739,2019-06-08 23:29:22,Jason Park,Separate backend from algorithm-visualizer repo,False
83e4c196a7dc64418b799148b0b8bfe99ce86337,2019-06-07 10:20:57,Jinseo Park,Fix scrolling issue in firefox (Close #248) (#251),False
e47d3037af7ce152109e8d187c2201ab96515fc0,2019-06-06 23:41:00,dependabot[bot],"Bump js-yaml from 3.12.0 to 3.13.1 (#249)

Bumps [js-yaml](https://github.com/nodeca/js-yaml) from 3.12.0 to 3.13.1.
- [Release notes](https://github.com/nodeca/js-yaml/releases)
- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)
- [Commits](https://github.com/nodeca/js-yaml/compare/3.12.0...3.13.1)

Signed-off-by: dependabot[bot] <support@github.com>",False
0773f1a10fb80e8240a5b592783db53ac1b407bc,2019-06-04 04:30:01,Aminadav Glickshtein,"Fix vscode error message: ""Experimental support for decorators"" (#247)",False
05a46da0d5d0427d3564c83d461fb4aabe3a99dd,2019-05-31 09:55:56,dependabot[bot],"Bump fstream from 1.0.11 to 1.0.12 (#243)

Bumps [fstream](https://github.com/npm/fstream) from 1.0.11 to 1.0.12.
- [Release notes](https://github.com/npm/fstream/releases)
- [Commits](https://github.com/npm/fstream/compare/v1.0.11...v1.0.12)",False
f3f4b5a60fc7884e9db681f32cc5d9106d43479f,2019-05-25 23:41:49,dependabot[bot],"Bump tar from 2.2.1 to 2.2.2 (#242)

Bumps [tar](https://github.com/npm/node-tar) from 2.2.1 to 2.2.2.
- [Release notes](https://github.com/npm/node-tar/releases)
- [Commits](https://github.com/npm/node-tar/compare/v2.2.1...v2.2.2)",False
0fcb4233f737d26c9019d66cbeb1d622ffbaee70,2019-05-25 23:34:31,dependabot[bot],"Bump webpack-bundle-analyzer from 2.13.1 to 3.3.2 (#241)

Bumps [webpack-bundle-analyzer](https://github.com/webpack-contrib/webpack-bundle-analyzer) from 2.13.1 to 3.3.2.
- [Release notes](https://github.com/webpack-contrib/webpack-bundle-analyzer/releases)
- [Changelog](https://github.com/webpack-contrib/webpack-bundle-analyzer/blob/master/CHANGELOG.md)
- [Commits](https://github.com/webpack-contrib/webpack-bundle-analyzer/compare/v2.13.1...v3.3.2)",False
4391b98b2b932af2f06aff3947b8d9412bd1c8b9,2019-05-25 23:34:06,dependabot[bot],"Bump lodash from 4.17.10 to 4.17.11 (#240)

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.10 to 4.17.11.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.10...4.17.11)",False
876b2242e66c86c7da3181951074a99a2a806190,2019-05-25 22:07:48,Jason Park,Fix zoom issues as Chrome updates,False
a95b83103e6c02db7ac97b207c03242a2a72e0e6,2019-02-18 23:00:26,Jason Park,Update C++ skeleton file,False
142c185b38c65efbeb67ea3513e90c99d3773691,2019-02-18 20:39:48,Jason Park,Set limits again,False
9555c52c532301f4e81ba26b486d1a6472ef4127,2019-02-18 20:38:13,Jason Park,Remove time limit temporarily,False
b9cf2c085088c6f7a3eb41c5459e86850e0a8b0b,2019-02-18 20:35:47,Jason Park,Remove memory limit temporarily,False
450d61d2311f3442e6e72706936b7c6c2b6460fc,2019-02-15 06:32:09,Jason Park,Update skeletons,False
84a230d8b0d0c315e4326049038e4e8b96c5daca,2019-02-14 00:12:47,Jason Park,Fix MarkdownTracer showing nothing,False
a13a18bd1b4e645f7920020e7b11c5c3947b72b1,2019-02-13 23:56:10,Jason Park,Fix default title of tracer,False
c7ec89619354404c3503384c7db7f3bf841ae33b,2019-02-13 23:27:47,Jason Park,Add layout feature,False
7271b3465af27d8dd6066115c8c492c1baef7c67,2019-02-06 02:17:41,Jason Park,Remove dependencies on unpkg.com (#234),False
ece284774c786ec82e97ec430f22114a0897c6c4,2019-02-06 00:43:50,Jason Park,Remove babel,False
c5f58e895fad15dd6edf0ad550f74b4bc664607f,2019-02-05 10:54:20,Jason Park,Show indices on array tracers,False
cdd3c271d1f7ac7e7cbd57afa3a396197ddfd42f,2019-02-05 10:31:15,Jason Park,Make cells lining up in array2d,False
08a3a3041747220f2dced833152f3b370287db36,2019-02-05 09:37:11,Jason Park,Put placeholder for empty row in array2d,False
33cdd1c58b8b8510f5d4f0888864a22575e1c22a,2019-02-05 07:14:20,Jason Park,Use require instead of import in skeleton.js,False
d7f006adb057d3dc91029dae389d28f0bcad2824,2019-01-28 10:07:28,Jason Park,Keep the tab opened after saving,False
50767b104f7371773f2c56070ac94ab300a09453,2019-01-28 09:31:22,Jason Park,Fix fullscreen in chrome,False
71591c63027fb108987dda7d5c58e93a2a0d6232,2019-01-25 00:54:40,Jason Park,Add println and printf to LogRenderer,False
837fd3e39c3d64deb9544e9872d093eda20f23c4,2019-01-24 14:31:20,Jason Park,Fix minor accessibility issues,False
5fb121796080926fa59db63f5d08b33497db8eb7,2019-01-24 14:19:58,Jason Park,Compress responses,False
83213cdb181915ca88aea7b0603ed6ee3bd298f7,2019-01-24 13:45:16,Jason Park,Disallow scratch papers to be crawled by robots,False
0ffee2e5dc76abedd043c273f597a9a9e2bc732a,2019-01-24 13:29:56,Jason Park,Send http 404 when algorithm not found,False
f025e8827c4592c10416c1891e1ed08566a7a3b0,2019-01-24 13:03:01,Jason Park,Let webpack split chunks,False
4e8df588b9e31d22efa5da618256c392556ede05,2019-01-24 11:40:58,Jason Park,Fix history block,False
68c062f4aff227873d88962c595ee5f2f7b6d643,2019-01-24 11:17:16,Jason Park,Refactor redux stores,False
a056b266d4d9d0693b199b3326f94f9e40a66289,2019-01-23 22:21:46,Jason Park,Prevent default wheel action when zooming,False
de8cd9685e37197bc855ab4a1ac301b2eedc913a,2019-01-23 21:59:37,Jason Park,Fold visualization codes by default,False
2b0bea97ce62357ab078913efda30cf0078119ef,2019-01-23 02:16:39,Jason Park,Rewrite skeleton codes,False
6cf9434f6d59dceee05b5d5bd8484b6c9d5b1011,2019-01-18 22:22:58,Jason Park,Quiet tracers,False
4c39148e7e2d09bed4b2bade16c815c13b2eacf1,2019-01-18 21:49:19,Jason Park,Link libcurl to g++,False
d5b0c316b041bffca169bf0d91373a3d45f132e8,2019-01-17 23:59:02,Jason Park,Set ALGORITHM_VISUALIZER env var when running docker,False
3e03015ad4f511b4673ee0f76e39bb16137a6de2,2019-01-17 13:01:09,Jason Park,Fake environment variables in web worker,False
5100b0f3eac573e6ce53af042d02905196c886c9,2019-01-17 10:53:19,Jason Park,Visualize local codes,False
c3c6dedb8bc04879d0b831ae4cfbff26d43fb43e,2019-01-16 23:15:37,Jason Park,Update documentations,False
6d4326b91651bceccdf8f0288480c9a4211d7839,2019-01-16 23:15:06,Jason Park,Update wiki link,False
27044d98488928329fe48c78472ac7294c88e58c,2019-01-16 20:23:00,Jason Park,Bring compiling/running code parts from tracers repository,False
b539553e91da723e1c1db68d690f84a798bd90a1,2018-12-14 16:39:49,Jason Park,Ignore package-lock.json when running git diff-index,False
fca60ef1d8a2c736b3e20479d0977e6853864096,2018-12-14 16:17:14,Jason Park,Run pull.sh with pm2 when webhooked,False
42e3d97e91ad1d3a53206080d1e20ed88964223b,2018-12-14 15:41:23,Jason Park,Fix wikipedia images and equations in markdown,False
e5c1409a344b72693b8bb0ca0ef781605d061c4e,2018-12-14 15:18:39,Jason Park,Merge branch 'master' of github.com:algorithm-visualizer/algorithm-visualizer,True
0e96a299184c01fcd14ca2f69197be34e774f22e,2018-12-14 15:09:10,Jason Park,Pass algorithm data to client along with index.html,False
d293807271265846e6594bb4ba809e78d32a20b3,2018-12-12 10:28:37,Jinseo Jason Park,Update PROJECT_DETAILS.md,False
2fd5a69a35264de865898314fa72119426ae3282,2018-12-12 07:13:17,Jason Park,Render title and description tags on server side,False
c78bcc3a1f2ca1fd1f1746a084dd0f5639d0ae09,2018-12-10 14:00:02,Jason Park,Fix bin/pull.sh to install devDependencies,False
fe475aae0c24766804f5f785c3353720639bdfa6,2018-12-10 13:53:55,Jason Park,Parse description better,False
71aea5352bf07b27f5b8f991b46c4aa3d0b70554,2018-12-10 13:32:20,Jason Park,Add window.onbeforeunload,False
47f7f2f60a8a0b9d0b4a740744cce0abfda9bcbe,2018-12-10 11:07:38,Jason Park,Show error and redirect to home when page not found,False
c0d8a9db311d9dd73bbb126c0aeec5aa801d20d0,2018-12-10 10:05:06,Jason Park,Improve keyword search,False
68a1629d6648eef207bca33881357c69d0fefbc5,2018-12-09 11:03:10,Jason Park,Disable unnecessary zooming and panning in Chart/Log/MarkdownRenderer,False
1f2381ac277974a30d2b967b8be76a8d3c47cc8c,2018-12-09 10:25:52,Jason Park,Improve history block,False
13b131cc9c8356e6281b954f16159d4386e8ec1f,2018-12-09 10:01:47,Jason Park,Fix adding file,False
144adbd393d1fe35eefe524e5883ded2705d5852,2018-12-09 09:56:38,Jason Park,Add id to markdown headings,False
06be49667d325d6833d85015d9e03d3f0d39b7dc,2018-12-09 07:12:02,Jason Park,Improve wordings in documentations,False
cd1d30dce5f7b9bc6e4fd92a9ef4e278e17266b3,2018-12-09 07:12:02,Jason Park,List directories instead of files when caching algorithms,False
73517b10d095b1c47cf9261b95b396164d17f411,2018-12-09 07:12:02,Jason Park,Cancel old Tracer API when page moves,False
f15bad25e2b4d49182b0956df5d719dae25f1ab7,2018-12-09 07:12:02,Jason Park,Add documentations (Close #233),False
6e8be4d8e9d5f3d6c912a668b56d9109ee80a77d,2018-12-09 07:12:02,Jason Park,Fix minor bugs and do frontend code refactoring,False
eb89a866e328167bd576db038dc04512f1fe9f47,2018-12-09 07:12:02,Jason Park,Update metadata,False
1740263a9eaec1e4b41ab40df4ff5dfa58e571c2,2018-12-09 07:12:02,Jason Park,Reverse speed bar,False
e385ecdb34e90a1f245e92026e110d9e768f2fc9,2018-12-09 07:12:02,Jason Park,Refactoring regarding home page,False
e8df55ed91bd8edc2952ff21751a02fa89beebe4,2018-12-09 07:12:02,Jason Park,Support HTTPS,False
dff557a9da0be23d9e03eda26a4dcc7c423a0418,2018-12-09 07:12:02,Jason Park,Fix webhook pull,False
630e1c51efe94a98d9dfe75d396f9cc76bcface8,2018-12-09 07:12:02,Jason Park,Add sitemap,False
61bee72dd30e700b7f217415bbfbbae58b10d1b5,2018-12-09 07:12:02,Jason Park,Add Open Graph meta tags,False
29d7c719b47368bceb73a37df0085816bb71c2fa,2018-12-09 07:12:02,Jason Park,Redirect old URL to new URL,False
7bf710a4ad7c80acc428673b10502f9ea10f2a6f,2018-12-09 07:12:02,Jason Park,Read arguments through argv instead of env,False
4d3df8656ddd396294289c36a42f03077d17f8c5,2018-12-09 07:12:02,Jason Park,Move from heroku to aws ec2 (Close #229),False
a051e040a9f8b3f37a265106cf17f58b51d8f3f0,2018-12-04 07:16:05,Jason Park,Change SSH URLs of the repositories to HTTPS,False
b9e9488ad1fab825aaea6bad51fef18fd4b72439,2018-12-04 07:11:17,Jason Park,Fix dependencies,False
59c14dcbe6651417c298da92318b59b8afee02b3,2018-12-04 07:05:22,Jason Park,Rename environment variable HTTP_PORT to PORT,False
79134f1c37705798730aa72c14e117115785a8c8,2018-12-04 06:51:31,Jason Park,Add heroku-postbuild script and split dependencies and devDependencies,False
98da97beea6fdede384ec2845a9bbdaa7a174c83,2018-12-04 06:14:39,Jason Park,Add webhooks for tracers and algorithms repositories,False
ff73e54ad5f0d71dc86c3b1e8566e8a543247363,2018-12-04 04:33:02,Jason Park,"Add updateNode(), removeNode(), updateEdge(), and removeEdge() in GraphTracer",False
e228589288a0028dd2d159412380e22cc6c1ab7a,2018-11-19 12:58:05,Jason Park,Remove CompileError and RuntimeError classes,False
d0eb54c85478962461f4e6986e503afb76e1063b,2018-08-13 12:23:11,Jason Park,Refactoring 'current' reducer,False
49d000b31170b45452689b49acb53cc5d96406bf,2018-08-12 00:58:45,Jason Park,Handle errors better and fork a gist when modifying other's scratch paper,False
e7d7c101df642053321498b3d1859ff5f8464ce8,2018-08-11 21:22:07,Jason Park,Fix minor bugs,False
0ee06293494f4d9a66a1fa619176a3f9cc00512d,2018-08-11 19:18:33,Jason Park,Don't warn about unsaved changes when deleting a scratch paper,False
cc7ea60fdebe5fcdf9cc882673184e0cd0e793ec,2018-08-11 19:07:05,Jason Park,Fix a cursor being lost when moved to scratch paper,False
0de6f160f612cc7b002fe13cea32f97b014ac6b3,2018-08-11 18:37:32,Jason Park,Warn before discarding changes,False
0be0e02dc7febefcc9fc32c8b4fd4dfa02755079,2018-08-11 17:49:59,Jason Park,Improve visualization performance and revise toolbar buttons,False
b422d7072c6d4e24c651e8b49130573dd60ab936,2018-08-09 13:42:18,Jason Park,Add skeleton files for scratch paper,False
84a972c8aa3ffc4d381a2ec2471163f2530cef4b,2018-08-08 21:54:30,Jason Park,Refine compile/run error messages,False
c5aa4f8b2c64ab5eff887f1d196e6387e0e0e5e1,2018-08-06 03:51:59,Jason Park,Move all the compiling/running parts to tracers repository,False
753089801fceb1721eb3c2b6db6bee2af157007c,2018-07-26 15:10:11,Jason Park,Create LICENSE,False
81a3a957cce14e95da258e4914f063b58b4bef10,2018-07-26 14:24:15,Jason Park,Update README.md,False
63db7c4397ffffa0f14a6e8240fc96533a92b73d,2018-07-24 08:46:14,Jason Park,Support C++ and detach algorithms and tracers submodules,False
3e5a2f022696a8537f14644a8e3ebd4712ed8a38,2018-07-19 18:03:17,Jason Park,Add facebook share and add todo's,False
b44161ee6ffb6bec1da1c1793d1800add6a22e98,2018-07-18 22:06:11,Jason Park,Show guest profile in scratch paper if not signed in,False
5637c08b3210025ff27c5c9a0c284b2bd6ba9be2,2018-07-18 21:55:34,Jason Park,Create SCRATCH_PAPER.md,False
8f5a875a64fbe08776bc0611cc41a056e36e73fb,2018-07-18 21:40:29,Jason Park,Add error types on frontend,False
48ae56360c095f396157f3dab88f285787e87c92,2018-07-18 21:25:11,Jason Park,"Put ""(Unsaved)"" in front of title if not saved",False
6e810e6bfa988fc2c21c885cb3815824433d39c3,2018-07-18 21:15:01,Jason Park,Add meta tags and refactor code,False
950f5d3ab534c35ffc74e339bc6c298d9fc6a249,2018-07-18 18:06:46,Jason Park,Authenticate seemlessly and handle error better,False
e02b82e9d3ebcc6b8202e565bc6f10a7a1dc1c82,2018-07-18 15:21:47,Jason Park,Add click-to-confirm buttons and fix color names,False
8b82d234a4f78a9768518fcc52122780ad9d5a37,2018-07-18 13:32:45,Jason Park,Add renaming and deleting file,False
59b189b223f7827a98b67b17751d239d43bb0e0a,2018-07-17 21:35:55,Jason Park,Refactor tracerManager,False
5d40c97de81796f6f25c612b5cdcc275f7e8bb68,2018-07-17 21:02:58,Jason Park,Compile and run java code in docker,False
396ef5f38c64c0240675b61a6a531b5ae7df688f,2018-07-16 14:25:12,Jason Park,Update package.json,False
31ee7ecfb6b4ac777d694b30cd718cba158b03d3,2018-07-16 13:14:55,Jason Park,Download traces lib,False
dfec3da66249bdee233296704548e4824ca252d9,2018-07-16 11:50:01,Jason Park,Use axios instead of github-api,False
f76efaf95f8a9739d7295cc6880f263895af016a,2018-07-16 10:31:59,Jason Park,Remove docs submodule and add a link to it,False
f6431e7a47a29b38a0358cb3e88d98fdcdbc41ed,2018-07-13 16:34:33,Jason Park,Improve controller,False
9818eeffb9332c5ddc638136dc04745764db5255,2018-07-13 12:21:12,Jason Park,Remove algorithm-visualizer.wiki submodule,False
6e99c66f6b03e665ff89870353c77b3e32033789,2018-07-13 12:18:09,Jason Park,Remove tracers submodule,False
d62ed9981c067cdae7817dbb73c5b6b2433e7545,2018-07-12 19:39:37,Jason Park,Add Dockerfile for sandbox run,False
f827ee5330116a012d34c35c7bc54ba981000e73,2018-07-12 19:32:17,Jason Park,Rename directory built to build,False
869d5fdccea4a3c943dc9948878cd085772d4cda,2018-07-12 12:54:25,Jason Park,Minor changes,False
36031b7779e751e42d812ce1d0092163b8997c4f,2018-07-12 08:12:17,Jason Park,Remove options parameter in tracer constructors,False
e0686f2a24d539fcb5073d4ec8ae9f132f6dac46,2018-07-11 15:44:01,Jason Park,"Rename method wait to delay, notify to patch, and denotify to depatch",False
d85faa90c7557494033773ca9b09aa5dc0652831,2018-07-11 11:15:12,Jason Park,Build js worker in tracers repository,False
ec55a7cf51c76e0a9e32d3c4a7ca53473c7f5167,2018-07-10 09:13:38,Jason Park,Get ready for supporting languages other than js,False
6fc67198ef61d912e1ea7a96f04917f93838a92b,2018-07-10 00:42:04,Jason Park,Run tracers on web worker,False
7a693e2fa0cc46c578ec7f3feda8123b21c64c78,2018-07-09 15:02:26,Jason Park,Load and save scratch papers,False
95ccc7ff2cdf49555d8f3d77179016a29cf5c90e,2018-07-06 17:36:07,Jason Park,Add language choosing button,False
74d63c25e87a196c202d65c3ed0e0ca639662e7c,2018-07-06 17:03:12,Jason Park,Load scratch papers from GitHub gists and refactor code,False
f31a3ee62eedc37e88ccd8fb484d721172d740fc,2018-07-04 21:00:36,Jason Park,Remove workspace and improve performance of tracerManager,False
a3529a3142752b54a9b0390dddead133ba690266,2018-06-30 14:27:23,Jason Park,Improve workspace performance and few other things,False
b4801513dcdf45088451b50559d6940110781414,2018-05-01 14:58:32,Jason Park,Show contributors,False
99a6a60dbcf3c126fdbf1c0c1b1226da99645f67,2018-05-01 09:57:48,Jason Park,Rename api 'directory' to 'hierarchy',False
e8b6b0fe910bafdfb8ecb4b733ef3e38bec2ba40,2018-05-01 09:57:47,Jason Park,Separate algorithm directory into another repo,False
9d922bfe1cf362967bca02284e542be87e3a7f30,2018-05-01 09:57:46,Jason Park,Add sign in with GitHub,False
fdd15923ca742edb82b613d56b0a24bfddc0f413,2018-05-01 09:57:46,Jason Park,Rename desc.json to desc.md,False
e69968f599f517e617de4741c7b54e4423eb356f,2018-05-01 09:57:45,Jason Park,Let description be written in markdown,False
9831354db31b02a16eec1c133bfb527df598e2cf,2018-05-01 09:57:45,Jason Park,Revise GraphData,False
edf887412f311cc95931063e9758c8eec72f3208,2018-05-01 09:57:44,Jason Park,Fix some of eslint errors,False
2c0d589758855a8afe9f42a09c4f99fd38634505,2018-05-01 09:57:43,Jason Park,Add import statement to algorithm codes,False
841a0e11ee571bbd6aa6b010b09bb4f8feedf104,2018-05-01 09:57:43,Jason Park,Change all the snake_cases to camelCases,False
bc2e901d8384d154a62727e70be02ae16a9c46ba,2018-05-01 09:57:41,Jason Park,Run eslint fix on algorithm directory,False
041f23423ebe41a274fd16ad6c02b859a85a7b48,2018-05-01 09:57:40,Jason Park,Add eslint,False
8819169144f15a2e452228f49d822b5fb8635455,2018-05-01 09:57:39,Jason Park,Add randomize module,False
9871d1c71b89499a62b25d58741b1f8d618978dd,2018-05-01 09:57:39,Jason Park,Implement react-dnd,False
22f93120d56651917c2176d68cf801ca60a64eff,2018-05-01 09:57:38,Jason Park,Add non-relative sections to workspace,False
23e6b3ab7ed8d818aacbcecf2c783f22b12fe207,2018-05-01 09:57:38,Jason Park,Enable dragging sections,False
e7a3bbe95e6c47973f968aa203daa08449aaa72e,2018-05-01 09:57:37,Jason Park,React-ify workspace module,False
70fd417b45c265fa88f79b31c8f16d8b18a7491b,2018-05-01 09:57:37,Jason Park,Add each renderer to workspace,False
26949548dea7e32e459b1b2e00c8af5d5f04b9e5,2018-05-01 09:57:36,Jason Park,Refactoring workspace for further use,False
52963f8551f23f1ad88a61bfa562db4e8951b46b,2018-05-01 09:57:36,Jason Park,Merge data and code parts into one,False
fea69ceecf695ce9415509c51f7dafa1a8a425c3,2018-05-01 09:57:36,Jason Park,Add BrowserRouter,False
f4500f7e4ce3c270143980906de13de4bb6fc2ba,2018-05-01 09:57:35,Jason Park,"Load categories/algorithms from filesystem, not from category.json",False
2bf8a4a5834f67aaa3bd7580289676face2ce792,2018-05-01 09:57:34,Jason Park,Rewrote in React.js,False
c165649345671fad5a817642bb74b36d0e0e65a1,2017-02-28 16:43:41,Jason Park,"Merge pull request #221 from rajraku/master

Tracer to depict addition of nodes in binary search tree",True
2a36705fc84b0f58961f585a7bd2a421e331f975,2017-02-28 15:20:32,Rajkumar Sriramulu,Updated layout stratergy to draw nodes,False
21374adc45b81efc559a7d9d70a8d5151575658f,2017-02-27 14:51:22,Rajkumar Sriramulu,"Removed node collection dependecy from consumed app

udpated code to store nodeCollection and root with in the construct
tracer",False
13323b04f22058c499559fdb1a4d1d2c3fe16fc9,2017-02-27 06:40:06,Rajkumar Sriramulu,"added trace to construct elements

still work pending in construct and tree code",False
20abd87036ec8ab8efa83ef1f3f4a1cca5d2f665,2016-08-07 00:33:22,Kevin Nadro,all algorithms use mathjax for complexities (#212),False
b91f29ec27257c90af950e0b92c115ce4e8a0b4b,2016-07-15 11:40:39,Raghav Dua,"Merge pull request #210 from archie94/lca-revise

Revise LCA visualization",True
d3780196b7d0242ebcadb9c8ae58c23386b3dfc4,2016-07-13 01:07:25,Veljko Tornjanski,"Merge pull request #209 from nadr0/adding-mathjax

Adding mathjax",True
293257f9bcc154c1f26876b53361f2c3d70b5320,2016-07-12 20:07:35,Kevin Nadro,added powered by for mathjax,False
86ebba453dd186ddec62d6c553da11917ed3e88b,2016-07-12 19:24:17,Kevin Nadro,added mathjax example,False
856798b64c5fb7c916581e005fc1364dfbd4fc75,2016-07-08 21:01:11,Nemanja Stojanovic,"Merge pull request #206 from nadr0/tab-css-fix

Tab button css fix",True
db033eee1f87d9e6bed137cdde2e8bae0f239af5,2016-07-08 20:48:47,Kevin Nadro,"fixing colors

- its odd with the colors being off by a few values when the button
actually gets added to the container",False
a516827dcc3ce909fa7a994bf9cde5d47a0c29e0,2016-07-08 18:29:54,Jason Park,"Merge pull request #204 from nadr0/auto-generate-tracers

Auto generate tracers - fixing bugs",True
cdb9104ea9ddb9c4db099cae15a7a1b41be8e0e0,2016-07-07 23:37:23,Kevin Nadro,fixing css,False
