Hash,Date,Author,Message,IsMerge
d8f77817eb5c98dec5317bc3756d1ea1812bcfbe,2024-04-12 23:13:13,Mike Brocchi,"chore: update post LTS links (#17187)

Co-authored-by: Mike Brocchi <brocco@users.noreply.github.com>",False
47bf11ee94664367a26ed8c91b9b586d3dd420f5,2022-04-12 21:18:22,Jeremy Elbourn,docs(changelog): fix wrong date in changelog for 1.8.3,False
b5aa42586e5750b780324bb50e6a0bffda8cb6be,2022-04-12 01:56:36,Jeremy Elbourn,docs(changelog): fix typo in changelog for 1.8.3,False
cf16b241e1c61c22a820ed8211bc2332ede88e62,2022-04-07 21:43:37,Jeremy Elbourn,"docs(changelog): add release notes for 1.8.3

We're doing this final release to update poackage README files for npm.",False
757d56ea9c3de6245df7e5cac025dbf7077082ff,2022-03-19 00:34:55,Jeremy Elbourn,"docs(*): update end-of-life messages (#17177)

* Docs homepage
* Docs banner
* Security and support pages
* GitHub README
* CHANGELOG",False
f3624374e436cec6a8e42ff9298df429c26f8c56,2021-12-10 04:30:31,Ed Clement,"docs(eol): add EOL options text and link to template header used in every page

Closes #17164",False
fb04e424bb0826c07090fa4cac91b6fbe7108b18,2021-12-10 01:50:18,Ed Clement,"test(Angular): fix `angularInit()` tests on Safari v15+

Previously, the `angularInit()` tests assumed that the Safari browser
uses the `safari-extension:` protocol for browser extension URLs. This
is true for versions <15. However, since v15, Safari on iOS only
recognizes the `chrome-extension:` protocol, which causes the tests to
fail ([example failure][1]).

This commit updates the tests to use the correct protocol according to
the version of Safari used.

NOTE:
On macOS, Safari v15+ recognizes both `safari-extension:` and
`chrome-extension:`, so it is OK to always use the later with Safari
v15+ (regardless of the platform).

[1]: https://circleci.com/gh/angular/angular.js/3527

Co-authored-by: George Kalpakas <kalpakas.g@gmail.com>

Closes #17166",False
6a52c4f90cc661c0605cd98e6cb04455ba913f58,2021-12-10 01:49:58,Ed Clement,"test(input): fix tests on Firefox v93+

Since version 93, Firefox started more closely following the spec on
formatting `datetime-local` input values by removing trailing zeros from
the string representation of the value. This causes some of our tests to
fail ([example failure][1]).

For example, a value is reported by Firefox as `2009-01-06T16:25` while
the tests expect `2009-01-06T16:25:00.000`. I.e. Firefox started leaving
out seconds/milliseconds if they are zero.

According to [MDN][2], this is the correct behavior according to the
spec. Indeed the spec says that [if the value of the element is a valid
local date and time string, then it must be set to a **valid normalized
local date and time string**][3], where **valid normalized local date
and time string** is [defined as consisting of][4]:
> - A valid date string representing the date.
> - A U+0054 LATIN CAPITAL LETTER T character (T).
> - A valid time string representing the time, expressed as the
>   **shortest possible string** for the given time (e.g. **omitting the
>   seconds component** entirely if the given time is zero seconds past
>   the minute).

This commit fixes the relevant tests by explicitly specifying non-zero
values for seconds and milliseconds.

[1]: https://circleci.com/gh/angular/angular.js/3527
[2]: https://developer.mozilla.org/en-US/docs/Web/HTML/Date_and_time_formats
  #local_date_and_time_strings
[3]: https://html.spec.whatwg.org/multipage/input.html
  #local-date-and-time-state-(type=datetime-local)
[4]: https://html.spec.whatwg.org/multipage/common-microsyntaxes.html
  #concept-datetime-local

Co-authored-by: George Kalpakas <kalpakas.g@gmail.com>",False
ed30c4d0ea820d79601ca17e2c670e6acae16eb7,2021-08-24 13:54:46,Gage Guzman,"docs(README.md): add wiki link to MVC

Add a wiki link to MVC in case people have not heard of it before and
want to read about it more.

Closes #17152",False
4032655100dfb085e20e07d364f6292d64cfc15c,2021-06-12 18:55:47,dependabot[bot],"chore(deps): bump js-yaml from 3.5.5 to 3.14.1

Bumps [js-yaml](https://github.com/nodeca/js-yaml) from 3.5.5 to 3.14.1.
- [Release notes](https://github.com/nodeca/js-yaml/releases)
- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)
- [Commits](https://github.com/nodeca/js-yaml/compare/3.5.5...3.14.1)

Closes #17147",False
47f8c65aca7a55ea2978ef575822596689cb2648,2021-06-12 17:56:29,dependabot[bot],"chore(deps): bump normalize-url from 4.5.0 to 4.5.1

Bumps [normalize-url](https://github.com/sindresorhus/normalize-url) from 4.5.0 to 4.5.1.
- [Release notes](https://github.com/sindresorhus/normalize-url/releases)
- [Commits](https://github.com/sindresorhus/normalize-url/commits)

Closes #17145",False
56b0ee32756d9ac7ab39145e6c6df656fa649c07,2021-06-12 17:55:34,Michael Prentice,"chore(e2e): run tests against Chrome 91 on macOS Catalina

Closes #17144",False
58cd89742029291a30678bfe440fad958c9a0275,2021-06-12 17:52:18,Michael Prentice,"chore(e2e): run tests against Firefox 85 on macOS Catalina

Closes #17142",False
c3769a6b5b169ab1f5f1fc4de7a840fb47ecaa48,2021-06-07 22:32:55,Michael Prentice,"chore(functions): support NodeJS LTS v14. fix audit issues

- update firebase scripts
- from: 6 vulnerabilities found - Severity: 6 High
- to: 0 vulnerabilities found

Closes #17140",False
