Hash,Date,Author,Message,IsMerge
d85a64227c7bd4edfd2134970220deb0dff590ce,2024-11-10 14:10:08,Julian Garnier,Update sponsors,False
b471ced746e4488b0e53587bbdd5999f7af2f668,2024-03-29 21:58:53,Julian Garnier,Update README.md,False
f3e4994b4dbc360b03f940393fb968b7b89fa209,2024-03-29 21:56:25,Julian Garnier,Update README.md,False
18ba44adaf7bc2890b41a4bda3b5b10feb8987c5,2024-03-29 21:49:38,Julian Garnier,Update README.md,False
e101b5ae03595ddce67a72a232eae13771049802,2024-03-29 21:48:23,Julian Garnier,Update sponsors,False
6e9105c6d0f16c2e7f421ea5f9aa8c6fe5c502b5,2024-03-29 21:35:37,Julian Garnier,Add sponsors,False
653297802f10ddc4048ed00b5c77e552dd6c6a49,2024-03-29 21:31:26,Julian Garnier,Update README.md,False
c217e70af0bc9bb31dfff50621585d8cff935882,2024-03-29 21:30:13,Julian Garnier,Update README.md,False
70ea16d39681f28608df9bb1a5a22e93794afdb4,2023-11-28 17:51:14,Julian Garnier,Update docs,False
5056829cd5538a40688348f900c5c72d99166209,2023-11-28 17:49:53,Julian Garnier,Update LICENSE.md,False
239158e83c7ca1e1d27ab5e556a18b58832b4c2f,2023-11-28 14:47:41,Julian Garnier,Bump version number,False
0da58d22cca4135b883eee2c67b97c8189df5c42,2023-11-28 14:39:23,Julian Garnier,Fix expo easing,False
620464f6c1af69bc199f504a97c6f15a8edb85ba,2023-10-24 22:24:34,Julian Garnier,Merge branch 'master' of https://github.com/juliangarnier/anime,True
27a9d002b78d9b1b9bac058985b427b2f14b62f7,2023-10-24 22:24:24,Julian Garnier,Add V4 Notice,False
f3f269a1de823506b069619726bdb11c14aa1e1f,2023-10-24 22:20:48,Julian Garnier,Create FUNDING.yml,False
30a9826aa14f62556306e49741a057c332efac7a,2023-10-24 22:16:51,Julian Garnier,Update README.md,False
3ebfd913a04f7dc59cc3d52e38275272a5a12ae6,2020-10-15 18:28:33,Julian Garnier,Switch GitHub button to dark theme,False
0a1234bf30c32cdfdd434ddae122e55c696c3070,2020-10-12 20:28:40,Julian Garnier,Rename examples,False
ad4e5883499b13848f8756ef136d57cf99a8e95f,2020-10-12 20:26:45,Julian Garnier,"remove prefix ""anime-"" of examples files",False
8badbc020293457d1bffe4841cd215ee6c4a1619,2020-10-12 19:13:56,Julian Garnier,Better elastic easing documentation #694,False
cc6fa9c25b17494f2e9fb5cbbca67df836b172d9,2020-10-12 19:01:14,Julian Garnier,Fix typo in docs,False
4ea2ca22db9390630a8db7f5285e38c861cd9235,2020-10-12 18:54:17,Julian Garnier,"Merge pull request #635 from DarkAce65/instance-remove

""remove"" method on instance",True
351866c0086321bc9d4cdf3914bb525fffeb1d73,2020-10-12 18:53:27,Julian Garnier,Merge branch 'v3.2.1' into instance-remove,True
225fadd89d2b4fc976bca8064197c82b10e06fba,2020-10-12 18:49:11,Julian Garnier,Bump version number,False
1a7405cd992db3865083bcf1ff2dd1ff15fd6da5,2020-10-12 18:48:02,Julian Garnier,Bump version number,False
5d72690faa397fb6afd3b05a4e5b0f563781732b,2020-10-12 18:14:38,Julian Garnier,Add 'OutInElastic' easing example in documentation,False
7edea3ef92a050d9c450e482da77343ccabad54d,2020-10-12 18:11:09,Julian Garnier,"Cleanup ""is"" helper functions",False
eb6d11e32da575b9cf2c7e3a8e1612df0a500489,2020-10-12 18:03:30,Julian Garnier,"Merge pull request #540 from nabiltntn/fix-getAnimationType-getAttribute

fix condition for getAttribute when the returned value is 0",True
b4aaefbccbaf1eff88e1026f049ff28fa46b98b7,2020-10-12 15:48:45,Julian Garnier,Do not scale path coordinates when animating an SVG el #726 #568 #726,False
eb937a7cd1037ba00daf3c9b845a03b88d8061a0,2020-10-12 13:53:13,Julian Garnier,Add suspendWhenDocumentHidden to the docs #701,False
a9ecb4d624c0a337c95665d73623fe0dab9d0211,2020-10-12 04:58:48,Julian Garnier,Bump version number,False
81087f6d7d40e4f469ebd3b05f01796afcf7969d,2020-10-12 01:44:38,Julian Garnier,"Merge pull request #701 from fljot/bugfix/document-visibilitychange

Fix bug with 'visibilitychange' event and paused instances (fixes: #560)",True
