Hash,Date,Author,Message,IsMerge
329fb34f777034345f4d3f4def4dc3bcc300cc2e,2018-10-04 04:24:44,Michał Sajnóg,3.0.0-beta.6,False
ea374ae60c62c6aceb02472282ce53ebf06016e4,2018-10-04 04:22:21,Nicolas Coden,"fix: disable mutation observing when not supported (#405)

Disable mutation observing and display a message when MutationObserver is not supported by the browser.

Closes https://github.com/michalsnik/aos/issues/404",False
21888046d1b743bfd3b765c83d23709d6ac2c950,2018-10-04 04:15:32,Michał Sajnóg,Add throttleDelay and debounceDelay settings,False
7c55654beadab9ef9be358b3584dd1bde3f1a259,2018-10-04 04:09:41,Michał Sajnóg,Add disableMutationObserver setting,False
2f62a4d9ef2d8a03877c937bd79233ebc6a2ae92,2018-10-04 03:36:15,Rostislav Shermenyov,"Fix typos in README.md (#403)

Fixed 2 typos.",False
5b40aa94033f5283504c177d4455b66708683c5f,2018-10-04 03:36:00,Tyler Earls,"Update README.md (#386)

fixed ""Recipes"" typo, fixed broken link to the list of all the animations",False
b11385ac87d169f49f3ed28abcbe0d7f1a7eac27,2018-08-18 00:55:07,Michał Sajnóg,3.0.0-beta.5,False
36d2ffd42a402b46c424d806d92181b374af8c20,2018-08-18 00:53:16,Michał Sajnóg,Add src to files,False
479dd33b188dc12b5549339c260263622c3d3b65,2018-07-08 23:12:32,Michał Sajnóg,3.0.0-beta.4,False
68a0d523620c76eee5a4fd3b0ca161367a9dfb1e,2018-07-08 23:12:07,Michał Sajnóg,Fix AOS detection in MutationObserver,False
835ad10263b2ad8441dc7a95bada4051d866e127,2018-07-08 21:29:22,Michał Sajnóg,3.0.0-beta.3,False
785b8cf08aae67a2106ae3643690abcb322a60e0,2018-07-08 21:28:58,Michał Sajnóg,Scope styles to screens only,False
5d0dfc967f3d6b3026dfcdb8d5986643fad6d3b0,2018-07-08 00:50:19,Michał Sajnóg,Add Issue and PR templates,False
cb4c7c81569fa697300484950930664c9eae72b2,2018-07-08 00:30:57,Michał Sajnóg,Update installation instructions,False
14ce0b36e8b0f739b1d5e4c9074b128687648098,2018-07-08 00:06:57,Michał Sajnóg,3.0.0-beta.2,False
d039026f9fb94e8533f93709a249de756e5beacd,2018-07-08 00:05:08,Michał Sajnóg,Update readme,False
dc35a7086a028a83cb178004473f9888a550a2cd,2018-07-07 23:35:24,Michał Sajnóg,Fix IE11,False
