Hash,Date,Author,Message,IsMerge
23dbf76aeb04c7c3dd56276115b277e3fa9dd5cc,2025-02-02 03:02:43,dependabot[bot],"build(deps): bump coverallsapp/github-action from 2.3.4 to 2.3.6 (#2013)

Bumps [coverallsapp/github-action](https://github.com/coverallsapp/github-action) from 2.3.4 to 2.3.6.
- [Release notes](https://github.com/coverallsapp/github-action/releases)
- [Commits](https://github.com/coverallsapp/github-action/compare/v2.3.4...v2.3.6)

---
updated-dependencies:
- dependency-name: coverallsapp/github-action
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
173c0b2e4af70deb860b1a1e3f2f35fe0a334332,2025-02-02 03:02:27,dependabot[bot],"build(deps-dev): bump @babel/eslint-parser from 7.25.9 to 7.26.5 (#2015)

Bumps [@babel/eslint-parser](https://github.com/babel/babel/tree/HEAD/eslint/babel-eslint-parser) from 7.25.9 to 7.26.5.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.26.5/eslint/babel-eslint-parser)

---
updated-dependencies:
- dependency-name: ""@babel/eslint-parser""
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
20ebf1b193c0d5d14ebdc3008c02cfe9cecbd20b,2025-02-02 03:02:14,dependabot[bot],"build(deps-dev): bump @babel/core from 7.26.0 to 7.26.7 (#2016)

Bumps [@babel/core](https://github.com/babel/babel/tree/HEAD/packages/babel-core) from 7.26.0 to 7.26.7.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.26.7/packages/babel-core)

---
updated-dependencies:
- dependency-name: ""@babel/core""
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
398569a8bf21329723613969a54cc3c1fddba1b1,2025-02-02 03:02:01,dependabot[bot],"build(deps-dev): bump fs-extra from 11.2.0 to 11.3.0 (#2017)

Bumps [fs-extra](https://github.com/jprichardson/node-fs-extra) from 11.2.0 to 11.3.0.
- [Changelog](https://github.com/jprichardson/node-fs-extra/blob/master/CHANGELOG.md)
- [Commits](https://github.com/jprichardson/node-fs-extra/compare/11.2.0...11.3.0)

---
updated-dependencies:
- dependency-name: fs-extra
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
d9afd202d13488ca537d6b9e69cf793b20d8a7f7,2025-02-02 03:01:48,dependabot[bot],"build(deps-dev): bump rollup from 4.28.0 to 4.34.0 (#2018)

Bumps [rollup](https://github.com/rollup/rollup) from 4.28.0 to 4.34.0.
- [Release notes](https://github.com/rollup/rollup/releases)
- [Changelog](https://github.com/rollup/rollup/blob/master/CHANGELOG.md)
- [Commits](https://github.com/rollup/rollup/compare/v4.28.0...v4.34.0)

---
updated-dependencies:
- dependency-name: rollup
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
55bf1d5a6f742fdcb1c4c0c74829c3ce3f655abd,2025-02-02 03:01:33,dependabot[bot],"build(deps-dev): bump semver from 7.6.3 to 7.7.0 (#2014)

Bumps [semver](https://github.com/npm/node-semver) from 7.6.3 to 7.7.0.
- [Release notes](https://github.com/npm/node-semver/releases)
- [Changelog](https://github.com/npm/node-semver/blob/main/CHANGELOG.md)
- [Commits](https://github.com/npm/node-semver/compare/v7.6.3...v7.7.0)

---
updated-dependencies:
- dependency-name: semver
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
f668b0d72161bd3b225654360282299800b00be4,2024-12-03 03:17:53,dependabot[bot],"build(deps-dev): bump jsdoc from 4.0.3 to 4.0.4 (#2001)

Bumps [jsdoc](https://github.com/jsdoc/jsdoc) from 4.0.3 to 4.0.4.
- [Release notes](https://github.com/jsdoc/jsdoc/releases)
- [Changelog](https://github.com/jsdoc/jsdoc/blob/4.0.4/CHANGES.md)
- [Commits](https://github.com/jsdoc/jsdoc/compare/4.0.3...4.0.4)

---
updated-dependencies:
- dependency-name: jsdoc
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
6679707009ec049d4109899c1567e4e0805f3e02,2024-12-03 03:17:45,dependabot[bot],"build(deps-dev): bump @babel/eslint-parser from 7.25.1 to 7.25.9 (#2003)

Bumps [@babel/eslint-parser](https://github.com/babel/babel/tree/HEAD/eslint/babel-eslint-parser) from 7.25.1 to 7.25.9.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.25.9/eslint/babel-eslint-parser)

---
updated-dependencies:
- dependency-name: ""@babel/eslint-parser""
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
e1e04667c5c5c85138e792f840812194ff259b0d,2024-12-03 03:17:37,dependabot[bot],"build(deps-dev): bump browserify from 17.0.0 to 17.0.1 (#2004)

Bumps [browserify](https://github.com/browserify/browserify) from 17.0.0 to 17.0.1.
- [Release notes](https://github.com/browserify/browserify/releases)
- [Changelog](https://github.com/browserify/browserify/blob/master/changelog.markdown)
- [Commits](https://github.com/browserify/browserify/compare/v17.0.0...v17.0.1)

---
updated-dependencies:
- dependency-name: browserify
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
b660474547e69dd5897dff1cafb6f5fb00d28432,2024-12-03 03:17:18,dependabot[bot],"build(deps-dev): bump @babel/core from 7.25.2 to 7.26.0 (#2005)

Bumps [@babel/core](https://github.com/babel/babel/tree/HEAD/packages/babel-core) from 7.25.2 to 7.26.0.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.26.0/packages/babel-core)

---
updated-dependencies:
- dependency-name: ""@babel/core""
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
