Hash,Date,Author,Message,IsMerge
1c3bd35ce238dc0491def9e1780d04748d8e18af,2022-11-22 21:41:57,Sergio Padrino,"Merge pull request #25709 from atom/fix-snapshot-result-macos

Fix `File` -> `Open…` menu on macOS",True
6b696d632941c18a683d01eaf0bf3dc38daf6ca7,2022-11-22 21:26:11,Sergio Padrino,Use the new naming format for snapshots on macOS,False
f54276d38cd112d64c4c9ccdb982cf52ee682c8f,2022-11-16 20:01:05,Hubot,1.65.0-dev,False
a0bbe30d36fe352041a9766656ca60f5946793f6,2022-11-16 17:09:58,Hubot,1.64.0-dev,False
729daa2f0aa47bcbcd89ac723f1c7938e4199aad,2022-11-15 10:59:26,Sadick,"Merge pull request #25694 from atom/fix-uploads

Remove dependancies.",True
4decada54e6512184cb1ae9f238c44264fe4ce41,2022-11-15 10:57:44,sadick254,Remove dependancies.,False
8f388db20c7c56996905ac9056a5b6d2111b8d1d,2022-11-15 10:55:04,Sadick,"Merge pull request #25693 from atom/disable-tests

Disable tests.",True
3f66da9b6f3388f2f9e6ce381f1f1cec407d1698,2022-11-15 10:17:26,sadick254,"Disable tests.

Due to the instability of atom's package api, we have the CI process
failing to install some packages. This failure is random and there is no
way to have consistent results.",False
2291b59a289bc2d9d3bd64482b2964eaf0cb5e11,2022-11-10 21:16:07,Sadick,"Merge pull request #25684 from atom/install-from-github

install from github",True
c8f8c065dd4f224f7823ec3767dc52f34465d102,2022-11-09 21:54:42,sadick254,Merge branch 'sunsetting-announcement' into install-from-github,True
1d7aeb6f47906fe18a590d5b9d1628a5285f427d,2022-11-09 17:24:28,Sergio Padrino,Allow restoring the sunsetting announcement tab,False
0df5017430c0bc8ae143fbe6ea5faf6f2a3c10b5,2022-11-09 17:24:12,Sergio Padrino,"Don't show sunsetting announcement along with the welcome views, but independently",False
fea53502585c5b42d1b6f3a60f23ce0670e326a9,2022-11-08 00:08:04,sadick254,Fix linting issues,False
99a28922db92864e20a43f27932ea127dbc67e08,2022-11-07 23:54:49,sadick254,Merge branch 'sunsetting-announcement' into install-from-github,True
c9ff20f258e810d053fc4306f8290366e65af8e8,2022-11-04 19:19:48,sadick254,DEBUG,False
d2bd2fc77dd391b36d6a8c4343851b70cfa9b4f5,2022-10-31 13:04:39,sadick254,WIP,False
842125f291ac1b65e3446bebdee6f43ba5d76534,2022-10-28 11:40:28,sadick254,Change to github refs,False
e522312ffadbe4833f4d902b682b1f6940629910,2022-09-29 21:15:10,Sergio Padrino,"Improve copy

Co-Authored-By: Ashley Wolf <ashleyrebecca@gmail.com>",False
2338a2897d430ff120b7c6db34dfbaa50b516418,2022-09-27 12:37:12,Sadick,upgrade to window-2019 (#25633),False
df229dd1a44f6672f820b0558a63cb3769a279a2,2022-09-26 22:11:47,Sergio Padrino,Create new view to announce we're sunsetting Atom,False
586efc2aeb1337a7f0b3dbd1b316bb73a073d968,2022-09-14 00:39:24,Musa Ibrahim,"Merge pull request #25622 from DeeDeeG/rpm-spec-recommends-usr-lib-lsb_release

Add lsb_release file to ""Recommends:"" of rpm spec",True
b448c4b852448cfda7e7d79d7372a3d03e9916ac,2022-09-13 23:16:46,Musa Ibrahim,"Merge pull request #23502 from HarlemSquirrel/patch-1

Bump language-ruby to 0.73.0",True
8fd6ee4a0601ee342a9ee8ca956c147208d8b04b,2022-09-13 22:31:35,DeeDeeG,"Add lsb_release file to ""Recommends:"" of rpm spec

Actually add this to the rpm spec file, as was originally intended in
https://github.com/atom/atom/pull/25541.

This helps the bug report feature of the ""notifications"" package
include more system info on Linux systems -- if /usr/bin/lsb_release
is available, it will be called to gether some basic OS info to add to
the bug report info.",False
4c590020f68b6d3bb72f52f0a5d7465edab97eb7,2022-09-13 14:38:53,Musa Ibrahim,"Merge pull request #25541 from expeehaa/remove_rpm_lsb_requirement

Remove requirement ""lsb-core-noarch"" from the RPM spec file.",True
16c4b54fb7ced1801f6dd954de341418c6d41b28,2022-06-24 04:38:51,expeehaa,"Replace RPM spec requirement ""lsb-core-noarch"" with ""/usr/bin/lsb_release"".

Fixes #23560.
lsb-core-noarch pulls in a lot of unnecessary dependencies and shouldn’t be used anymore.
Instead, only actual dependencies (in this case lsb_release) should be required.",False
17a31e3a3729070768f31bbce7ce9bcc09f5a2b8,2022-06-23 14:32:41,Musa Ibrahim,"Merge pull request #25442 from claytonrcarter/fix-usage-message

Fix usage message (closes #25441)",True
ae147229891f8f06ba5953747a4614274135168f,2022-06-23 14:31:25,Musa Ibrahim,"Merge pull request #25459 from jesuscb99/master

New ""Open Package Manager"" menu item",True
38c599e31903340883d7ffbeef116ac0657875bb,2022-06-23 14:28:15,Musa Ibrahim,"Merge pull request #25483 from realpixelcode/master

Update copyright year in licence",True
cf5e379eb974c399457fda436d2aef7d39268d51,2022-06-08 20:32:25,Musa Ibrahim,atom sunset,False
c9658ad459c2a5c6f136fc1e7f83b4c800092a85,2022-05-25 12:33:40,Pixelcode,update copyright year in licence,False
d803f7c2884c03ae0e19df6a0e54f9c6db06a53e,2022-05-15 22:49:49,Jesus,Fix typo,False
9cf2f73057d05b377e5a8303a63ceeca476ff20d,2022-05-15 22:23:08,Jesus,Open Package Manager,False
19b28ed492bf81a51fe92295cdadaf267114864b,2022-05-05 07:56:49,Clayton Carter,fix: Include `-v`/`--version` in the main usage message,False
98ab593f463816e73ba880606fa3e715587a609b,2022-05-05 07:56:49,Clayton Carter,"fix: Prevent the first call to yargs from responding to `--help`

The second call to yargs should be responsible for printing the main usage
message. This also fixes the `--help` description w/i the usage message,
which was only using the yargs default description.",False
0ae715d23914325957e2150c380f372a266bb02b,2022-05-05 05:07:45,Clayton Carter,"fix: Don't swallow console.log messages until after CLI arguments are parsed

yargs depends on an intact console.log to display help and usage messages,
so just delay the override by a few statements.",False
80b6c8a9f6b69b216cdeeb7b7e418cfdc2f5e074,2022-04-20 16:07:41,Musa Ibrahim,"Merge pull request #23664 from icecream17/revert-npm

Fix npm ENOENT error in install-script-runner-dependencies",True
6cdc47c3c315c20b8f84358dba27626780afc9af,2022-04-12 21:52:34,DeeDeeG,:arrow_up: electron 11.5.0 (#23692),False
2e9dc8a6dd7355a60534abbfed521bcd1dd2f653,2022-04-10 02:14:02,Hubot,1.63.0-dev,False
b645caa6215b8efc4edfc4bb8a87829b666f2a2a,2022-03-24 20:14:44,darangi,apm install,False
5534994c39c7415630654e0e60897d16f15d858b,2022-03-08 04:48:59,Hubot,1.62.0-dev,False
