Hash,Date,Author,Message,IsMerge
fd1095838c04f20d0508dd3122c2d36630dea830,2025-03-20 07:43:10,github-actions[bot],"chore(sponsor): update sponsor block (#6834)

Co-authored-by: DigitalBrainJS <12586868+DigitalBrainJS@users.noreply.github.com>",False
9f6f97bcfb7c510103dfcb05641ae8e8f5c08bcc,2025-03-20 00:56:49,github-actions[bot],"chore(release): v1.8.4 (#6844)

Co-authored-by: jasonsaayman <4814473+jasonsaayman@users.noreply.github.com>",False
f10c2e0de7fde0051f848609a29c2906d0caa1d9,2025-03-18 23:31:37,Marc Hassan,"fix(buildFullPath): handle `allowAbsoluteUrls: false` without `baseURL` (#6833)

Co-authored-by: Jay <jasonsaayman@gmail.com>",False
1e6632cd6253c89be7cb1ff757ba91afbd247de1,2025-03-18 20:47:04,dependabot[bot],"chore(deps): bump tj-actions/changed-files in the github-actions group (#6838)

Bumps the github-actions group with 1 update: [tj-actions/changed-files](https://github.com/tj-actions/changed-files).


Updates `tj-actions/changed-files` from 45 to 46
- [Release notes](https://github.com/tj-actions/changed-files/releases)
- [Changelog](https://github.com/tj-actions/changed-files/blob/main/HISTORY.md)
- [Commits](https://github.com/tj-actions/changed-files/compare/v45...v46)

---
updated-dependencies:
- dependency-name: tj-actions/changed-files
  dependency-type: direct:production
  update-type: version-update:semver-major
  dependency-group: github-actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
39ec206483a89921732bdc8a5be67e350bfc23f0,2025-03-12 12:53:22,github-actions[bot],"chore(release): v1.8.3 (#6819)

Co-authored-by: jasonsaayman <4814473+jasonsaayman@users.noreply.github.com>",False
10fa70ef14fe39558b15a179f0e82f5f5e5d11b2,2025-03-10 22:52:36,StefanBRas,"fix: add missing type for allowAbsoluteUrls (#6818)

* fix: add missing type for allowAbsoluteUrls

* fix: use semicolon in type files

---------

Co-authored-by: Jay <jasonsaayman@gmail.com>",False
7821ef9f5be2d62fbc3f01040d9df6f2225eb9d8,2025-03-10 22:34:03,Ashcon Partovi,"docs: update readme to include bun install (#6811)

Co-authored-by: Jay <jasonsaayman@gmail.com>",False
ec159e507bdf08c04ba1a10fe7710094e9e50ec9,2025-03-10 17:59:41,Marc Hassan,fix(xhr/fetch): pass `allowAbsoluteUrls` to `buildFullPath` in `xhr` and `fetch` adapters (#6814),False
a9f7689b0c4b6d68c7f587c3aa376860da509d94,2025-03-07 13:10:33,github-actions[bot],"chore(release): v1.8.2 (#6812)

Co-authored-by: jasonsaayman <4814473+jasonsaayman@users.noreply.github.com>",False
fb8eec214ce7744b5ca787f2c3b8339b2f54b00f,2025-03-07 13:00:30,Fasoro-Joseph Alexander,"fix(http-adapter): add allowAbsoluteUrls to path building (#6810)

Co-authored-by: alex-paystack <alex@paystack.com>",False
98120457559e573024862e2925d56295a965ad7e,2025-03-02 20:59:51,github-actions[bot],"chore(sponsor): update sponsor block (#6804)

Co-authored-by: DigitalBrainJS <12586868+DigitalBrainJS@users.noreply.github.com>",False
72acf759373ef4e211d5299818d19e50e08c02f8,2025-02-26 22:14:52,github-actions[bot],"chore(sponsor): update sponsor block (#6794)

Co-authored-by: DigitalBrainJS <12586868+DigitalBrainJS@users.noreply.github.com>
Co-authored-by: Dmitriy Mozgovoy <robotshara@gmail.com>",False
2e64afdff5c41e38284a6fb8312f2745072513a1,2025-02-26 14:36:15,github-actions[bot],"chore(release): v1.8.1 (#6800)

Co-authored-by: jasonsaayman <4814473+jasonsaayman@users.noreply.github.com>",False
36a5a620bec0b181451927f13ac85b9888b86cec,2025-02-26 14:00:55,Dmitriy Mozgovoy,"fix(utils): move `generateString` to platform utils to avoid importing crypto module into client builds; (#6789)

* chore(ci): Add release-it script;

* fix(utils): move generateString util to platform utils to avoid importing crypto module into client build;

---------

Co-authored-by: Jay <jasonsaayman@gmail.com>",False
cceb7b1e154fbf294135c93d3f91921643bbe49f,2025-02-26 11:30:31,github-actions[bot],"chore(release): v1.8.0 (#6795)

Co-authored-by: jasonsaayman <4814473+jasonsaayman@users.noreply.github.com>",False
23a25af0688d1db2c396deb09229d2271cc24f6c,2025-02-18 18:06:51,Willian Agostini,fix(utils): replace getRandomValues with crypto module (#6788),False
32c7bcc0f233285ba27dec73a4b1e81fb7a219b3,2025-02-12 14:39:24,Michael Toscano,"feat: Add config for ignoring absolute URLs (#5902) (#6192)

* fix: prevent request url override

prevent request URL from overriding preconfigured base URL

BREAKING CHANGE: code relying on the above will now combine the URLs instead of prefer request URL

* feat: add config option for allowing absolute URLs

* fix: add default value for allowAbsoluteUrls in buildFullPath

* fix: typo in flow control when setting allowAbsoluteUrls

* feat: update tests supporting issue #5902 functionality

* feat: update README.md with allowAbsoluteUrls

* fix: properly group conditions in buildFullPath.js to avoid undefined error when baseUrl undefined

* Update README.md fix typo

* fix: update build full path logic to address failing test case

* fix: update base URL test

* fix: remove problem test (works locally, will not work in the pipeline)

* fix: update https test to use github.com instead of google.com

* fix: revert previous commit

* fix: add back problem test

* chore: remove un-needed passed var to URL class instanciation

---------

Co-authored-by: Austin Ryan Lawson <ryan.lawson2@gmail.com>
Co-authored-by: Jay <jasonsaayman@gmail.com>",False
4a3e26cf65bb040b7eb4577d5fd62199b0f3d017,2025-02-09 14:45:25,Willian Agostini,chore(config): adjust rollup config to preserve license header to minified JavaScript (#6777),False
30966a79cb67e0efc3e91a34b4a39b4d5d50b43e,2025-02-02 20:11:49,Habip Akyol,"docs(type): fix typo in index.ts (#6030)

docs(type): fix typo in index.ts (#6030)",False
e7a9cbe3be1ed11689124dd90fbaa5688aaead0e,2025-02-02 20:03:16,Naron,"test(transform): add test case for issue 5853 on response type to 'json' (#5901)

* test(transform): add test case for issue 5853 on response type to 'json'

* test(transform): formatted second argument

---------

Co-authored-by: Jay <jasonsaayman@gmail.com>",False
51c1d7ba9d5b68afad1b0692b2f4350479eb4edd,2025-01-31 22:40:20,Bailey Lissington,"chore(docs): typo in README (#6771)

chore(docs): typo in README (#6771)",False
b5b063e47602d94a72f163f2233af4f607269c74,2025-01-31 22:35:08,Bernardo da Eira Duarte,"docs(readme): fix Request Config options code highlight (#6480)

docs(readme): fix Request Config options code highlight (#6480)",False
896f9af1bea8685fb948c3a16c20c7e34273e053,2025-01-31 22:31:58,Justin Dhillon,"chore(docs): remove SECURITY.md (#6312)

chore(docs): remove SECURITY.md (#6312)",False
8889dc038348c0109e086eb7fa1a007bb72d621f,2025-01-31 01:19:26,shravan || श्रvan,"chore(docs): fix documentation for usage of interceptors in axios (#6116)

chore(docs): fix documentation for usage of interceptors in axios (#6116)",False
45d0baa6b363a49814e47fd8a47fa588ba66f427,2025-01-31 01:15:54,yionr,"chore(docs): split long lines, easier for reading (#6129)

Co-authored-by: Jay <jasonsaayman@gmail.com>",False
1260ded634ec101dd5ed05d3b70f8e8f899dba6c,2025-01-31 00:55:28,Nitin Ramnani,"fix(examples): application crashed when navigating examples in browser (#5938)

fix(examples): application crashed when navigating examples in browser (#5938)",False
bba8e2e47d0f27cc56c18eead347e8266a862709,2025-01-31 00:48:46,Shivam Batham,"chore(examples): change logo width to 100px (#5949)

chore(examples): change logo width to 100px (#5949)",False
cdacd9761c2f035d561bad25ad19273289b64ec1,2025-01-31 00:43:42,Lipin Kariappa,"chore(docs): Issue was related to the outdated file path and Permalink in README.md (#5936)

chore(docs): Issue was related to the outdated file path and Permalink in README.md (#5936)",False
4719d7c21940749e95e5d5d1815ead899980e139,2025-01-31 00:39:12,Shin'ya Ueoka,"chore(docs): fix contribution guide (#5935)

chore(docs): fix contribution guide (#5935)",False
f3723f5ad63c0694a770e6e707a3651c96d2b9df,2025-01-31 00:32:11,Dan Dascalescu,"chore(docs): consistent spacing after comment start (#5908)

chore(docs): consistent spacing after comment start (#5908)",False
1f890b13f2c25a016f3c84ae78efb769f244133e,2025-01-28 23:06:33,Dan Dascalescu,"fix: missing word in SUPPORT_QUESTION.yml (#6757)

fix: missing word in SUPPORT_QUESTION.yml (#6757)",False
7f4dfb8c064a5d1e8bfd69fdae8e4c400416d5fa,2025-01-28 23:01:24,Shay Molcho,"chore(docs): added missing colons and period for consistency (#6770)

chore(docs): added missing colons and period for consistency (#6770)",False
bad6d8b97b52c0c15311c92dd596fc0bff122651,2025-01-10 08:27:40,github-actions[bot],"chore(sponsor): update sponsor block (#6754)

Co-authored-by: DigitalBrainJS <12586868+DigitalBrainJS@users.noreply.github.com>",False
2e58825bc7773247ca5d8c2cae2ee041d38a0bb5,2024-12-31 17:33:13,github-actions[bot],"chore(sponsor): update sponsor block (#6749)

Co-authored-by: DigitalBrainJS <12586868+DigitalBrainJS@users.noreply.github.com>",False
15054bca82c04cec552fe83a14714d0fbb389a83,2024-12-28 07:23:14,github-actions[bot],"chore(sponsor): update sponsor block (#6748)

Co-authored-by: DigitalBrainJS <12586868+DigitalBrainJS@users.noreply.github.com>",False
