Hash,Date,Author,Message,IsMerge
8f0285fb3aa30707760770475a84efd4be9d7332,2024-09-02 18:25:04,Julian Gonggrijp,"Merge pull request #4292 from Noodlex/fix_model_event_changeId

Trigger the ""changeId"" event only if prevId is different from this.id.",True
06ffc5d1e30dde5b16551adc7cf9aa5c17a09b24,2024-09-02 17:43:43,Christopher Rombach,"Add test for trigger ""changeId""",False
d2ea5746feb07f337c4f0144dfe0328c20c8b331,2024-09-02 17:43:27,Christopher Rombach,Add space,False
4d0914948dd98f353e37b6c32a8c2066a545f166,2024-09-02 17:11:43,Christopher Rombach,"Trigger the ""changeId"" event only if prevId is different from this.id.",False
4e642088c4810938a0510fa89456ef2619f446da,2024-03-07 04:52:47,Julian Gonggrijp,"Merge pull request #4288 from deining/bump-actions

Bump GitHub workflows to latest version",True
74c9fc9e5ff503a1bce234d49c110337f1071bff,2024-03-07 00:08:40,Andreas Deininger,Bump GitHub workflows to latest version,False
c73855b8c88906b650bbdc995bed8113fb41e3bc,2024-02-25 22:19:40,Julian Gonggrijp,"Merge pull request #4287 from xwxtwd/master

Use allowed instead of whitelisted; Use disallowed instead of blacklisted;",True
974d0545cc785185f23a427c4341268ba9c34b31,2024-02-25 11:17:10,JSon,Use allowlisted instead of whitelisted; Use blocklisted instead of blacklisted;,False
bfc3c18a16b1e2bf5bde8b2cd5e09ab9a2ccab3a,2024-02-06 03:06:13,Julian Gonggrijp,Set the date of the 1.6.0 release (oops),False
f14a329cbaa8ea1fabc65ccac8334a6d8d594641,2024-02-06 02:53:19,Julian Gonggrijp,Mark development version post 1.6.0,False
89cbe401f353d3543108ca52ff6924d650cb500d,2024-02-06 02:52:36,Julian Gonggrijp,Merge branch 'prepare-1.6.0',True
21437c93d8bdab90e8092c9ce8df67f94e5ac74c,2024-01-24 05:01:49,Julian Gonggrijp,Bump the copyright years,False
516266d44d771a7d162ed52116115ce51d326ea5,2024-01-24 04:59:21,Julian Gonggrijp,Add change log entry for version 1.6.0,False
4c97452f744140b9eac7b0208443f6a0edbf3eeb,2024-01-24 04:34:08,Julian Gonggrijp,Bump the version to 1.6.0,False
801db1476660350944e4a5a4756f596ae196e7ac,2024-01-24 02:43:59,Julian Gonggrijp,Merge pull request #4278 from jgonggrijp/issue-templates,True
0f9956b565ca7d08421bdb3f9b2e583b38abc659,2024-01-24 02:38:03,Julian Gonggrijp,Merge pull request #4284 from olhapi/master with added test,True
d981caa7bc7ab93fb97f780db5b6ddf88dee5f9e,2024-01-24 02:35:27,Julian Gonggrijp,Add regression test for #4284,False
8c0916a7bdb638bef61bea0bdf16c25ba1dbf1e4,2024-01-24 01:15:21,Oleg Vdovenko,[FIX] wrong context passed in collection.create,False
be262159370c02cd6134193ed2a669c597a76642,2024-01-24 00:18:43,Julian Gonggrijp,Get new debugInfo module to pass linting,False
07cc274087ece80198cf836410ffa143af21d42d,2024-01-24 00:18:43,Julian Gonggrijp,Document debugInfo,False
5ae5639de84fb82567e74609836f79b686102dae,2024-01-24 00:18:43,Julian Gonggrijp,Move debugInfo to a separate module,False
eb29ed8f917ad9d1d2a82d920f1b116b89e7e50d,2024-01-24 00:18:43,Julian Gonggrijp,"Add a modules directory with its own package.json

Old trick learned from Underscore: within this directory, Node.js and
other tools that follow its awkward convention will be willing to
interpret .js files with ES module syntax.",False
d47dc716841593e48fcc29d24c59028ff609faf1,2024-01-24 00:18:42,Julian Gonggrijp,Shorten actual behavior placeholder text in bug issue template,False
32ba686f8f7563765a80721590a73cf853d47a2e,2024-01-24 00:18:42,Julian Gonggrijp,Merge limitation and options in feature issue template per review,False
16e16c192fa3cd9aa649ba6d1f511d8cc2b29609,2024-01-24 00:18:42,Julian Gonggrijp,Rewrap feature issue template to 80 columns,False
f342b6c2eb78d8660e803827daede15954b70133,2024-01-24 00:18:42,Julian Gonggrijp,Rewrap doc issue template to 80 columns,False
25d34a4f39ec8dbfdf62eee404ec560122a16227,2024-01-24 00:18:42,Julian Gonggrijp,"Rename doc issue template ""problem"" field to ""effect""",False
6e9d79e6b8420ee0767a6b0bd03d512af138c502,2024-01-24 00:18:42,Julian Gonggrijp,Mention Backbone.debugInfo in bug issue template stack field,False
