Hash,Date,Author,Message,IsMerge
d55ac606ac44e7169dbeaf959c9ed47dac6a6b9a,2021-03-18 19:22:19,Swagatam Mitra,Change hyperlink,False
f0cae55ce80c380a5c5c665110623f21cce966b3,2021-03-01 16:40:07,Swagatam Mitra,"EOL Notification (#15325)

* Update README.md

* Update README.md",False
ca877bb447573bd15d0813b1ddec5076f736b8a7,2020-03-27 16:26:06,Nitesh Kumar,"Merge pull request #15106 from niteskum/AssociateGraphicAfterGUIDGenerated

Graphics File Associate workflow should get triggered after UUID is generated",True
d99dbdd6bce812f9c71d9693b0a1142ba2de41b0,2020-03-27 12:55:09,Nitesh Kumar,Graphics File Assciate should get triggered after UUID is generated,False
f37493fde67d4992acc04bce682c1a095b34e9b7,2020-03-24 12:03:45,Nitesh Kumar,"Merge pull request #15100 from niteskum/windowsPathCorrection

Windows path correction",True
35917cb272d681230d778f03bfb96d7b56c19c6c,2020-03-24 11:52:02,Nitesh Kumar,Addressed review comments,False
90cf9b09457a66237ade823b718a23f8ebe6f31b,2020-03-23 19:53:10,Nitesh Kumar,"Revert ""Revert ""check iin config file""""

This reverts commit 2356f32a34d8a825ca1f41b1b4cb93cf94b92ecb.",False
e7613db5a72aeed2839208e39454a0900c8daf52,2020-03-23 19:46:28,Nitesh Kumar,Merge branch 'master' of https://github.com/adobe/brackets into windowsPathCorrection,True
a552a10d89ee5e7caafa5faf9e9fa3d0fd332e64,2020-03-23 19:39:48,Nitesh Kumar,"Merge pull request #15098 from niteskum/lodashModuleUpgrade

upgrading lodash node module to 4.17.15 from 4.17.4",True
2356f32a34d8a825ca1f41b1b4cb93cf94b92ecb,2020-03-23 16:43:52,Nitesh Kumar,"Revert ""check iin config file""

This reverts commit d50cb268232ed190ce6333340249f207fb86b373.",False
59e8e91518cb4ad33494bfbeb0ef9b5dcebcf630,2020-03-23 16:36:27,Nitesh Kumar,Netwrk path also need to be converted to windows style,False
0c87777b63502a1ef6b09590abd768296886f4d7,2020-03-23 12:39:37,Nitesh Kumar,Merge branch 'lodashModuleUpgrade' of https://github.com/niteskum/brackets,True
fa6e9fcce311c930d890cffd6d5b34a9b87f4159,2020-03-23 12:29:52,Narayani,"Merge pull request #15093 from adobe/alf_localization_1.14

ALF Automation",True
0af714b8a2a1905508499c17e4ab80b901d1fbea,2020-03-20 22:26:14,walf,Updated by ALF automation.,False
d50cb268232ed190ce6333340249f207fb86b373,2020-03-20 12:01:15,Nitesh Kumar,check iin config file,False
9f44657dc0f22a0c7d69f0bc5edb91fa7001a36f,2020-03-20 10:05:52,walf,Updated by ALF automation.,False
78eb8cf4e95c91033df04c87ff74be2ab215554f,2020-03-20 10:04:21,walf,Merge branch 'master' into alf_localization_1.14,True
b301acc8d02b0695d2e45303c3cbd64ec5308007,2020-03-20 01:26:27,Nitesh Kumar,upgrading lodash node module to 4.17.15 from 4.17.4,False
b4abc5ae74a05f2f0dd7d2e459523f3539d0231f,2020-03-20 00:28:53,Nitesh Kumar,"Merge pull request #15096 from niteskum/WinPathIssueWithExtEditor

Path is converted to windows style when opening with external editor in win",True
406b44cab819327f123673683fefc15142ba0468,2020-03-19 22:50:40,Nitesh Kumar,"Merge pull request #15097 from niteskum/OpenWithExternalAppStrings

Open with external app strings",True
ee9ede2c9c710ebc9d9f8fd6292731fe373dfab4,2020-03-19 22:46:26,Nitesh Kumar,Addressed review comments,False
3120f48dcef34e288cb95d0ea273da0d4a3c5a88,2020-03-19 21:14:03,Nitesh Kumar,On Wiindows Path is converted to windows style when opening with external editor,False
313bb4e480ef1a55f1f3a54f4d90d5afc68cc845,2020-03-19 19:05:38,Nitesh Kumar,Updated strings for Graphics File Association,False
9a040bfb805aad1f1c21e8a5a2e2ca5d381fb5ca,2020-03-19 19:02:23,Nitesh Kumar,Updated strings for Graphics File Association,False
f9f584eeb5150a28dc69d5b58a627ee68596c20d,2020-03-19 12:10:12,Nitesh Kumar,On Wiindows Path is converted to windows style when opening with external editor,False
950e72a3a627f5bc280ae1342a701b29605e6bff,2020-03-18 22:26:39,walf,Updated by ALF automation.,False
7a8ce6abb279193a02709b372dae80f58d18b18a,2020-03-18 22:25:05,walf,Merge branch 'master' into alf_localization_1.14,True
