Hash,Date,Author,Message,IsMerge
1334429ae63f9a3d052d59ec8c6b158fa5db0943,2024-12-28 04:22:38,O. J. Ishtiaq,fix(Copy to Clipboard): fixed copying of updated URL to clipboard when new snippets are saved. Issue #1379,False
63125dcf03414b46d0107b6c6b0f2c2f0c35eafa,2024-12-28 04:20:53,alongdate,"chore: fix some typos in comments

Signed-off-by: alongdate <alongyear@outlook.com>",False
795687537b169ed97c1be36930606ea999bd5796,2024-12-28 04:20:28,dependabot[bot],"Bump @grpc/grpc-js from 1.8.17 to 1.8.22

Bumps [@grpc/grpc-js](https://github.com/grpc/grpc-node) from 1.8.17 to 1.8.22.
- [Release notes](https://github.com/grpc/grpc-node/releases)
- [Commits](https://github.com/grpc/grpc-node/compare/@grpc/grpc-js@1.8.17...@grpc/grpc-js@1.8.22)

---
updated-dependencies:
- dependency-name: ""@grpc/grpc-js""
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
30d58670301f86da105a3e7266f01d2d7d244224,2024-12-28 04:20:10,dependabot[bot],"Bump micromatch from 4.0.5 to 4.0.8

Bumps [micromatch](https://github.com/micromatch/micromatch) from 4.0.5 to 4.0.8.
- [Release notes](https://github.com/micromatch/micromatch/releases)
- [Changelog](https://github.com/micromatch/micromatch/blob/master/CHANGELOG.md)
- [Commits](https://github.com/micromatch/micromatch/compare/4.0.5...4.0.8)

---
updated-dependencies:
- dependency-name: micromatch
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
7cacc8b51b4e164ee5547a25c96bd5b8c636bdfc,2024-12-28 04:19:56,dependabot[bot],"Bump rollup from 2.75.6 to 2.79.2

Bumps [rollup](https://github.com/rollup/rollup) from 2.75.6 to 2.79.2.
- [Release notes](https://github.com/rollup/rollup/releases)
- [Changelog](https://github.com/rollup/rollup/blob/master/CHANGELOG.md)
- [Commits](https://github.com/rollup/rollup/compare/v2.75.6...v2.79.2)

---
updated-dependencies:
- dependency-name: rollup
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
01d4655968393e44223bc23d3d0207a572d7fd41,2024-12-28 04:19:39,dependabot[bot],"Bump nanoid from 3.2.0 to 3.3.8

Bumps [nanoid](https://github.com/ai/nanoid) from 3.2.0 to 3.3.8.
- [Release notes](https://github.com/ai/nanoid/releases)
- [Changelog](https://github.com/ai/nanoid/blob/main/CHANGELOG.md)
- [Commits](https://github.com/ai/nanoid/compare/3.2.0...3.3.8)

---
updated-dependencies:
- dependency-name: nanoid
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
8f29ce5be4dae7742a04872b5d9842b4335ccbb6,2024-12-28 04:19:25,dependabot[bot],"Bump ejs from 3.1.8 to 3.1.10

Bumps [ejs](https://github.com/mde/ejs) from 3.1.8 to 3.1.10.
- [Release notes](https://github.com/mde/ejs/releases)
- [Commits](https://github.com/mde/ejs/compare/v3.1.8...v3.1.10)

---
updated-dependencies:
- dependency-name: ejs
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
80cc93e0d3ab0a858d20f6f44f62816635bfdea9,2024-12-28 04:18:35,Francesco,"Update README.it.md

change some grammatik in the italian translation of the carbon docs",False
c939a81d11eb00a69e8834f9926ca53e76b9a61a,2024-12-28 04:18:18,dependabot[bot],"Bump braces from 3.0.2 to 3.0.3

Bumps [braces](https://github.com/micromatch/braces) from 3.0.2 to 3.0.3.
- [Changelog](https://github.com/micromatch/braces/blob/master/CHANGELOG.md)
- [Commits](https://github.com/micromatch/braces/compare/3.0.2...3.0.3)

---
updated-dependencies:
- dependency-name: braces
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
0f5481830385e9edc3eca682348484d46ea7475e,2024-12-28 04:17:52,Amirhossein Safarzadeh,Add readme.fa.md to README.MD,False
1417586d93e1e2a48d4c4315c77fcc4b797cf566,2024-12-28 04:17:52,Amirhossein Safarzadeh,"Add Readme in Farsi

This commit contains the up-to-date main README.md file, translated to farsi.
Please Also add the language فارسی to the docs languages.",False
