Hash,Date,Author,Message,IsMerge
5dbc1e2633f3874f43c144fa4919934bc934c495,2024-12-21 22:34:25,Sindre Sorhus,5.4.1,False
4ebb62d1ca70c122674558a88932ddf6545fe9ef,2024-12-21 22:31:49,Edwin Kofler,Fix `navigator` not defined `ReferenceError` (#642),False
fc809b686d5048d56fec3a5d96d1ad57dee193bf,2024-12-18 23:40:23,Sindre Sorhus,Readme tweak,False
83acfcf8cb17437b63beceb027180399da74f0a7,2024-12-18 23:29:38,Sindre Sorhus,5.4.0,False
f8381204fb096207074089f5ab265fffff6bc341,2024-12-18 23:28:03,Sindre Sorhus,"Update `CIRCLECI` environments to return level 3 color support

https://github.com/chalk/supports-color/commit/89a52f4a8e3f7606c27810a8f182394d333a844f",False
4a10354857ba6d7932dad5fa6ef2e021c4ed47fb,2024-08-13 21:13:03,Sindre Sorhus,Add FAQ to readme,False
77126fba1328bb1b5524c45164d0a44074d5179d,2024-08-08 03:30:20,Sindre Sorhus,Meta tweaks,False
795273f17a94329c7a46247d8277f9afc2f0a6d9,2024-07-05 16:11:35,Lightner,Update dependents number in readme (#629),False
386909ee0bfe4346d04e3eeba712f0db597c038d,2024-01-19 20:06:11,Richie Bendall,Tweak example (#623),False
2db3c7701ec87a1d88b3c636dd46d3d985304bce,2024-01-06 06:38:07,Edwin Kofler,Remove .replit file (#622),False
f7b29ae8ef4fd2048e08aa361778d290ed10ce7a,2023-08-16 15:44:40,Sindre Sorhus,"Remove repl.it badge

Fixes #587",False
f399cd0ff69841e88cca89d43a49f1cc9ba2efd5,2023-06-29 18:15:41,Sindre Sorhus,Meta tweaks,False
72c742d4716b1f94bb24bbda86d96fbb247ca646,2023-06-29 16:26:55,Sindre Sorhus,5.3.0,False
5aafc0af74d06c89a2a4567aaf9d84d44af4a3aa,2023-06-29 16:22:59,Sindre Sorhus,"Add `sideEffects` field to package.json

Fixes #585",False
df0e69df5129a5e19acc7ae0199319a104d0e6cc,2023-06-29 16:20:22,Sindre Sorhus,Fix CI,False
29b856959f4bee5a514c7ed48a1f6879686eadf2,2023-06-29 16:17:28,silverwind,"Update `supports-color` to 9.4.0 (#603)

Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>",False
a370f468a43999e4397094ff5c3d17aadcc4860e,2022-12-09 00:16:06,Sindre Sorhus,5.2.0,False
7443e9faa05b470a8a53850c2ded16fa0810a407,2022-12-09 00:13:43,idanran,Update `supports-color` dependency (#579),False
a027e3c1e0fa8dcd850e20b7a99e73a5278e8f9a,2022-11-28 12:45:46,Sindre Sorhus,Minor tweaks,False
79c56dfc1ea57b6762984aac86ab89acd6a9bc2c,2022-10-30 22:24:53,LitoMore,Update Replit badge (#576),False
c3d14f9ea81713a05d834434027a35de14c17751,2022-10-20 15:59:51,Daniel Li,Update link to Truecolor in the readme (#573),False
158bf4429ee5c40fd23d45b7d43e5cbbbdf6795e,2022-10-12 22:01:43,Sindre Sorhus,5.1.2,False
a34bcf63273cd94da041b9507ce57f0f3fd1e89e,2022-10-12 22:00:36,LitoMore,Fix exported styles names (#569),False
1b4cd21fb15ca441ab8ff1fc4ce9fcd1365e4b7d,2022-10-12 15:06:43,Sindre Sorhus,5.1.1,False
6e0df055f49b08158b570898cc816aad35f1a003,2022-10-12 15:05:02,LitoMore,Export styles from `ansi-styles` (#567),False
92c55db46f2396c18764e55e6a52dcb49884a42b,2022-10-05 20:15:55,Sindre Sorhus,5.1.0,False
d7d75717b3d5a482edd0a1b98b35c7443791709f,2022-10-05 20:14:40,LitoMore,"Expose style names (#566)

Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>",False
96f44c976bfcad5651b50831821ce75b441d272b,2022-10-05 20:13:01,Sindre Sorhus,Meta tweaks,False
c2311622c3f5b972cf80b9f353ea82679cc77edf,2022-09-25 10:54:19,Matt Schlenker,Use template literal types for simple color name transformations in the TypeScript types (#564),False
ba5c385ecf6c2ad8a0fadb8b94e1ea515c8f9496,2022-07-03 04:06:34,Sindre Sorhus,"Update screenshot

Fixes #554",False
503b9d35cd0a1fe2ac80deadd06def00db8221a0,2022-06-26 18:28:46,LitoMore,Update Replit badge (#551),False
b17d862944f9efea1ee12aaf80fe19ed5063a34d,2022-03-30 11:11:57,Richie Bendall,Improve browser detection (#542),False
d28690e66b184dc19b9baaea1cce900737aa8ccc,2022-03-27 23:41:02,CommanderRoot,Refactor: Replace deprecated `String#substr()` (#541),False
bccde97f8a1bb125d4fe99e8fd355182101ff4f2,2022-03-09 00:13:33,Sindre Sorhus,5.0.1,False
85f7e96f758e95dee5211b9bca1a173b8fb3abe9,2022-03-09 00:12:04,Sindre Sorhus,"Add `main` field to package.json for backwards compatibiltiy

Fixes #536",False
4d5c4795ad24c326ae16bfe0c39c826c732716a9,2021-11-26 15:27:26,Sindre Sorhus,5.0.0,False
7a6893551d93ebe0bd031141b3e2b91d7e0676aa,2021-11-26 15:25:15,Sindre Sorhus,Fix code coverage,False
04fdbd6d8d262ed8668cf3f2e94f647d2bc028d8,2021-11-26 15:04:27,Sindre Sorhus,Bundle dependencies,False
d7c4aac07e422c8ae534897b3f1707aa71a51c73,2021-11-26 14:30:01,Sindre Sorhus,Upgrade dependencies,False
09fd5c4ba812cc2e3a0df183caf3e53cc556e440,2021-11-21 12:21:24,Richie Bendall,Re-export types from `supports-color` (#526),False
c987c614869ba286f0eb11c1966ee1d135c80599,2021-11-10 14:42:33,Richie Bendall,Remove support for tagged template literals (#524),False
f478655c3c04c844f70a596d9ec750c3da00f795,2021-10-26 23:52:37,LightnerDev,Update dependents number in readme (#521),False
