Hash,Date,Author,Message,IsMerge
f6e1ac2d62b5199c72e0d13677c1638206b857f6,2024-05-06 20:58:40,Yuan Chen,"Merge pull request #441 from shimohq/yuanchen8911-patch-4

Add RISC-V",True
160eeb88ab8bf01c2311ad344a1e3acff37309b4,2024-05-04 22:46:22,Yuan Chen,"Add RISC-V

Add `RISC-V`. The correct pronunciation is ""risk five"", not ""risk v"".",False
023cd248c2b47204ff4d039615c0d3b084536c07,2024-04-30 18:50:07,Yuan Chen,Merge pull request #438 from yuanchen8911/kubernetes,True
bb58abe241b78f0db302d50230df2b117db7c94e,2024-04-30 08:23:08,Yuan Chen,"Merge pull request #440 from AnzhiZhang/master

add résumé (resolve #439)",True
aa855bcefc1553bce9c47b7ccc81ec1b94eea25c,2024-04-30 00:28:24,Andy Zhang,add résumé (resolve #439),False
cd096d13d76f2367846f06cf7e382b086747dd9b,2024-04-29 00:36:45,Yuan Chen,Correct kubernetes prounounciation,False
acf4b95b49ef86d12067d99c0665398a6f29c05b,2024-04-29 00:23:05,Yuan Chen,Add Bazel,False
4d9c22916e89ae56ba6ca459495bf501dae6c80c,2024-04-18 01:17:34,Yuan Chen,"Merge pull request #436 from yuanchen8911/fix

Make addword.py work with all python3.* versions",True
80ae342c69bad68ee18aa8646eae20815e6ded14,2024-04-18 01:14:01,Yuan Chen,Make addword.py work with all python3.* versions,False
0382ab46ab86f3372242324b68d2b742c592ad86,2024-02-04 13:34:55,Jinglong Liu,"Update README.md (#430)

add new word ""IEEE""",False
268dd0540d5b2975c3ec64a551331af2eaa1903c,2023-07-29 22:05:39,Yuan Chen,"Merge pull request #426 from yuanchen8911/premise

Add word `premise`",True
6c95091bd97ac7997f40e64fe42dadb5bcda92b6,2023-07-25 23:12:44,Yuan Chen,"Add premise

Add wrong prounouciation for premise",False
3ea9c20826b9a9e22144f1ddb8d5f4d5fdf3aa8e,2023-06-28 15:10:00,Renny Ren,"Update README.md (#422)

feat: add word ""migrate""",False
bc526cecbb730f5470e65f1373796879a0c770d9,2023-05-25 12:36:25,Heng Zhong,"""Circle"" is the wrong pronunciation for SQL. (#417)",False
2d88b771128e1e932ac2158df11d412ea76c3aaf,2023-05-24 07:31:52,Untitled,Updated Wrong phonetic symbol (#413),False
3f66a8db519e77b921b7691bd08155079033de79,2023-05-24 07:31:09,Fog3211,"fix: GUI audio link (#414)

Co-authored-by: Fog3211 <23151576+Fog3211@users.noreply.github.com>",False
69e5e5d3b899e5b0a31b56d39ada1aede4a3bf0f,2023-04-03 23:01:56,Yuan Chen,"Merge pull request #410 from chafel/master

feat: add word chaos (#408)",True
aff9ab74b4b16a1db870a876d1a5fc19be34b82f,2023-04-01 22:46:50,sunchaofei,fix: right typo,False
e1ed708c85ef275d678e8f5e06e0f9a9a586f0b6,2023-03-17 08:25:20,sunchaofei,feat: add word chaos (#408),False
