Hash,Date,Author,Message,IsMerge
5311f64b03fc0c2450ab17a45ee9818669c8b9b5,2023-02-11 22:58:23,Ryan McDermott,"Merge pull request #356 from hamettio/master

Persian translation added (Fluent + RTL styled)",True
a4c884f603ea05fe4eb771c8f3c81723d934c787,2022-08-21 23:05:59,Ryan McDermott,"Merge pull request #383 from eugene-augier/french-translation

French translation",True
5b49d62756ad8ad3a75324a5fa1bc85a5e5ff9a8,2022-08-21 23:04:05,Ryan McDermott,"Merge pull request #392 from agilatakishiyev/master

Fix wrong naming of `default parameters`",True
2cab77b8e58dce3f6c418595b7ef70adca1a4258,2022-07-10 22:35:45,Agil Atakishiyev,fixed naming,False
98f1d4a5a3b00c7b201400db6a443817d759859b,2022-04-13 17:38:10,Eugène d'Augier,French translation,False
384665f8da2de749ad96c694a9e18227cfd08b45,2021-07-23 22:34:42,Hamed Abdollahi,Persian translation added (Fluent + RTL styled),False
3ff9eba6d460f31db8146762bade4fcc32626762,2021-05-24 00:22:44,Ryan McDermott,Fix `paintCar` example to include `color` as param,False
20563d0e9cb4a5847222485531a47bf3f68cb9c5,2021-05-23 23:22:51,Ryan McDermott,"Merge pull request #341 from jamestharpe/patch-1

Make example more succinct",True
753d6d8b33dece69e08b2ec0ea0807592881fbf2,2021-03-29 18:08:27,James Tharpe,"Make example more succinct

""PER"" has the same meaning as ""IN_A"" but is less verbose",False
da76556c9728b170e8e3086304ef7921c5efe263,2021-01-21 08:57:39,Ryan McDermott,"Merge pull request #326 from doskovicmilos/patch-1

Add Serbian translation.",True
029c4c2f8aef211caa99ab4cd39dcdbd496ba669,2020-10-10 21:34:42,Miloš Dosković,Add Serbian translation.,False
ca37c9cfc725625d52b71071adeb2bf0b951847c,2020-10-08 08:53:25,Ryan McDermott,"Merge pull request #325 from jdsandifer/issue-321-remove-pass-by-reference

Fix stray hyphen turning into a random bullet",True
30282195952b7eb01d2c8e0f022f83d60cde9284,2020-10-08 08:45:53,J.D. Sandifer,Fix stray hyphen turning into a random bullet,False
8f678c8c60f1f1b2172b9d05b8ed500883c31602,2020-10-08 00:11:03,Ryan McDermott,"Merge pull request #320 from ychek/add-calculation-for-milliseconds

Add calculation for milliseconds in a day",True
597a5107ab57a34f2403e5ff7661a4b95c74d4de,2020-10-07 03:48:17,Ryan McDermott,"Merge pull request #323 from jdsandifer/issue-321-remove-pass-by-reference

Replace pass-by-reference with mutability, clean up",True
3b9504ef2ac585fadeec0523bb22ca39ca626e6b,2020-10-05 09:20:25,J.D. Sandifer,"Replace pass-by-reference with mutability, clean up

This edit only affects the Avoid Side Effects (part 2) section.
It replaces the discussion of pass by reference with an explanation in terms of mutability. 
By avoiding the confusing terminology and possible links to the implementation details of 
different JS engines the explanation can be kept at an abstraction level that's great for 
beginners and experts alike. I also cleaned up some grammar, typos, etc.",False
365717f8bb54f0046e226606b0bbd3c9123e3594,2020-09-06 17:53:12,Yaniv Chekroun,Add calculation for milliseconds in a day,False
4d15e1cfb1305d74b6e992fff734425011b18272,2020-07-31 08:39:45,Ryan McDermott,"Merge pull request #288 from sbimochan/patch-1

Change argument name from inner variable name",True
c56cc59540152e0fd89fb5ecfb404152f3b97b90,2020-05-03 07:17:08,Ryan McDermott,"Merge pull request #312 from nebakry/patch-1

Fix calling animationModule in ISP bad example",True
