Hash,Date,Author,Message,IsMerge
899378dee9681dcf4cb3d702c23a3f3cd9f473d8,2022-12-10 20:43:04,dependabot[bot],"chore(deps): bump nanoid and mocha (#835)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
b1bcc3dd73b592096d9d9ab43b065e2135ba32c0,2022-12-10 20:38:42,dependabot[bot],"chore(deps): bump qs and body-parser (#833)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
5d497db230a0b6cac332773ac22aa9b98648667b,2022-12-10 20:38:29,dependabot[bot],"chore(deps): bump decode-uri-component from 0.2.0 to 0.2.2 (#832)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
57ccdf425308c103cb3347560ae6666d00c167b3,2022-12-10 20:38:17,dependabot[bot],"chore(deps): bump engine.io and socket.io (#831)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Helder Berto <helder.burato@gmail.com>",False
07ba4a89dae8c6679c3694176969c0b3a5ffffb5,2022-12-10 20:37:47,dependabot[bot],"chore(deps): bump loader-utils from 1.4.0 to 1.4.2 (#830)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
f4daa96342c1a22073f607e6a70b75bb4ef8904a,2022-12-10 20:37:35,dependabot[bot],"chore(deps): bump socket.io-parser from 4.0.4 to 4.0.5 (#829)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
b31ef09fd01497d5a88bf2537af31fa656366506,2022-08-29 16:03:13,dependabot[bot],"chore(deps): bump terser from 5.5.1 to 5.14.2 (#813)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
2b2f9eef6fd1cf951612740e16e422db2848c00a,2022-05-04 23:21:40,Beto Muniz,2.0.11,False
21db7250edff24892cdd7076df708d9140fc06fb,2022-05-04 23:17:44,Beto Muniz,"Support more HTML input types. Close #800 (#808)

* Support more HTML input types.

* Improve test description. Remove .only

* Apply logic only when target is an input element",False
08169bce8c8bfab296000f03940663069b89625c,2022-05-04 23:15:44,Patrick H. Lauke,"Fix #805 don't `blur()` the trigger after a clipboard action (#807)

* Remove the `blur()` following a clipboard action

It's pointless to set `focus()` on the trigger first, if in the next step you're just going to `blur()` the active element anyway.

* Tweak test to not expect active element to be body

Since it's now not `blur()`ing anymore

* Fix test

see https://github.com/zenorocha/clipboard.js/pull/807#discussion_r862080076",False
