Hash,Date,Author,Message,IsMerge
8a5dcbb838e06fa01cba4d0b74d988ab66821c33,2025-03-20 21:57:04,Marijn Haverbeke,Mark version 5.65.19,False
eed51d071bce00302f209d66b8d2cf908b2cb733,2025-03-17 00:57:59,Jakub Vrána,[sql mode] Support quoted identifier for PostgreSQL,False
187450ac140094ae30630bc209c88c9f1b278e67,2025-03-11 20:09:10,Marijn Haverbeke,Upgrade actions/cache to v4,False
064ea16b7d1c0724ed1f63b2d6187435c9497a1e,2025-03-11 20:05:55,Beni Cherniavsky-Paskin,"[theme demo] Fix dropdown losing choice on solarized light / dark

Choosing ""solarized dark"" correctly sets .cm-s-solarized .cm-s-dark
(as documented https://codemirror.net/doc/manual.html#option_theme).

It then sets URL fragment to #solarized%20dark,
which was looking for `solarized%20dark` in dropdown and failing.
This commit makes both setting and getting URL fragment reliable.",False
b60e456801640147f47609c141105d5d58fcb1e8,2024-12-05 15:04:18,Marijn Haverbeke,"[pascal mode] Make keywords case-insensitive

Closes https://github.com/codemirror/codemirror5/pull/7113",False
deee5c01586a7630fb0c1b32d4635fd4bb5fa545,2024-10-22 16:51:57,noor.masarwa,"[gherkin mode]: Add support for Rule Example keywords

Co-authored-by: Noor-Masarwe <nmasarwe@opentext.com>",False
998f328b6b01217f6ef9e958ce3a128daddc592e,2024-09-20 16:48:09,Marijn Haverbeke,Mark version 5.65.18,False
81d004923d399fdb3af447fee63c5255e255d6f3,2024-09-18 12:59:02,Marijn Haverbeke,Drop realworld.html page,False
e1b414d88d515b895add96df9d689fc9d0098fa0,2024-09-05 20:15:25,Sam Rawlins,[dart mode] Support digit separators,False
dd44c943cc25109d73041abb9f859581c4dec07a,2024-08-28 13:52:37,Marijn Haverbeke,"[groovy mode] Stop parsing interpolated variable names when hitting whitespace

Closes https://github.com/codemirror/codemirror5/issues/7103",False
48d159a49b1db89523df7834cb18b46ac142764b,2024-08-15 21:16:23,pkucode,"Remove repeated words in comments

Signed-off-by: pkucode <cssjtu@163.com>",False
13eeec1ec2fe12571cd0b2feb57a1d575fc14355,2024-08-01 20:48:54,Allef Santana (garug),[clojure mode] Enable brace folding,False
064c9a880750a492c598433e6ddd155f836caaac,2024-07-20 19:54:23,Marijn Haverbeke,Mark version 5.65.17,False
fec380ddc125419ab2ba47765442ea557a88d611,2024-04-24 11:40:35,David Foster,Add regression test for issue #1975,False
5a966343ec7c7f740f0dc01e4a8e7d0bd288c1ef,2024-04-24 11:40:35,David Foster,Add regression test for issue #4641,False
b7b1bbcb9668032f6ab16766e19572745c6326b9,2024-04-03 18:26:27,Marijn Haverbeke,"[crystal mode] Fix an infinite loop in tokenizing of heredoc strings

Closes https://github.com/codemirror/codemirror5/issues/7092",False
0c8456c3bc92fb3085ac636f5ed117df24e22ca7,2024-02-29 11:47:45,Marijn Haverbeke,"[duotone theme] Improve contrast on comment tokens

Closes https://github.com/codemirror/codemirror5/issues/7087",False
e84384b4210bc35300994de07c6333666f2a5c9e,2023-11-20 15:27:37,Marijn Haverbeke,Mark version 5.65.16,False
676fc52bf13e8788636af2cd4519e6b50c1f5adc,2023-11-11 13:12:44,Pavel Feldman,Make active element tracking work inside closed shadow roots,False
adc4282471ee15e2c91b7da7d5398cd1b8eee978,2023-10-27 14:04:30,Marijn Haverbeke,"[jsx mode] Narrow test for trailing-comma generic

Issue https://github.com/codemirror/codemirror5/pull/7073",False
bcb86262e8a2a606bfa13ed47f8c6171b4d37ac9,2023-10-27 14:04:26,Luke Haas,"[jsx mode] Support trailing-comma generics syntax in JSX with TS

Issue https://github.com/codemirror/codemirror5/pull/7073",False
2329ebb19b9846d1306c2379a5c85858df85e71f,2023-10-18 21:24:08,Marijn Haverbeke,Link to CM6 in readme,False
3bb9e7a38a9b95c66538676100fcced9cfe264ef,2023-09-21 20:17:03,Gabriela Gutierrez,"Ref actions by commit SHA in ci.yml

It's important to make sure the SHA's are from the original repositories and not forks.

For reference:

https://github.com/actions/checkout/releases/tag/v4.0.0
https://github.com/actions/checkout/commit/3df4ab11eba7bda6032a0b82a6bb43b11571feac

https://github.com/actions/cache/releases/tag/v3.3.2
https://github.com/actions/cache/commit/704facf57e6136b1bc63b828d79edcd491f0ee84

Signed-off-by: Gabriela Gutierrez <gabigutierrez@google.com>",False
53faa33ac69598b7495e160824b58ebb8d70fe97,2023-09-10 21:06:12,Parker Lougheed,[dart mdoe] Fix code example to compile and run with modern Dart versions,False
ee6a1d201f748fa6b777513e4998eb652df896ed,2023-09-10 21:05:37,Parker Lougheed,[dart mode] Remove support for inline keyword,False
638abda97cf458d9243804b75de53714209e8632,2023-09-01 12:26:11,Marijn Haverbeke,"[go mode] Allow underscore separators in numbers

Closes https://github.com/codemirror/codemirror5/issues/7059",False
854ee51ef20434eae043d64f92e6f8548d569030,2023-08-29 12:29:28,Marijn Haverbeke,Mark version 5.65.15,False
4ea5f465587e1624b668ae98738ffafc1bef71de,2023-08-10 02:24:39,Marijn Haverbeke,"[yaml mode] Fix exponential regexp

Closes https://github.com/codemirror/codemirror5/issues/7053",False
817ea7be474c3452a78864c05aa7f38ec8f2ff85,2023-08-01 00:51:56,Marijn Haverbeke,"Fix install example in readme

Closes https://github.com/codemirror/codemirror5/issues/7051",False
370f7c4a7222211987a826b0e9f43d8980229c64,2023-07-22 00:53:28,Marijn Haverbeke,"[lint addon] Make sure tooltips don't stick out of the window width

Issue https://github.com/codemirror/codemirror5/pull/7044",False
82ce3d2f64b18e86306a9d9da85beeba4e17834e,2023-07-17 13:05:44,Marijn Haverbeke,Mark version 5.65.14,False
69e38f574c03bc2d46c806ffc5f652d31d071c21,2023-07-15 12:31:06,Marijn Haverbeke,"[java mode] Fix indentation after class extends clause

Closes https://github.com/codemirror/codemirror5/issues/7049",False
a0854c752a76e4ba9512a9beedb9076f36e4f8f9,2023-07-03 13:24:01,Jan T. Sott,[nsis mode] Add !assert command,False
1e58b28781af0d2a9fc426c744dcdc22c6216dd6,2023-06-29 20:45:39,Marijn Haverbeke,[lint addon] Remove confused annotation filtering,False
480a35d793745572de439a5aaa44fd4fe74a2bb3,2023-04-27 14:09:13,Marijn Haverbeke,Fix error output in release upload script,False
330a06dd6ece17833f0127093d44ae18a1a5c451,2023-04-27 13:53:26,Marijn Haverbeke,Mark version 5.65.13,False
9974ded36bf01746eb2a00926916fef834d3d0d0,2023-03-16 22:33:27,Marijn Haverbeke,[clike mode] Properly match character literals in Scala mode,False
c17c5f0abe0147151d834e8eec9c400ec327120a,2023-03-08 15:56:18,Brett Morgan,"[dart mode] Add `inline` keyword for inline classes

Context: https://github.com/dart-lang/language/blob/master/accepted/future-releases/inline-classes/feature-specification.md

Related: https://github.com/dart-lang/sdk/issues/49734",False
6a705898e74e223b74e02fe59f60af83074205a0,2023-03-03 04:40:22,Brett Morgan,[dart mode] Add keywords,False
658bff7c56b7829aeabb8a914be5ca728d8aba0b,2023-02-24 13:10:47,Marijn Haverbeke,"[sql mode] Make sure 'with' is highlighted as a keyword for PostgreSQL

Closes https://github.com/codemirror/codemirror5/issues/7022",False
6fc81b126fabd791a31d9c9d146f2aff32953d5b,2023-02-20 16:25:39,Marijn Haverbeke,Mark version 5.65.12,False
659df46b1f53cd94952058e23687f9e58e1b997e,2023-02-14 23:14:36,yoyoyodog123,"[python mode] Add new built-in functions

- Aiter (added in 3.10)
- Anext (added in 3.10)
- Breakpoint (added in 3.7)",False
58f592582f114919e980a8035a46327471c01527,2023-02-02 14:27:06,Marijn Haverbeke,"[bespin theme] Increase selection contrast

Closes https://github.com/codemirror/codemirror5/issues/7018",False
34b84359c4ce289086c82c203f66ef74614d8a0d,2023-01-24 12:55:56,Marijn Haverbeke,Update maintainer email,False
9e864a1bb7c4c452f462d7f8d8be111c8bb8ad6f,2022-12-23 14:47:29,Marijn Haverbeke,Remove trailing whitespace,False
d4a6699187bb34ebf82321c227c0118f4c28f564,2022-12-23 14:37:17,yoyoyodog123,[python mode] Add match/case to py3 keywords,False
f124e299238f2b622a96761886d0d930b11d55d9,2022-12-20 15:42:25,Marijn Haverbeke,Mark version 5.65.11,False
f006b571d20b3b3e932b1d9013d73d0ada2c22bd,2022-12-14 13:42:26,sahil.mahna,Add keyboard spacebar interactive for merge editor buttons,False
d4d7d3c4e18cc6bfff7136abc4cbd31bad194b6e,2022-12-09 15:19:37,Joseph D. Purcell,Use autocorrect and autocapitalize value of on instead of empty string,False
dd931d8f896de393b959f7519ff401071c09135b,2022-12-09 15:17:14,Marijn Haverbeke,"Respect spellcheck/autocorrect/autocapitalize options in textarea input style

Issue https://github.com/codemirror/codemirror5/issues/7009",False
d122e55c4818ef72e45939c4c06301bc36cb4a53,2022-12-08 13:05:48,Marijn Haverbeke,[sql mode] Always enable tokenizing of dot-prefixed names,False
fbe612a66ab2a8063b6309c24d5cc613d8b80a50,2022-12-08 13:05:48,Marijn Haverbeke,[sql-hint addon] Fix getting keywords from plain sql mode,False
7814ddf4011a9ec479d378fe7f3623bea0b17faf,2022-12-08 13:05:48,Marijn Haverbeke,[sql-hint addon] Reindent,False
349c8a6c7adbb1a0d31b205260807f4f5847b1a6,2022-11-29 21:28:47,DoctorKrolic,[clike mode] Add new C# keywords,False
fe0bc6d5d5967ad4073805022b4e01e96a21bc1f,2022-11-20 21:05:33,Marijn Haverbeke,Mark version 5.65.10,False
742627abcab8314dcabed2ce8ae6d347eaaf5512,2022-11-15 14:06:27,Marijn Haverbeke,[sql-hint addon] Fix retrieving of parser config,False
407d1f1c896dd507095559466fedb3335b8e182f,2022-11-15 06:03:47,Marijn Haverbeke,"[sql-hint addon] Make completion work when SQL isn't the outermost mode

Closes https://github.com/codemirror/codemirror5/issues/5249",False
2e3df70d4cfa5db5a9218893f2366fba7e59b928,2022-11-15 06:02:23,Marijn Haverbeke,[pegjs mode] Remove useless lines,False
9296326b0a9e37489e00d4d7bfabd4725f6bfb7b,2022-10-26 17:54:27,Marijn Haverbeke,"[javascript mode] Fix recognition of class property keywords before private names

Closes https://github.com/codemirror/codemirror5/issues/6996",False
e1fe2100d0fdc7c34d47993f6514bdd2213c0015,2022-10-06 17:22:06,Mark Boyes,[sparql mode] Identify all characters in prefixes,False
e5071ebb0b35bec9207c42c364d8a1fd3e942cf6,2022-09-20 18:12:34,Marijn Haverbeke,Mark version 5.65.9,False
ec72109aced0494d3b1df18faa0df079a42fcbc2,2022-09-08 16:41:36,Jan T. Sott,"[nsis mode] add ${Case} variants

Reference: https://nsis.sourceforge.io/LogicLib",False
0f41e5153f8948604a0e9a2d71a1adbb9aeaed23,2022-09-08 13:19:04,Marijn Haverbeke,"Add clip-path to wrapper element on Chrome 105 to work around browser bug

Issue https://github.com/codemirror/codemirror5/issues/6982",False
264ba931c4cfcc9f271ae9f1d7a71c934290c008,2022-09-06 18:45:02,Marijn Haverbeke,"[swift mode] Fix tokenizing of block comments

Closes https://github.com/codemirror/codemirror5/issues/6981",False
ccacc382636a8f892f665b0eb49dcdce99593ae3,2022-08-26 21:47:39,Marijn Haverbeke,"[show-hint addon] Resize popup if it doesn't fit in the viewport

Issue https://github.com/codemirror/codemirror5/pull/6979",False
f1430486d9ce38771a15b77d94734345515768d2,2022-08-26 15:50:21,Marijn Haverbeke,"[jinja2 mode] Remove tab

Issue https://github.com/codemirror/codemirror5/pull/6975",False
0ade73a9ea223f24684270281cd163ef46f30610,2022-08-26 15:47:11,Marijn Haverbeke,"[jinja2 mode] Remove trailing whitespace

Issue https://github.com/codemirror/codemirror5/pull/6975",False
b7460f6b8d01f80eaff63b8923f5699466e556a6,2022-08-26 15:40:09,Vladislav Voitenok,[jinja2 mode] Support line statements,False
21141474f6e80241a1b1081017e6c055bdaa7aa4,2022-08-20 16:44:27,Marijn Haverbeke,Mark version 5.65.8,False
9232cb375098b3c89fc1fba2dd4d874096b24f18,2022-08-11 13:42:34,Marijn Haverbeke,"[merge addon] Fix IE10 compatibility

By changing a function declaration to a variable declaration

Closes https://github.com/codemirror/codemirror5/issues/6976",False
3b15f70cf8bf5ec08600bc639088a8d31cdaf1a8,2022-08-08 13:25:40,coderaiser,[real-world uses] Add Cloud Commander,False
9670ccf3b1512e8e6a5b5591e98c242ac6e9f5c3,2022-08-01 19:24:31,Marijn Haverbeke,Add missing closing paren,False
84bb7bfc4ef6037a9172b60ec44caa65be0cff5a,2022-08-01 19:22:17,Marijn Haverbeke,"[python mode] Add exec and print to hintWords

Closes https://github.com/codemirror/codemirror5/issues/6969",False
7ac872b0dbdd75a5c88a8c143c14021f70451041,2022-07-28 13:57:42,Marijn Haverbeke,"[foldgutter addon] Recompute fold markers on mode change

Closes https://github.com/codemirror/codemirror5/issues/6968",False
7710c7c8c3577c9173a11952db352240bcf238f7,2022-07-27 19:18:15,Marijn Haverbeke,"Fix bug in input resetting during composition

Closes https://github.com/codemirror/codemirror5/issues/6893",False
fc0440bc7563aead662492b0f1b0512637545442,2022-07-22 12:08:26,Marijn Haverbeke,"Include direction override and isolate characters in default specialChars regexp

Closes https://github.com/codemirror/codemirror5/issues/6967",False
dc7e324c5c02e2b23851ab7849fcfcbf305bf737,2022-07-20 15:26:01,Marijn Haverbeke,Mark version 5.65.7,False
7a2106aed246ae6dc1a05dc92a8cdc4196e12213,2022-07-20 13:11:41,Marijn Haverbeke,Add '5' to title of front and manual pages,False
9b34840545162c9d27cf057bce8042de8bedd27e,2022-07-20 02:24:29,Randy Luecke,Fix for new function name clashing with local variable.,False
fbe87a2a8385fbbd5a2ef2e4f3cef621059a53f4,2022-07-19 16:27:23,Marijn Haverbeke,Link codemirror-vim from vim demo,False
24c3a06e6b1e73eaa6f264f934a7c5e2be5329ed,2022-07-19 14:02:28,Marijn Haverbeke,Fix doc(cm) to actually return a document,False
139983f94824ec0afd08ab07cc896d78b5366196,2022-07-19 13:54:11,Marijn Haverbeke,Upgrade blint,False
feed828066b0087665cf067ec7ac82a210866284,2022-07-19 13:53:57,Marijn Haverbeke,Add keymap/vim.js to .gitignore,False
02abcd2d01f87b0410696faf8fc7c3955e32c65d,2022-07-19 13:24:30,Marijn Haverbeke,Fix previous patch,False
96010fcc7274b45023e9d695ca9753e47b6397a5,2022-07-19 13:22:04,Marijn Haverbeke,"Don't use global document/window

Closes https://github.com/codemirror/codemirror5/pull/6964",False
c651c21fb62ec0bdd70927fb8062f7a2da21d7b1,2022-07-19 13:17:45,Harutyun Amirjanyan,[vim bindings] Use code from codemirror-vim,False
638951ee8f037849fd12032cab56db94b096b23e,2022-07-18 20:30:58,Boris Verkhovskiy,[sql mode] Trino SQL,False
c401c299ce13cd99d8b6798a9bb21b443dec4493,2022-07-13 23:23:39,Boris Verkhovskiy,[sql mode] Support empty number literals,False
