Hash,Date,Author,Message,IsMerge
e6f56c888c96d1339c2b974fee7e6ba4f2e3d218,2025-01-21 04:58:00,abetomo,13.1.0,False
ad3ecf0e31fbcebc4c6897a422a76767de5e7ac5,2025-01-21 04:55:54,John Gee,Add 13.1 to CHANGELOG (#2315),False
2619c99a193792d6700b0a1f8bb4b1075558a56c,2025-01-17 14:14:30,Wei Feng,Fix example code in Readme_zh-CN.md (#2313),False
8263b7f098983fac7545fe7f0c61be2d90b2b53a,2025-01-13 10:00:14,John Gee,Add support for dual long options when no short option (#2312),False
bb733f4f0f5d4b334b04b5e18e5cbb3d71b4e9da,2025-01-10 08:31:07,John Gee,Reorder funding with active maintainers first (#2310),False
d6bcb0b6e144d8854360a5c3c2759fadf0e4edb3,2024-12-30 10:55:32,abetomo,13.0.0,False
fa9e5eddb8b91b242a0aba5e2e5272547772e436,2024-12-30 10:54:17,abetomo,Update release date,False
fb2c46a005e9f7796a32fcd0652d847ea39940dc,2024-12-30 07:39:12,John Gee,Update CHANGELOG for 13.0.0 (#2301),False
49423a288b6561190461bf91231a18085e60dad4,2024-12-27 07:21:31,John Gee,Add save/restore state to allow multiple calls to parse (#2299),False
497c11d83065567a3b2840bc0800d30e6ab4ed33,2024-12-15 02:46:03,John Gee,Update dependencies (#2295),False
a8ef5cf3e1975380974ab5c4f92c26fb2c5e3209,2024-12-08 07:17:27,John Gee,Add informative message for missing executable on Windows (#2291),False
02c603ebedaec334ba9edc7c3c2e48484e2aeaf8,2024-12-08 07:15:29,John Gee,Add clues about what help configuration is available to help with searches and encourage people to look further (#2294),False
37e86af4c14b22db04adfce4b05597567f207167,2024-12-07 04:40:32,John Gee,Add links to CHANGELOG,False
53fc8a4b287e063af0bd3a026cad06bf1cf07bcf,2024-12-07 01:21:46,John Gee,Prepare for 13.0.0-0 (#2292),False
d355b52d2013def008e7874c14f97d4fd96ed26f,2024-11-27 01:10:18,John Gee,More Help documentation (#2282),False
437e4e3252a1a5785a3bb7486251bba16befab23,2024-11-27 01:09:37,John Gee,Split styleItemDescription into option/subcommand/argument (#2283),False
5629947a2ff3e8f04ce593b50b26de4de16b8504,2024-11-22 05:13:30,John Gee,Support color ansi code sequences in custom help (#2251),False
5a795857e7bf2542916fbca14af69399de5eb605,2024-11-10 15:03:28,John Gee,Merge branch 'develop' into release/13.x,True
c0afc314d6916309cb08bb56882f45c59ea2c84d,2024-11-05 05:34:30,dependabot[bot],"Bump @eslint/js from 9.11.1 to 9.14.0 (#2279)

Bumps [@eslint/js](https://github.com/eslint/eslint/tree/HEAD/packages/js) from 9.11.1 to 9.14.0.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/commits/v9.14.0/packages/js)

---
updated-dependencies:
- dependency-name: ""@eslint/js""
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
6f5431f321573f3416d12c0ca0e0ab00ad646007,2024-11-05 05:34:21,dependabot[bot],"Bump typescript from 5.6.2 to 5.6.3 (#2274)

Bumps [typescript](https://github.com/microsoft/TypeScript) from 5.6.2 to 5.6.3.
- [Release notes](https://github.com/microsoft/TypeScript/releases)
- [Changelog](https://github.com/microsoft/TypeScript/blob/main/azure-pipelines.release.yml)
- [Commits](https://github.com/microsoft/TypeScript/compare/v5.6.2...v5.6.3)

---
updated-dependencies:
- dependency-name: typescript
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
0e32985382b3998d2fee88936ec4aedaf3347ccf,2024-11-05 05:34:11,dependabot[bot],"Bump @types/jest from 29.5.12 to 29.5.14 (#2272)

Bumps [@types/jest](https://github.com/DefinitelyTyped/DefinitelyTyped/tree/HEAD/types/jest) from 29.5.12 to 29.5.14.
- [Release notes](https://github.com/DefinitelyTyped/DefinitelyTyped/releases)
- [Commits](https://github.com/DefinitelyTyped/DefinitelyTyped/commits/HEAD/types/jest)

---
updated-dependencies:
- dependency-name: ""@types/jest""
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
a19ab38b2fc5b45fc0778570533a98a14b56df10,2024-11-05 05:33:55,dependabot[bot],"Bump globals from 15.9.0 to 15.11.0 (#2273)

Bumps [globals](https://github.com/sindresorhus/globals) from 15.9.0 to 15.11.0.
- [Release notes](https://github.com/sindresorhus/globals/releases)
- [Commits](https://github.com/sindresorhus/globals/compare/v15.9.0...v15.11.0)

---
updated-dependencies:
- dependency-name: globals
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
7bc799b02f7cb3b4f9925577ed943c241cab2a18,2024-11-03 06:00:07,John Gee,Upgrade eslint and tselint (#2278),False
966720af9470fdf47b67f8ac9ed3ea558dfed8f2,2024-10-29 14:04:23,John Gee,Throw for unsupported option flag setup (#2270),False
2c9051a59fa8e4a1297538a828e9e14592901879,2024-10-13 06:59:47,John Gee,Update README and examples for allowExcessArguments change (#2266),False
3a79d846822388e831a5e0b03965bec20a73d52a,2024-10-12 05:07:39,Nathan Baulch,Fix typos (#2264),False
