Hash,Date,Author,Message,IsMerge
45f88334d08f8278e51b8189671ddea4720c754e,2025-03-20 09:51:15,iamkun,chore: update demo,False
2c0d3a901823ee65f1ec3ee8daf0ff6358a48484,2025-02-21 10:07:34,iamkun,chore: update demo,False
3738cc1db0d855e68b65ec775a38898c02586b76,2025-01-23 21:04:59,iamkun,chore: update readme,False
da1f8932951d4cb6470e29026da49a0b2cdb0464,2025-01-20 16:54:37,iamkun,chore: update demo,False
53dbe26adc44545435c74d8b34917eec7d101f41,2025-01-15 17:16:32,iamkun,chore: update doc,False
45e5c9d1961bf8bbfd89110295d2b25180be376b,2025-01-05 19:27:02,iamkun,chore: update readme,False
9a51b6dbaeee4b3cf50488e46b07131013d9e972,2024-12-20 10:45:15,iamkun,chore: update demo,False
72f2aa315ee860f52627c009edff58b22869c358,2024-11-20 16:26:17,iamkun,chore: update,False
975e2fa46ebb48224a2db782f3188af99fc1dbc8,2024-11-11 10:21:15,iamkun,chore: update doc,False
1f67767944c3ac7384c3128ddd805611e9ce8f57,2024-10-20 19:32:54,iamkun,chore: update demo,False
e720cfee381ca207bd975d73df340de449b2da59,2024-10-06 10:24:30,iamkun,chore: update demo,False
fa1612328b4e2dc0263f5b7e83eeeb343ccd7021,2024-09-23 16:25:39,iamkun,chore: update demo,False
7db032672118fb85269420ae1f9cfbd69f0ff7df,2024-09-23 16:25:18,iamkun,chore: update doc,False
7a1f24293ff081147b55cfb35167012a584329a8,2024-09-13 19:31:06,iamkun,chore: update page,False
98fd252d6f671fa1781c54a89339dbb087ef93a7,2024-09-13 15:32:12,iamkun,chore: update README,False
ddcc9817c29f683caebbd38329a2e3cdaa9cdb96,2024-09-04 22:10:28,iamkun,chore: update doc,False
365f81d27fe9c58d3da24d0f487e1de354328975,2024-08-20 20:23:06,iamkun,chore: update doc,False
11e5744be9a3f22acdc0845be614f910db44e537,2024-08-19 16:38:30,iamkun,chore: Update README.md,False
8ca74f178eff4bb4eb686676cf35fe7edb815536,2024-08-09 21:31:41,iamkun,"fix: customParseFormat supports Q quter / w ww weekOfYear (#2705)

* fix: customParseFormat supports Q quter

* fix: customParseFormat supports w ww weekOfYear",False
0898d9f63a82e233d63401d2dcf688bdb2b54e57,2024-07-20 09:24:16,iamkun,chore: update readme,False
11fcf229301d898e84a6d9a005cfb777aa08fb49,2024-07-18 18:17:34,iamkun,chore: uodate doc,False
6cc12b7748117a5089153a6acfac9f83e44729b8,2024-07-18 18:10:42,semantic-release-bot,"chore(release): 1.11.12 [skip ci]

## [1.11.12](https://github.com/iamkun/dayjs/compare/v1.11.11...v1.11.12) (2024-07-18)

### Bug Fixes

* Add NegativeYear Plugin support  ([#2640](https://github.com/iamkun/dayjs/issues/2640)) ([6a42e0d](https://github.com/iamkun/dayjs/commit/6a42e0d7398639238f575d51287daaf4d495a2a3))
* add UTC support to negativeYear plugin ([#2692](https://github.com/iamkun/dayjs/issues/2692)) ([f3ef705](https://github.com/iamkun/dayjs/commit/f3ef705613af83333fe132b470896a65e12f31b0))
* Fix zero offset issue when use tz with locale ([#2532](https://github.com/iamkun/dayjs/issues/2532)) ([d0e6738](https://github.com/iamkun/dayjs/commit/d0e6738a66e1b65d3706aad2f9168ebb43d4f887))
* Improve typing for min/max plugin ([#2573](https://github.com/iamkun/dayjs/issues/2573)) ([4fbe94a](https://github.com/iamkun/dayjs/commit/4fbe94aaba8c815a42cf4d23dabac918ec50e68c))
* timezone plugin currect parse UTC tz ([#2693](https://github.com/iamkun/dayjs/issues/2693)) ([b575c81](https://github.com/iamkun/dayjs/commit/b575c81a8c9c85c7a0baf6f608a12f9d3ba95bd1))",False
35727b3fe7055cbe8d7c6b5058447083ce8c0f17,2024-07-18 18:08:25,iamkun,"Merge pull request #2694 from iamkun/dev

D2M",True
7b99f68c172c019752e5a3eeb88f401cd035a1ae,2024-07-18 18:04:45,iamkun,chore: rm useless import,False
5e6d8b06cf0f5702442c20c6236cc6919cd04098,2024-07-18 18:00:55,Godbless Nyagawa,chore: added README translation for Swahili speakers (#2691),False
b575c81a8c9c85c7a0baf6f608a12f9d3ba95bd1,2024-07-18 18:00:10,iamkun,fix: timezone plugin currect parse UTC tz (#2693),False
f3ef705613af83333fe132b470896a65e12f31b0,2024-07-18 17:07:49,iamkun,fix: add UTC support to negativeYear plugin (#2692),False
d0e6738a66e1b65d3706aad2f9168ebb43d4f887,2024-07-18 16:50:41,Yungoo Kong,"fix: Fix zero offset issue when use tz with locale (#2532)

* test: add test case for tz with locale

* fix: set utc as false if $offset is 0",False
9635a93aa32bdcabf79536e41bd300b83ec1c12c,2024-07-18 09:35:08,iamkun,chore: update demo,False
