Hash,Date,Author,Message,IsMerge
afdb5c3177c13fd26cb0abbdc439488f3e21b73b,2022-12-14 20:46:46,Jan Kassens,"Revert D41973343: replace require ReactDOM with ReactDOMLegacy_DEPRECATED

Differential Revision:
D41973343 (https://github.com/facebook/draft-js/commit/ea485ccfcdd5d8317f37a58f79afba02b56895c5)

Original commit changeset: 8203c6074d1d

Original Phabricator Diff: D41973343 (https://github.com/facebook/draft-js/commit/ea485ccfcdd5d8317f37a58f79afba02b56895c5)

fbshipit-source-id: 42166e20fe787973fdf4397c6903b6e63f485cad",False
bc8c486104c3f9a66064d793e8002cc073a9fb7f,2022-12-14 04:22:04,Sam Zhou,"Add annotations to break type cycles in www root

Summary:
Faecbook:

Add explicit annotations to break type cycles as required for Flow's Local Type Inference project. This codemod prepares the codebase to match Flow's new typechecking algorithm. The new algorithm will make Flow more reliable and predictable.

Details:
- Codemod script: `./scripts/typedjs/flow/runner lti/annotate_cycles .`
- Local Type Inference announcement: [post](https://fb.workplace.com/groups/flowlang/posts/788206301785035)
- Support group: [Flow Support](https://fb.workplace.com/groups/flow)

Codemodded paths:
- ``

drop-conflicts
bypass-lint

Reviewed By: jbrown215

Differential Revision: D41980338

fbshipit-source-id: b4101ac694cdac606344c9054a13b97eca1c73cf",False
ea485ccfcdd5d8317f37a58f79afba02b56895c5,2022-12-13 20:21:48,Jan Kassens,"replace require ReactDOM with ReactDOMLegacy_DEPRECATED

Summary:
Part of the plan to free up the `ReactDOM` name for the current modern React version under `ReactDOMComet` (which isn't Comet exclusive).

See [React FYI post](https://fb.workplace.com/groups/react.fyi/posts/4411697998840538) for more context.

Produced using this codemod using:

1. apply D41973346 to consider `require`s.
2. rename `ReactDOM` to `ReactDOMLegacy_DEPRECATED` for imports/requires and the local binding using: `scripts/typedjs/flow/runner codemod local/react/renameImport --from ReactDOM --to ReactDOMLegacy_DEPRECATED html/`
3. fix up some `$FlowFixMe`s that now needed to be moved due to prettier changing line breaks.

drop-conflicts

Reviewed By: alunyov

Differential Revision: D41973343

fbshipit-source-id: 8203c6074d1d0e92cfba038a6391529f0b90c219",False
ed2389eb38807ddef726b1876fa9b8f04da015b7,2022-11-08 07:03:11,Mike Vitousek,"Add explicit annotations to underconstrained implicit instantiations in html/shared

Summary:
Add explicit annotations to underconstrained implicit instantiations as required for Flow's Local Type Inference project. This codemod prepares the codebase to match Flow's new typechecking algorithm. The new algorithm will make Flow more reliable and predictable.

Details:
- Codemod script: `./scripts/typedjs/flow/runner lti/annotate_implicit_instantiations html/shared/ --generalize-maybe true`
- Local Type Inference announcement: [post](https://fb.workplace.com/groups/flowlang/posts/788206301785035)
- Support group: [Flow Support](https://fb.workplace.com/groups/flow)

Codemodded paths:
- `html/shared`

drop-conflicts
bypass-lint

Reviewed By: SamChou19815

Differential Revision: D41103398

fbshipit-source-id: ebb3d33f71689eb8e9aa49695aed152f98b45078",False
ebc2d0f9e534e9040087b86e52fcb33c32d20d9d,2022-11-04 07:47:54,Sam Zhou,"Pre-suppress errors ahead of 0.192.0 release

Summary: Changelog: [Internal]

Reviewed By: mvitousek

Differential Revision: D41010362

fbshipit-source-id: 39e408426e6a1b2a5ce320bbd16dcb1bf2b7fafc",False
e66e9c4811d4fa6dc6b194e91148ea0ef1bff9b1,2022-10-06 03:20:33,Pieter Vanderwerff,"Add explicit annotations to empty arrays in html

Summary:
Add explicit annotations to empty declarations arrays as required for Flow's Local Type Inference project. This codemod prepares the codebase to match Flow's new typechecking algorithm. The new algorithm will make Flow more reliable and predictable.

Details:
- Codemod script: `./scripts/typedjs/flow/runner lti/annotate_arrays html/`
- Local Type Inference announcement: [post](https://fb.workplace.com/groups/flowlang/posts/788206301785035)
- Support group: [Flow Support](https://fb.workplace.com/groups/flow)

Codemodded paths:
- `html`

drop-conflicts
bypass-lint

Reviewed By: SamChou19815

Differential Revision: D40116322

fbshipit-source-id: e3cb3335daa13c64105776f7776a972825aaa751",False
49051495e372f043918c98dddb6903d976300f96,2022-09-24 05:31:34,Baraa Hamodi,"Ensure all CSS files are copyrighted and formatted correctly

Summary:
As the title states, in this diff we ensure that all CSS files have a valid copyright license header and are formatted accordingly using ""format"".

This was done with the following command:

```
rg -tcss -l providesModule | perl baraa.pl
```

Contents of `baraa.pl`:
```
#!/usr/bin/perl

use warnings;
use strict;

while (<>) {
  chomp;
  next unless -f;
  my $filename = $_;

  my $fh;
  open $fh, '<'.$filename or die ""failed to open $filename for reading"";
  my lines = <$fh>;
  close $fh;

  shift lines while scalar(lines) > 0 && $lines[0] !~ /\S/;

  my comment = ();
  if (scalar(lines) > 0 && $lines[0] =~ m[^\s*\/\*]) {
    for(;;) {
      my $line = shift lines;
      my $should_break = 0;
      if ($line =~ m[^([\s\S]*?)\*\/([\s\S]*)$]) {
        $line = $1;
        $should_break = 1;
      }
      $line =~ s[^\s*\/?\**\s*][];
      chomp $line;
      push comment, $line;
      last if $should_break;
    }
  }
  shift comment while scalar(comment) > 0 && $comment[0] !~ /\S/;
  shift comment while scalar(comment) > 0 && $comment[0] =~ m[\bcopyright\b|\(c\)]i;
  my pragmas = ();
  my provides_module = ();
  comment = grep {
    my $res = /^\@/;
    if ($res) {
      if (/^\provide/) {
        push provides_module, $_;
      } else {
        push pragmas, $_;
      }
    }
    !$res
  } comment;

  shift comment while scalar(comment) > 0 && $comment[0] !~ /\S/;
  pop comment while scalar(comment) > 0 && $comment[-1] !~ /\S/;

  printf(""%s: %s\n"", $filename, join(""\n"", comment)) if scalar(comment) > 0;
  die ""Too many provides in $filename"" if scalar(provides_module) > 1;

  shift lines while scalar(lines) > 0 && $lines[0] !~ /\S/;
  print ""$filename is empty\n"" if scalar(lines) == 0;

  unshift lines, ""/**\n"".join("" *\n"", grep {$_ ne ''} map {
    join('', map {/\S/ ? "" * $_\n"" : "" *\n""} @$_)
  } (
    ['(c) Meta Platforms, Inc. and affiliates. Confidential and proprietary.'],
    [comment],
    [provides_module, sort {lc($a) cmp lc($b)} uniq(pragmas, 'format')]
  ))."" */\n\n"";

  open $fh, '>'.$filename or die ""failed to open $filename for writing"";
  print $fh $_ for lines;
  close $fh;
}

sub uniq {
  my res = ();
  my %res = ();
  for (@_) {
    push res, $_ unless $res{$_};
    $res{$_} = 1;
  }
  return res;
}
```

Reviewed By: vjeux

Differential Revision: D39784779

fbshipit-source-id: c0db287dde1846e8fa38101e819cb81f9c4c909c",False
4161b21a63d9167db205cd298f774fedf263ce5a,2022-09-22 14:40:03,CodemodService Bot,"Format JavaScript files with Prettier: scripts/draft-js/__github__/src/util

Reviewed By: mariusschulz

Differential Revision: D39724028

fbshipit-source-id: 27d3996766f3dfb2dea5da6424a366140e9232e1",False
678dacec8b9e647edb16b69ec4e30e25abc0ba4e,2022-09-20 10:43:06,Baraa Hamodi,"Format all CSS files with prettier

Summary:
In this diff, we run all CSS files that have a `provide` syntax through prettier to ensure that all of our CSS code is consistently formatted.

This diff was generated with the following command:
```
rg -tcss -l provide | xargs prettier -w
```

Differential Revision: D39636418

fbshipit-source-id: 405b372d1a887fc72425eff8a3765da242be5af9",False
d6553b923a504dda2d37f3cab95cb5c1f97d1b7c,2022-09-15 20:22:02,Marshall Roch,"upgrade to Flow 0.187.0

Summary: bypass-lint

Reviewed By: samwgoldman

Differential Revision: D39532623

fbshipit-source-id: a410af7922bfb8e181623677c8586363381d3319",False
