Hash,Date,Author,Message,IsMerge
f71310c74936f33ba9bc23d334cd1c0d860ff85a,2025-03-21 04:14:13,dependabot[bot],"Bump jspdf from 2.5.1 to 3.0.1 (#371)

Bumps [jspdf](https://github.com/MrRio/jsPDF) from 2.5.1 to 3.0.1.
- [Release notes](https://github.com/MrRio/jsPDF/releases)
- [Changelog](https://github.com/parallax/jsPDF/blob/master/RELEASE.md)
- [Commits](https://github.com/MrRio/jsPDF/compare/v2.5.1...v3.0.1)

---
updated-dependencies:
- dependency-name: jspdf
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
f95841f0e7fe61f64d40f266378c2a59261cc080,2025-03-21 02:55:36,1ilit,Migrate to tailwind v4 (#370),False
a358b56d7e4228af5c726f90fc392aa08a9e0620,2025-03-21 00:09:49,Christofer,"Use custom types when importing from postgresql (#261)

* 🐛 add custom enums or types when importing from postgresql

no longer defaults to blob

* allow for quoted enum/types to be correctly imported

used prettier for formatting as per contributing.md

the type/enum check is case sensitive as there is no way I found to verify if the type was declared in quotes (case-sensitive) or without (to-lowercase by postgres)",False
6cae92ce10041c9fdf046a2ea2e933bd639f94c6,2025-03-19 04:16:41,dependabot[bot],"Bump axios from 1.7.4 to 1.8.2 (#369)

Bumps [axios](https://github.com/axios/axios) from 1.7.4 to 1.8.2.
- [Release notes](https://github.com/axios/axios/releases)
- [Changelog](https://github.com/axios/axios/blob/v1.x/CHANGELOG.md)
- [Commits](https://github.com/axios/axios/compare/v1.7.4...v1.8.2)

---
updated-dependencies:
- dependency-name: axios
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
eb48fa1d359e7ebd32dc14df84afa2c1d22cdead,2025-03-19 03:51:26,1ilit,"Fix syntax errors in types for pg export (#368)

* Fix syntax errors in types for pg export

* Fix syntax errors in types for generic pg export",False
3e7d1ac6f61bd3d7dc87e4d5627534f0f46f5086,2025-03-17 03:20:59,Kratik,"Toggle datatypes visibility (#366)

* showDatatype setting added in view control panel

* removed shortcut

can be discussed later

* fixed linting issue and made sure the condition check is above div element

in table.jsx code
in the else part im directly returning the element by keeping a check  for settings.showDataTypes?
which helps to not add empty element

for setSetting issue
I used the similar code used just above the snippet and modified it",False
2a03298d29d6eb332a1084af379df1a62680889f,2025-03-16 22:07:36,1ilit,Upgrade node-sql-parser to v5.3.7 (#367),False
38c0a99b51a682dab9b3fdcaa2092df14b52622e,2025-03-16 01:13:49,1ilit,Fix column and fk constraint in dbml export (#365),False
7f5f481cea8fdf12604fd470b7417ed83eeb5a28,2025-03-14 23:36:26,1ilit,Increase heap size (#363),False
9396edddb2df61ab06c0046e1717cbfd747344b0,2025-03-14 23:20:53,1ilit,Update workflow (#362),False
fa1e736436f45f1653bba79c3cc2cd1e3dde2e40,2025-03-12 03:10:39,1ilit,Add speed insights (#359),False
6cc994206273df576958609a9e899130f4d3224d,2025-03-07 22:41:50,1ilit,"Fix hotkeys (#357)

* Fix hotkeys(#356)

* Check for meta key(#356)",False
e1ca9b0cd6056baf250c492accc4fa737975596a,2025-03-05 22:57:50,Tamás Balog,Add missing entries to the Hungarian translations (#354),False
885eb8298f09c31d2c180d0fdc67362b40be23cd,2025-03-05 00:28:39,1ilit,Deprecate ddb export(#353),False
8fe4ec5ac874c3e152be57a3e2389976caa17cca,2025-03-04 01:22:15,1ilit,Update README.md,False
0e54dbed1bbb72d13fcb180d40270cbb9bd19a24,2025-03-04 01:20:50,1ilit,"Remove funding (#352)

* Remove funding

* Remove support us from landing page",False
