Hash,Date,Author,Message,IsMerge
dbf5909892eb53cb8c745290da581457d61e07f8,2025-03-16 01:56:06,David Benson,Updates for release,False
e7b7b1bd59ea72dc7c0ac1ca8658ba78805fce3d,2025-03-05 09:22:44,Ashraf Teleb,Removed vsdx export,False
932e6afe0523576527c643af32f7a7cd48c72245,2025-02-24 16:18:40,David Benson,Updates for release,False
a28aa5ef95edd4ba028d0c09b9b7f794a85a8267,2025-02-24 14:44:22,David Benson,Reverts commander while 13.1.0 tested further,False
1c4f3eecd13f0596d7777de334d45218ac0767fd,2025-02-21 23:56:29,David Benson,Merge commit 'de3abd2dc6bd496da3346c44872ddfc0bed15b97' into dev,True
de3abd2dc6bd496da3346c44872ddfc0bed15b97,2025-02-21 22:47:46,David Benson,Fixes pdf-lib referencing,False
8373d1edb1c9ced0e5cd7403d10d41a72eade20f,2025-02-21 20:39:21,David Benson,Corrects electron-builder version,False
8488fb12f13654a3bed2b249a1144ba884ed9c6e,2025-02-21 20:14:11,David Benson,Merge commit '4a2a40ee7901ca7051aa1537a90c80c1e0497811' into release,True
4a2a40ee7901ca7051aa1537a90c80c1e0497811,2025-02-21 20:13:54,David Benson,Updates for 26.0.15 release,False
4aea107162b5ae12835fa94c195dcd15987c1097,2025-02-09 20:30:06,David Benson,Update README.md,False
154f7f08cf63accc2ea6fe0bd06515a41d916b28,2025-02-01 05:24:32,Ashraf Teleb,Updated electron to v34.0.2,False
1c926f54d03eedd4d16b0a99804d13cf0c9376b5,2025-01-27 19:18:25,David Benson,Merge commit '2ceccf275be66662a030a4d2948e2dc1cca8fce5' into dev,True
2ceccf275be66662a030a4d2948e2dc1cca8fce5,2025-01-27 17:26:03,David Benson,26.0.9 RC 1,False
c6ec4eb0effbf9ac789d6bda3cd7a401dd5de26c,2025-01-27 17:25:47,David Benson,Merge commit '48e1fce64e2007e22c63655de74a8f1283f718f2' into release,True
48e1fce64e2007e22c63655de74a8f1283f718f2,2025-01-27 17:25:12,David Benson,Updates to core 26.0.9,False
b32fc1b657b68e3a49a179d85751a6f83b20b1b3,2025-01-24 23:38:04,David Benson,Update README.md,False
