Hash,Date,Author,Message,IsMerge
d5683521f4579eeae11c80179097e73e1f3d9b32,2025-03-22 00:03:18,Katie Gengler,"Merge pull request #20813 from NullVoxPopuli/enable-no-barrel-file-deprecation

Enable `deprecate-import-from-ember` deprecation",True
467f51c33396e45deca1eb3801c21a42a84bf25a,2025-03-21 23:49:41,NullVoxPopuli,Update index.ts,False
63f6f4ec8580ada85f589f42014969e67d70c21d,2025-03-20 23:11:23,Edward Faulkner,"Merge pull request #20877 from NullVoxPopuli/nvp/re-add-support-for-moduleResolution=node10

Re-add support for moduleResolution=node10",True
298ffee534387f1824e724535c4d556a8ad3ca60,2025-03-19 00:18:37,NullVoxPopuli,Re-add support for moduleResolution=node10,False
255c516083d727b99ec68b37f7c8513a5bfee214,2025-03-18 01:00:58,Katie Gengler,Post-release version bump,False
ee0fafb150b73f48b2e24a1d65a22d30a25d8842,2025-03-18 01:00:48,Katie Gengler,"Add v6.4.0-beta.1 to CHANGELOG for `ember-source`

(cherry picked from commit bfe18a55b483db1b6803d46ff43d3f1f461fa392)",False
cc16b711ad35851cfc08992ec4aff5467396cf74,2025-03-18 00:24:38,Katie Gengler,"Merge pull request #20875 from emberjs/kg-fix-executable-changelog

Put back the hashbang for changelog.js for convenience",True
dd8fa3d863dd948f3d226badac01f8358bdb9d48,2025-03-18 00:23:43,Katie Gengler,Put back the hashbang for changelog.js for convenience,False
c022ff20220416936ba3ecaf70dbd07be71a3e61,2025-03-18 00:10:27,Katie Gengler,"Add v6.3.0 to CHANGELOG for `ember-source`

(cherry picked from commit bb35d124e7742e9011eaa52ca3e46a16f8bc5707)",False
6cec8a29458761182346e30e7ecdcd810a0fb785,2025-03-17 21:28:52,Edward Faulkner,"Merge pull request #20874 from emberjs/inline-glimmer-env

Inline @glimmer/env",True
76b4a2ec81901e735d96359464c717262894409c,2025-03-17 21:03:41,Edward Faulkner,"Inline @glimmer/env

@glimmer/env lived in the (retired) glimmer.js monorepo. It's only a stub. But we're still pointing at the published package, and should instead inline it here like the other things we took out of that repo.",False
e1293be69839cfd5c5a21ec5667ae13fd895baaa,2025-03-17 20:57:27,Edward Faulkner,"Merge pull request #20873 from emberjs/delete-unused

Delete unused external-helpers package",True
878b15fcf2b0d510332cd91e638334756919b783,2025-03-17 20:39:41,Edward Faulkner,"Delete unused external-helpers package

This hasn't been used since we went to the rollup build and use decorator-transforms instead of transpiling most class features.",False
f7af41f5b5bf2dac9985707499558d0d57ab2c13,2025-03-15 09:03:54,Katie Gengler,"Merge pull request #20872 from NullVoxPopuli/nvp/@glimmer/runtime/debugger-fix

Upgrade @glimmer/runtime. Resolves #20871",True
66942ad9bedd612b6d0c81c1cba84574e7aa6b75,2025-03-15 03:02:54,NullVoxPopuli,Upgrade @glimmer/runtime. Resolves #20871,False
3e61562c0507b691328340d1e485037951dc155e,2025-03-08 20:22:38,Edward Faulkner,"Merge pull request #20863 from Windvis/octane-edition-cleanup

[CLEANUP] Cleanup ""octane edition"" code",True
ae125397caa28420886b05a69d327f96832525e3,2025-03-08 20:22:02,Edward Faulkner,"Merge pull request #20867 from emberjs/fix-class-field-tests

Fix LOG_VERSIONS and restore test suite coverage of real class field semantics",True
fc116329130ea4009fd632e800aa2403f9cb6d7a,2025-03-08 00:06:57,Edward Faulkner,"Fix LOG_VERSIONS

Ember's debug logging of its own version was accidentally broken since 5.10 when we reformed the build.

The problem was:
 - we switched to typescript's more spec-compliant class field semantics, where fields without `declare` are in fact present as real class fields with an undefined initializer.
 - our test suite was accidentally getting processed by vite's default (and pretty broken!) esbuild TS loader, which uses the loose & wrong field semantics.
 - `logVersions` in `class Libraries` is written in a picky way that breaks if you get the spec-compliant field semantics.

This PR disables vite's built-in esbuild, which revealed the bug.

The change to logVersions is the only real user-facing bugfix. There were also some similar bugs in the test suite itself which are fixed here.

(All of this was precipated by me working on stable decorators, which *also* requires disabling vite's hidden-and-terrible TS support.)",False
