Hash,Date,Author,Message,IsMerge
d6884eebc49e6dfe322e726aa824e001553f62ea,2025-02-24 11:29:25,Ruan YiFeng,"Merge pull request #1176 from zihua-1022/patch-1

Update promise.md",True
cbbf9ac29642351144759ea980e2cbe3c9f02fc2,2025-02-22 17:20:26,zihua,"Update promise.md

console.log的输出和展示结果不一致",False
42cd9e36d145bc6ca4a4093238bb9120ca358a36,2025-01-25 16:25:49,ruanyf,docs(temporal): add text,False
4c80184abe6d7cea9d1b79a5e837d7eca9dd6b25,2024-12-31 13:54:06,ruanyf,docs(string-methonds): fixed typo,False
a100783a99259048fbe465638ad1085ffd4631fc,2024-12-25 07:33:33,ruanyf,docs(object): fixed typo,False
b7b6c912957ce9809ead933cad9999c1d01ba031,2024-09-24 19:43:39,ruanyf,docs(number): fixed space style,False
a434080ef30878f6425585c536501b9aade804ce,2024-08-25 16:41:48,ruanyf,docs(temporal): edit ZonedTimezome,False
43e44201a8688ab3c0c87f614e7d3c6b19f2d922,2024-07-25 14:36:22,ruanyf,docs(module): edit import.meta,False
3b89ca42e86442c412d2c95bbcce490717eacd2c,2024-07-25 14:21:38,ruanyf,docs(temporal): add temporal API,False
ff265f79826d9c5447eff0b17a682432386af077,2024-07-25 12:12:35,ruanyf,docs(set): edit set operator methods,False
bdbcf3e520536eff4c58c2920318cc11f1a1c409,2024-07-24 19:24:13,ruanyf,docs(proposals): edit pipe operator,False
cc18cea57c3c96dc562ed5055252c1eb1a152611,2024-07-24 19:01:02,ruanyf,docs(regex): edit v flag,False
f6e88af4bd0f5609d1c5bd405fd9750b3e3a5668,2024-07-24 18:27:35,ruanyf,docs(string-methods): add .toWellFormed(),False
1a445eca49782ff86ade4aeafb300dfd02015112,2024-07-19 15:17:06,ruanyf,docs(generator): fixed typo,False
642a4ab3e7954ea391db4709558b91e5b2d777ed,2024-06-08 15:38:04,ruanyf,docs(array): fixed https://github.com/wangdoc/es6-tutorial/issues/22,False
9c0896c68317e60c3703e69e595fc88a7fca6bfa,2024-05-22 09:54:13,ruanyf,docs(class): 删除错误描述（in 运算符判断继承的私有属性）,False
9324fdabefc5a0249a7491fe33dd896ea05c004b,2024-05-15 11:27:19,ruanyf,docs(regex): 正则匹配 Emoji 字符,False
bae421dcdf73fdf71214b148358e44a0388e7fa5,2024-04-10 15:34:27,ruanyf,docs(module-loader): edit text,False
128c0faf43485ade7d46b57f306a57ed15a41b05,2024-04-10 15:31:15,Ruan YiFeng,"Merge pull request #1172 from liliangrong777/patch-1

Update module-loader.md",True
79e15346b255485dfe3e89a686dfe1de2460433e,2024-04-10 15:02:06,liliangrong777,"Update module-loader.md

fix: 内容修正",False
fc58b0c1505654bde876ace4f8f1f7f5882876fa,2023-12-30 12:12:23,ruanyf,docs(class-extends): fix typo,False
a623e19fb97f6dbefa25f5c5fa554160103e1bf3,2023-11-09 17:08:57,ruanyf,docs(intro): fix #1170,False
17246d85bb9e4364adc787d097ce1a158daf84ec,2023-08-24 11:50:57,ruanyf,docs(proxy): fixed #1167 Proxy get(),False
b1b35cde31aa38b1a2e9b7fd330f993a1995d534,2023-08-24 11:31:03,ruanyf,docs(symbol): edit Symbol.toStringTag #1166,False
4c06dfbfca63d1c09b07d21374add98f72175848,2023-08-22 16:27:53,ruanyf,docs(symbol): fixed #1166 Symbol.toStringTag,False
e8c2d2ea7fcdc36c61c90b067af52407e46f1bf8,2023-08-19 13:37:40,ruanyf,docs(decorator): fixed #1165,False
