Hash,Date,Author,Message,IsMerge
9e97144222cb4c29df0a96b689781e87fc3e781c,2025-03-19 05:42:45,Wes Todd,"feat(deps): finalhandler@2.1.0 (#6373)

* feat(deps): finalhandler@2.1.0

* Update History.md

Co-authored-by: Phillip Barta <barta.phillip@gmail.com>

---------

Co-authored-by: Phillip Barta <barta.phillip@gmail.com>
Co-authored-by: Ulises Gascón <ulisesgascongonzalez@gmail.com>",False
29d09803c11641d910107793947cefe4c0133358,2025-03-18 21:42:20,dependabot[bot],"build(deps): bump ossf/scorecard-action from 2.4.0 to 2.4.1 (#6397)

Bumps [ossf/scorecard-action](https://github.com/ossf/scorecard-action) from 2.4.0 to 2.4.1.
- [Release notes](https://github.com/ossf/scorecard-action/releases)
- [Changelog](https://github.com/ossf/scorecard-action/blob/main/RELEASE.md)
- [Commits](https://github.com/ossf/scorecard-action/compare/62b2cac7ed8198b15735ed49ab1e5cf35480ba46...f49aabe0b5af0936a0987cfb85d86b75731b0186)

---
updated-dependencies:
- dependency-name: ossf/scorecard-action
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
1d63162dbfe5aa50549bbefb1dceae42ceda88f6,2025-03-18 21:41:59,dependabot[bot],"build(deps): bump github/codeql-action from 3.24.7 to 3.28.11 (#6398)

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.24.7 to 3.28.11.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/v3.24.7...6bb031afdd8eb862ea3fc1848194185e076637e5)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
4a2175dfc979606160e5f5a9ae05ff7a25d6c8f5,2025-03-17 04:14:57,Sebastian Beltran,fix dependabot config (#6392),False
0bb00e19068e9d95afcebb1821ab1eec5c1430aa,2025-03-12 03:20:59,Ulises Gascón,"ci: add dependabot (#5435)

Co-authored-by: Shivam Sharma <meshivam81@gmail.com>
Co-authored-by: Sebastian Beltran <bjohansebas@gmail.com>",False
1e359f57fc8cc33795c768d94560befbb6a61b2b,2025-03-12 03:19:58,Wes Todd,fix(deps): qs@^6.14.0 (#6374),False
9cbe2c2cbb0123457a0949233bacb7fe18b277ec,2025-03-12 03:19:08,Ulises Gascón,docs: add @dpopp07 to the triage team (#6352),False
35e15362ab209809c40e6849f1bb783f9fbff860,2025-03-05 20:41:29,Sebastian Beltran,"fix(docs): clarify guidelines for becoming a committer (#6364)

* docs: clarify guidelines for becoming a committer

* Update Contributing.md

Co-authored-by: Chris de Almeida <ctcpip@users.noreply.github.com>

---------

Co-authored-by: Chris de Almeida <ctcpip@users.noreply.github.com>",False
90e522ac90e000e290f91dc4f0cf523f802c31ca,2025-03-04 19:39:18,Sebastian Beltran,"fix(docs): update guidance for triager nominations (#6349)

* docs: update guidance for triager nominations

* Update Contributing.md

Co-authored-by: Wes Todd <wes@wesleytodd.com>

* Update Contributing.md

---------

Co-authored-by: Wes Todd <wes@wesleytodd.com>",False
59703c23217cf7671e8f46bf77e2192fcab3c066,2025-02-28 03:17:13,Ulises Gascón,docs: update emeritus triagers (#6345),False
caa4f68ee8d32474676fa29cc2086dcc1d62208b,2025-02-14 21:50:53,Andrea Polverino,feat: Extend res.links() to allow adding multiple links with the same rel (closes #2729) (#4885),False
6ed3439584b6bc77b0f1156f8797700df063fa63,2025-02-14 21:21:27,Phillip Barta,fix(docs): Update multiple links to use `https` instead of `http` (#6338),False
327af123a1833239adf7eb47fee94542b692d451,2025-02-14 01:09:31,Juan José,"feat: add support for ETag option in res.sendFile (#6073)

This patch introduces the ability to control the ETag generation
through the `res.sendFile` function. Specifically, the ETag option
is wired to the application's configuration, allowing it to be
enabled or disabled based on the app's settings.

Fixes: https://github.com/expressjs/express/issues/2294

Signed-off-by: Juan José Arboleda <soyjuanarbol@gmail.com>",False
d2de128a32f1ce3d360bbe3fad56afa026fc8832,2025-02-13 22:14:50,Wes Todd,"fix (deps): update deps (#6337)

fix(deps): mocha@^10.7.3 (closes #6121)

fix(deps): marked@^15.0.3 (closes #6120)

fix(deps): express-session@^1.18.1 (closes #6119)

fix(deps): ejs@^3.1.10 (closes #6117)

fix(deps): content-type@^1.0.5 (closes #6115)

fix(deps): connect-redis@^8.0.1 (closes #6114)

fix(deps): supertest@^6.3.4 (closes #6112)

Co-authored-by: agungjati <agungjati94@gmail.com>",False
2a53336e5d90e2a8f8373e323c6df00f0ab08c25,2025-02-12 22:17:19,Agung Jati,fix(deps): nyc@^17.1.0 (#6122),False
a42413d4e34a55c9ad972f4bbbbec95ec1490f90,2025-02-12 21:52:11,Ulises Gascón,"fix(docs): Update repo captains (#6234)

* docs: update repo captains

* docs: update repo captain nomination policies

Ref: https://github.com/expressjs/express/pull/6234#issuecomment-2578555232",False
c2f576cbe9ed2f7988bf4e2f5ef6d7bea8a0ec9e,2025-02-12 21:39:50,Wes Todd,feat(deps): router@^2.1.0 (#6331),False
99473c593a2de97ee82e5b0266ede4cdb682b68c,2025-02-12 21:14:53,Wes Todd,feat(deps): body-parser@^2.1.0 (#6332),False
2d589b644a34c4e748fa650045e5827eaf65bf01,2025-02-12 21:08:10,Dustin Popp,"fix(docs): retroactively note 5.0.0-beta.1 api change in history file (#6333)

Signed-off-by: Dustin Popp <dustinpopp@ibm.com>",False
85e48bb8c109d2200077bf8d50f3a163488d0fa5,2025-02-11 01:11:39,Phillip Barta,fix(deps): update debug to ^4.4.0 (#6313),False
55869f49a65f1e279d92488fa6319c9fd4d8eac2,2025-02-10 22:53:02,Alexander Cerutti,"feat: Added check to support Uint8Array in response sending (#6285)

Unified usage of ArrayBuffer.isView to comprehend Buffer and removed isView function check

Co-authored-by: Wes Todd <wes@wesleytodd.com>

Added Uint8Array test with encoding

fix: added history.md entry",False
af7cd90893f4619212e01f271fbaa10f3176fb33,2025-02-05 23:35:39,Dustin Popp,"feat(deps): use carat notation for dependency versions (#6317)

Signed-off-by: Dustin Popp <dustinpopp@ibm.com>
Co-authored-by: Ulises Gascón <ulisesgascongonzalez@gmail.com>",False
ae6a4621bc19ae9d2e4d9d083baca0f422d7b536,2025-02-05 23:10:08,Phillip Barta,fix(ci): updated scorecard actions (#6322),False
8d393459026192e788c8b60fee6b59c426266f94,2025-02-05 22:55:48,Phillip Barta,fix(ci): fix npm install --include typo (#6324),False
a5cb681eb8f5b61336ac2ce1424b3448711724f2,2025-02-05 17:57:59,Phillip Barta,ci: updated github actions ci workflow (#6314),False
511d9dfca8f2329534ee9c75990163766b82c407,2025-02-04 16:29:48,Ayoub Mabrouk,refactor: simplify `normalizeTypes` function (#6097),False
7f13d572c13228856822af9ba4a7a094f4784ac9,2025-02-04 15:58:18,Ulises Gascón,docs: include team email in the security policy (#6278),False
