Hash,Date,Author,Message,IsMerge
caa501582e84317be3108fe939f2975f86d05760,2025-03-17 22:20:04,Andrea Bogazzi,chore(): Update qunit and nyc to latest (#10468),False
e097b900a07dd2852af048242336d95e588b28fb,2025-03-17 22:06:25,Andrea Bogazzi,fix(Fabtictext) Svg export for text on a path (#10284),False
630cf5c09a5e7c267991bf01a53eb2b27c1ba112,2025-03-14 17:22:42,Andrea Bogazzi,fix(FabricImage): add href parsing fixes for #10421 (#10465),False
bf87894e73a637b8771f285910b73d5e73a2ffb5,2025-02-17 02:09:14,Andrea Bogazzi,bump 6.6.1,False
a6374b44e7ffcf353f6c9735a6e0ddf0c1798f8d,2025-02-15 12:43:35,Andrea Bogazzi,fix(): FabricImage was missing cachekey when filtering (#10441),False
798ecdbf476075306a6e4f0c15366f0fa8ffe13d,2025-02-13 14:33:28,Andrea Bogazzi,bump: version 6.6.0,False
129bad20a9175fc396ec18bda060e75f96c2fa49,2025-02-11 23:23:55,wvddrss,feat(): Add webp to ImageFormat (Issue: #10431) (#10435),False
8dd8bc5e4d10621d4d2d5df026ba05e6967c914a,2025-01-26 19:05:46,Sven Fackert,fix(FabricImage): make accessing classList of HtmlImage optional in setElement function to prevent error when using node canvas image (#10412),False
d1b07ccb9a3dcd3aa0380232c9f1fa8472ff8bfe,2025-01-26 16:31:05,DinosaurDad,fix(): Allow field access for PencilBrush subclasses (#10416),False
a88ad1ac2d20f627c0592156d9bbbbfeb19c65af,2025-01-26 16:20:35,zhe he,feat(): Add method toBlob (#10399),False
de788a70e1b8538313ef8440c597ce0afcb1c53e,2025-01-14 18:44:16,Andrea Bogazzi,feat(): deprecate image element classname,False
577a80706b1809b6abb29f1fbf803f371ad0467c,2025-01-12 04:55:13,aswind7,test(Color): Convert qunit tests to jest (#10370),False
f0197e7e057319b378ce6ce40192b7cce249c7cf,2025-01-05 22:57:20,vmmoorthy,docs() Typo:fix BorderProps.ts (#10383),False
10b17a525cfe39283911f8345d16b2027f465afd,2025-01-01 21:17:09,Andrea Bogazzi,v654,False
cc53d4f87932cd80f9d4ac37ab5668c235379483,2024-12-30 04:03:31,Andrea Bogazzi,docs() perf(): Reorder caching conditions for most common scenario and docs fixes. (#10366),False
682c7609efb22154de627e8d05dc72787125c5d0,2024-12-27 04:36:21,aswind7,docs(): fix links in README.md (#10356),False
