Hash,Date,Author,Message,IsMerge
b60275989fbb61486641ea310d00d8423b59549d,2025-03-03 22:53:43,Álvaro,"Merge pull request #4693 from alvarotrigo/dev

Merging dev branch 4.0.34",True
b68d64d1341e74930f2f548b012704ef5c2c59a5,2025-03-03 22:47:08,Alvaro Trigo López,- Updating version & dist files,False
b8df11257aa06f56482c67a3517a63d9300f702a,2025-03-03 22:35:16,Alvaro Trigo López,- Documentation: added docs for `fp-loaded` state class #4681,False
4611fb27598bfde8b8489d3228448046c66f360f,2025-03-03 22:29:39,Alvaro Trigo López,- Documentation: provided list of more CDNs with latest version,False
bfddf0e094444d721199ae2cdea18c0bde1f4b32,2025-03-03 18:32:34,Alvaro Trigo López,"- Documentation: improved description of the ""credits"" option #4690",False
8b427218089670c35bc4ac348601cd82605a89ee,2025-03-03 18:13:09,Alvaro Trigo López,- Fixed bug: css3:false might cause gap that shows the prev/next section when scrollingSpeed is low #4666,False
80bcdcba892278a79e4d4159df1d8af2870237f7,2025-03-03 18:00:36,Alvaro Trigo López,"- Enhancement: new state classs ""fp-loaded"" for lazy loaded sections #4681",False
890db79b6afdc55645a43c576c340563dc12bab1,2025-03-03 17:51:51,Alvaro Trigo López,- Fixed bug: destroy('all') won't remove watermark from the DOM #4691,False
4666dc780c0c2d8cb1829e7393c78027e435e91d,2025-03-03 17:44:09,Alvaro Trigo López,- Fixed bug: Sections won't resize on viewport change when using scrollBar:true #4692,False
02f92a2cb97974fd780b7ac760bb1436bc7ae39a,2025-02-25 01:08:42,Alvaro Trigo López,- Updating website & adding sponsors link,False
17050b608fb72ce505a66b69d0071d79ee7ef2a6,2025-01-28 00:21:27,Álvaro,"Merge pull request #4684 from alvarotrigo/dev

Merging dev branch 4.0.33",True
2e49e545dd73117db67a504380a61af73dad0a5d,2025-01-28 00:19:44,Alvaro Trigo López,- Updating dist files,False
ee2c00d7ec594b9728849d72dc4cdbc5f6d1fcfc,2025-01-28 00:18:44,Alvaro Trigo López,- Documentation: adding docs for `adjustOnNavChange`,False
8d7c7c9e482e88cd015d6a1b5d9c6a572a7d729c,2025-01-28 00:17:56,Alvaro Trigo López,- Enhancement: new option `adjustOnNavChange` to prevent resizing when hiding the address bar #4682,False
64e54305f15c88012f1651dd618a1025e0baba2b,2025-01-27 23:15:31,Alvaro Trigo López,- Updating version & dist files,False
44b152b6245be7faef779fa4ee57038837ed3595,2025-01-27 23:14:33,Alvaro Trigo López,- Fixed: The left arrow works like the right arrow in the custom-arrows example #4668,False
9e281847550559a2e0c292249eb297c379d8ca20,2025-01-17 18:23:29,Álvaro,"Merge pull request #4683 from alvarotrigo/dev

Merging dev branch 4.0.32",True
b2031b97dd0fee74602b00a0eeb301724678f9d2,2025-01-17 18:21:10,Alvaro Trigo López,- Merging dev branch 4.0.32,False
1fce9b866936b58b8947b803f117fa287bc9e5e3,2025-01-17 18:16:34,Alvaro Trigo López,- Improving fix for #4676,False
acf4ecefa6065c0d613e1e7d4dc120c9395ac689,2024-12-09 06:35:52,Alvaro Trigo López,- Documentation: adding contributing file,False
60d4898070c0cd0161b08595fd39e5022c3e5b8d,2024-12-02 23:16:19,Alvaro Trigo López,- Updating version & dist files,False
40373597eb80c6b08d2331092d4bd10d9d6e3d3d,2024-12-02 23:13:57,Alvaro Trigo López,- Fixed bug: Focus on form input when fitToSection:true can scroll page and hide the input #4676,False
c0fb41cef6b2fb6369d133fc90ec45d714aacbdc,2024-11-29 18:38:21,Alvaro Trigo López,- Fixed bug: Scrollable content could end behind nav bars on mobile devices #4674,False
1f098309cbe397797d8a6bf391392b5ce681474d,2024-11-28 19:16:14,Álvaro,"Merge pull request #4675 from alvarotrigo/dev

Merging dev branch 4.0.31",True
1d503821878bcda298b0f58c982d1d09a95b9caa,2024-11-28 19:14:18,Alvaro Trigo López,- Updating version & dist files,False
0f03e7be625ad8843669991222777ab7c44af840,2024-11-28 19:12:34,Alvaro Trigo López,- Documentation: adding link to GitHub Sponsor,False
a66eeda027c959e81966d24242eb103e9fca4607,2024-11-28 18:42:11,Alvaro Trigo López,- Documentation: adding LambdaTest sponsor,False
4f56b7937b9b725ab318c3f432d80d78868bed37,2024-11-19 17:35:47,Alvaro Trigo López,- Enhancement: improved docs for Parallax adding compatibilities #4672,False
10f82859aabc7136fa378e379dd3b577bac584f3,2024-10-25 05:28:03,Alvaro Trigo López,- Updating dist files,False
c4a023b782e06a7a3425476f129c05bbb74cea0b,2024-10-25 05:26:08,Alvaro Trigo López,"- Fixed bug: using custom arrows might result in ""prev"" acting as ""next"" #4668",False
d507d021aa8655d027eb30f97266ad5c7c7b0378,2024-10-14 21:57:45,Álvaro,"Merge pull request #4665 from alvarotrigo/dev

Merging dev branch 4.0.30",True
7b98bb3c624d18b9399d2f96451af7e58ba8d08a,2024-10-14 21:55:08,Alvaro Trigo López,- Updated version & dist files,False
5540b97069b7a43b9ac4f1ff2b0cbf5be208544b,2024-10-14 21:39:35,Alvaro Trigo López,"- Fixed bug: third party scripts can modify ""body"" inline styles conflicting with FP #4657",False
dbdad478d7d6799041fbe424ffdef7dea9ff7453,2024-10-10 21:12:46,Alvaro Trigo López,- Enhancement: improved skipIntermediateItems example with anchor link,False
6698e527d21981df77728612adb1facceb6d0d8c,2024-10-09 17:36:15,Alvaro Trigo López,- Fixed bug scrollOverflow won't turn into auto-height on responsive #4664,False
a45ba737bfac03d15834b94c932abd0a49d4c7c1,2024-09-26 22:57:38,Alvaro Trigo López,"- Enhancement: ""autoplay"" media (video, audio) should automatically play #4658",False
a33817bddd9743472367de47037253619420af49,2024-09-26 22:46:33,Alvaro Trigo López,- Fixed bug: Anchors with whitespace throw error #4659,False
9c83e71227f542f6e88d253f078b0c0de5415533,2024-09-06 16:32:06,Álvaro,"Merge pull request #4655 from alvarotrigo/dev

Merging dev branch 4.0.29",True
f61d5bd4b9036712f326221c4d619f53f31aa84d,2024-09-06 16:14:43,Alvaro Trigo López,- Updating version & dist files,False
4c3519bcf0e4fc88000473a59355a97621f32c66,2024-09-06 16:13:15,Alvaro Trigo López,- Updating dist version,False
bc4339cf4e9595268f734eb1b4b2267ba3feea5b,2024-09-06 16:13:04,Alvaro Trigo López,- Enhancement: improving rollup config,False
e9aac1710e4cee9ad6fa8786911a5a6fdc814ce5,2024-09-06 04:30:20,Alvaro Trigo López,- Fixed bug: fitToSectionDelay not working in extensions file & React #4654,False
0a5899091be6ad27b3a7c698bc505e38d9829e53,2024-09-05 16:23:01,Alvaro Trigo López,- Updating version & dist files,False
29363a8e1fac237896e88543d0a0b8c634a8c936,2024-09-05 16:20:23,Alvaro Trigo López,- Fixed bug: lazyload error on fp-auto-height sections #4653,False
2c4ae3dcf17defc78a9ebee1fabedcbbf57d575a,2024-08-30 22:50:45,Alvaro Trigo López,- Documentation: improved Japanese locales #4642,False
7de02d7f52b208e5e6ab3a25f1be06ebef2d6fff,2024-08-30 15:43:48,Alvaro Trigo López,- Documentation: updating website locales,False
bb21c5cf3b56443a57d8da3387b34ae35d96dfd6,2024-08-30 15:21:36,Alvaro Trigo López,- Fixed bug: getScrollX won't return the right value on afterLoad #4652,False
d3098220ef14aa23160372007c6df4a05ef84a4b,2024-08-23 23:18:00,Álvaro,"Merge pull request #4650 from alvarotrigo/dev

Merging dev branch 4.0.28",True
5376a34d8a104ff99639518dc305cbe07a660c37,2024-08-23 23:15:57,Alvaro Trigo López,- Documentation: improving descripion for lazyLoadThreshold,False
6f4705c2d3e376e9059795261a86ef7a2ccdfc53,2024-08-22 22:07:50,Alvaro Trigo López,- Enhancement: improving lazyLoad example with lazyLoadThreshold,False
ba12d97acfb169276e366438ae3596c5fef0da36,2024-08-22 21:47:55,Alvaro Trigo López,- Updating version and dist files,False
dce4a7edd82d84d3ed09d861f03e7969932c6a49,2024-08-22 20:57:38,Alvaro Trigo López,- Updating docs with new option `lazyLoadThreshold`,False
ceceb86b8afa6fedad0f6613852aa939505c52c1,2024-08-22 20:56:04,Alvaro Trigo López,- Enhancement: new option `lazyLoadThreshold` to preload adjacent sections/slides #4576 #3714 #1973,False
113df1993ce12c21afab37b1ac0c6390c4f04423,2024-08-19 17:44:50,Álvaro,"Merge pull request #4649 from alvarotrigo/dev

- Documentation: fixing typo on heading type",True
e38423e99e76412b900b087a28dffdb2af4a2d74,2024-08-19 17:44:13,Alvaro Trigo López,- Documentation: fixing typo on heading type,False
d0cd888b422e86d96394e571218158f3a5a675f6,2024-08-19 17:39:59,Álvaro,"Merge pull request #4648 from alvarotrigo/dev

Merging dev branch 4.0.27",True
f78fea590467db7b05f51f38d6aeb119a5051516,2024-08-19 17:34:07,Alvaro Trigo López,- Update version & dist files,False
c1755e67d2bfa4686228e80111fd81e0945d7d79,2024-08-19 17:31:05,Alvaro Trigo López,- Fixed reserved words for minified file with skipIntermediateItems,False
1691bd413e0f8df90c3bbb5c4bcb0f2eebca86db,2024-08-19 17:28:59,Alvaro Trigo López,- Adding skipIntermediateItems to docs in all languages #4643,False
bb89177628677d822de209f2ced8c09666f24bde,2024-08-19 17:20:19,Alvaro Trigo López,- Enhancement: new option `skipIntermediateItems` to skip the animation when jumping non consecutive sections/slides #4643,False
4113ce9f6d7a6f68177c1998ce113a03c51f23bb,2024-08-12 16:03:20,Alvaro Trigo López,Merge branch 'dev' of https://github.com/alvarotrigo/fullPage.js into dev,True
59ea50fa2dd4580c940854ea29411472c1426b26,2024-08-12 16:03:14,Alvaro Trigo López,Delete browserstack.json,False
683b8e5887c92442ee39ef8e6ee27e1d2c9369be,2024-08-04 04:23:50,Álvaro,"Merge pull request #4644 from taeseong/master

Translate remaining English sentences into Korean",True
bf2afed0147ca143f09ddfd8df5544e4d0da5bc1,2024-08-03 19:41:04,TaeSeong,Translated previously untranslated text into Korean,False
