Hash,Date,Author,Message,IsMerge
888aff31e1d26dd2a6acf6afebbc34970aeb0118,2022-06-28 19:05:03,Rahul Jain,"Merge pull request #568 from rahuldkjain/hotfix/skills

fix: #565",True
f4b2f5cf88d754ff855dac9e7ef11e6c1c4c400a,2022-06-28 19:00:18,Rahul Jain,fix: #565,False
c83a129e01c9f637fe0c21234965d60570669e93,2022-06-26 20:13:18,Rahul Jain,"Merge pull request #564 from rahuldkjain/hotfix/icons

fix: linting errors",True
3461a5b8650fde9fc21b206a83ba489a78177b76,2022-06-26 20:05:52,Rahul Jain,fix: linting errors,False
c919601f7ee4d1b5a7ed75a4250601c32395c45c,2021-11-01 10:16:46,Rahul Jain,"Merge pull request #501 from techieeliot/issue-452-hasnode

feature: add hashnode to socials input and preview",True
5e0cd2e639918e8a7a8cdb2e1048fe6015af43d7,2021-11-01 10:04:18,Eliot Sanford,docs: add content to readme,False
9b24ae64c9bab92d1b608ff523921c06f05c8e4e,2021-11-01 09:49:54,Eliot Sanford,fix: change placeholder to include the 'with @',False
71d1fafbd6badfea3296b6b85119e20120ea7226,2021-11-01 09:37:15,Eliot Sanford,"feature: add hashnode to socials input and preview

closes #452",False
8947cb3641b463a1fbb6ff2a2f59f14b4a3f29ae,2021-10-31 17:03:37,Rahul Jain,"Merge pull request #500 from rahuldkjain/issue-499

fix: html.jsx linting",True
7898e38f8ec926cd699248fa14ad76d5156b8b4a,2021-10-31 17:00:05,Rahul Jain,improve html.jsx,False
b23cab5944ed0094526b19455c34c410e61d1e3b,2021-10-31 16:51:17,Rahul Jain,"Merge pull request #498 from rahuldkjain/issue-497

fix: issue-497",True
8899046e5e155f5cff789aba68f465501e5fe7a2,2021-10-31 16:50:30,Rahul Jain,remove files,False
a0e34df02d2de7a82200d126e758ed6e4650d058,2021-10-31 15:49:44,Rahul Jain,"Merge pull request #496 from rahuldkjain/enhancement/issue-495

Enhancement/issue 495",True
9ba8ccff66f38b1b298717e5fec3b8044d420cb6,2021-10-31 15:43:03,Rahul Jain,fix: eslinting,False
004401a8d10e79ac2f8e056d62bf800ccf823217,2021-10-31 12:51:09,Rahul Jain,intial eslint pre-commit setup,False
fb6389f569f8613168faf1f5258e127215eb4517,2021-10-31 12:23:18,Rahul Jain,"Merge pull request #493 from rahuldkjain/enhancement/fix-warnings

fix: few ESLint warnings",True
d33d1395908380096deaf17e3068ad27a1c0b24f,2021-10-31 12:18:45,Rahul Jain,make node version 14,False
1bffabd8bb77a4ad92d0848e9cb4ba9bb3127b40,2021-10-31 12:14:27,Rahul Jain,add before script in travis.yml,False
6ff29bcf8701963b0fe2458f488d9a223f79aaba,2021-10-31 10:51:51,Rahul Jain,fix node version,False
8c84e917c9b1829a290f2a07ad8fd278ce86b505,2021-10-31 10:48:54,Rahul Jain,fix: npm version in .yml,False
f04dc760e2d70238a038cd10bafd720b84ccc872,2021-10-31 10:36:41,Rahul Jain,fix: few ESLint warnings,False
938a8a9d437a099edf72516fdf83f4e477929fc6,2021-10-28 13:16:53,Rahul Jain,"Merge pull request #484 from ajvideira/nextjs-logo-fix

fix: nextjs broken logo url",True
2109192d723d74940ab8f04b199085097814597f,2021-10-21 16:13:57,Jonathan Alba Videira,Fix nextjs broken logo url,False
793513dc21eec69144c3e39d01dab7c0df3d3bbe,2021-10-21 08:55:14,Rahul Jain,"Merge pull request #465 from chandrikadeb7/kafka-svg-fix

Kafka svg fix",True
bf62cec45f6189203908f795be63d796ae82a0a9,2021-10-21 08:54:03,Rahul Jain,"Merge pull request #463 from pranansh-s/master

[add]: Nim-Programming language",True
646c0804b94a11905fd2d2f1147329e8ceb2f45a,2021-10-21 08:53:32,Rahul Jain,"Merge pull request #464 from mehabhalodiya/patch1

Adds ""pandas"" and ""seaborn"" in AI/ML",True
b406f4d181d4c902f11adb5f55215bb90962403d,2021-10-21 08:50:56,Rahul Jain,"Merge pull request #460 from BerniWittmann/master

feat: add ifttt to automation",True
ededb4b8a536adb3c023335b345aaec26fe5320b,2021-10-21 08:49:14,Rahul Jain,"Merge pull request #458 from MrDoomy/feat/better-checkboxes

Using toggle switches instead of checkboxes",True
63347fc8b50b8dcd779075f108fd5922dd3dbc67,2021-10-21 08:46:58,Rahul Jain,"Merge pull request #456 from RetiFier/valdate_json_upload

Add Validation JSON Upload Under Config options",True
1c7bcb7d6b54e4a4c61bbabdf701d56e09ea6bf8,2021-10-21 08:46:02,Rahul Jain,"Merge pull request #454 from MrDoomy/feat/backend-development-nestjs

[add]: NestJS Option",True
edbaa47c403d13757b7f7067be5ce313a588d872,2021-10-21 08:37:43,Rahul Jain,"Merge pull request #439 from gargipandkar/support-bugfix

Fix #423 - support field not saved/restored",True
e084c9e7751e675767a8cfd07d88520a278c50f7,2021-10-06 23:26:06,Damien Chazoule,Using redesigned checkboxes on addons section,False
91bdf52f58d76da26fcd4b5d53d2bf5d1245683e,2021-10-06 22:24:46,Chandrika Deb,Add files via upload,False
0823cd43ce5d276fb74b3b31b8c549119d4c58c3,2021-10-06 22:24:03,Chandrika Deb,Delete kafka.svg,False
7a93ebeae12d937e2f1112c47984513de6fb791b,2021-10-06 16:48:31,Damien Chazoule,Using redesigned checkboxes rather than toggle switches,False
46d3751b912bdc011044a170abfe7366caf0734c,2021-10-06 14:38:35,mehabhalodiya,Add pandas and seaborn,False
6a7a6575b7c7ce3749d7da041f9511355327bc32,2021-10-06 03:00:16,Pranansh Singh,Updated icon with a better visibility one,False
61b8362a554f1b855cb1da4499539a58f6db6f27,2021-10-06 02:54:21,Pranansh Singh,Added Nim-Programming language,False
68bfa23dff4919cea8c6434fabd60ed36639b2d9,2021-10-04 23:36:34,Bernhard Wittmann,feat: add ifttt to automation,False
f0a9d02f2651a999af79c1c313005a898e44516f,2021-10-04 13:38:00,Damien Chazoule,Adding unit tests,False
20b47a9c3d2a57ed947fe50dabc45c8eab4b81c9,2021-10-04 02:30:56,Damien Chazoule,Using toggle switches instead of checkboxes,False
9432f7d88d6e9b05e355645dcc0ee141b29bc525,2021-10-04 01:02:38,Damien Chazoule,Using Devicons SVG + Adding NestJS Link,False
15c63a347afcc677df3b733da68c3a37008b9101,2021-10-04 00:13:16,Reti Fier,Add Validation JSON Upload Under Config options,False
fc1ecf5ab6234aaf8e295c649ca1f61009a8d837,2021-10-03 23:34:50,Damien Chazoule,Added NestJS Option,False
0194c38eb64d6ed270f8c88a451d7fde1cca988d,2021-10-03 09:48:07,Rahul Jain,"Merge pull request #450 from chandrikadeb7/chandrikadeb7-svg

fix #444: add theme neutral social icons",True
be0234927d5c99707755369ab4b47da2840a1cd4,2021-10-02 16:19:33,Chandrika Deb,SVG social icons added,False
