Hash,Date,Author,Message,IsMerge
2fa4981a910d7bdedb758bd09868620c9bb21d54,2024-04-08 09:45:08,Blaine Bublitz,chore: Update glob docs with replacement to ordered globs (#2788),False
fe9dee65f31dd0540116dad8a4e9b976a0014d4c,2024-04-08 09:43:56,Blaine Bublitz,chore: Remove locale docs (#2787),False
a85eddb1660fd9a61265a5a260c417514be469a7,2024-04-08 09:43:19,Blaine Bublitz,chore: Remove node-glob options from docs (#2786),False
9c818e68e3e0124ca44ceeafeb4f7d1d934f1e49,2024-04-07 01:14:10,contra,chore: update src.md docs to add encoding parameter,False
5c4c5473c5582a8e4495c695ecd93b13f0852cbd,2024-03-29 08:26:40,github-actions[bot],"chore: Release 5.0.0 (#2762)

chore: Update changelog for all subprojects (#2763)

---------

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>
Co-authored-by: Blaine Bublitz <blaine.bublitz@gmail.com>",False
bf72116c5d5f613836b392fb83633ea6c14f3a65,2024-03-29 08:19:51,Blaine Bublitz,chore: Add index.mjs to files list,False
b00de681f5ef6ade283d544f62f770f6b27a9e52,2024-03-25 20:17:55,Blaine Bublitz,feat: Provide an ESM export (#2760),False
72668c61e445c81fad23bc6ed24967a3238a648d,2024-03-25 06:13:12,Blaine Bublitz,"chore!: Normalize repository, dropping node <10.13 support (#2758)

feat: Support `.cjs` extension for gulpfiles
fix: Ensure watch does not trigger on negated globs
fix: Ensure watch allows japanese characters in globs",False
85896d4f099a80d58dd08d1f6d80586b07678995,2022-12-19 23:32:08,Viishesh Jain,chore(docs): Update stream handbook link (#2711),False
818bd73e5da1ad69f43eef84214c98d6392a73e4,2021-06-22 23:48:17,Artem Guskov,Docs: Remove gulp-sourcemaps because it is built-in (#2592),False
598f971a6567401e5760f4fd0b84df0180c2e350,2021-05-04 01:07:34,Seno,Docs: Fix broken link in recipe (#2571),False
9877de07cf923c889d7f0661d87f3d6f8634eeb1,2021-04-10 02:37:03,Jean-Baptiste Martin,Docs: Guide CustomRegistries to maintain properties on tasks (fixes #2561) (#2565),False
f91c388beb265e5008202f11100309549162247a,2021-02-09 01:52:24,roydukkey,Docs: Remove typo in custom registry docs (#2543),False
df252509b52acd712300b3b5d00bf7aedf0dbd40,2021-01-11 04:43:16,Anderson Samir Corrêa Paz de Camargo,Docs: Fix typo in task docs (#2524),False
b6d6d7c8c37f4be846cf796d3929fe25c5329808,2021-01-11 04:19:51,azu,Docs: fix recipe link (#2526),False
