Hash,Date,Author,Message,IsMerge
e04da63b699afdb807ff1b39c274d9f4274f9346,2025-03-21 11:26:18,Yashar,Update privacy policy for compliance; update dependencies,False
d06107acde788d471dac23f2572336217ccfced8,2025-03-18 04:50:53,Yashar,Fix: passport-twitter breaking change in v1.0.10,False
a7d97bafd721a3a53864d468215d22ed904f8859,2025-03-13 03:23:16,Yashar,Update dependencies,False
90ad7626a373217e8aa075cae473d5ccefab4c10,2025-03-13 00:37:02,Sunjay Kumar,Replaced favicon.png with favicon.ico,False
af65fe21fb92369acd205233aab13a5c090e4bb7,2025-03-06 08:58:43,Karys Barbosa,Dockerfile: updated image and optimized,False
079a0d7ed1474e328777d47c0fa4af5dd07c0c2b,2025-03-03 19:11:24,Yashar,Update dependencies,False
35c9d1040f3b1477f828aa0c7aa05b57d49cc2a8,2025-02-21 21:50:27,Yashar,"Migrate from nyc to c8, update dependencies

The code coverage package, nyc, hasn't been well maintained for a number of years. c8 is a drop-in replacement for nyc and is better maintained.",False
7851fccfa236651633305682ddccc2f300b55d63,2025-02-19 07:30:01,Yashar Fakhari,Fix: Host-header Injection in Password Reset & Email Verification,False
1e878a2032fafc330a5f1476d91ffdc51a81cfc0,2025-02-19 05:26:08,Yashar Fakhari,Update dependencies; specify Node>=22.12 for require() ESM support (#1327),False
2b6b9b560dacf230bcb5a4a8ae3cfd2224581cf3,2025-02-06 13:07:09,Yashar Fakhari,Fix the path for popper.js,False
9692496d0713bb0756c1225fa8697e638be36784,2025-02-03 14:37:22,Yashar Fakhari,"Update README.md

Added working demo link",False
6aa82de149bdc8c350e23bcdf241e31700a9a2f0,2025-02-02 06:45:22,vimark,"Added Logout Everywhere

Added logout functionality to allow users to log out from all devices and locations.

---------

authored-by: vimark <vimark1@users.noreply.github.com>",False
2edc5592f791070f1052f77fb9ab42323969555a,2025-02-02 01:31:45,Yashar,Remove CodeQL reference that is not needed,False
ab6e6dbc333b82302f61500bbaa437ceecf63a66,2025-02-02 01:29:17,Yashar,Don't save sessions in db if not needed,False
