Hash,Date,Author,Message,IsMerge
b14a0a89bdf743c63ca4cc9cbcd866e050d7b3b0,2022-08-07 13:01:46,Nihad Abbasov,"Merge pull request #221 from ajorpheus/patch-1

Add archive.org link for the dead bash.im link",True
f394120de09a86e59ee2eebb455f1205c2c0b188,2022-07-18 14:18:28,Ash Jindal,Add archive.org link for the dead bash.im link,False
eaac6912454dceb2dc52a7a399240354131a905f,2020-09-07 14:31:49,Nihad Abbasov,"Merge pull request #195 from ONEmoertime/patch-1

Update README.zh-CN.md",True
2be4a07f740ab4cf2ba35518cf00781dec6b3d98,2020-08-20 13:27:58,ONEmoertime,"Update README.zh-CN.md

In Chinese, the translation of ""he"" is ""他"" instead of ""她""，“她”is""she""",False
4e6e9d8118d6c932cbee304d43290788fd8e694e,2020-07-29 02:18:21,Nihad Abbasov,"Merge pull request #190 from Witcher01/master

code cleanup 'KumarAsshole.java'",True
91f0a00c5542ed89495f008d115e92705c3a01ca,2020-04-14 21:04:57,Witcher01,"code cleanup

cleaned up code in 'KumarAsshole.java'. fixed confusing indentation and
newlines for better readability.",False
9cb4a2e49dd7f614b901066c9e3a3ccb2255558e,2020-02-23 23:45:21,Meyers Tom,Fixed Delay Typo's in fucking_coffee.py (#187),False
6cf6770ae2325edd78f9e016aae042df2c141fab,2020-01-22 11:55:25,Nihad Abbasov,"Merge pull request #186 from linbudu599/master

add simplified chinese README",True
0ce706d30a80b511635a5b6414957e2921ab06bb,2020-01-18 13:29:35,linbudu599,add simplified chinese README,False
c03021e12848e3a807f46720ec4219753897fcc4,2020-01-08 18:49:57,Bharath Srinivas,ported fucking-coffee script to golang (#163),False
4bf5fe9831a865cc3b1dd7b218ef83ba045ab5e1,2020-01-08 18:49:35,mpetitjean,"Add 17s delay in fucking-coffee, python (#178)",False
5c59766b505d26665d2f91faf8065b9faec39c35,2019-11-03 17:26:51,Kudzai Chasinda,Fix space issue on python reply (#184),False
c2efa20af7674c2167dfdd2aac4bccfa16139d33,2019-05-02 10:53:35,Nihad Abbasov,"Merge pull request #175 from theapache64/master

🌟 Added kotlin",True
d98c96fbdbc07b7672fa9383a1339bcf18a61a00,2019-04-29 18:51:33,theapache64,🌟 Added kotlin,False
166cae8079dd333235036dba5e9cb3a2240bbbd0,2019-04-23 14:46:28,Sam Adams,"Clojure implementation (#174)

* clojure implementation

* gf --> boss

* newlines",False
64f2d1b7dcbe20e7522cbbd96b5b092a5f08598c,2017-05-09 19:23:55,Nihad Abbasov,"Merge pull request #132 from ww40/patch-1

Update fucking_coffee.psm1",True
bba94d8b7a36835e003d0890ea0640bece67ae0d,2017-05-05 15:13:09,Nihad Abbasov,"Merge pull request #138 from penguwin/master

go fmt on smack_my_bitch_up.go",True
bc5f24af8b49bdc04b0c202a594551cd5b418ecb,2017-05-05 15:09:27,Nihad Abbasov,"Merge pull request #130 from destromas1/master

Implementation for C# - Hangover.cs and SmackMyBitch.cs implementation",True
e06146e10a6c0af2bf177c31d02cb44f60062767,2016-10-08 21:46:55,PenguWin,go fmt on smack_my_bitch_up.go,False
0347b0ca02130334db78fef7adffcf2b7838c4dd,2016-08-27 16:41:36,Shahjada,"Added Hangover.cs and implementation

Added SmackMyBitch.cs and implementation",False
7a82ced99fa0827e47cd9cb554acc3f134f65cc1,2016-03-31 23:11:37,Will Webb,"Update fucking_coffee.psm1

Corrected spelling in synopsis.",False
01e916f59cf76e1ac4bc9cb9add32df7490a423c,2016-02-29 14:27:12,Nihad Abbasov,rm extra files,False
3b29406cdaccf807db78a0db7b5f9cf3012e158b,2016-02-29 14:26:21,Nihad Abbasov,"Merge pull request #127 from syedautherabbas/master

Changed naming conventions to be in line with java. 

Closes #122",True
08c60994f89731c7febcc9779005a0836dab2b69,2016-01-28 01:56:51,Syed Auther Abbas,"Changed naming conventions to be in line with java. Added dependency

pre-requisite comments

Merge pull request #1 from NARKOZ/master",True
f8478c42a4869d1d7d54193c05407f922044c3df,2016-01-28 00:40:42,Nihad Abbasov,"Merge pull request #125 from ausshadu/master

Added SmackMyBitch.java",True
61b8619f278e01c17b2456dd82e69b15716de2b4,2016-01-28 00:40:02,Nihad Abbasov,"Merge pull request #124 from syedautherabbas/master

Added Kumar_Asshole.java",True
1c53ad617820df3f43e9cdb0b42360f4473041cd,2016-01-28 00:37:59,Shadab Mehdi,Added Hangover.java,False
73e27a8975bbe073ad3f45ab0cf146db7f8005d8,2016-01-27 23:58:29,Shadab Mehdi,Added SmackMyBitch.java,False
0937bac54420dca63648b7697e5c02cbdb77c9cb,2016-01-27 23:25:56,syedautherabbas,Added Kumar_Asshole.java,False
7b541bb9cdcfa9caae02222fd5ea351fb76deba0,2016-01-22 21:19:25,Nihad Abbasov,"Merge pull request #121 from matthew-z/master

added hangout.R, improved smack-my-bitch-up.R",True
