Hash,Date,Author,Message,IsMerge
ff687ea0daa3c806b9accd2ecb1a46165ea3c00a,2019-05-28 23:19:24,Chris Thoburn,"Merge pull request #1179 from leelabysani/BuildConfigChanges

Making changes in package.json and .babelrc to successfully build it",True
6ae5058edece924edabadc4f5c305b6c51f82ae1,2019-05-28 23:18:45,Chris Thoburn,"Merge pull request #1217 from jDramaix/patch-1

Fix jsdoc annotation of inArray method.",True
4f7a85eaed6f0e8a77d64997499c3b7c6e55fd62,2019-05-11 03:50:22,Julien Dramaix,"Fix jsdoc annotation of inArray method.

This method always returns a number. and the rest of the library is treating the result of this method as number. Using {Boolean|Number} as return type confuses the closure compiler.

Related to cl/247235272",False
969004e677e3a3e328a11c04d6484b16e5d9d956,2018-06-07 15:55:37,leelabysani,Making changes in package.json and .babelrc to successfully build it,False
563b5b1e4bfbb5796798dd286cd57b7c56f1eb9e,2017-10-21 22:46:04,Jorik Tangelder,"Merge pull request #1147 from choskim/readme

Update README.md",True
4ada7bce58cc01fff5386e4455b8ea3c1ea73669,2017-10-21 21:59:49,Cho S. Kim,Update README.md,False
37206a3d2209aefa5a34e59dfa3800a3150011a3,2017-04-19 19:48:30,Jorik Tangelder,Update LICENSE.md,False
17a543b6ac47540a43dff455a362efa959b65026,2016-10-19 18:07:27,Chris Thoburn,"Merge pull request #1013 from anotheredward/patch-1

add license to bower.json",True
0f499fd09ac736457d6cbf2cd40412a08512e351,2016-10-19 18:06:40,Chris Thoburn,"Merge pull request #1031 from arjunkathuria/dev

chore(rollup version): bumps up rollup version",True
1b7bb3b23d16f310a14dff220163e02bec49b93e,2016-10-15 20:50:31,Arjun Kathuria,chore(rollup version): bumps up rollup version,False
a28c530297f6e66785476013a6c9162305a2ce42,2016-09-30 20:36:41,Alexander Schmitz,chore(build): Commiting most recent built files,False
c55f4956598b726f323ccf7df756a0556ae8767a,2016-09-30 20:36:41,Alexander Schmitz,chore(test cleanup): Add missing messages to asserts,False
1881fc0ff50d3f815bcde6f418fdb8c3a842cf19,2016-09-30 20:36:41,Alexander Schmitz,chore(npm-scripts): Remove linting of built file,False
92f58919accfd3e9e521c3810352011d3c851c2a,2016-09-30 20:36:41,Arjun Kathuria,chore: saner npm tasks,False
78de9a3a35b0a4ad03bee01bd6bf6c678aaf3638,2016-09-30 20:36:41,Arjun Kathuria,"chore(bye Grunt): removes Grunt, its plugins and other related stuff from codebase",False
240a8c01868e0d319f57e70aaeeddd2a6bf75afc,2016-09-30 20:36:41,Arjun Kathuria,chore: various fixes after rebase.,False
f34de954b99faed43d229411d1ec8788f5bcfb9d,2016-09-30 20:36:41,Arjun Kathuria,feat(npm scripts): adds npm scripts,False
d4a73d2d6d65ebeae1cb836902569db978f9cdbe,2016-09-30 20:36:41,Arjun Kathuria,feat(npm-assets): adds test assets management via npm,False
33ec25afd6a95ae0b7c827ab6868abccc4947b98,2016-09-30 20:36:41,Arjun Kathuria,chore: fix styling issues and lints tests,False
a7f0965488319680b2c1b08828bae0eb959f7a6c,2016-09-30 20:36:41,Arjun Kathuria,chore: renames a variable for code consitency,False
a24d42cef25a634e5e37de7752971da8b0673ed5,2016-09-30 20:36:41,Arjun Kathuria,"test(QUnit 2.0.0): upgrades the test harness and cases from QUnit 1.14.0 to QUnit 2.0.0, also upgrades asset jQuery to 3.0.0",False
48a8d9bc73cb15a89fba6e0d38afa52572b2f880,2016-09-30 20:36:41,Arjun Kathuria,chore: moves 'defaults' out of the constructor,False
caebb3dbe9224f70183068592f217864a7e3d111,2016-09-30 20:36:41,Arjun Kathuria,chore: refactors 'defaults' back to a property,False
ed3b3abae88930b5653f35293fbe1210036639ff,2016-09-30 20:36:41,Arjun Kathuria,feat(ES6 classes): adds the ES6 class syntax and functionality,False
