Hash,Date,Author,Message,IsMerge
fa902f44d071eac776758cfd6e0522cb7c37b1c3,2024-12-27 03:19:17,Ingo Köpp,"Upgrade semver from 6.3.0 to 6.3.1, which fixes a high severity vulnerability (#1253)",False
2d1c52ce682b375e8900b1b119aa02a6f1706327,2024-11-18 21:08:00,Jonathan Reinink,Add description and keywords to package files,False
b350e27d3421dc69a7076872c3406f91e3889011,2024-11-18 21:07:41,Jonathan Reinink,Update publishing instructions,False
0435d4ca364a608cc75e2f8683d374e55abbae26,2024-11-18 21:01:50,Jonathan Reinink,2.2.0,False
f327cbe38385c6add89a4e7bb72e701b4e50f25a,2024-11-18 20:57:22,Jonathan Reinink,"Add React 19 support (#1247)

* Add React 19 support

* Update changelog",False
56c073c2c9a66d2e51adb93d8e87e2e941d5b6db,2024-07-22 20:30:29,Jordan Pittman,Update changelog,False
64e23681c1fc84cfe47778a013d6291963603ff2,2024-07-22 19:46:43,Randy Coulman,"Remove clip-path from 20/arrow-left-circle (#1211)

At size 20, the `arrow-left-circle` icon was not displaying correctly in my Elixir Phoenix LiveView application.

Comparing to the other `arrow-*-circle` icons of size 20, as well as the other sizes of `arrow-left-circle`, this is the only variant that contains a `clip-path`.

Removing the clip-path allows the icon to display correctly.",False
ad0ad1f6d51bd64dcd67e363d2b2833a8de25154,2024-07-10 23:26:13,Jordan Pittman,2.1.5,False
58d511e23db9c801ba9078186f54f30a6ed6c250,2024-07-10 22:53:12,Jordan Pittman,"Add new icons (#1204)

* Add new icons

* Optimize icons

* Update changelog",False
c1b192b8cd0f1b3c569d25ba995d170f3db86039,2024-06-18 03:28:30,Jordan Pittman,2.1.4,False
e2e487fed03d9f9651f3952eddc52997f7abe78d,2024-06-17 19:16:08,Jordan Pittman,"Make sure calls to `forwardRef` are marked as pure (#1192)

* Make sure calls to `forwardRef` are marked as pure

* Update changelog",False
cafc7d6cb6c2233b07667ae1fb77a43866a333e3,2024-05-23 01:12:26,Robin Malfait,use `size-*` instead of `w-* h-*` (#1182),False
9a17872e685bf48b83c047572c45617b6fd345e7,2024-04-26 19:46:26,Davy de Vries,Update README.md (#1167),False
01c786b0353c7e51b86bc903a329e81d7578333d,2024-03-23 01:39:11,Jonathan Reinink,2.1.3,False
1b9fc17423757a9707c9879733e213833fe7fc83,2024-03-23 01:37:06,Jonathan Reinink,"Improve project READMEs (#1152)

* Improve project READMEs

* Update shields

* Update changelog",False
