Hash,Date,Author,Message,IsMerge
85b20421a2620b765508f16289e0592e0563cfcb,2025-03-19 08:14:58,Maxim Reznik,"enh(ada) Ada 2022 allows `[`, `]` as brackets and `parallel` as a keyword. (#4225)",False
5685c0eba82b6ae86b0fdcd5d193dbc5f0789d0f,2025-03-12 05:17:19,Max Liashuk,enh(csp) add missing directives / keywords (#4191),False
224d7fe20fb30bdce11fe0898b23157ab58d7cde,2025-03-07 08:51:01,Jan Schultke,fix(cpp) exclude keywords from function calls (#4217),False
cbf7c830fa068ab83819dab9e549c23be82fb261,2025-03-05 09:24:45,Joshua Marchand (JSHy),"(docs) add Aiken to supported languages (#4212)

* docs: add Aiken to supported languages

* docs: update CHANGES",False
d301848ccf1354dc8845e00e7aee062d60c94437,2025-01-25 09:19:57,Marian Pekár,Replace link to Odin package in SUPPORTED_LANGUAGES.md (#4201),False
62f8a60a302718b625fa6f81a0aae35cdf824fea,2024-12-27 22:32:57,Josh Goebel,(fix) fix `illegal` handling at end of input code,False
08cb242e7d4aee787114eb04cc7ab18314d82f92,2024-12-25 23:22:21,Josh Goebel,(release) 11.1.1,False
048ba65758e963a59a935635ffabc99b875bbe15,2024-12-25 23:21:49,Josh Goebel,bump versions to 11.11.1,False
c5b6ad51f39e97c2331a7fad943a907eaa3bb50a,2024-12-25 23:19:49,Josh Goebel,fix - ignored .DS_Store files,False
d020e482d68a7a0381d56e3a6342108c91a21435,2024-12-25 23:19:17,Josh Goebel,enh(rust) can also escape a singe quote,False
2db4c1682b9d4b817fb4f38f603f93fb2d65ff47,2024-12-23 02:12:55,Josh Goebel,fix(rust) prevent symbol from gobbling strings,False
93e63589a84769384bff27b68e33c2d3c84bf625,2024-12-21 18:51:51,Josh Goebel,fix(rust) fix regression with string matching,False
40883e19c506f8de50199129d25d2e3d3afa5f4d,2024-12-14 21:51:43,Josh Goebel,"(release) version 11.11.0 with npm bumps (#4185)

* bump verison to 11.11.0
* bump deps
* more deps
* bump del",False
a667cdef0dba0c637e523c006d7f6b2950a88d58,2024-12-14 20:48:05,Josh Goebel,fix(rust) emoji supported in single quote strings (#4156),False
55b0deb4875acdf5497d2bbc94c6a6e8fc394f12,2024-12-14 20:35:16,Josh Goebel,enh(apache) support line continuation with `\` (#4158),False
3e068679d965800ff0d97abe61419e39803c0c5b,2024-12-14 20:27:26,Josh Goebel,fix(parser) prevent gobbling of illegal newlines (#4142),False
aaa57e9ef2d37cae8be33e15d559f7c82bc7b2f2,2024-12-14 20:23:01,ilovemoon,(docs) update Svelte repo in SUPPORTED_LANGUAGES (#4161),False
