Hash,Date,Author,Message,IsMerge
d853bbfe44a63d2d0e123a6ee41b769f5f9571ec,2025-03-21 10:16:54,Chris,"Feature: Slskd Service Widget (#5045)

Co-authored-by: shamoon <4887959+shamoon@users.noreply.github.com>",False
7fd5e6ccb16da4a727b5cb2d7ac1f49f87cc95f4,2025-03-20 04:56:49,IhatemyISP,"Tweak: change moonraker widget standby output (#4060)

Co-authored-by: shamoon <4887959+shamoon@users.noreply.github.com>",False
aed602ad70cabf5ad259cb9ac5bbbbd0e8801d53,2025-03-19 07:59:43,shamoon,Tweak: try to reduce rootless startup time (#5037),False
fa28a116583b97a51f750ddec9c29cf2555432c7,2025-03-18 12:00:07,shamoon,Fix: include new backdrop-blur-xs option (#5030),False
a3b693e2b6bfe84ca33e35d7e77a13fd678a7c2d,2025-03-18 01:33:04,shamoon,Support maxBookmarkGroupColumns too,False
708c4e64d1a94c4e6c445e853b295aeb3fbc50c8,2025-03-18 01:17:34,shamoon,Tweak this,False
11a6b5d0b87f24e22029272192539e23d8aea9cc,2025-03-18 01:02:09,shamoon,Enhancement: support maximum group cols up 8 (#5022),False
ce0102eb6fa9cf2835f221d216ac2a919fcf3ba4,2025-03-18 00:55:10,shamoon,Enhancement: support full width container (#5021),False
42f1ed3c473e0bf6400fd481d472c4aec3ad8697,2025-03-18 00:19:35,shamoon,Update customapi.md,False
dca23e85478437775842a99a069922d15277ca4d,2025-03-18 00:17:55,shamoon,Enhancement: support shvl syntax for customapi fields (#5020),False
8d20f22932a3e22aec4f8e4baac90c1557317828,2025-03-18 00:00:01,morliont,"Enhancement: support dynamic list rendering in custom api widget (#5012)

Co-authored-by: shamoon <4887959+shamoon@users.noreply.github.com>",False
de9c015f7fef10d7cbc9b951b7462982026fe781,2025-03-17 19:54:12,shamoon,Fix: fix minecraft players after move to minecraftstatuspinger (#5017),False
b4dc53c7c0e07ba4eaa59a4b3dd698ae11fa1f32,2025-03-17 08:39:34,shamoon,"Feature: allow disable ipv6 in proxy, refactor cacheFetch to use proxy (#5011)",False
934ad3a6f1b8630f9752f29a2646242f2cff74f8,2025-03-17 04:03:38,shamoon,Fix: remove medusa widget trailing slash (#5007),False
59cd5564f8f82b84406d3dceb87210a7a9720dd8,2025-03-17 02:42:30,github-actions[bot],"New Crowdin translations by GitHub Action (#4985)

Co-authored-by: Crowdin Bot <support+bot@crowdin.com>",False
5f19e4af910e9ab0aba0a2271d3ccc1f541958a0,2025-03-17 01:42:20,shamoon,Fix: fix custom quicklaunch search without search widget (#5003),False
5ea46881eedcbfc3899f039798e77293cb81e418,2025-03-16 21:02:27,shamoon,Fix: re-add tailwind css safelist (#4999),False
9545757bb9b286ca7c35497ee58a2c27965084e8,2025-03-16 20:03:30,shamoon,Fix: fix bookmark heights again (#4997),False
95507aab5428d2d483b6267595f33b482a65d818,2025-03-16 15:05:43,shamoon,Change: re-enable k8s ingress by default (#4988),False
