Hash,Date,Author,Message,IsMerge
a2a47933f1ffcee659e4939a65e075fa7f25706c,2024-06-23 21:47:53,James Simpson,Update BACKERS.md,False
003b917c40cb41cf382ba47ae0ed7a35ca2abe76,2023-09-19 20:29:05,James Simpson,v2.2.4,False
cf2969c0ae13aad326ed076818acb122707d68d2,2023-09-19 20:21:19,James Simpson,"Merge pull request #1676 from bikubi/fix-opera-v100-codec-mp3

fix old opera detection for three digit version numbers (100+)",True
aceef4ecbe0d7567cc2fbd10d22acc4d8a41fdc1,2023-09-19 20:20:45,James Simpson,"Revert ""build dist artifacts""

This reverts commit ccefca396d2c6f852069b1925f9edc04be3f89a8.",False
ccefca396d2c6f852069b1925f9edc04be3f89a8,2023-08-12 21:02:44,Jakob Wierzba,"build dist artifacts

note: contains also previous commits
dab32ba9e4f2f8059613cdaa8836dd336f2bdc7e
f128f9d975c2bc87610eac0eab5239980b3a4dda",False
1c321c0b41350665a7321eb51abdd5abbf5b88ff,2023-07-31 14:00:49,Jakob Wierzba,fix old opera detection for three digit version numbers (100+),False
9610df82fb93467d62f25a7b1682d534923dc963,2023-04-21 13:41:44,James Simpson,Update backers,False
20163000723c7e1b6b226444a862b573bc1ae31d,2023-02-21 00:25:49,James Simpson,Update backers list,False
1f8e7cac9fd0ff80407d883f8456ed4f6851a5c6,2022-12-14 23:56:52,James Simpson,Update backers list,False
143ae442386c7b42d91a007d0b1f1695528abe64,2022-01-24 05:07:28,James Simpson,Create a pull request template,False
0434b073f0eeeeb4b1a268b9156ff0df92532266,2022-01-24 04:51:58,James Simpson,Create initial github issue templates,False
8f2a1956fd7078b10a7e2c5820b3512995bd552c,2022-01-24 02:04:00,James Simpson,"Merge pull request #1553 from fishmandev/patch-1

Fix a typo in README.md",True
7fc2da2fba66c46bad41070c3642b62d54c6a2d5,2022-01-21 21:18:20,Dmitriy Fishman,Fix a typo in README.md,False
f128f9d975c2bc87610eac0eab5239980b3a4dda,2021-12-20 04:15:33,James Simpson,"Fix pannerAttr() not saving values on first call

Fixes #1497",False
dab32ba9e4f2f8059613cdaa8836dd336f2bdc7e,2021-11-29 04:12:40,James Simpson,"Don't clear a bufferSource that doesn't exist

Fixes #1508",False
d349826d937475b192a6cff7535545f84aa926d5,2021-11-29 02:06:49,James Simpson,"Merge pull request #1533 from B4Lee/patch-1

Fix streaming links in radio example",True
5aa0688f0368bfdaf2c2ba024f88d3c4ae74843d,2021-11-23 22:14:18,B4Le,Fix streaming links in radio example,False
4537db79b3dca9ed490ee22cbb17048d4cba7316,2021-10-10 04:44:10,James Simpson,"Merge pull request #1512 from shreyas-jadhav/master

Documentation fixes",True
621f6a74890bff468ecd3de8d8753863f92aeffd,2021-09-15 21:23:47,James Simpson,Update backers formatting,False
3c44eb68a0889bb2aaa3112e7a0f0f90e4df337d,2021-09-15 21:22:37,James Simpson,Update backers,False
ef60331c48a62132788847a672b61cc3f0e48f4b,2021-09-13 00:08:20,James Simpson,Add sponsors/backers section,False
c1a027d8297dc332448ed8884be94519f72ef3a5,2021-09-12 23:41:10,James Simpson,Create FUNDING.yml,False
b9f74087e53e5c790089fd68aa192c00a8c2c4b9,2021-08-27 17:49:37,Shreyas Jadhav,"Fixed typo

inclues -> includes",False
3835ab889824c52fc9257ca7cfe4295828e91131,2021-08-19 03:39:06,James Simpson,Clarify group docs,False
17c3d3d7aedc58f1d0ba1aa0fe94ddda6039e53a,2021-07-01 00:15:52,James Simpson,v2.2.3,False
e667b8b5164cb9c61d101875649f6d9f11c341c1,2021-07-01 00:14:49,James Simpson,"Fix error with Safari UA check

Fixes #1491",False
4957be0dd1b473ef94e3db260914bebed2a577d6,2021-06-28 04:52:31,James Simpson,Fix typo,False
97cfa132b3900151ab0fbf5710517b7997a5d093,2021-06-28 04:51:50,James Simpson,v2.2.2,False
09a3b289bc78a9134d7426f27c39d728df6242c5,2021-06-21 03:45:33,James Simpson,"Disable WebM on Safari <15

This is a temporary measure as Safari isn't currently decoding WebM files correctly This issue is being tracked in #1476.",False
309376bcc204df69cdc79f7dad20974c63b98cb5,2021-06-21 01:18:55,James Simpson,Fix formatting issue,False
94b617c054343979b1db3cddb4316ae4d16f3db1,2021-06-21 01:17:56,James Simpson,"Add list of load error codes from the spec to docs

Fixes #1370",False
fcbe3e1866594670d0f1c8c9313394357c51b1a3,2021-06-21 01:12:17,James Simpson,"Add explanation of howler distribution files

Fixes #722",False
8135725f18f8a7262f88c5bd86fcecd9d075bc4c,2021-06-21 01:05:58,James Simpson,"Add docs to clarify what group playback refers to

Fixes #982",False
8c1e020ca716435a677d4753e7ae3e7d52e915fb,2021-06-14 03:00:35,James Simpson,"Merge pull request #1444 from LandrAudio/fix/buffering_loading_state

fix: set state to loading when sound is buffering",True
ddb34c32827b7c7aba9d5140a3f595a9f851a3e9,2021-06-14 02:49:47,James Simpson,"Merge pull request #1483 from mihailgaberov/patch-1

Fixed typo.",True
cf206ab6d3c7e82d3cf51f070b6f876a980663eb,2021-06-10 13:10:38,Mihail Gaberov,Update player.js,False
69946c4a12105bde2428351dc440914051f36386,2021-06-10 13:08:58,Mihail Gaberov,Fixed typo.,False
0323af9b843351cacc47893aed8e65cd8ba3b0cb,2021-05-30 03:58:18,James Simpson,"Fix edge case with pause called after seek before loaded

Fixes #1439",False
3e1cb2070b62ff099f0f7f109d37e58aaacc321a,2021-05-17 04:33:39,James Simpson,Simplify fix for looping in Firefox,False
cf485cca0d1dd825d9f9e5c81bfdeb02de76b786,2021-05-17 04:32:56,James Simpson,"Merge pull request #1445 from themoonrat/bugfix/firefox-loop-error

Forces a buffer refresh if sound is set to loop, and is already playing",True
119d31ae2aa9b4b7ec93e2b33de2705be37bb549,2021-05-17 03:30:03,James Simpson,"Add example for streaming audio

Fixes #1429",False
0b82b30943ff80e6cb8cdfe9f6928ddd39e9adad,2021-05-17 03:26:06,James Simpson,Return seek of 0 if track is still loading,False
e9b62416742d0cd88b366dcb8ad68c3396f58b49,2021-05-17 03:25:39,James Simpson,"Merge pull request #1423 from rigobauer/fix/seek-not-checking-sound-is-loaded

fix: check that sounds are loaded in seek (returning current position)",True
d165bfd6bf2cf3c743bc7efce0599db71a8fb5cb,2021-05-17 03:14:06,James Simpson,"Merge pull request #1417 from Studiosity/master

Include keydown event when unlocking audio",True
59cdf90a7793bfe158adae780f82a898e4e44514,2021-01-25 17:58:59,Dave Moore,Fix double looping sound,False
94b247c371e9a18433a13fc8705f97188398434c,2021-01-22 22:39:08,Dave Moore,"Forces a buffer refresh if sound is set to loop, and is already playing
Required to fix Firefox no longer looping
https://github.com/goldfire/howler.js/issues/1442",False
6161691b738753c6543d9340b1bb8e27c4a20335,2021-01-12 07:01:52,Maxime Peloquin,fix: set state to loading when sound is buffering,False
42d150685025b27f602a0be178c76a0e14f8ed9d,2020-11-10 15:21:48,Alberto Iglesias,fix: check that sounds are loaded in seek (returning current position),False
d62034b6ff57fc2b37bd160a38389f156e60f6c1,2020-10-27 09:39:50,Andrew Bromwich,Include keydown event when unlocking audio,False
7c50da154af52bd4971ae75acbf6c078d256cd12,2020-10-25 20:42:12,James Simpson,v2.2.1,False
2dbaa5d0b30e17adb978ffb81f3e1ea71e78d8f2,2020-10-25 20:40:39,James Simpson,Fix streaming links in radio example,False
0629f9eae244637589f42dc71f683ddf836a79b1,2020-10-25 06:27:05,James Simpson,"Merge pull request #658 from golddranks/master

Fixed an edge case with Safari (""infinite"" html5 audio -> the end event won't run)",True
2e5c75271f56ee8528c49675a6894223600aaea6,2020-10-25 06:26:32,James Simpson,Merge branch 'master' into master,True
51862545ed2030cf84595443dacc507f7fbf6493,2020-10-25 06:25:13,James Simpson,Cleanup and clear event in unload,False
289bcda97d7998d832257f3ed5bc3837b2156379,2020-10-25 02:38:11,James Simpson,"Don't add seek without value to queue when loading

Fixes #1189",False
f851cad1196fc47457066bf5816eb4c13a5d7335,2020-10-25 02:21:31,James Simpson,"Merge pull request #1369 from alvov/issue1368

Fix: fading never resolves in some cases (fixes #1368)",True
979317c33f16ab1175c4b51b574cf4e57297d2ef,2020-10-25 01:45:35,James Simpson,"Merge pull request #1415 from jusephe/fix-wav-support-in-safari-14

fix wav support in Safari 14",True
