Hash,Date,Author,Message,IsMerge
c37e7b7e068ca53ff76459c255ebcb922bb13455,2025-03-06 20:57:11,Adam Averay,"Remove JS-conditional classes (#3222)

* Remove no-js class

* Document alternative to no-js class",False
401b4426e7a9a6008ffba276b103c25d52f8918b,2025-02-05 15:13:44,dependabot[bot],"chore(deps-dev): bump prettier from 3.3.3 to 3.4.2 (#3202)

Bumps [prettier](https://github.com/prettier/prettier) from 3.3.3 to 3.4.2.
- [Release notes](https://github.com/prettier/prettier/releases)
- [Changelog](https://github.com/prettier/prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/prettier/compare/3.3.3...3.4.2)

---
updated-dependencies:
- dependency-name: prettier
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
e5a7112cff6e894d5e859cf08747e6e2c5e1689e,2024-10-01 16:54:39,dependabot[bot],"chore(deps-dev): bump eslint from 8.57.0 to 8.57.1 (#3167)

Bumps [eslint](https://github.com/eslint/eslint) from 8.57.0 to 8.57.1.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v8.57.0...v8.57.1)

---
updated-dependencies:
- dependency-name: eslint
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
2051e7f47eb2a8c4ff22b4dbaab699f501b43a65,2024-09-22 18:00:31,dependabot[bot],"chore(deps-dev): bump mocha from 10.5.2 to 10.7.3 (#3158)

Bumps [mocha](https://github.com/mochajs/mocha) from 10.5.2 to 10.7.3.
- [Release notes](https://github.com/mochajs/mocha/releases)
- [Changelog](https://github.com/mochajs/mocha/blob/main/CHANGELOG.md)
- [Commits](https://github.com/mochajs/mocha/compare/v10.5.2...v10.7.3)

---
updated-dependencies:
- dependency-name: mocha
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
c4610f373e9f644bda64b915686f6a6befbb6c3b,2024-09-04 23:15:12,dependabot[bot],"chore(deps-dev): update webpack requirement in /src (#3157)

Updates the requirements on [webpack](https://github.com/webpack/webpack) to permit the latest version.
- [Release notes](https://github.com/webpack/webpack/releases)
- [Commits](https://github.com/webpack/webpack/compare/v5.92.1...v5.94.0)

---
updated-dependencies:
- dependency-name: webpack
  dependency-type: direct:development
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
16a8a07b2f2c6742cfd33e3abbf59a1df0c38dfb,2024-09-04 23:14:26,dependabot[bot],"chore(deps-dev): bump prettier from 3.3.2 to 3.3.3 (#3147)

Bumps [prettier](https://github.com/prettier/prettier) from 3.3.2 to 3.3.3.
- [Release notes](https://github.com/prettier/prettier/releases)
- [Changelog](https://github.com/prettier/prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/prettier/compare/3.3.2...3.3.3)

---
updated-dependencies:
- dependency-name: prettier
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
a545d58fd94aa61221665b183afa2f22f2ab104c,2024-09-04 22:57:50,dependabot[bot],"chore(deps-dev): bump glob from 10.4.2 to 11.0.0 (#3145)

Bumps [glob](https://github.com/isaacs/node-glob) from 10.4.2 to 11.0.0.
- [Changelog](https://github.com/isaacs/node-glob/blob/main/changelog.md)
- [Commits](https://github.com/isaacs/node-glob/compare/v10.4.2...v11.0.0)

---
updated-dependencies:
- dependency-name: glob
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
92602749bf794f7dcb3c7e47140134aff02f16d7,2024-09-04 22:44:49,dependabot[bot],"chore(deps-dev): bump eslint-plugin-mocha from 10.4.3 to 10.5.0 (#3144)

Bumps [eslint-plugin-mocha](https://github.com/lo1tuma/eslint-plugin-mocha) from 10.4.3 to 10.5.0.
- [Release notes](https://github.com/lo1tuma/eslint-plugin-mocha/releases)
- [Changelog](https://github.com/lo1tuma/eslint-plugin-mocha/blob/10.5.0/CHANGELOG.md)
- [Commits](https://github.com/lo1tuma/eslint-plugin-mocha/compare/10.4.3...10.5.0)

---
updated-dependencies:
- dependency-name: eslint-plugin-mocha
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
859dad015b75b7a4d528aa525a1398bb24380231,2024-09-04 22:43:21,dependabot[bot],"chore(deps-dev): bump webpack-merge from 5.10.0 to 6.0.1 in /src (#3143)

Bumps [webpack-merge](https://github.com/survivejs/webpack-merge) from 5.10.0 to 6.0.1.
- [Changelog](https://github.com/survivejs/webpack-merge/blob/develop/CHANGELOG.md)
- [Commits](https://github.com/survivejs/webpack-merge/compare/v5.10.0...v6.0.1)

---
updated-dependencies:
- dependency-name: webpack-merge
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
250757e847b69084de1da3aac4cbca7ca6c56644,2024-09-04 22:41:43,Christian Oliff,Update Issue Config (#3160),False
