Hash,Date,Author,Message,IsMerge
f8f7466d5c97ae380174972573f2b172f31939b2,2025-03-19 12:04:20,Simon Hartley,Fix broken link in SSE extension docs (#3241),False
fcf74577665a0480beb5aed3f58688c898bb0cd1,2025-03-14 13:35:06,James Cole,"Add attribute-tools Community Extension to doc (#3229)

added attribute-tools Community Extension to doc",False
b76b1f6b9b297378ebedbaf1ad4c08220b97d00a,2025-03-12 21:04:28,Kai Schlamp,Add django-block-fragments to template-fragments essay (#3227),False
b8a29903dc0f61c6b42a05025f6e377bcb413eb9,2025-03-07 04:29:04,Carson Gross,Merge remote-tracking branch 'origin/master',True
7b34baed8401ec9637fc048f705a6d6b902eda77,2025-03-07 04:28:52,Carson Gross,remove ex-sponsors,False
07d35186fbd6ec3074d86b0b041e1b4869a33f36,2025-03-06 12:46:19,su21,"Fix wording in `changed` modifier description in hx-trigger.md (#3219)

Update the description of the `changed` event modifier from ""the event will only change"" to ""the event will only fire"" to clarify that the modifier controls when the `change` event triggers, improving accuracy and readability. Addresses a potential documentation error.

Fixes #3218",False
efcc6b22117356c2d5ed91a618f636c3dc16e02f,2025-03-06 09:28:38,William Jackson,"Add descriptions for /headers/* and /api (#3221)

* Add descriptions for /headers/* and /api

* Add a missing space in a description",False
103c72ed7462cc8e1d0cfb937b9bc0a240eb9287,2025-02-25 13:38:02,jdocksey,Documentation link added (#3211),False
d8dc1ee93d37dc54db7fbe08be41f106e107bb8b,2025-02-22 12:59:58,Cristian Molina,"Small fix on alternatives.md (#3204)

Update alternatives.md

Fix ""and"" -> ""an""",False
61ad9549c386850ef1aaefd9aaab3ed79842997b,2025-02-19 22:19:23,Carson Gross,format,False
14f3c5efd836eed17e3369e2614f070f2c7ee895,2025-02-19 22:16:59,Carson Gross,format,False
70736c4c8fd3b4544b4aa873f327e28d947fbffb,2025-02-19 21:56:08,Carson Gross,Merge remote-tracking branch 'origin/master',True
163d226988ee8dab5c1a301cd64a5d59072f5181,2025-02-19 21:56:02,Carson Gross,publish leonard richardson's interview,False
0a135f95ce281073670142dfa1f89047ffd854c9,2025-02-18 14:00:55,ollin,"Update hx-swap.md (#3194)

typo",False
90a91a60e0fcd2d7c42e04c615177cba89c33151,2025-02-15 03:07:21,Mariss Tubelis,"Extension docs: npm, bundler, min/unmin and SRI hash instructions (#3127)

* Extensions docs: add npm/bundler installation guide and up versions numbers for links

* Revert extensions._index.md table change

* Update docs.md extension installation and integration instruction

* Move extension installation and enabling to new sections in docs.md

* Update extension installation guidelines

* Update idiomorph installation guidelines

* Minor consistency edits

* Make the need for hx-ext clearer

* Fix typos and note for community repos not hosted outside this repo",False
0f9c4202ba5c0dd7bd6e6fb430b176b0c9bdba18,2025-02-12 14:11:55,TGJ Gilmore,"Documentation typo correction (#3182)

* Documentation update to include the use of hx-headers to prevent CSRF

* Update hx-headers.md

Revised follow review.

* Update docs.md

Typo correction",False
72b425f5fb322f61009f8f5c0f761426d0887dc2,2025-02-11 01:05:31,TGJ Gilmore,"Documentation update to include the use of hx-headers to prevent CSRF (#3176)

* Documentation update to include the use of hx-headers to prevent CSRF

* Update hx-headers.md

Revised follow review.",False
46badfe0b1412561202186c2b2cd05053d71ea32,2025-02-08 05:37:13,William Jackson,"Add descriptions for attribute pages (#3158)

Descriptions for attribute pages",False
6dbf554e49d3988c53740f29a76787adddd9a8f6,2025-02-05 14:06:56,Zendrael Ziul,"Fixed repo url for pascal htmx project reference (#3169)

* Add FreePascal example with Pas2JS

* hotfix pascal htmx repo

---------

Co-authored-by: 1cg <469183+1cg@users.noreply.github.com>",False
d8b12de2fb56672412e393363d9b17dc4d05a5f9,2025-02-04 21:00:47,Zendrael Ziul,"Add FreePascal server example with Pas2JS (#3168)

Add FreePascal example with Pas2JS",False
a60cdf18541ffc8b661e4817a9dd4f1974dfbc39,2025-02-03 03:06:28,Alexander Petros,"Add ""less htmx"" link (#3167)",False
10e8656af500d8dc3bba54459b8f29d53f326471,2025-01-31 19:46:25,Carson Gross,Merge remote-tracking branch 'origin/master',True
4328259749e410f1bfe9188d99a8a8a573ec86ae,2025-01-31 19:46:16,Carson Gross,publish mike amundsen's interview,False
6ea10299609d36697002c34a0685434010e4d3fa,2025-01-31 14:28:23,Mehrad,"Fix some external links (#3157) (#3160)

Fix some external links (#3157)",False
a9b11187ba1f9d0831a12cb8727e3233a79d18a8,2025-01-31 07:16:17,William Jackson,"Mark the interviews folder as a section (#3161)

Adding `_index.md` to the `interviews` folder will mark this folder as a ""section"". Pages in this section will now inherit section settings from the parent `essays` section, including rendering using the `essay.html` template instead of the default `page.html` template.

Adding `render = false` to the interview section metadata will suppress generating a page at `/essays/interviews/index.html`",False
1c3556c30e22ddaee9b872b9d106433b31cb5ecc,2025-01-30 22:54:00,Carson Gross,Merge remote-tracking branch 'origin/master',True
ac03dc540f79326c3be86102f319268552e3baf5,2025-01-30 22:53:52,Carson Gross,publish defunkt interview,False
b0797be8cd7a59856a39a7b0e50e7f0dcc629aef,2025-01-30 17:12:00,William Jackson,Fix some external links (#3159),False
6d39919b996ec2965dbde2585dcdc8dc9bd55ffd,2025-01-29 23:23:42,William Jackson,"Essay descriptions (#3154)

* Add description to architectural-sympathy

And fix some typos

* Add description to codin-dirty

* Add description to complexity-budget

* Add description to does-hypermedia-scale

* Add description to future and fix date

* Add description to hateoas

* Add description to how-did-rest-come-to-mean-...

* Add description to htmx-sucks

* Add description to hypermedia-apis-vs-data-apis

* Add description to hypermedia-clients

* Add description to hypermedia-driven-applications

* Update hypermedia-friendly-scripting.md

* Update hypermedia-on-whatever-youd-like.md

* Update is-htmx-another-javascript-framework.md

* Update locality-of-behaviour.md

* Update lore.md

* Update mvc.md

* Update no-build-step.md

* Update prefer-if-statements.md

* Update rest-copypasta.md

* Update right-click-view-source.md

* Update spa-alternative.md

* Update splitting-your-apis.md

* Update template-fragments.md

* Update rest-explained.md

* Update two-approaches-to-decoupling.md

* Update vendoring.md

* Remove double-quote characters from descriptions

* Add description block to demo.html

* Update view-transitions.md

* Update web-security-basics-with-htmx.md

* Update webcomponents-work-great.md

* Update when-to-use-hypermedia.md

* Update why-gumroad-didnt-choose-htmx.md

* Update why-tend-not-to-use-content-negotiation.md

* Update you-cant.md

* Fix description for htmx-sucks

* Use `authors` built-in variable

Instead of the custom `author` taxonomy

* Descriptions and typos in interviews

* That double word is actually correct",False
f760d3f27db5402bf71be2ac44a8b3ccbddb897a,2025-01-29 23:12:52,Carson Gross,typo,False
bdbbeee2845cd864e3a23fcc08687fdb3d7e305c,2025-01-29 23:12:22,Carson Gross,remove AI slop,False
f2068854224d8e9a0fed30c41ade3834075200d9,2025-01-29 19:55:43,Carson Gross,get rid of double headers,False
d941a204fca2492e623787e8b05ddc4d2db34dbe,2025-01-29 19:53:21,Carson Gross,Merge remote-tracking branch 'origin/master',True
7b8e26e193d343f6a0e43c2a089a8d22725dbf94,2025-01-29 19:53:14,Carson Gross,publish makinde adeagbo interview,False
