Hash,Date,Author,Message,IsMerge
5685db766f6a2261c3c1839a56c3b879c3cf5a0a,2025-03-12 21:30:32,Nicolas Morel,chore: another pass of dependencies updates,False
239ec335a19879f053439e778f0d1b9f57e3d351,2024-08-28 21:38:31,Nicolas Morel,Merge remote-tracking branch 'origin/v17',True
3cb73d6cded39fa49a46069b64d638a0ba0f7d14,2024-06-19 20:47:37,Nicolas Morel,17.13.3,False
1653c478486227728942ebd8544bb068448cb814,2024-06-19 20:47:15,Nicolas Morel,fix: correct function type in alternatives error (#3043),False
7373136d149be0cc727096325f22f748d22aef46,2024-06-19 14:50:56,Nicolas Morel,17.13.2,False
add65979a3d2f93a08e60824ed1a02e56536fa69,2024-06-19 14:50:15,Alejandro Fernández Haro,`strictUnknown` should honor local explicit `.unknown(false)`,False
ed25e95c299190e9aace62569d4b8306b2d8e614,2024-06-19 14:49:38,Alejandro Fernández Haro,`strictUnknown` should honor local explicit `.unknown(false)` (#3037),False
0066a4ef16706b722b81818a8608aea1129f4cc7,2024-05-02 12:24:12,Nicolas Morel,17.13.1,False
2d260302e75ed50e1f2658887dcd11fcc5b5e05c,2024-05-02 12:23:03,Nicolas Morel,"fix: label false should also hide explicit labels (#3034)

Fixes #3033",False
f02df4c011253d3573be19261a45c6765157d054,2024-04-23 13:58:11,Nicolas Morel,17.13.0,False
1ed2d4e615920c57d78ad139b6d53f62c1dec489,2024-04-23 13:57:29,Nicolas Morel,feat: support encoding uri (follow-up to #3027) (#3032),False
9af6f1f2347a4ffa4a131231b74978e1242fd585,2024-04-23 12:23:44,Hyosik Philip Joo,"feat: Support encoding uri (#3027)

* feat: Add encodeUri in UriOptions interface

* feat: Add encodeUri in options list for uri method

* feat: Encode uri with true flags in uri validation

* feat: Add test for uri encoding

* fix: Integrate lint suggestions for style consistency

* fix: Pre-encode value before other cases

* feat: Add custom error message for uriEncoding

* feat: Add case for uriEncoding convert false

* docs: Add description for encodeUri",False
554a437a5569015479887f69033bcd1357fb55d6,2024-04-03 15:11:27,Nicolas Morel,17.12.3,False
