Hash,Date,Author,Message,IsMerge
7f3f09550dfb89dfd809887c27513d4495899b41,2025-01-14 05:39:21,dependabot[bot],"Bump eslint-config-prettier from 9.1.0 to 10.0.1

Bumps [eslint-config-prettier](https://github.com/prettier/eslint-config-prettier) from 9.1.0 to 10.0.1.
- [Release notes](https://github.com/prettier/eslint-config-prettier/releases)
- [Changelog](https://github.com/prettier/eslint-config-prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/eslint-config-prettier/compare/v9.1.0...v10.0.1)

---
updated-dependencies:
- dependency-name: eslint-config-prettier
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",False
19c77ea7f383c377f45359e3d98ed7e66b2edfba,2025-01-07 13:06:27,dependabot[bot],"Bump release-it from 17.11.0 to 18.0.0

Bumps [release-it](https://github.com/release-it/release-it) from 17.11.0 to 18.0.0.
- [Release notes](https://github.com/release-it/release-it/releases)
- [Changelog](https://github.com/release-it/release-it/blob/main/CHANGELOG.md)
- [Commits](https://github.com/release-it/release-it/compare/17.11.0...18.0.0)

---
updated-dependencies:
- dependency-name: release-it
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",False
8eb77f5f5f17cf3d08ac8b6f74438d9425fdad6c,2024-07-14 09:53:54,dependabot[bot],"Bump grunt-contrib-qunit from 8.0.1 to 10.0.0

Bumps [grunt-contrib-qunit](https://github.com/gruntjs/grunt-contrib-qunit) from 8.0.1 to 10.0.0.
- [Release notes](https://github.com/gruntjs/grunt-contrib-qunit/releases)
- [Changelog](https://github.com/gruntjs/grunt-contrib-qunit/blob/main/CHANGELOG)
- [Commits](https://github.com/gruntjs/grunt-contrib-qunit/compare/v8.0.1...v10.0.0)

---
updated-dependencies:
- dependency-name: grunt-contrib-qunit
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",False
5b676b97a4ff308443f7f8f9a2e26c7d690a48ac,2024-07-09 10:06:09,dependabot[bot],"Bump grunt-contrib-connect from 4.0.0 to 5.0.0

Bumps [grunt-contrib-connect](https://github.com/gruntjs/grunt-contrib-connect) from 4.0.0 to 5.0.0.
- [Release notes](https://github.com/gruntjs/grunt-contrib-connect/releases)
- [Changelog](https://github.com/gruntjs/grunt-contrib-connect/blob/main/CHANGELOG)
- [Commits](https://github.com/gruntjs/grunt-contrib-connect/compare/v4.0.0...v5.0.0)

---
updated-dependencies:
- dependency-name: grunt-contrib-connect
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",False
1c5db721d2f080bac3e41b55a92f31c522816be3,2024-05-03 09:42:35,dependabot[bot],"Bump eslint-plugin-markdown from 4.0.1 to 5.0.0

Bumps [eslint-plugin-markdown](https://github.com/eslint/eslint-plugin-markdown) from 4.0.1 to 5.0.0.
- [Release notes](https://github.com/eslint/eslint-plugin-markdown/releases)
- [Changelog](https://github.com/eslint/eslint-plugin-markdown/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint-plugin-markdown/compare/v4.0.1...v5.0.0)

---
updated-dependencies:
- dependency-name: eslint-plugin-markdown
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",False
4ffd2111c42c93915d672f6a6aa90232814fa15b,2024-04-09 17:40:53,Klaus Hartl,Change Prettier config file for consistency,False
2227aa9cdfea0822e0314fc691e8528e7e519f5d,2024-04-09 17:37:18,Klaus Hartl,Remove outdated keyword,False
f30a5f2384cb3feac30814a3109d21d69b0210b0,2024-04-09 17:36:07,Klaus Hartl,"Migrate to ESLint 9 w/ flat config

Closes #856",False
2eca98a6b091162d9d776a766f4b21ba8e8ab6ab,2024-03-09 14:13:40,Klaus Hartl,"Remove Node version from test matrix

To soon..",False
ec76018796d4a2806acc87bd6f06296e9d44837f,2024-03-09 14:11:00,Klaus Hartl,Take Node version from package.json for testing,False
2da96e38adbce8ff027a7866dbcf92360b4dd27f,2024-03-09 14:06:40,Klaus Hartl,"Fix installing dependencies

- Requires updating Node versions to test against, but Node 16 is no
  longer maintenance to begin with..",False
2628922bba23f0d602052619fef06c1f1a00105e,2024-03-09 13:47:27,dependabot[bot],"Bump actions/stale from 4.1.1 to 9.0.0

Bumps [actions/stale](https://github.com/actions/stale) from 4.1.1 to 9.0.0.
- [Release notes](https://github.com/actions/stale/releases)
- [Changelog](https://github.com/actions/stale/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/stale/compare/v4.1.1...v9.0.0)

---
updated-dependencies:
- dependency-name: actions/stale
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",False
fa8f325c715b613798f8f43f7bf3067fc6973b9e,2024-03-09 13:46:03,Klaus Hartl,Remove trailing whitespace,False
134f03d7053adf5cb2e0660b62b12ca4fb3d9647,2024-03-09 13:45:12,Klaus Hartl,"Remove broken link

Closes #852",False
bd374fbc88d5426291d8039a26682ced2514665d,2024-03-09 13:37:42,Klaus Hartl,Apply formatting after merging PR,False
ccc6b9867207654a45036da5782840475dab1d69,2024-03-09 13:36:16,David Balatero,Add documentation for how to import the library,False
