Hash,Date,Author,Message,IsMerge
6aa56d9581488d9bcd1baf42c4c97b293cd9ee99,2024-09-24 16:02:41,typicode,1.0.0-beta.3,False
780e246c5429837aad9ec5a63c4c5a9d2efbb025,2024-09-24 15:57:38,typicode,Update deps and allow any header in CORS (#1611),False
9539c03ce6b801deb375d6b7d95cb1f35c6a9971,2024-08-19 18:50:15,typicode,fix: npm-publish.yml,False
f1e736bf81c7ce6fedf813241277505df47034a2,2024-08-19 18:41:19,typicode,1.0.0-beta.2,False
be2e7fce88caf5cfae6dea2bf6e0b69e83a27aa6,2024-08-19 18:36:00,typicode,chore: create npm-publish.yml,False
161e01f5232db335afca6061515b4f542accd5c0,2024-08-19 18:32:55,typicode,chore: update linter,False
e6055e621d326f1bbd0f8840a47d789eb8baa89c,2024-08-19 18:32:36,typicode,fix: filtering with multiple conditions,False
6f32b9645755db84534c625908c394b558b344c6,2024-08-14 19:50:33,typicode,Update README.md,False
11f5a368a83772e2389bc9b617152d0c758d0322,2024-08-01 03:07:38,papagei3,Update README.md (#1588),False
01b51b9434eeca216decd9c0234ca68dd20e7fe1,2024-07-21 02:11:52,typicode,Update README.md,False
c9203f56fe37bd01aa2e3fa4ebc606c59e1571b9,2024-07-18 14:50:04,typicode,Update README.md,False
9b42e5f31a6a9f0522b19cfa09ea635cb5f0e9de,2024-07-16 00:37:03,typicode,Update README.md,False
4f4fe4374d08615ea51af426e8d0b4e900bf71f5,2024-06-27 02:26:43,typicode,Update README.md,False
2c248299e39148212709859d26070506d6d1fb33,2024-06-13 00:50:58,Hassan Cissey,Update README.md (#1559),False
16fdfcbea0a1e19b804468278628c15c60b2b5a3,2024-06-12 01:56:14,typicode,Update README.md,False
59d6aa901044636b5bce68e3f62dfa8cb77d348a,2024-06-04 15:36:44,typicode,bump version and update dependencies,False
1b7c0fb1b227dd9242d85d6bb9767b026cd79cb2,2024-06-03 16:52:40,xw,fix: The query parameter is incorrect. #1551 (#1552),False
ef6e268efd75eaf25f4ec86952a521114c987dc6,2024-06-01 04:55:17,typicode,Update README.md,False
cc72b49b8036e379b84c04930bcd57b603942a92,2024-06-01 04:53:35,typicode,Update README.md,False
3299954b21adc1f39e0cf9040e7354e04e18080d,2024-05-29 18:48:11,typicode,Update README.md,False
0f392e6f277d70a2612a977494861732c11eefa8,2024-05-24 22:10:58,typicode,Update README.md,False
9a20083fdba0c9a11da04ab5c88113ea74bd961e,2024-05-13 18:54:02,typicode,beta,False
827c5c31a4da829b036aa050c4bb678a3b3601f3,2024-05-13 18:52:27,typicode,fix: boolean handling in GET list,False
8fb0f728969160ab63286e8cd82a231cfd18c3b1,2024-05-13 18:51:20,typicode,chore: update package-lock.json,False
bf30714ec034ed64e321d62b911916cfba411c66,2024-05-09 22:44:15,typicode,Update README.md,False
e2a5ef2ab681c47eaaf78c8f9b0c2d100e22acfe,2024-05-03 18:15:42,typicode,Update README.md,False
d91fbb6b493b2a877dcbb70b98aedcf0205de9a0,2024-04-22 22:53:34,typicode,Update README.md,False
507878a406e4910efcb8ce17ab7fa0deb78148fa,2024-02-15 06:23:17,typicode,Update README.md,False
64a9477c1d891a8db2ca0d51176d0ed6a77c1dbe,2024-01-31 18:08:08,Elan Ruusamäe,Update package.json: Add repository url field (#1511),False
acf9c98b10736a5ecf7583e3f3e6eb0bff84eb9d,2024-01-31 03:34:53,typicode,Update README.md,False
904398f8ffb1d7732448cdd96d1fdc18b4172b71,2024-01-31 03:29:46,typicode,Update README.md,False
35de1af181b06169839864815f456027e68c2803,2024-01-30 18:32:57,JaN0h4ck,fix: Encoding Issue in LICENSE (#1507),False
14af8bef8434d6c25a004427a06ebb7fd7b376cd,2024-01-26 22:09:21,typicode,1.0.0-alpha.23,False
3fe2bb1f97e780d7e1886adb5a880e875a25003e,2024-01-26 22:08:57,typicode,Add color to body background,False
38ded8a15b926bac36b3161c47ce3f314183f5cc,2024-01-26 22:04:15,typicode,docs: example,False
a030b6f4a93e77204950814f87dbb9dd8ff6242e,2024-01-26 22:00:06,typicode,home style,False
d0307026e4440ff16e827293f956b25b77606619,2024-01-26 21:59:44,typicode,fix: public,False
e58a6ac4991e6312f5764ca30e3677f5cfd655f4,2024-01-26 21:59:27,typicode,chore: remove unused files,False
ae82c360d427f05a4b86705ec137da0c144dfee6,2024-01-26 21:58:10,typicode,chore: update devDependencies and add husky,False
8fa80f3bc51b05dcb057c6b007962b440bee0447,2024-01-26 20:47:03,typicode,Update devDependencies in package.json and package-lock.json,False
4e9b04215a5ad756bd0dd7ad203d8c55e7cee01c,2024-01-22 20:32:16,typicode,1.0.0-alpha.22,False
4b5a1de10a9fe3ae2dbf6ff30db10f8aca35b213,2024-01-22 20:31:30,typicode,fix: homepage,False
86d0c26b6e8fbc7da296498bec35738b92dd48ed,2024-01-22 20:29:43,typicode,feat: rename _embed to _dependent for delete action,False
3710dce4a025da99ffce4b424a51b6c9d07861bb,2024-01-22 20:24:16,typicode,fix: pagination,False
9a255847e075b69aa75ccfcba6984afb6fa168ad,2024-01-14 04:16:17,typicode,1.0.0-alpha.21,False
d266622ab479f6b51781cac153e64140b6cfc52f,2024-01-14 04:15:57,typicode,fix: --version option,False
2dfc98009e05626716d1369ac7b82670599b039a,2024-01-13 07:24:43,typicode,docs: update JSON5 example,False
23b51591e6fc11c993dcb956999b6fa8777e254e,2024-01-13 07:21:27,typicode,docs: add db.json5,False
03a3bd031761b003fee209010d5a4638cf63b878,2024-01-13 07:16:30,typicode,update,False
0ce6a87eec7a49b6c0adaa859c62449662b5d5cf,2024-01-13 07:08:47,typicode,1.0.0-alpha.20,False
f0fb035be02583a86f5a3e58cc15582dba851d95,2024-01-13 07:08:32,typicode,feat: convert id to correct type,False
a321b653e3414de9f35908e1822e0d45ed914738,2024-01-12 05:39:29,typicode,1.0.0-alpha.19,False
a4dda8ec64dcf0c3572db190d03caab191a3f5cc,2024-01-12 05:39:16,typicode,fix: _embed param,False
a4d829ab52811447449947c841cd7e6ad6714e87,2024-01-12 04:20:31,typicode,1.0.0-alpha.18,False
95de5915997de18f3d29fa3532e7dc5f68955807,2024-01-12 04:19:53,typicode,improve homepage style,False
99193dafc7a8255e58fea27340115e0c44a34005,2024-01-12 04:19:36,typicode,feat: handle empty json file and improve output,False
af73a694e887eb489d90cffd68b8c6d14835ff72,2024-01-11 12:19:52,typicode,update fixtures,False
4d251cb71fa282e2bbc2f400ab520fde0fa241cc,2024-01-11 12:11:08,typicode,chore: fix ci error,False
3776e3ecf80215e03906e7275fc72f0cfa626506,2024-01-11 12:07:16,typicode,1.0.0-alpha.17,False
9e864c33458d5a41cbbf869a7089b9aa8445f012,2024-01-11 12:07:04,typicode,fix: handle unknown options in cli,False
3d2998e4a02b5ad426dda1155606af1473d44fd1,2024-01-11 12:06:40,typicode,chore: update @types/node version in devDependencies,False
cfb380b68fef380dc0fccfae885ea1907bb1a359,2024-01-11 12:06:30,typicode,chore: update package-lock.json with Node.js version requirement,False
0812ef20b9b0929e6131dd4b52fd89a86b35d167,2024-01-11 02:17:32,Jonathan Sharpe,"Add explicit Node support (#1478)

parseArgs was added to node:util in v16.17/v8.3.

https://nodejs.org/docs/latest-v20.x/api/util.html#utilparseargsconfig",False
e3ce04a04a2777b133a8efa27c59e29121bf24a4,2024-01-09 18:24:04,typicode,1.0.0-alpha.16,False
fc1d5617e1994baba0b7ce20157836311efd63e5,2024-01-09 18:23:54,typicode,update dependencies and fix path,False
770bed2a3886fabb324ad2e7ff477b830619c6af,2024-01-09 18:10:55,typicode,fix: views path,False
b01323230964dbeb8842bb46b7ca2c0bf40d7edc,2024-01-09 18:06:37,typicode,chore: exclude test files from the build output,False
b3399b83439257d68a53886d2bbca19d03cc8eec,2024-01-09 18:01:25,typicode,1.0.0-alpha.15,False
126806084e65536d1f2312b04c73aa6f65a6e628,2024-01-09 18:01:15,typicode,fix: copy views/index.html,False
509388f607d06bbc65038d829624f3602dd347c0,2024-01-09 07:38:52,typicode,1.0.0-alpha.14,False
e8b4e96052ae93949037744211c4a58607c84926,2024-01-09 07:38:36,typicode,fix: prevent undefined,False
f9e28d8a46c4ab2f9121552581c6db3c257eb8af,2024-01-09 07:38:00,typicode,fix: don't fail with --watch,False
15d38f94df83ce87ddc6a184b6e78ad8775764a2,2024-01-09 07:36:37,typicode,chore: remove unused dependency,False
1bd0771cee2cb65870a14322bfcfc2ff82eadd4c,2024-01-08 04:21:45,typicode,chore: npm pkg fix,False
7b1811ef9c1309f5ad5b6aa163fdb355c6d67c4c,2024-01-08 04:20:29,typicode,doc: fix example,False
5de5f6ba4f058fe4f3b0c877337f18b70e3ab51a,2024-01-08 04:10:57,typicode,1.0.0-alpha.13,False
7a94313d8aa19700b112326624dd588055910e72,2024-01-08 04:09:56,typicode,fix: add bin,False
bbc98267e30943522d533821abbc1488a1a1e22c,2024-01-07 22:22:10,typicode,test: add more,False
6c13e7336d3a5fec4fb6a826133a9bbb92690e7d,2024-01-07 22:20:31,typicode,test: fix,False
5a39eff7b38534418810d3bf40334feec5fe1338,2024-01-07 22:14:23,typicode,1.0.0-alpha.12,False
72fc09a95f7d7b5a37ce2fcde4e27e09ae9ca63a,2024-01-07 22:13:40,typicode,"feat: autofix, ensure all items have an id field",False
538cda754c0e98508a87f32b5a185808cf7d12b5,2024-01-07 07:19:48,typicode,refactor: kaomoji selection logic in bin.ts,False
e7ca7df49215440405c8801cc307bf0acc197715,2024-01-07 07:04:59,typicode,docs: clarify routes,False
34961e6817bb3b71498faef1b890e0991fcc94c4,2024-01-07 07:00:03,typicode,docs: update json-server installation command,False
59417fb240f42441ac84cac923a0b42c767aa27d,2024-01-07 06:48:47,typicode,1.0.0-alpha.11,False
ac42825be545346897f0ebcfa1c62a30f8c426d0,2024-01-07 06:47:43,typicode,feat: better cli output,False
72a98336fa284e3e4c170c0fe6b0b3b686cf2e48,2024-01-05 19:57:43,typicode,Update README.md,False
593941fa3c4b1c641f966dcb18cb81b09b85bfdf,2024-01-05 06:47:58,typicode,docs: simplify curl command,False
01d4b9fad88a6df204c8794144c330a08f1d87fa,2024-01-05 06:41:15,typicode,1.0.0-alpha.10,False
b985487afbae5352ce8bdaba6178574b70d08c9b,2024-01-05 06:25:49,typicode,feat: add object support,False
dfc99f03cfc36b28187d3abd250cfaa4ac3e38df,2024-01-02 23:22:45,typicode,chore: create node.js.yml,False
20615cc63e16a66382c6d2af2de49a51c81d6cd5,2024-01-02 23:18:31,typicode,docs: add stable version link,False
9c4d0ab700b12565d0f7885961d49d5667c589dd,2024-01-02 07:37:50,typicode,refactor: private field,False
ef141aa530c101698eab44a0eca533e793888609,2024-01-02 07:14:13,typicode,V1 (#1468),False
702377c13a52079f418fe8e889c57a6034f7cdd5,2023-12-26 04:48:44,typicode,docs: add link v1,False
ffdd926d45ecc379b419da9a188d073052f531f3,2023-12-18 03:32:55,typicode,Update README.md,False
3a259d13840ab7e91d5ecb05cccc8983e9445db7,2023-12-05 04:06:05,typicode,Update README.md,False
f6ae2cf837a7210b079e2d4abf7bb094bc9a32d1,2023-11-28 04:08:52,Kostas Kapetanakis,"Update README.md (#1451)

remove broken Article link",False
7d28c83cecf8556b88944f0b7dfd0fd80b091f83,2023-11-27 05:18:32,typicode,Update README.md,False
9a27c0adeb4d5cd6bfb31dc1dd85a398016c88cf,2023-10-24 05:03:52,typicode,Update README.md,False
e8c17997a64aacea70426463787467c7e0edcb02,2023-10-02 02:28:49,typicode,docs: add sponsor,False
78ea71375666d49145734689c097654c54f90686,2023-09-29 19:04:18,typicode,0.17.4,False
e11a8617d140f1c88fcf142c06b043482311d8c3,2023-09-29 19:03:19,Peter Kurlak,fix: move standard to devDependencies (#1454),False
e2be883214a21c45314fdda2eab1b64e4d843454,2023-04-26 05:06:03,typicode,Update README.md,False
2473de3a13b3af015efba93f59ee0923b53490a3,2023-04-21 01:44:28,bdbtst,"Update README.md (#1417)

The ? in line 374 was escaped with \\ which stops the custom route from working. It works without the slashes.",False
