Hash,Date,Author,Message,IsMerge
eee6e805f92edcdbfa868514e44c5a32370c5cf5,2025-03-21 13:03:57,jongleberry,3.0.0-alpha.4,False
c5ad22e8bb66d6bfb5417e62f431567cdfd10a30,2025-03-21 12:56:27,jongleberry,"breaking: req.origin should display the origin header if it exists, not the current hostname closes #1008",False
40d5d3303b33a153842c9f476e949f1d2a83c07b,2025-03-21 12:47:17,jongleberry,"breaking: .body=<json> should not overwrite type if type already json

closes #1120",False
9ce4536d9e7073d6f9cca0d5fcb5ea83a35d6496,2025-03-19 07:01:00,jongleberry,"breaking: remove special ENOENT support (#1861)

This is a huge breaking change as it breaks `fs.createReadStream`
support. Instead, you'll have to make sure you'll handle the stream's
errors before it reaches the koa response logic. This is good as you'd
want to do this for all streams anyways. You can have an upstream
middleware like:


```js
app.use(async (ctx, next) {
  await next()

  // check if the object is a stream
  if (ctx.body?.readable && typeof ctx.body?.pipe === 'function') {
    await new Promise((resolve, reject) => { // wait for it to be either readable or throw an error
      ctx.body.on('readable', () => resolve())
      ctx.body.on('error', (err) => reject(err)) // TODO handle errors
    })
  }
})
```

closes #1420",False
af0547d5f6330466c4e6c4c5034cea3f4cba6a74,2025-03-18 10:13:21,jongleberry,"don't coerce header value to string on set #1394 (#1859)

this is a rebase of https://github.com/koajs/koa/pull/1394. closes #1394",False
964e5e7c1285e24089ab85085fbd33d075ba304b,2025-03-17 10:09:44,jongleberry,codecov: pass token,False
7e16b31548b83782a689fb985585a997aaf9e633,2025-03-17 10:08:11,jongleberry,"Revert ""ci: exclude tests from coverage""

Only supported on node@22
This reverts commit 14aef5f1169807c647665e6f06c098351255fe1b.",False
7a666e59f660e7a1cb0ca37ddf31f5cf4ae5cbd4,2025-03-17 10:00:24,jongleberry,node@18 closes #1850,False
153380b81750556e4bdd862663d4dc7f05a2c027,2025-03-17 09:47:51,zhennann,"docs: fix asyncLocalStorage comment (#1849)

jsdoc of options.asyncLocalStorage

## Checklist

- [x] I have ensured my pull request is not behind the main or master
branch of the original repository.
- [x] I have rebased all commits where necessary so that reviewing this
pull request can be done without having to merge it first.
- [x] I have written a commit message that passes commitlint linting.
- [x] I have ensured that my code changes pass linting tests.
- [x] I have ensured that my code changes pass unit tests.
- [x] I have described my pull request and the reasons for code changes
along with context if necessary.",False
14aef5f1169807c647665e6f06c098351255fe1b,2025-03-17 09:44:43,jongleberry,ci: exclude tests from coverage,False
