Hash,Date,Author,Message,IsMerge
3a806c376be7c9dd95fd330011d0697f6dc83896,2025-03-15 06:06:35,Jason,devcontainer,False
1092ba2608220352d813043556c8515d2c7bd133,2025-03-15 05:33:49,Jason,devcontainer,False
c891facd466279b0a8a809dd4d4751b4a221ee7d,2025-03-15 05:31:05,Jason,v4.0.0.0-rc.03,False
36e5a6f0756ae2b8fb256414cd7ea40d26bf8f9d,2024-12-22 14:10:37,Jason,v4.0.0.0-rc.02,False
8d64805f53de32f84edf327a280db944f21348e3,2024-10-05 19:05:49,Jason,v4.0.0.0-beta.05,False
fef64c89e6e73e53a70a5efa0c8f0928080a9865,2024-10-05 13:20:06,Jason,v4.0.0.0-beta.05,False
f9ac6ee80d4e424fb5f4a8759d147e811699f719,2024-08-18 10:27:16,Jason,v4.0.0.0-beta.04,False
026be771c407e9de8b2bc5f2f22c1bb742df70ef,2024-08-04 15:32:31,Jason,v4.0.0.0-beta.03,False
d1d6cb349d898007df03838c12fb6b1a6542a3f4,2024-06-16 16:21:18,邵欢庆,v4.0.0.0-beta.01,False
15fdd604a74d41b615c0cf1f53a65c2d33d89cf1,2024-06-15 15:31:18,jason.kb,alpha.04,False
6b3c8ed28ce0dc19648452a47df04a9fa7b0dfb2,2024-05-26 17:34:32,邵欢庆,v4 nav,False
5f01470d3813f60a0dafe317f2bc101f7bc117db,2024-05-12 16:17:39,jason.kb,v4,False
05f4c4b3ae48994138ebfba869d3261627af66cd,2024-04-06 14:42:40,jason.kb,fix build issue,False
47a6efd9a1f7b185f66e5942dd86b91d6b369cc4,2024-04-06 11:58:45,jason.kb,v4-install,False
9e40aab074472fca5a94d1e1418b8729d4202315,2023-12-09 17:37:49,邵欢庆,适配 v1.28,False
6b7e526bd336ca81aa5dbbbd1c7a9ac36d627bfb,2023-08-20 08:29:44,邵欢庆,v3.5.2.6,False
ec34e13281e2ee4ddb594953cf431e09f11139b6,2023-08-06 07:58:11,邵欢庆,remove adsense,False
80e2625a88d6c261565a2574f2edc0bd36ccbf8b,2023-07-23 09:44:58,邵欢庆,删除 kubetoken 集群,False
797eb7f2cf635853ce954838d4b43beb4d18d146,2023-04-16 17:24:37,shaohuanqing_hq.cmcc,v3.5.2.4,False
9e5a410666c3fb3755a7734b3f406d4c66d6f933,2023-03-12 09:10:18,Shao Huan Qing,v3.5.2.3,False
1ebeca22d9f508f9f645634477fa09efd2a55a87,2023-03-12 07:00:14,Shao Huan Qing,v3.5.2.3,False
04eb337b546d00cb5f06d0d061f4874a01bc6b94,2023-02-28 12:11:57,shaohq,Update v3.0.x.md,False
48e0731fe9866de8388e35654d64192e28d5ec76,2023-02-26 07:28:34,Shao Huan Qing,v3.5.2.2,False
311f6099cf9f3e7f29542c4b20291d5c2cad6045,2023-02-24 17:55:11,Shao Huan Qing,v3.5.2.2,False
10ecf7e634010580cd15ee1f325cbcf63c28aedb,2023-02-24 17:00:49,Shao Huan Qing,修改友情链接,False
34b0efb683984119584ce5ef19a113257cf50fbe,2023-02-19 18:52:06,Shao Huan Qing,v3.5.2.1,False
f54c194a487822d56b42aeea872253326c09d7f2,2023-01-27 07:57:20,Shao Huan Qing,v3.5.2.0,False
be428c6ec818c916d3d080270c3d01763123adc4,2023-01-15 10:54:55,Shao Huan Qing,v3.5.1.1,False
648001d418cebbabdb14c5a6f9481d2b4f831c34,2023-01-08 17:17:46,Shao Huan Qing,高可用部署,False
3e3987e26e82843d7ae5bd69f71a59053e399b31,2023-01-02 19:04:06,Shao Huan Qing,v3.5.1.0,False
0ef9c1c4058b7356e89c8d7fb5b1b469086ee721,2022-11-19 19:56:15,Shao Huan Qing,static-pod,False
75b08e667a32f9ba1ed3f7d46f39128a16cb5010,2022-11-14 17:54:48,Shao Huan Qing,扫码,False
e507495ef59b16092ef15aaf5e0a0b91fba8f5e5,2022-10-30 13:31:53,Shao Huan Qing,k8s v1.25,False
198889c4734c59f1f57abf891b1e4ad924ddfe8f,2022-06-26 12:44:25,shaohq,v3.5.0.3,False
5f6c37b1eb98bb5ae33ac46fd875b7f3347074b3,2022-06-25 15:51:39,Shao Huan Qing,v3.5.0.2,False
ca54684fc73c6211eb89735688024164903e1f4c,2022-05-22 07:20:55,Shao Huan Qing,修正链接,False
1f045e1c9db48a134c0165963d819936ef5e2dd4,2022-05-18 19:22:39,Shao Huan Qing,v3.5.0.1,False
6575276f91a1f4a71504b92f733ba04ee4e96ac7,2022-05-15 16:09:08,shaohq,更新图片,False
e542ae7790b156701f6723624bb16b8aff9809e8,2022-05-15 15:47:25,shaohq,v3.5.0.0,False
fc0b35423d688d00333ecec572fc82b0fa6399c6,2022-05-13 17:34:45,Shao Huan Qing,存储卷列表部分情况下不能显示的问题,False
b46910626be6ab0f3a3159369fc6740f33d08b1b,2022-05-13 17:27:47,Shao Huan Qing,v3.5.0.0,False
80757983c894b9a9bd5c25202dba2429673f9524,2022-04-17 08:04:25,shaohq,v3.4.1.0,False
29669ed201c1dd49ee31efd2426e79c4208153d0,2022-04-10 07:02:32,Shao Huan Qing,用户名,False
8cbdee53285a202b8e798f9b0437304125b301b6,2022-04-09 17:51:37,shaohq,version,False
fba11be5e01c24b53cdb479c051b87878dba88f0,2022-04-09 17:48:17,shaohq,v3.4.0.0,False
f4181eb2978f297df8002a844310e65d24106099,2022-04-09 17:25:20,shaohq,为名称空间设置 Pod Security Standards,False
fc09e30ed71254ca4d87819c254fb5ce6c84a576,2022-04-09 16:03:16,shaohq,重置 MFA 多因子认证,False
12189713f0bf3d0b557ae0a85ea58041d5efcb20,2022-04-07 19:20:23,shaohq,PodSecurityStandards / PodSecurityAdmission,False
4e25e0c0339f95f596e1f9d61714ee9a56200070,2022-03-31 20:09:38,shaohq,4C Security Model,False
eeb86241002fd6688e87fa6e128950de977a2570,2022-03-27 09:54:34,Shao Huan Qing,v3.3.0.8,False
c4ad3c6dee86af2e04c7f657d657dcf910ad21b1,2022-03-06 06:42:26,shaohq,v3.3.0.7,False
ff2fee9ac6a43ba1dd87f3beaa10803de4d58317,2022-03-05 10:49:37,shaohq,v3.3.0.7,False
4e280e34fbf0f88eaa9879adc47db4df2bb27315,2022-03-01 19:14:26,shaohq,privileged,False
cd591b204c33b79959691625b3ffe79da02deeaf,2022-01-27 19:39:35,Shao Huan Qing,dockerignore,False
49e7c9bd081b76204eea99ce92bb47dc9c9da6b5,2022-01-27 19:39:15,Shao Huan Qing,显示最低版本要求,False
697640b1813f5b7d1ea9eac485bc80833e40166a,2022-01-23 17:53:42,Shao Huan Qing,权限问题,False
cfe12a2b079fcffcc86b399f29b2fb698827ca74,2022-01-17 19:08:06,Shao Huan Qing,v3.3.0.6,False
9b2c845b235e468aa5380df85a88cec864d6ee14,2022-01-12 16:55:36,Shao Huan Qing,v3.3.0.5,False
a93a1bc3bbd72d68c86a7ee365616c648f331123,2022-01-09 20:01:46,Shao Huan Qing,v3.3.0.4,False
65d5acf5fe39780d0bd0f59cdb2c2ab856493bc3,2022-01-09 20:01:27,Shao Huan Qing,不能安装到 kuboard-spray 所在节点,False
5607a7873bceab9cec4183c1b66e8b41629aed58,2022-01-05 14:49:05,Shao Huan Qing,重构 package.yaml,False
ac17b679f5fae3685dd684abbb3c76f0d7fafe34,2022-01-04 20:18:59,Shao Huan Qing,修改默认映射路径，避免权限不够的问题,False
ac6999f9e2dfa657c8ceff909d59903b0a974e0d,2022-01-03 19:47:22,Shao Huan Qing,latest-amd64,False
8ea610a3d29217001478e1461656e7f402ae1d6a,2022-01-03 16:02:47,Shao Huan Qing,发布 kuboard-spray,False
a4aa641fda487eacd04ad6c033cda3a35698a0b7,2022-01-01 20:21:35,Shao Huan Qing,clean up,False
cc94fdf0c6c23e9ad534101b7f9201bd441ffbe6,2021-12-05 14:34:54,Shao Huan Qing,v3.3.0.3,False
6b42bc73533c492595af2e277415b562d2c20991,2021-11-30 18:15:11,Shao Huan Qing,tada,False
517bb28886bf370da2caaa8caae3e3c935bcca86,2021-11-30 18:00:33,Shao Huan Qing,钉钉告警设置,False
abaf94d5875d4b57d718e90ed038ad517afe71c1,2021-11-30 18:00:14,Shao Huan Qing,ad,False
a616b01b654b22b5eb146cdf6ad07ec0c91debef,2021-11-28 17:14:40,Shao Huan Qing,v3.3.0.2,False
bee136f3681f1c48facaafd946d133ef2392dc42,2021-11-28 17:14:25,Shao Huan Qing,alert,False
046330bb20e5a908c46200582f5b60745cf9c3d6,2021-11-24 19:57:31,Shao Huan Qing,待修订问题,False
b430436671874b2daeb7a458745cb6e2b3c3b347,2021-11-21 17:28:14,Shao Huan Qing,v3.3.0.1,False
57683c803518242c6badbdf57e775c8e7e21e3ef,2021-11-20 18:34:42,Shao Huan Qing,kuboard_example.yaml 适配 Ingress v1,False
e2f01a44cb9e758ba16d49990e34df343618575d,2021-11-16 18:52:51,Shao Huan Qing,修改标题,False
1191e79b1eac77584a25352cf2db128e2f9868e2,2021-11-16 18:42:36,Shao Huan Qing,更新 Ingress 文档,False
