Hash,Date,Author,Message,IsMerge
fb78c77ee583fb727a558c439b5174aca38c5924,2024-07-31 01:57:14,Matthew Riley MacPherson,"Merge pull request #1090 from DMunkei/doc-fix

Fix: place the fullstops inside of the string called through console.log",True
8a1ecf78ebea6ebb0739e370415b59a7cab76cd3,2023-07-20 18:08:55,Dominique Köstler,Fix: place the fullstops inside of the string called through console.log,False
c5b66157252988dc4e74a3eab5226b59be376a2f,2022-12-24 04:34:15,Thodoris Greasidis,"Merge pull request #1045 from SimpleIndian/patch-1

removed extra `code` denotation from docs",True
57c79652db0794dc11ba435d92b8bd54b832ca8e,2021-11-20 22:50:15,Souvik Mandal,removed extra `code` denotation from docs,False
711d5891dfc699705f086c2bec4c68d6c363c8ff,2021-10-03 15:45:28,Matthew Riley MacPherson,chore: Remove old badges from README,False
7323475989c0ddc51849d72b4acaec66f2b491c6,2021-08-19 02:51:42,Matthew Riley MacPherson (tofumatt),chore: Release 1.10.0,False
ff5e39270c86a1d1d5b517d6f85dfd8f540691c4,2021-08-18 20:59:38,Matthew Riley MacPherson,"Merge pull request #807 from AdamStone/dropInstance-onblocked

Avoid uncaught error in dropInstance onblocked handler",True
c1cc34fda0343c5e19224fc99c452dbe611c1736,2020-08-01 00:05:14,Matthew Riley MacPherson (tofumatt),chore: Release 1.9,False
b38ba45de678247cfcff0de23ded01b798fec270,2020-08-01 00:01:36,Matthew Riley MacPherson,"Merge pull request #980 from Glandos/patch-1

Update localforage.d.ts",True
19c67f48e5436fae0c3ce84ab7340516d80bdcf4,2020-07-24 18:24:40,Glandos,"Update localforage.d.ts

getItem can return null when the item doesn't exist",False
38c207d785dc90ebc5a6b487270537f5e8e89ff7,2020-07-21 18:45:38,Matthew Riley MacPherson (tofumatt),chore: Release 1.8.1,False
d016798d00b4060f7e46ea5391a4bfaa61eca1b4,2020-07-21 04:03:39,Matthew Riley MacPherson,"Merge pull request #978 from localForage/chore/release-1.8.0

chore: Release 1.8.0",True
abe62a72cd348391bf9010945902ec8227674fee,2020-07-21 03:47:16,Matthew Riley MacPherson (tofumatt),chore: Release 1.8.0,False
101f12f8d40127972a86ee52c3565b653b27b7cc,2020-07-21 02:53:22,Matthew Riley MacPherson,"Merge pull request #977 from quentincaffeino/feature/added-module-for-esm

Added module to package.json for esm suport",True
3bbb75052a42c283323ca464f7f859ee1f435117,2020-07-19 20:12:55,Sergei ZH,Added module to package.json for esm suport,False
abe16c8a20c78ecff359647ede8e97f6102601b5,2020-07-05 19:01:46,Matthew Riley MacPherson,"Merge pull request #973 from odidev/arm_support

Updated mocha-headless-chrome version to latest in pakcage.json",True
fdfdbbbdb7109406cce9c8f8b266072bf3f58017,2020-07-02 20:29:59,odidev,"Updated mocha-headless-chrome version to v3.1.0

Signed-off-by: odidev <odidev@puresoftware.com>",False
c88e5306370a23931fd1e324c488b9832906c6bf,2020-06-27 01:00:21,Matthew Riley MacPherson,docs: Tidy up README a bit,False
ba4f87127c8923cc454ad772bcf8cd63b1b77039,2020-06-27 00:57:18,Matthew Riley MacPherson,Update README.md,False
b71d19198361e2d2f161815fd40f61f68ba5e666,2020-06-26 18:30:38,Matthew Riley MacPherson,"Merge pull request #972 from owenfar/patch-1

api.md update - Multiple stores in same instance",True
bd5e6f94e370bb8a852b79212907735dd960b243,2020-06-26 12:45:57,Owen,"Update docs/api.md

Co-authored-by: Matthew Riley MacPherson <hi@tofumatt.com>",False
f8131281a3700b2eb312c95785af2eaed5fdf423,2020-06-26 12:45:51,Owen,"Update docs/api.md

Co-authored-by: Matthew Riley MacPherson <hi@tofumatt.com>",False
f2aafe1d47df38c6218ac79f57b8552880c4fc2d,2020-06-24 17:09:00,Owen,"Update api.md (Multiple stores in same instance)

Let me know if I should add more details or change anything ;)",False
5f7057c12ce8190f4c510bf3c1ed15020e34868e,2020-06-06 02:08:59,Matthew Riley MacPherson (tofumatt),chore: Release 1.7.4,False
566f9e88a0b47629e29c277a7e52fec08a284dbf,2020-06-05 05:12:52,Matthew Riley MacPherson,"Merge pull request #874 from MeMark2/use-openKeyCursor

Switch use of IndexedDB openCursor to openKeyCursor for fetching keys",True
1f7ca5d651585dd36d80e054e9c19bf659213891,2020-06-05 04:51:49,Matthew Riley MacPherson (tofumatt),Merge branch 'master' into pr/MeMark2/874,True
f82723c63a5d808be3cb375864e34fb4728e9b6d,2020-05-25 22:38:26,Matthew Riley MacPherson,"Merge pull request #963 from timgates42/bugfix_typo_returns

docs: Fix simple typo, retuns -> returns",True
