Hash,Date,Author,Message,IsMerge
8a26eb42adb303f4adc7ef56e300f14c5992aa68,2024-12-13 03:57:03,Jon Church,add security.md from afcd5bc (#5946),False
f299b52f39486275a9e6483b60a410e06520c538,2021-02-20 21:03:48,Benjamin Tan,Bump to v4.17.21,False
c4847ebe7d14540bb28a8b932a9ce1b9ecbfee1a,2021-02-20 14:48:39,Michał Lipiński,"Improve performance of `toNumber`, `trim` and `trimEnd` on large input strings

This prevents potential ReDoS attacks using `_.toNumber` and `_.trim*`
as potential attack vectors.

Closes #5065.",False
3469357cff396a26c363f8c1b5a91dde28ba4b1c,2021-02-20 13:58:01,Christophe Coevoet,"Prevent command injection through `_.template`'s `variable` option

Closes #5085.",False
ded9bc66583ed0b4e3b7dc906206d40757b4a90a,2020-08-13 22:22:55,Benjamin Tan,Bump to v4.17.20.,False
63150ef7645ac07961b63a86490f419f356429aa,2020-08-13 22:06:26,Benjamin Tan,Documentation fixes.,False
00f0f62a979d2f5fa0287c06eae70cf9a62d8794,2020-07-26 17:08:01,Benjamin Tan,test.js: Remove trailing comma.,False
846e434c7a5b5692c55ebf5715ed677b70a32389,2020-07-26 17:07:20,Benjamin Tan,Temporarily use a custom fork of `lodash-cli`.,False
5d046f39cbd27f573914768e3b36eeefcc4f1229,2020-07-26 17:05:19,Benjamin Tan,Re-enable Travis tests on `4.17` branch.,False
aa816b36d402a1ad9385142ce7188f17dae514fd,2020-07-26 17:04:22,Benjamin Tan,Remove `/npm-package`.,False
d7fbc52ee0466a6d248f047b5d5c3e6d1e099056,2020-07-08 22:44:09,Mathias Bynens,Bump to v4.17.19,False
2e1c0f22f425e9c013815b2cd7c2ebd51f49a8d6,2020-07-08 22:40:23,Mathias Bynens,Add npm-package,False
1b6c282299f4e0271f932b466c67f0f822aa308e,2020-07-08 21:34:03,Mathias Bynens,Bump to v4.17.18,False
a370ac81408de2da77a82b3c4b61a01a3b9c2fac,2020-07-08 17:30:48,Mathias Bynens,Bump to v4.17.17,False
1144918f3578a84fcc4986da9b806e63a6175cbb,2020-07-08 13:38:29,Mathias Bynens,Rebuild lodash and docs,False
3a3b0fd339c2109563f7e8167dc95265ed82ef3e,2020-07-08 13:14:35,Mathias Bynens,Bump to v4.17.16,False
c84fe82760fb2d3e03a63379b297a1cc1a2fce12,2020-07-03 03:17:49,Jakub Mikulas,fix(zipObjectDeep): prototype pollution (#4759),False
e7b28ea6cb17b4ca021e7c9d66218c8c89782f32,2020-06-04 12:06:12,Alex Brasetvik,Sanitize sourceURL so it cannot affect evaled code (#4518),False
0cec225778d4ac26c2bac95031ecc92a94f08bbb,2019-10-17 03:13:11,Chinedum Ukejianya,Fix lodash.isEqual for circular references (#4320) (#4515),False
94c3a8133cb4fcdb50db72b4fd14dd884b195cd5,2019-10-13 23:24:27,Artemy Tregubenko,Document matches* shorthands for over* methods (#4510) (#4514),False
659e8c019ccaf0515fb3d47ceb50cb67abd18885,2019-10-11 01:34:37,Michał Lipiński,Ensure `orderBy` will accept iteratee path arrays #4438 (#4513),False
602cc3f03d99a1f69143c61ad4d5efacf6a47469,2019-10-04 22:53:55,Graeme Yeates,(4.17) Short circuit sortedIndexBy methods for empty arrays (#4497),False
b281ddecc4f62fe54676a359e63474cf6be3b44e,2019-09-17 10:01:36,max,"change documentation, show clearly how sortBy work with two iteratees (#4467)",False
ddfd9b11a0126db2302cb70ec9973b66baec0975,2019-07-17 22:36:33,John-David Dalton,Bump to v4.17.15.,False
b185fcee26b2133bd071f4aaca14b455c2ed1008,2019-07-17 22:35:47,John-David Dalton,Rebuild lodash and docs.,False
be87d303941222b97c482755afc0f4a77ce46c30,2019-07-10 19:03:09,John-David Dalton,Bump to v4.17.14.,False
a6fe6b1e174fd02b5e60eb2664405f4c1262c300,2019-07-10 19:02:17,John-David Dalton,Rebuild lodash and docs.,False
e37182845f16715a0d1c391c8662d83c55609cee,2019-07-10 03:46:26,John-David Dalton,Bump to v4.17.13.,False
357e899e685872b4af5403ecc4b2a928f961ae63,2019-07-10 03:45:19,John-David Dalton,Rebuild lodash and docs.,False
fd9a062d57646450b61f74029315abd4cc834b08,2019-07-10 02:12:00,John-David Dalton,Bump to v4.17.12.,False
e77d68121ff00ba86b53eed5893d35adfe94c9dd,2019-07-10 02:04:41,John-David Dalton,Rebuild lodash and docs.,False
629d1865793182cd967196716f4beff223aa4a91,2019-07-10 02:01:30,John-David Dalton,Update OpenJS references.,False
2406eac542b2a1282be8d812a6d8a45433ade80a,2019-07-10 02:00:56,John-David Dalton,Fix minified build.,False
17a34bc5854bb982ef333bfe7ae469f4dfcee0ec,2019-07-10 01:18:18,John-David Dalton,Fix test bootstrap for core build.,False
53838a38f8e4f6204ef2f837fecc4e07d09afe77,2019-07-10 01:13:33,John-David Dalton,Fix tests in older browsers.,False
29e258497b5ff45494a85cfa58743517aaeeff52,2019-07-09 22:23:48,John-David Dalton,Fix style:test lint nits.,False
