Hash,Date,Author,Message,IsMerge
1b004c8228029161a15b557ba0bb638eaad3fd4b,2024-04-30 22:46:48,Konrad Pasternak,"Docs: Fixed outdated examples (#589)

* docs: fix `Low` calls in examples

* docs: add missing import

* docs: fix import path",False
6fc49ccb69666ad9159d1403514549a6af5fa8ef,2024-02-14 16:30:47,typicode,Update README.md,False
31458f3173f133d153afc5a8dfb5a76eaa1c7b66,2023-12-27 04:56:17,typicode,7.0.1,False
49a059b0cead8bb2a46634baaab888005da5bccb,2023-12-27 04:55:07,typicode,fix: export DataFile adapter,False
605cb93a9e314c58ac4890031f68fd8c9a1b3ac1,2023-12-27 04:10:51,typicode,7.0.0,False
25cc5a43a359732759182ce63253931043f2238e,2023-12-27 04:10:02,typicode,docs: update,False
8331e096f87217f3d265b5670d851df8f6a1f18c,2023-12-27 04:02:47,typicode,"v7 (#585)

* feat: add new features

* chore: update Node version requirement to >=18

* chore: update dependencies in package.json

* feat: refactor code to use db.update() instead of directly modifying data

* fix: update JSON presets in CLI and server examples

* fix: node version typo

* fix: refactor file imports in TextFile and TextFileSync classes",False
5769a84ffd19abd5aa1a234c37fb183f87f0480e,2023-10-23 21:40:37,typicode,docs: update,False
8841e1c49363b3de00826366e8220a4f5f798172,2023-10-23 21:35:59,typicode,docs: fix typescript example,False
c4ce27ff2649e30a6c0e94ba7eae632aff3ecf8f,2023-10-23 19:23:50,typicode,docs: fix missing argument,False
da434c258327bbe2b353b4ce50d5a938f6901c6c,2023-10-23 19:20:11,typicode,6.1.1,False
7166e2e278779e7b40bb51cb596f704201b565d3,2023-10-23 19:19:57,typicode,fix: node presets with url,False
d4482a518996b477e77e0006c27c487c5276699e,2023-10-19 03:20:56,typicode,docs: update example,False
3e588f83c17290fb18c3a020bc8e9902e6649758,2023-10-19 03:18:06,typicode,docs: update,False
d0fb65a847406399b009be83872630f519b9d2b0,2023-10-14 06:16:44,typicode,6.1.0,False
da2169f0b0bcc3c4b34b3d297811abe9efff3830,2023-10-14 06:12:57,typicode,feat: add presets to simplify use,False
42b382ee95ac3716ab7d1965b9f0eb502502c9ff,2023-10-13 22:38:05,typicode,chore: update dependencies,False
348e21f1dbc5fedaee2f3302cec9e26771a418fc,2023-10-09 03:59:56,typicode,chore: lint fix,False
6eb401475f18d6b573b4c191b89165ec220ccecf,2023-10-09 03:23:13,typicode,feat: add presets to simplify use,False
ffa7ac6aaccd57bc2e076d6b032aceb8d1510d0f,2023-10-09 03:18:19,typicode,feat: use better type for Node adapters (fs.FilePath),False
97c9455d21863ee7152f64de913392e732925a0a,2023-10-08 04:35:55,typicode,chore: update steno,False
4aa1425a7e849b8d4ab7332299ca128935e89970,2023-05-19 18:04:09,Cal Holloway,docs: default data required (#572),False
f58dfab424873cbdd8ea692dd8d7254eb2776193,2023-05-05 02:38:46,typicode,docs: remove link to issue,False
338f7b91cf607c3a34dff55d797bc44f62713c0c,2023-04-28 14:49:11,typicode,6.0.1,False
091999423c4728b837831d4fcdc819067777074d,2023-04-28 14:48:25,Darío,"fix: imported subpaths types correctly (#569)

* fix: subpaths types added

· Modified package.json to add types for every subpath

Reference: https://blog.r0b.io/post/esm-nodejs-typescript-with-subpath-exports/

* fix: exported subpaths types correctly

used as reference: https://github.com/teppeis/typescript-subpath-exports-workaround",False
94023ea3d5bd66f729e844870a4f6f2ffc5a99d4,2023-04-19 06:22:50,typicode,docs: update examples path,False
87416f76b115efbc6ea7e04bbf3331e831a036a3,2023-04-19 06:21:55,typicode,refactor: move examples,False
f22939e7a0adec3cb51fa18bb7cd3357e6d89a73,2023-04-19 06:14:14,typicode,chore: ignore examples directory,False
5fffbbfa30ec295bb066c7d41c3dd8d0918dc55b,2023-04-19 06:08:30,typicode,6.0.0,False
6a39782d40f6960896e74ea34997ebf3b1be3616,2023-04-19 06:07:10,typicode,Merge pull request #567 from typicode/next,True
c46ecf98f4c0fdbd10b818f2dcc3d02a2eccefe6,2023-04-19 05:59:25,typicode,chore: update devDependencies,False
49bde2726d2f3781466fabe45693fd4f76d2f078,2023-04-19 05:57:57,typicode,docs: update README.md,False
4c01b0b190686c3e9d8361a7163a59f2b6961f6e,2023-04-19 05:57:38,typicode,chore: drop node 14 support,False
67f7ce4fc2c2f372775f7bcbe60f6319ded91c5f,2023-04-19 05:57:08,typicode,feat: improve TypeScript experience and add defaultData param,False
37a8c34f00220a8fcd8993f211088f008d4769a5,2023-04-19 05:54:53,typicode,refactor: move adapters,False
d02868ee98b56545f3f75bf9b0bf1ecd795f02b7,2023-04-19 05:54:11,typicode,docs: move .md code example to .ts files,False
