Hash,Date,Author,Message,IsMerge
a7dd5c56daf58a278af4f2a05f41807ec6cbbe4a,2024-12-11 07:26:41,Adam Pritchard,"update the privacy policy to mention LaTeX rendering service; make LaTeX support off by default

This is prompted by PR#877, where a user pointed out that the caveat should be present.

I am uncomfortable enough with this that I'm making the feature off by default. If #874 (local LaTeX rendering) ever gets implemented, this should be again made on by default.",False
0dec4db6b756ff51f1793c08b42834d9a367264e,2024-12-10 07:33:11,Adam Pritchard,fix French typo,False
aa4197d167662501b83c54f19132268b4cbfa0e8,2024-12-10 07:24:53,Adam Pritchard,"Merge pull request #683 from Gitoffthelawn/patch-1

i18n AMO & Opera links",True
04449669560c9810899601aeec30e8361d6d9083,2024-12-10 07:20:43,Adam Pritchard,Merge branch 'master' into patch-1,True
4d0e0e98d5c827db878765381c3a0c1c62c1380f,2024-12-10 07:07:17,Adam Pritchard,fix typo,False
08ec9fcfb166474d85cd0f49e2120248b041201c,2024-12-10 07:05:33,Adam Pritchard,fix typos,False
5b470b3f595f2034733fb644f7145c769ffcfe00,2024-11-25 07:43:36,Adam Pritchard,update my own CLA with new md5sum,False
0f3fe0aef54ad5de2e4e7062051ede9d5f702213,2024-11-24 23:18:59,Adam Pritchard,replaced GGroups with GHDiscussions; removed support for Postbox and Inbox,False
0db8508a6ec6881be0f7ee9261a17032c181d991,2024-11-12 07:04:53,Adam Pritchard,"Merge pull request #876 from mtlynch/donations

Add sponsorship button to Github",True
a37f879d71b4053cb8b819468ae723b3508dcf5c,2024-11-11 01:04:57,Michael Lynch,Add sponsorship button to Github,False
40200b3e50e6e74a29773ed58d46d8037ceabf79,2024-11-10 06:51:55,Adam Pritchard,re-enable opening the changes on update,False
f623b0dd75bf14793a291dae725dfe9ed0d289b6,2024-11-10 06:45:43,Adam Pritchard,"Merge pull request #875 from adam-p/dev

switch default TeX renderer",True
605f64b8d54995a2fc7fe09bf67aef10b3930919,2024-11-10 06:43:52,Adam Pritchard,bump version; add change note,False
0f8fecb3543334e79cb9e3c5dc36fb1fd1f25468,2024-11-10 01:56:13,Adam Pritchard,"Merge pull request #873 from adam-p/new-latex

Switch LaTeX renderer to CodeCogs",True
9628a6dcf67fda9690a0f3a8261794f66b583302,2024-11-10 01:49:38,Adam Pritchard,"use codecogs for LaTeX rendering by default

Note that the changes in the translation files is mostly just churn. The non-English locales' JSON files weren't properly getting English fallbacks added to them; I did that and sorted the keys on output, to prevent future churn. But the difference in order and whitespace bloated the diff. In the future this shouldn't happen.",False
a513139e3ac83140e1122e407d90e29dd4501e0e,2024-11-09 22:38:05,Adam Pritchard,fix test broken by previous change: default schema is now https,False
4bfd5746e627fa4716489a0d3375e411fac1386e,2024-11-06 07:15:28,Adam Pritchard,update the home page of the logo artist,False
480509832c9695cf19d1b7ce06099b602ea3331c,2024-11-05 17:16:56,Adam Pritchard,"upgrade a lot of URLs to https

Because it's embarassing to have http URLs in 2024.",False
bdb817736a6bd5f440c56a60d15730c6d57bef7b,2024-10-17 19:01:16,Adam Pritchard,"switch to fetch for checking for the test file

getLocalFile intentionally doesn't cope with errors, so it was the wrong choice.

This could have been causing real errors on the options page (as `loaded` wasn't being set to true), but I didn't observe any problems.",False
f48a41eb2d9e10ba5d4ee7878ddb01225124f203,2024-10-13 02:47:24,Adam Pritchard,"Merge pull request #870 from adam-p/manifestv3

Support WebExtensions V3",True
d11c42a7cf6b24b38f728e570512b9f8d40e0015,2024-10-13 02:46:04,Adam Pritchard,update version number and changelog,False
e151d381d9dea8f92c5f5f822b94031ded606461,2024-10-13 02:46:04,Adam Pritchard,add pointer cursor when hovering checkboxes and their labels,False
2ba02d9a169f2ed937b9d0199289ef3f7ddbe949,2024-10-13 02:46:04,Adam Pritchard,"update archiver packaged used for building

The old version of archiver didn't seem to include CRCs. This would cause errors from 7zip and made me nervous about the builds being correct.",False
