Hash,Date,Author,Message,IsMerge
11c8cc1e1929a7975df39fa5f4503130fef53547,2024-06-10 21:01:27,Tiago Rangel,[i18n] Improve portuguese translation (#3813),False
cd8452979bf2441f8064968ab1f9ae28302c9d75,2024-03-19 18:44:26,Reguel,"upgrade to mermaid 10 (#3734)

with 'mindmap' support",False
4fef4498b57a283aad6c6ced2cad3003a7d3bc49,2024-02-23 14:23:01,William Entriken,Fix roadmap link (#3678),False
b75895cdd1a51638f2e67b222b266ff8b9cb9d69,2023-08-08 20:15:42,Felix Häusler,fix #3150: Win32 error in renderer process (#3214),False
9c0238d7bb8b4843ec6942ca087918d7ca9091d9,2023-08-03 19:54:02,Kiyoka Nishiyama,"Pinned the version of @markedjs/html-differ to 3.0.4. (#3330) (#3331)

Co-authored-by: Ran Luo <ransixi@gmail.com>",False
453cf9d07e4f2c3f281ae1673a6236320e187d2c,2023-08-03 19:51:42,David Knezić,Add .mdx extension support (#3438),False
539bdd40ac155637b43c04f007b1ddbd3f065334,2023-08-03 19:50:35,Felix Häusler,Update dependencies (#3213),False
47b3dc1c96b282c3f36223dc26483b6f18e79c6d,2023-08-03 19:47:24,Chiahong,Update Traditional Chinese translation of README (#3264),False
15a1296e3ed0a1b94f45927fac4e5fd06879bab1,2023-08-03 18:53:51,Taeyang Jin (Theo),fix: wrong logo path in ko.md (#3576),False
aed36dbf320b17bdd0e44398d5cfe45a4d357940,2022-07-16 19:15:58,CouldBeThis,"Remove expired ""marktext.app"" domain (#3350)",False
2bb405a03ee52cfba2afe53da4656abb799a0727,2022-03-27 08:57:39,Felix Häusler,"Replace node-spellchecker with Electron builtin spell checker (#2895)

* Replace node-spellchecker with Electron builtin spellchecker

* Fix word match unit tests

* Fix issue to enable spell checker if it was disabled at startup

* Fix spell checker was always disabled on macOS

* Code cleanup

* Fix circular dependency in Muya

Fix circular dependency between config/index.js and utils/index.js in Muya.",False
cb57af4b2a06310fd1fb9682c16898de1510130c,2022-03-27 08:24:02,Felix Häusler,"Refactor menu actions and shortcut handling (#3032)

* Refactor menu actions and shortcut handling

* Remove duplicated command id

* Update docs",False
f01e30c59a25c670c07d0d3d3db2df1aa4dc66fc,2022-03-21 19:22:37,Felix Häusler,Remove Wayland workaround (#3147),False
51f5f4c70c8610a3e8ac1df7dd2815ac40513c0c,2022-03-20 17:13:43,Felix Häusler,Upgrade Electron to v17 (#3138),False
c841facdfa82d6f313ff3c47aed58246655c6ecd,2022-03-20 00:31:44,"Mitch Capper (they, them)","Don't copy (or on cut) empty data to the clipboard, matches native behavior (#3130)",False
5cf4c73383398fd1d1ccda57c1905b681ebf205f,2022-03-15 08:32:29,or1ko,Fixed multi line highlight. (#3115),False
03afc1ec29291ed3dccc2754771a0c2c1fbb1600,2022-03-07 23:39:38,Felix Häusler,0.17.1 (#3105),False
d282fd7612001602bafb6d010a701f93fe83e3c1,2022-03-07 20:46:05,vdeschuy,Fix typo in the DataCenter class init method (#3104),False
68a180394dfa4b1488de9d03ad21e31f289622ba,2022-03-07 03:02:20,Chayoung You,Fix links to macOS release (#3099),False
ed1b3354e93e1463a27172f15674afcb53111c3d,2022-03-06 13:40:55,Kiyoka Nishiyama,"fix: #2816 ""delete"" shortcut on a selected image deletes the text after it (#3088)

fix behavior of ""delete"" key.
fix behavior of ""Ctrl+X"" (cut) key behavior.",False
ca1d084f5d39bd9d1a90b3d7efe2c542f3f84d11,2022-03-06 09:46:50,Felix Häusler,Update dependencies (#3096),False
225022b8c4c8f35c98e1a9f8028e9e7e21d25f10,2022-03-06 09:45:24,Felix Häusler,Add native support for Apple M1 (#3089),False
485fcfe0e09d189279c18128dfc4ba81f72a0dc4,2022-03-06 09:42:34,Felix Häusler,Fix image paste handler is not executed (#3076),False
358fa83d6de96be82355b3a2711df2c44d34dcbf,2022-02-27 19:45:42,Lori,"Update auto pair quote logic (#2960)

* Update autoPairQuote logic

* Fix spelling

* Update Regex thing

I thought matching anything except for space might be a better choice than selectively match some characters",False
220c6b9969f1fff0aad7deb052e15692903c1813,2022-02-27 19:36:50,Felix Häusler,Ignore empty key bindings (#3077),False
637395a1f78278e375e0753c7b18e7833a6b9d58,2022-02-24 01:10:20,Felix Häusler,0.17.0 (#3059),False
d95506751bc182b6ba4fa2e09047b3c04a9ee849,2022-02-23 02:14:56,Felix Häusler,Ignore watcher event if mtime doesn't changed (#3057),False
6b394b4a9b7d95164123193c4faa269de30530f0,2022-02-21 21:46:41,SamuelBorn,Added the AUR to LINUX.md installation guide (#3043),False
2838dafcd763761d55bd293460074c09738dc5f3,2022-02-21 21:45:33,Felix Häusler,fix-#3019: Workaround for post window shutdown exception (#3031),False
744d927da0f913b9cb42d612a7880969ff61af4a,2022-02-20 21:52:09,Felix Häusler,Remove accelerator for heading size on Windows (#3050),False
20b7a9dab6fcbcf3eb93b6a46e674baa57bc63f3,2022-02-20 21:41:18,Felix Häusler,"Remove macos arm64 package (#3052)

* Remove arm64 macOS package from releases

* Remove macOS arm64 instructions from pipeline",False
3a70b848b68da49816a5118ecbc8256f4b939572,2022-02-20 21:41:05,Felix Häusler,Update dependencies (#3053),False
dd14385cb439fad5f4a8aaa596a91037764a751d,2022-02-20 18:22:37,Felix Häusler,fix clickable HTML links on Windows (#3015) (#3033),False
34e4a228572d84a35cb1089e303af02d06e43cbd,2022-02-18 15:39:11,Felix Häusler,Check for same file before pasting (#3034),False
fed1dac48fa7d7416f2f3d997a4fca214cea901e,2022-02-18 15:31:25,Felix Häusler,Fix XSS in HTML table paste content (#3002),False
ba8d89149f5d55f88418e9354cec7c572fc20764,2022-02-07 16:25:54,Felix Häusler,Fix code intellisense and Vetur (#2988),False
247a9e38e211c6366df236aff44cb93da998f00c,2022-02-07 16:25:45,Felix Häusler,"fix: prevent HTML rendering in preview mode (#2986)

Prevent HTML rendering in preview mode if HTML rendering is disabled in
settings. We allow the img tag to support our image resizer.",False
1d4cd88b3e12de75ebbd525f186d516cb42dc327,2022-02-07 08:00:41,Felix Häusler,Fix non-character key unit tests (#2987),False
1433dc0eac7ecac59b3adfcb5fdfb7d30b26670c,2022-02-05 01:08:33,Jia Hao xiang,fix new tab file extension (#2755),False
08c2290a0442389bcc4174b7ca87a6b4d6c10a2c,2022-02-05 01:07:07,Felix Häusler,Fix non-character key bindings and Alt+F4 on Windows (#2974),False
abca7b325595cce8b52f2a27b8de912663e6c076,2022-02-05 01:06:51,Felix Häusler,Bump version to v0.17.0-rc.2 (#2973),False
dc54c7b629f975619450118294256edba2dc63cc,2022-01-31 08:28:07,Ran Luo,fix: escape html in code block (#2967),False
0e13ab37c961e3df28857efe54427988b98c294b,2022-01-30 23:08:10,Felix Häusler,Fix prebuilt architecture on macOS (#2965),False
f6a1fcd88b822db88200565c8e836b93f968a486,2022-01-30 17:05:37,Felix Häusler,"Bump version to v0.17.0-rc1 (#2952)

Add workaround to remove debug information from Electron production binaries on Linux.",False
10a94ebf1d58fcab7c42d4f2892c1ffef8d72aa9,2022-01-29 20:55:35,Felix Häusler,Update changelog (#2887),False
6b3ead958e05b5affc081d3cd13942a092323da7,2022-01-29 19:44:19,Felix Häusler,"Fix issues with non-US keyboards and add key binding settings page (#2930)

Replaced the key manager by atom-keymap to support non-US keyboards and
dead key translation on macOS and Windows. In addition, a GUI for key
bindings was added.",False
c959d185b2783cdc1c20a1099feb1ceeb6a0d234,2022-01-29 13:31:39,Felix Häusler,"Fix mermaid.js XSS (#2947)

* Fix mermaid.js XSS

* Update vega packages",False
ecc23a9cb0443ed3f3bf01275c30547253266888,2022-01-28 22:12:12,Felix Häusler,Add architecture to artifact name on macOS (#2945),False
b442aafa5ac5b439b05892bc973a7fc7f16869c4,2022-01-28 02:32:21,Felix Häusler,Fix invalid relative image path (#2935),False
a996defacc2cac1966c0d4227bc69fd75fd7cd6f,2022-01-25 20:08:18,Felix Häusler,Remove debug info from ripgrep [skip ci] (#2931),False
e5908f4d0c2087dbc6898ec61987a035f2d0b084,2022-01-25 08:46:07,Mad Godinez,"Fixed grammar, spelling, readability + [BUG] (#2932)

[BUG]: outdated, missing, and/or broken links.",False
92932a1869730b78c0ed0bb70884881f632ba593,2022-01-24 04:50:40,Kiyoka Nishiyama,fix: #703 invalidate image cache on demand (#2875),False
5dbe3679e8182d5d1e1e50d91d92bc689db97f52,2022-01-24 04:44:45,Ran Luo,feat: update keybindings icon (#2919),False
509b95a7c58e8320c75dbde73f927ac734a982ba,2022-01-21 22:20:57,Ran Luo,opti: update emojis (#2897),False
5f47f295759fbe55146bc986ef678bd83abde056,2022-01-21 21:26:01,Ran Luo,build: update dependences (#2898),False
7242204508c86f4db10b7029bc45ab6e25a651af,2022-01-21 19:00:05,Shashwat Sharma,"feat: set default name of exported file to current filename (#2902)

This changes the default name set when saving an exported file,
defaulting to the name of .md file, and then to the first header.
Previously, it defaulted to the first header.

Issues: #2731",False
ddd1879c61021f5310b797e304e83b366a4aa304,2022-01-21 18:59:48,Luo Tao,"feat: set image folder to .assets, create folder without filename extension. (#2905)",False
2a9353e87c6e5d72769615be5c88d4ccdd28ede7,2022-01-21 14:33:22,Vaibhaw,Update README.md (#2917),False
3faf7e294962318af93ecca18fa4a2c9ed44d688,2022-01-21 10:30:42,pokir,Add periods at the end of sentences in README.md (#2916),False
565f475e00a370d58353169a5a35be9fd85efcc8,2022-01-16 22:58:21,Ran Luo,Feat/use picgo to upload image (#2890),False
d308b51fa1f47c8e9e15c305f1abd5dc3250f3f6,2022-01-16 20:40:20,Ran Luo,"feat: Remove aidou (#2889)

* feat: Remove aidou

* fix: dead key",False
