Hash,Date,Author,Message,IsMerge
824e78248b3de81e383445e76ffb04cc3264fe7d,2020-06-01 22:09:49,Alan Chang,patreon june,False
1225bf82d81e90ac32c41a1669ece1f53274efa2,2020-05-02 01:40:03,Alan Chang,Patreon may update,False
f439c977fcc23b788a60852eefe358ed1d6d32ee,2020-02-25 07:18:44,Alan Chang,sponsor change,False
07189de762fb8a9a8940495e83e595430565c6e2,2020-02-03 20:26:57,Alan Chang,Patreon Feb,False
78b919a7e306693073f24898b5a1d657c2ef7705,2020-01-10 23:21:36,Chang Alan,Removed g+,False
dc9c85c706df11930d8a8e7862e06cfcec9a501c,2020-01-02 04:31:56,Chang Alan,synced with gh-pages,False
26d2396567fba296ab8506d5b70b308cb92c6be6,2020-01-02 04:18:43,Chang Alan,patreon update january,False
cb1f7b7ae75c988a33ae03765ce6351acce4609b,2019-10-31 02:02:36,Adrienne Tacke,fix: update tooltip delay info to correct increments (#6471),False
e49d32a9b5962a54dfde715d9fe801682b7efc7c,2019-10-16 04:50:09,Hao Jia,"Update _input-fields.scss (#6313)

fix .browser-default wont take effect when there is no type attribute in input.",False
93e6c13bd41be0323be2e5c9454ac1de88a471f9,2019-09-29 22:52:54,Dogfalo7,Update test to correct behavior,False
c0da34049deec36efbd4681f73b3446e92918ca8,2019-09-29 22:43:58,Dogfalo7,Fix select on iOS 13,False
25b3ac858f458f8ec1d91f49b150138711c1000f,2019-08-12 21:19:52,Chang Alan,Requested sponsor change,False
6618ba6064377f7e70abf6cc8979f47816f83048,2019-07-02 03:24:25,Chang Alan,remove BSA,False
fdeee28f4ab34a23a674ca392cc734b0aa81266a,2019-07-02 03:19:51,Chang Alan,Patreon July,False
1cded472040674d0989db385af94dcd2c9f4d517,2019-06-17 07:35:59,YuyaTerai,Fix Travis CI url and badge,False
0573d853fb943e4dd833afd91fc341d48411d6f2,2019-06-06 23:59:13,Chang Alan,dragTarget left added,False
b44047c1cac21ab568d8a00c1cad2201f138065f,2019-06-06 23:50:52,Chang Alan,Fixed dropdown bugs in overflow containers,False
be00e45b02dfdf4386ff72806f615395fb60b976,2019-06-06 11:45:38,Chang Alan,Fixing backfill styling,False
292c76da124d1d8fdbf8aea9ab23e9c5068c4e87,2019-06-06 10:53:52,Chang Alan,testing backfill,False
0fc8aee8114d51891e15f6ed36561a90b6b04f12,2019-06-04 21:44:57,Chang Alan,Ad code adjustment,False
e6395fa0fa7f903d8ac1e8faab5f6e504b937e9d,2019-06-01 21:12:41,Chang Alan,changed autocomplete limit to ensure correct sort,False
a7dd622c7d628d78bc013cc8bb771d1651a31d6f,2019-06-01 20:58:14,Chang Alan,patreon may update,False
1122efadad8f1433d404696f7613e3cc13fb83a4,2019-05-01 21:57:09,Chang Alan,Patreon may update,False
36ef3493b11ed30a9a551a14da39f59079c7c8db,2019-04-29 21:42:40,Chang Alan,Fixed collapsible active docs,False
b68952a1bd0329579b5bbcb11f5454209bc5e785,2019-04-01 22:56:40,Chang Alan,Patreon april update,False
e5f686b87bd95eeec2b9c7cac8e0eb7241f0ccaf,2019-03-06 09:46:36,Karthik K,2018 -> 2019,False
9877699f123c3f15ff4e01686cf2326671b67600,2019-03-02 02:51:27,Chang Alan,patreon march update,False
47b53e908413755b30eb60bec616ef64be85b821,2019-02-02 14:51:29,Dogfalo7,Patreon update Feb,False
8667e1354e9dd7368eb2f03319dc9fdb3231a4d8,2019-01-19 04:43:40,Chang Alan,Merge branch 'v1-dev' of https://github.com/Dogfalo/materialize into v1-dev,True
4e0ed3616c8c4ab18286b7b44cdc626ca354b975,2019-01-19 04:43:25,Chang Alan,Fixed icons in breadcrumbs float bug,False
c58cbf320e2221236ea12d563df2a45ed5b13ea2,2019-01-19 04:34:33,Rune Antonsen,"Update v1-upgrade-guide.md (#6268)

Fix typo on sidenav section",False
1b53bdec53ed097e51b71e63b3f34d30ed9ab8b2,2019-01-19 04:30:58,Chang Alan,fixed select bug where onOpenEnd was being overwritten in dropdownOptions,False
0bdc63990cde0e50f093e6fa68e2151ae6b75dd6,2019-01-19 04:14:56,Chang Alan,added vanilla js init to navbar dropdown docs,False
856b617cdb870965d3230017475d8698b0131619,2019-01-07 00:27:35,Chang Alan,added finanstopp,False
008d6a3619e8444245b73dd33bd33bdcf618c2b1,2019-01-02 08:04:05,Chang Alan,january patreon update,False
8af73e2fd50a2209a9ace3abebe97d6fe2af0c72,2018-12-02 01:35:52,Chang Alan,December patreon update,False
e230b6b744b7cf410fb1c92859b688ce8156490e,2018-11-19 05:43:18,MELVIN GEORGE,"Update v1-upgrade-guide.md

Corrected spelling of components in line 5.",False
7b6e39efc36092b5945ab286292bab646ebc0f64,2018-11-02 03:55:59,Chang Alan,Patreon update november,False
bafde665e7b600fc273d0b00596aa52860109206,2018-11-01 09:40:12,Chang Alan,Refactored sidenav css to accommodate btns better,False
1479efffa259d75a05478820fed778842b476396,2018-11-01 05:09:35,Maxim Balaganskiy,fix(datepicker): increase month selector width,False
d9a00f72a922ce1145e1c3cb240549a87dcc34bf,2018-10-30 05:04:43,Chang Alan,themes bundle,False
44fc3f97d1c990158f6a6d63053d6ff4e5acac31,2018-10-26 05:26:28,Adrienne Tacke,Fix dropdown section in v1 upgrade guide documentation (#6177),False
b3233253cc8d4a0f26f42f3839bb51fcbedad7c9,2018-10-26 05:13:49,Chang Alan,Fixed pushpin destroy bug that removed scroll handler for all pushpins on page,False
f37267d782cd546dbd3439dee5fa0e8f5284bbde,2018-10-25 06:01:04,R Steiner,"Fix bug when chips are initialized with label. (#6125)

This fixes a TypeError in the _setupLabel() function by forcing `Chips.$label` to be a single element instead of an array. See issue #6124.",False
6353f7abd804e3c96606db9c25e8ddbc212fa3e9,2018-10-24 06:38:27,Chang Alan,Made select not display none to fix form validation error,False
12beb580f159dc8842a52355b5a8d832cc529c7a,2018-10-22 23:14:20,Chang Alan,Updated themes changelogs,False
335ff54ffdef20be5a40b8527df8452af41cb117,2018-10-17 03:53:01,Chang Alan,Added changelogs to themes,False
08c219a4ef90c46d98880c5bf470bbe5efb47ed4,2018-10-13 00:39:18,Chang Alan,Changed fixed to sidenav-fixed in collapsible.scss,False
78300e6645157e809c5355ce60c766d00dd0af5e,2018-10-12 22:54:44,Alan Chang,Typo,False
ba1b09245feb5914759f883743471b67e8532c01,2018-10-02 02:38:01,Chang Alan,Patreon update october,False
4a68ebd12c85b81e188988760ec6f16899864da3,2018-09-22 05:19:45,Chang Alan,fixed _keysSelected for basic selects and added test for getSelectedValues,False
80e8ed370487aaf1e2185b028f7deda40da94eb9,2018-09-10 03:34:40,Alvin Wang,1.0.0 Release,False
18ab01a21f65d2af80efd6d21fa5312944f0d489,2018-09-10 03:19:12,Alvin Wang,Merge branch 'v1-dev' of github.com:Dogfalo/materialize into v1-dev,True
80c6881181c94f10def31d97cfc71941d94b104f,2018-09-10 03:19:00,Alvin Wang,Normalize plugin export structure,False
03ec7315102c64b9ea815cc079a4aae6b06cfb3e,2018-09-10 03:15:30,Chang Alan,added upgrade button and fixed topnav docs,False
efa0aee7ecb25603b92e1cd09794cb4b7ea052d3,2018-09-10 02:57:59,Alvin Wang,Add version field to M,False
55951c2e36b4246618923df6ccc0ee78fb498bae,2018-09-04 23:23:46,Chang Alan,Patreon update september,False
ca9beaf1591f9e5fa4536a4f6d8dabd6136406fb,2018-08-16 03:05:54,Chang Alan,Autofill label bugfix in navbar search,False
e02575415257beb97ec74f0c06d0dab4c6777ff6,2018-08-01 23:20:05,Chang Alan,patreon update,False
206a9bd6cf279bca3876cd24eab5599f099cc767,2018-07-15 23:29:38,Diogo Correia,"Fixed typo in tooltips docs page.

""I am tooltip"" to ""I am a tooltip""",False
5759200bac2b02d1efde028356b529f707b1a815,2018-07-13 06:00:31,Chang Alan,themes meta description,False
1f5deb3c35f389bef0b25a612317787bb6a73bf5,2018-07-03 05:24:28,Chang Alan,Fixed select autoFocus and fixed dropdown enter press error,False
faba65dea34e497e8752f6a1156283de4d63349b,2018-07-02 08:47:53,Chang Alan,added target blank to patreon links,False
8fb5bfad647a4788a18728da849f4a4052a60001,2018-07-01 23:49:19,Chang Alan,patreon update,False
c9363571a1fe60168d3833bf2b139b52723b5b04,2018-06-24 09:29:59,Alvin Wang,Update version in dropdown,False
0d1ed21e1ad1065b09c0c60e31138052662fbb08,2018-06-24 08:54:28,Alvin Wang,1.0.0-rc.2 Release,False
d1c369cdc67077faceaf1b436450d8570147ad79,2018-06-18 03:38:59,Chang Alan,Fixed select trigger bug,False
93edc1bb64ed15ca0300d9570214334a9ab60eaf,2018-06-15 09:36:46,Chang Alan,Removed comment,False
cc49a343610c025757ca8afc66b59e695ee6d265,2018-06-15 09:36:03,Chang Alan,Merge branch 'patch-1' of https://github.com/CiriousJoker/materialize into CiriousJoker-patch-1,True
1fff8142bcd223b89cd6ba8fdb9a40cc1db186b7,2018-06-15 03:50:57,Chang Alan,Fixed select on change trigger to not fire on already selected option,False
f8419ccea8a5a84b89a5ac8566a451e500bca3bb,2018-06-13 22:40:23,Chang Alan,Fixed IE 11 pushpin bug,False
d6837988914c7669830ce93d7e04b76a1aac2dc4,2018-06-12 02:54:31,Chang Alan,Fixed carousel noWrap next bug,False
cc226b9784d96bf1e2ab08f07d57ef5cc852530f,2018-06-09 07:19:02,Chang Alan,Updated themes page,False
893a83e3dc83cd209fb1907cd164722b9d502f9f,2018-06-02 01:59:16,Chang Alan,patreon june update,False
64191e4d017e892ff407a9b22106071d57391deb,2018-06-01 07:53:09,CiriousJoker,"Remove all the event handlers after destroying it.

Potentially fixes issue#5959.",False
605c3591238608b2fc78583efa81f85bab694dfb,2018-05-31 03:57:24,Chang Alan,Fixed broken fab demo,False
ec8be5d1cee72c71a2118b3cfbf843eb569524ff,2018-05-29 04:11:13,Dogfalo7,Materialbox destroy now removes wrapper element added during init,False
c72138e25951146891a4efebe2c7dec2b76fda44,2018-05-25 03:03:22,Chang Alan,changed carbon ad code,False
d3d9b9cc2d5a5266110f3bab79b5c6bfd420b18d,2018-05-22 05:25:07,Chang Alan,Fixed update tab indicator method,False
9de0babd3b69dd7ad8f25c18f0a7d83ef5dc1839,2018-05-18 05:53:17,Chang Alan,remove modal focus outline and add fallback for dropdown offsetParent,False
8bfb5bac8f73b9e375514db754d143e028b0d52c,2018-05-12 08:18:59,Chang Alan,used old default parameter implementation,False
47a6037ecf338421a1bff4583c8bc11d7f26e777,2018-05-11 00:02:58,Chang Alan,Manual tooltip method calls now work correctly,False
2103d82f27f327e05dd923260da38696ad0139b1,2018-05-09 12:34:53,Chang Alan,Fixed tabs scrollbar width bug,False
95cd38e3f1a82b7a42c75553e025a2e49d5eb2dd,2018-05-09 02:49:30,Chang Alan,Fixed form reset handling,False
c970aa8d23d1241b0166971c865b4ee4e1331f64,2018-05-04 21:14:17,Dogfalo7,Move docs related js into docs folder,False
4470d48ea6b8ea37802e849b74519d430ec1f8ca,2018-05-04 20:59:28,Dogfalo7,Merge branch 'v1-dev' of github.com:Dogfalo/materialize into v1-dev,True
c0a36c8fa3c57e2ebdf21e2ebc30350d88a942bb,2018-05-04 10:56:01,Sumit Kar,Spelling update,False
07ef07d0122cec7750de07d99f312a89915d2f17,2018-05-04 03:18:56,Alvin Wang,Uppercase copyright,False
